analystId,playerId,points_proj,positionId,points_act,subscription
-1,206,49.3,3,19.2,0
-1,222,56.2,3,53.1,0
-1,230,12.97,2,1.4,0
-1,234,231.8,2,167.7,0
-1,262,65,2,99.2,0
-1,284,135.4,2,150.7,0
-1,310,242.52,1,210.94,0
-1,324,43.2,4,71.7,0
-1,382,249.08,1,145.94,0
-1,768,74.5,3,67.7,0
-1,925,242.7,2,78.1,0
-1,927,189.2,2,91.4,0
-1,949,142.1,2,144.8,0
-1,1060,39.8,4,158.3,0
-1,1062,118.4,4,61.9,0
-1,1581,118.25,3,76.8,0
-1,1990,112.5,3,29.8,0
-1,2346,97.2,3,113.7,0
-1,2649,86.2,3,82.8,0
-1,4327,73,2,163.1,0
-1,4433,56.1,2,48.5,0
-1,71217,81.529,3,86.1,0
-1,71265,83.8,4,45.1,0
-1,71269,83.5,3,146.2,0
-1,71345,143.6,2,133.9,0
-1,71431,29.8,4,12.7,0
-1,79555,163.5,2,54,0
-1,79589,13.7,4,-2.2,0
-1,79607,172.6,2,142.7,0
-1,79860,254.24,1,275.38,0
-1,80425,90.5,3,27.8,0
-1,80429,144.4,3,153.8,0
-1,80670,64.7,3,19.8,0
-1,81294,162.14,1,157.64,0
-1,81306,28.9,3,11.9,0
-1,81831,79.1,3,64.3,0
-1,89766,25,4,12.7,0
-1,163982,10.97,2,8.3,0
-1,238498,169.15,3,108.2,0
-1,497095,226.7,1,177.9,0
-1,497145,158.9,2,83.7,0
-1,497149,156.7,2,116.6,0
-1,497176,37.2,2,6.7,0
-1,497188,130.1,2,101.5,0
-1,497190,70.1,2,56.7,0
-1,497204,122.5,2,47.1,0
-1,497206,67.2,2,120.3,0
-1,497224,42.2,4,24.1,0
-1,497226,40.8,4,6.1,0
-1,497234,51.8,4,9,0
-1,497236,138.7,4,72.5,0
-1,497238,37,4,28.3,0
-1,497240,182.3,4,183.6,0
-1,497242,14.9,4,20.9,0
-1,497258,44.9,4,3.1,0
-1,497278,208.4,3,58.1,0
-1,497282,57.1,3,44.7,0
-1,497284,114.5,3,171.7,0
-1,497302,73.2785,3,51.5,0
-1,497312,12.3,3,4.3,0
-1,497320,51.615,3,19.5,0
-1,497322,177,3,146.5,0
-1,497326,148.3,3,114.3,0
-1,497328,212.2,3,160.4,0
-1,2495139,62,4,70.8,0
-1,2495143,194.54,1,235.2,0
-1,2495158,91.6,3,50.7,0
-1,2495161,99.6,2,17.4,0
-1,2495186,240.46,1,102.2,0
-1,2495187,62.1,4,36.5,0
-1,2495189,35.9,3,27.2,0
-1,2495207,200.4,2,138.4,0
-1,2495240,246.22,1,261.2,0
-1,2495258,13.78,2,24.4,0
-1,2495267,98.3,4,56.6,0
-1,2495288,71,4,23.3,0
-1,2495314,39.23,2,20.9,0
-1,2495328,58.7,2,88.1,0
-1,2495340,23.98,2,3.4,0
-1,2495341,60.4,3,57.4,0
-1,2495347,32.4,4,13,0
-1,2495353,86.9,4,75.5,0
-1,2495438,87.3,4,79.5,0
-1,2495448,188.296,3,118.9,0
-1,2495450,168.3,3,186.7,0
-1,2495453,69.4,3,44.1,0
-1,2495454,188.1,3,232.1,0
-1,2495455,280.9,1,375.08,0
-1,2495459,90.5,3,90.3,0
-1,2495466,166,2,150.4,0
-1,2495470,46.3,2,8.8,0
-1,2495471,60.9,2,5.1,0
-1,2495473,100.6,2,99.5,0
-1,2495558,94,3,5.3,0
-1,2495573,54.5,4,49.9,0
-1,2495647,183.2,3,172.4,0
-1,2495651,47.8,3,0,0
-1,2495663,261.2,2,67.7,0
-1,2495700,127.3,4,149.4,0
-1,2495802,37.4,3,11.9,0
-1,2495821,130.5,3,76,0
-1,2495824,249.94,1,208.46,0
-1,2495825,67.6,4,69.7,0
-1,2495826,68.1,4,39.5,0
-1,2495835,40,4,40.9,0
-1,2495867,97.9,3,26.8,0
-1,2495888,45,4,22.6,0
-1,2495893,129.9,3,228.2,0
-1,2495966,81.3,4,148.4,0
-1,2495979,39.3,2,187.4,0
-1,2501863,287.51,1,74.36,0
-1,2504211,263.42,1,331.1,0
-1,2504521,83.3,3,68.7,0
-1,2504595,119.6,3,85,0
-1,2504775,275.22,1,291.2,0
-1,2505076,179.26,1,118.16,0
-1,2505245,226.1,1,296.24,0
-1,2505299,70.2,4,93,0
-1,2505354,259.58,1,32.66,0
-1,2505551,135.5,3,74.3,0
-1,2505587,127.2,3,99.9,0
-1,2505629,104.2,4,86.3,0
-1,2505785,111.6,3,71.1,0
-1,2505996,236.29,1,269.54,0
-1,2506004,77.7,3,66.5,0
-1,2506106,104.6,3,169.5,0
-1,2506109,261.9,1,196.42,0
-1,2506121,219.82,1,265.48,0
-1,2506122,64.9,4,115.5,0
-1,2506147,21.6,2,20.4,0
-1,2506313,60.6,3,89.8,0
-1,2506340,214.5,1,260.24,0
-1,2506363,295.76,1,281.24,0
-1,2506366,125.2,3,56.6,0
-1,2506369,84.4,4,65.7,0
-1,2506400,129.3,3,72.3,0
-1,2506404,135.6,2,156.4,0
-1,2506467,109.9,2,94.5,0
-1,2506581,66.84,1,268.2,0
-1,2506619,43.1,4,6,0
-1,2506871,24.5,2,44.7,0
-1,2506874,106.8,2,4.7,0
-1,2506897,36.45,3,0,0
-1,2507164,213.9,2,227.7,0
-1,2507166,77.45,3,133.9,0
-1,2507182,62.1,4,1,0
-1,2507183,76.2,3,137,0
-1,2507218,52.4,4,57.8,0
-1,2507428,63.1,2,65,0
-1,2507486,38.5,4,7.8,0
-1,2507737,42.23,2,3.2,0
-1,2507763,127.5,3,59.3,0
-1,2507883,67.5,4,7.7,0
-1,2507999,135.6,2,170.7,0
-1,2508061,219.65,3,246.4,0
-1,2508096,27.86,2,0.4,0
-1,2508097,107.35,3,24.6,0
-1,2508112,40.1,4,3.3,0
-1,2530515,50.5,3,57,0
-1,2530660,59.9,3,121.4,0
-1,2530747,116.6,3,190.9,0
-1,2530763,20.3,2,23,0
-1,2532797,90.3,2,50.7,0
-1,2532820,130.8,1,275.44,0
-1,2532835,41.3,4,18.4,0
-1,2532838,88.7,4,67.1,0
-1,2532841,127.9,3,120.9,0
-1,2532842,183.7,1,82.08,0
-1,2532853,63.1,4,66.9,0
-1,2532865,162.15,3,142.4,0
-1,2532884,88.85,3,105.6,0
-1,2532887,78.05,3,98.5,0
-1,2532899,123.4,2,194.3,0
-1,2532933,88.1,3,10.2,0
-1,2532956,247.38,1,239.42,0
-1,2532975,299.14,1,325.26,0
-1,2532977,110.7,3,58.8,0
-1,2532978,86.75,3,41.2,0
-1,2533031,314.94,1,115.84,0
-1,2533034,177.5,2,183.9,0
-1,2533037,22.5,2,56.3,0
-1,2533039,162,3,104.7,0
-1,2533040,69.7,3,39.4,0
-1,2533046,93.7,4,17,0
-1,2533437,77.8,2,136.4,0
-1,2533457,143.9,2,86.6,0
-1,2533533,91.7,3,127.7,0
-1,2534241,41.4,4,20.1,0
-1,2534437,24.3,2,9.9,0
-1,2534571,10.1,2,3.4,0
-1,2534770,22.1,2,57.5,0
-1,2534871,31.65,2,3.2,0
-1,2535698,66.3,3,80.6,0
-1,2535708,81.1,2,28.2,0
-1,2535869,80.5,3,0.8,0
-1,2535890,11.51,2,27.2,0
-1,2537933,57.3,4,34.3,0
-1,2539202,46.9,4,15,0
-1,2539205,107.4,3,102,0
-1,2539217,146,2,58.7,0
-1,2539250,37.2,3,45.4,0
-1,2539260,77.1,2,46,0
-1,2539291,72.3,3,104.9,0
-1,2539303,23.8,2,28.5,0
-1,2539335,123.34,1,19,0
-1,2539336,72.65,3,80.3,0
-1,2539995,73.5,4,34,0
-1,2540005,36.4,3,11.2,0
-1,2540020,98.2,2,98,0
-1,2540037,78.3,2,23.2,0
-1,2540145,55.95,3,13,0
-1,2540148,63.2,4,139.5,0
-1,2540151,69.2,3,32.4,0
-1,2540154,125,3,96.5,0
-1,2540156,130.8,2,132.2,0
-1,2540157,63.4,3,24.2,0
-1,2540158,76.6,4,94.3,0
-1,2540160,69.3,4,155.2,0
-1,2540165,132.7,3,218.1,0
-1,2540168,244.3,2,118.6,0
-1,2540169,88.3,3,70.2,0
-1,2540171,99,2,64.1,0
-1,2540175,212.2,2,87.2,0
-1,2540177,52.7,3,52.4,0
-1,2540178,109,2,15.6,0
-1,2540200,40.8,4,15.7,0
-1,2540202,73.208,3,62,0
-1,2540203,43.8,4,4.4,0
-1,2540211,57.6,4,9.4,0
-1,2540215,21.7,4,50.6,0
-1,2540225,22.6,2,5.8,0
-1,2540230,18.1,2,56.4,0
-1,2540258,118.3,4,111.5,0
-1,2540259,16.6,4,0.2,0
-1,2540261,45.2,3,7.6,0
-1,2540269,233.3,2,114.3,0
-1,2540273,17.08,2,21.4,0
-1,2540928,61.7,4,49.1,0
-1,2541147,89,3,12.7,0
-1,2541161,183.7,2,162.8,0
-1,2541199,66,4,27.3,0
