"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",12,44,201.4,NA,NA,NA,NA,NA,213,937,6,72,537,3,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",13,45,196.9,NA,NA,NA,NA,NA,257,1104,7,56,385,1,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",4,46,194.6,NA,NA,NA,NA,NA,0,0,0,89,1226,12,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",14,47,194.2,NA,NA,NA,NA,NA,241,1085,7,41,317,2,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",15,48,192.1,NA,NA,NA,NA,NA,213,1046,5,58,455,2,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",16,49,191.4,NA,NA,NA,NA,NA,247,1060,7,44,314,2,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",5,50,190.7,NA,NA,NA,NA,NA,0,0,0,93,1307,10,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",30,51,188.7,357,207,2249,11,13,41,262,1,NA,NA,NA,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",17,52,188.3,NA,NA,NA,NA,NA,220,969,8,40,314,2,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",6,53,187.6,NA,NA,NA,NA,NA,5,34,0,101,1362,8,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",18,54,184.3,NA,NA,NA,NA,NA,227,976,6,50,387,2,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",19,55,183.6,NA,NA,NA,NA,NA,260,1222,9,10,74,0,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,56,180.6,NA,NA,NA,NA,NA,NA,NA,NA,92,1146,11,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAC",31,57,178.2,390,226,2456,13,11,10,34,0,NA,NA,NA,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",20,58,177.4,NA,NA,NA,NA,NA,244,977,6,50,377,1,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",7,58,177.4,NA,NA,NA,NA,NA,0,0,0,91,1174,10,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",21,60,175.9,NA,NA,NA,NA,NA,219,965,6,44,314,2,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",32,61,175.4,306,181,2145,15,12,26,81,0,NA,NA,NA,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,61,175.4,NA,NA,NA,NA,NA,11,77,0,79,1197,8,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",22,63,174.8,NA,NA,NA,NA,NA,259,1089,8,23,179,0,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",23,64,170.2,NA,NA,NA,NA,NA,206,887,6,40,335,2,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",9,65,169.9,NA,NA,NA,NA,NA,0,0,0,78,1159,9,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","SEA",10,66,169.2,NA,NA,NA,NA,NA,24,145,1,94,1067,7,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",11,67,164.6,NA,NA,NA,NA,NA,0,0,0,95,1226,7,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",12,68,163.1,NA,NA,NA,NA,NA,7,66,0,86,1145,7,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",13,69,160.9,NA,NA,NA,NA,NA,0,0,0,81,1129,8,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",13,69,160.9,NA,NA,NA,NA,NA,0,0,0,71,1189,7,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",24,71,160,NA,NA,NA,NA,NA,263,1133,5,21,167,0,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",15,72,159.9,NA,NA,NA,NA,NA,0,0,0,90,1179,7,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",16,73,159.7,NA,NA,NA,NA,NA,0,0,0,77,1177,7,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",17,74,159.6,NA,NA,NA,NA,NA,12,127,1,79,989,7,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",18,75,156,NA,NA,NA,NA,NA,0,0,0,78,1140,7,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,76,155.5,NA,NA,NA,NA,NA,NA,NA,NA,78,895,11,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",25,77,153,NA,NA,NA,NA,NA,191,956,6,30,214,0,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",19,78,151.6,NA,NA,NA,NA,NA,0,0,0,77,1096,7,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",20,79,148.8,NA,NA,NA,NA,NA,5,33,0,76,1095,6,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",21,80,148.7,NA,NA,NA,NA,NA,0,0,0,81,1067,7,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",22,81,147.8,NA,NA,NA,NA,NA,2,21,0,76,1097,6,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",23,82,146.4,NA,NA,NA,NA,NA,0,0,0,85,1044,7,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",24,83,144.9,NA,NA,NA,NA,NA,0,0,0,81,1089,6,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",25,84,144.7,NA,NA,NA,NA,NA,0,0,0,89,967,8,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",26,85,144.6,NA,NA,NA,NA,NA,152,667,4,51,419,2,NA,NA,NA
"BENTATE","RB","Ben Tate","CLE",27,86,142.2,NA,NA,NA,NA,NA,201,845,5,29,217,1,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",26,87,142,NA,NA,NA,NA,NA,0,0,0,85,1120,5,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",28,88,141.5,NA,NA,NA,NA,NA,200,878,8,9,57,0,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",27,89,139.5,NA,NA,NA,NA,NA,5,46,0,72,989,6,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",29,90,139.4,NA,NA,NA,NA,NA,197,789,5,36,245,1,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",30,91,138,NA,NA,NA,NA,NA,124,535,2,65,545,3,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",31,92,137.1,NA,NA,NA,NA,NA,127,533,4,70,478,2,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",32,93,132.4,NA,NA,NA,NA,NA,179,735,5,33,229,1,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",28,94,132.2,NA,NA,NA,NA,NA,3,22,0,61,940,6,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",29,95,130.6,NA,NA,NA,NA,NA,0,0,0,84,946,6,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",30,96,126.5,NA,NA,NA,NA,NA,0,0,0,83,1025,4,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",31,97,126,NA,NA,NA,NA,NA,0,0,0,70,960,5,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",3,98,125.7,NA,NA,NA,NA,NA,NA,NA,NA,58,777,8,NA,NA,NA
