"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_eds","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",138,114.499923977745,139.94,122.875,114.75,115.749787840267,119.624787840267,NA,118.8625,100.875,116.749787840267,107.499787840267,108.374787840267,102.374787840267,110.249787840267,103.875,129.375,122.343487840267,NA,119.5,0.03,0,0,0,0,0,0,0,0,61.5000211720204,694,5.00002268957974,0,0,0.750070719911021,116.867279215686,114.499923977745
"TAVONAUSTIN","Tavon Austin","WR","STL",139,114.305805589707,41.68,97.775,74.65,111.175101433043,102.500101433043,5.4,110.8375,87.6,136.050101433043,122.650101433043,94.4001014330431,126.300101433043,125.025101433043,136.4,151.825,99.7564514330432,NA,102.4,0.22,0,0.12,0,0,0,10.5000384692262,102.75,0.999934086956522,49.9999725126528,609.05,3.49997493915419,0.9,0,1.49996618898562,112.085523393665,114.305805589707
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",140,113.314678104588,74.745,136,121.125,100.65987847612,107.03487847612,NA,122.4625,116.75,118.65987847612,94.0348784761204,103.03487847612,116.03487847612,121.53487847612,106,128.875,86.3055784761204,NA,123.8,0.09,0,0.01,0,0,0,0,0,0,49.4999510776198,683.5,4.9737166047446,0,0,0.65504050795987,113.309331930618,113.314678104588
"DARRENSPROLES","Darren Sproles","RB","PHI",141,113.191808309099,87.74,133.525,111.175,108.478682677248,114.303682677248,1.8,118.015,121.55,119.178682677248,114.928682677248,120.078682677248,105.578682677248,88.4536826772477,157.375,149.3,102.721982677248,NA,117.475,0.11,0,0,0,0,0,58.8,269.999950239705,1.65002117319894,57.2999839675612,487.5,2.90008392811457,0.3,0,1.28210577425076,116.65233745098,113.191808309099
"CHARLESCLAY","Charles Clay","TE","MIA",142,111.343753922516,126.405,97.375,115.25,121.524992692694,111.649992692694,NA,109.0875,113.275,115.899992692694,97.7749926926945,112.274992692694,103.024992692694,102.524992692694,100.125,129.625,111.429842692694,NA,103.19,0.05,0,0,0,0,0,1.67,11.525,0,57.6099794417401,651.5,5.20479353830358,0,0,0.825002435768508,113.063278823529,111.343753922516
"BERNARDPIERCE","Bernard Pierce","RB","BAL",143,110.188157139226,56.24,147.425,114.8,134.64,78.065,NA,114.1825,118.25,89.94,105.115,110.09,103.365,99.34,135.325,137.25,78.86655,NA,119.025,0.19,0,0.16,0,0,0,160.094966035139,659.500038162525,4.8954818186195,21.0000229519149,137.999951811935,0.650044739127372,0,0,2.095,111.483370784314,110.188157139226
"MARKINGRAM","Mark Ingram","RB","NO",144,109.881756757694,104.865,133.15,85.225,129.265155309848,76.9151553098481,NA,98.1125,106.9,93.0651553098481,99.3651553098481,128.315155309848,77.8651553098481,130.190155309848,141.375,144.1,81.6254053098481,NA,119.075,0,0,0,0,0,0,147.415054834276,639.5,4.99994101261019,14.6499944966482,119.000056509124,0.811158051423987,0,0,1.26994823005062,109.183446078431,109.881756757694
"DARRENMCFADDEN","Darren McFadden","RB","OAK",145,109.774864699012,132.215,110.575,80.575,120.22515942133,77.6751594213302,NA,95.535,129.75,113.27515942133,99.0001594213302,83.5001594213302,90.2251594213302,91.7501594213302,124.95,133.575,118.95380942133,NA,112.375,0.15,0,0.04,0,0,0,142.499983817291,576.500004724836,4.00000951070718,28.99995354357,225,0.999941290159189,0,0,1.99994685955659,109.946980980392,109.774864699012
"KENNYBRITT","Kenny Britt","WR","STL",146,109.691204013351,78.155,104.25,106,134.128862838328,87.0038628383277,NA,101.125,107.1,98.0038628383277,91.2538628383277,116.128862838328,101.378862838328,113.003862838328,141.25,137,92.2926128383277,NA,127.4,0,0,0,0,0,0,0,0,0,48.2000673134117,682.5,4.49997352917062,0,0,0.873712387224093,111.546777903469,109.691204013351
"DANNYAMENDOLA","Danny Amendola","WR","NE",147,108.556633493999,120.555,96.625,90.25,91.625130211563,117.625130211563,NA,102.1875,133.125,111.500130211563,99.000130211563,72.125130211563,106.025130211563,91.750130211563,161.875,142.4,130.880630211563,NA,50.295,0,0,0,0,0,0,0,5.00001814263668,0,58.2200636573987,697.5,3.85316691136198,0,0,0.749956596145654,108.458222850679,108.556633493999
