"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"MATTBRYANT","MattBryant","K","ATL",141,0,0.107578484303139,0,141
"DANBAILEY","DanBailey","K","DAL",141.325948988145,5.36404940045961,0.834933013397321,7.413,143
"JOHNNYMANZIEL","JohnnyManziel","QB","CLE",141.407517577069,10.4001335484659,0.739452109578084,2.9652,148
"ADAMVINATIERI","AdamVinatieri","K","IND",141.536097291321,5.1383282826509,0.904319136172765,7.413,144
"BLAIRWALSH","BlairWalsh","K","MIN",141.936186186186,5.63332493352085,0.399520095980804,4.4478,140
"KNILEDAVIS","KnileDavis","RB","KC",142,0,0.102279544091182,0,142
"BENROETHLISBERGER","BenRoethlisberger","QB","PIT",142.053873955274,12.3347420078509,0.885222955408918,12.3347420078509,149
"ODELLBECKHAMJR","OdellBeckhamJr","WR","NYG",142.981993406036,5.37667231266184,0.394221155768846,8.8956,144
"MARVINJONES","MarvinJones","WR","CIN",143,0,0.165066986602679,0,143
"MILESAUSTIN","MilesAustin","WR","CLE",143.090736342043,0.996111584282191,0.210457908418316,0.996111584282191,144
"TAMPABAY","TampaBay","DEF","TB",143.458868283405,4.98008365010022,0.210257948410318,4.98008365010022,148
"CHRISIVORY","ChrisIvory","RB","NYJ",144.982984293194,4.47498193132157,0.229154169166167,4.47498193132157,149
"MARQISELEE","MarqiseLee","WR","JAC",145,0,0.107578484303139,0,145
"RUEBENRANDLE","RuebenRandle","WR","NYG",145.907026109106,4.63443397020164,0.471005798840232,1.4826,147
"ROBBIEGOULD","RobbieGould","K","CHI",145.985417426176,3.60756910642455,0.548490301939612,4.4478,147
"BRIANHARTLINE","BrianHartline","WR","MIA",146,0,0.107578484303139,0,146
"JAYFEELY","JayFeely","K","ARI",147,0,0.0954809038192362,0,147
"JACEAMARO","JaceAmaro","TE","NYJ",148,0,0.0954809038192362,0,148
