"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"TOMBRADY","Tom Brady","QB","NE",12,67.2,11,265.610233599062,197.2,283.42,289.76,246.080109000919,NA,270.838,275.5,245.340109000919,255.000109000919,269.700109000919,251.420109000919,274.600109000919,254.42,280.68,266.090709000919,NA,276.64,264.848058333333,265.610233599062,19.9173232239757,9.3,22.7302430111417,4.5218491735924,4.3,13,8.65,13,77.2,10.4,60.6,11,53,57.4,9.8,8.65,11
"CALVINJOHNSON","Calvin Johnson","WR","DET",13,6.1,1,265.213505311947,218.315,271.85,269.35,277.599997476809,266.35,268.725,269.725,254.224997476809,254.974997476809,253.599997476809,278.599997476809,263.349997476809,239.75,277.875,267.077497476809,NA,238.325,261.495588235294,265.213505311947,122.432336300111,1.2,16.7065153346053,2.97363332078443,61,54,57.5,61,6.2,54.5,7.5,46,6,6,1.5,57.5,72
"LESEANMCCOY","LeSean McCoy","RB","PHI",14,1.7,2,264.49974003297,311.015,291.825,246.35,251.049848363086,266.975,264.9025,255.95,266.199848363086,247.674848363086,246.599848363086,249.574848363086,251.224848363086,296.875,264.45,303.574998363086,NA,239.5,265.34731627451,264.49974003297,143.989217774985,0.9,22.6213108718553,3.47747146083149,64.9,58,61.45,64.9,1.5,60.2,2.9,55,1,2,1,61.45,77
"MATTRYAN","Matt Ryan","QB","ATL",15,64.3,12,263.275127237304,237.51,290.38,289.44,246.080062667693,282.76,276.122,246.16,258.800062667693,252.880062667693,245.800062667693,250.540062667693,254.900062667693,279.62,274.48,263.612362667693,NA,269.25,264.384439215686,263.275127237304,17.5822168622181,13.7,16.9479965334209,4.53502440830246,5.5,18,11.75,18,54.1,5.9,82,11,62,64.9,9,11.75,15
"TONYROMO","Tony Romo","QB","DAL",16,77.6,13,261.525558918657,277.86,279.34,274.48,250.709967584553,1.4,264.95,241.94,244.809967584553,244.169967584553,245.649967584553,246.929967584553,283.349967584553,261.3,275.68,252.069567584553,NA,266.4,260.495183333333,261.525558918657,15.832648543571,14,66.3799571286855,9.09146430369338,2.5,14,8.25,14,77.3,4.6,98,9,82,92,10.9,8.25,11
"PHILIPRIVERS","Philip Rivers","QB","SD",17,101,14,251.330475578818,263.23,251.58,258.84,246.974943301659,1.4,250.574,232,240.05494330166,237.15494330166,233.794943301659,241.714943301659,250.694943301659,263.92,260.02,262.698593301659,NA,242.63,250.369545833333,251.330475578818,5.63756520373241,20.5,62.8133178635114,9.56581401750665,1.6,8,4.8,8,104.5,3.6,99.9,9,102,101.8,12.1,4.8,6
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",18,9,2,250.275542288666,306.18,249.4,261.65,250.400205361566,255.025,255.3,268.65,256.525205361566,236.275205361566,241.900205361566,243.900205361566,269.150205361566,198.125,252.175,240.612705361566,NA,231.85,251.780214932127,250.275542288666,107.494373276829,1.9,22.3443728033961,3.57529641630669,56.7,52,54.35,56.7,9.4,42.6,13.6,38,10,8.6,1.8,54.35,68
"MATTFORTE","Matt Forte","RB","CHI",19,3.9,3,250.078265247797,263,272.8,251.2,250.500260948419,256.95,255.405,252.6,239.925260948419,230.225260948419,246.425260948419,235.300260948419,246.425260948419,280.825,250.75,278.910110948419,NA,237.4,252.392045490196,250.078265247797,129.567742989813,1.4,14.8467934814221,2.82823050601879,60.9,55,57.95,60.9,4.9,54.6,5.9,52,4,4.4,1.2,57.95,72
"ADRIANPETERSON","Adrian Peterson","RB","MIN",20,2.9,4,246.350069953129,228.935,252.8,225.825,255.625,246.775,243.7325,275.75,242.1,234.775,245.25,224.15,239.75,244.3,253.125,268.38725,NA,237.275,245.394799019608,246.350069953129,125.839547695144,1.1,14.1377448628128,2.72645965586945,62.9,56,59.45,62.9,3.2,60.8,2.3,57,2,2.3,1.2,59.45,74
"JAYCUTLER","Jay Cutler","QB","CHI",21,80.1,15,246.265996390962,250.6,279.33,260.03,226.969766483796,2.35,257.424,264.49,246.909766483796,238.689766483796,239.249766483796,231.269766483796,240.749766483796,260.74,260.54,253.056866483796,NA,236.32,247.519079166667,246.265996390962,0.573086015876441,17.2,63.3788521963962,9.21114146900341,2,13,7.5,13,97,3.8,105.6,7,95,81.3,10.3,7.5,10
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",22,110,16,239.482259155477,205.96,266.84,259.74,220.759920931353,2,250.062,247.84,236.679920931353,227.119920931353,237.199920931353,223.699920931353,238.999920931353,269.56,253.96,234.753920931353,NA,220.68,240.788833333333,239.482259155477,-6.21065121960882,19.6,61.9898734662576,9.37969710410365,1.3,7,4.15,7,117.3,2,122.9,6,121,122.7,14.2,4.15,6
"DEZBRYANT","Dez Bryant","WR","DAL",23,10.7,3,236.687270550945,331.07,232.375,238.125,234.925129140395,236.15,232.975,252.625,221.500129140395,222.775129140395,230.000129140395,229.350129140395,255.500129140395,219,248.075,224.857129140395,NA,240.625,240.618658974359,236.687270550945,93.9061015391088,2.5,26.3654753609404,4.01682732444684,53.6,52,52.8,53.6,10.8,39.5,16.8,37,11,11.3,2.1,52.8,66
"ALEXSMITH","Alex Smith","QB","KC",24,144.7,17,235.631547734353,256.5,245.16,218.86,201.529997629087,1.2,229.414,248.24,248.009997629087,220.369997629087,233.749997629087,225.909997629087,238.549997629087,248.24,259.74,211.546297629087,NA,257.58,235.337404166667,235.631547734353,-10.0613626407331,18.5,61.233286307437,9.1750638516714,1.3,1,1.15,1.3,124.4,1.2,147.1,6,151,NA,NA,1.15,2
"EDDIELACY","Eddie Lacy","RB","GB",25,5.1,5,229.875767531195,246.83,251.225,201.075,221.67513028578,227.975,224.275,250,218.55013028578,209.90013028578,225.80013028578,221.20013028578,238.42513028578,255.375,240.6,250.25213028578,NA,231.05,232.127151960784,229.875767531195,109.36524527321,1.4,16.0667651714001,2.93977084511059,61,55,58,61,5.4,50.3,8.6,49,5,5.6,1.4,58,72
"ANDYDALTON","Andy Dalton","QB","CIN",26,121.1,18,228.820615590307,242.28,245.26,236.22,222.179941578027,NA,233.2,227.16,221.599941578027,225.199941578027,232.799941578027,220.819941578027,222.999941578027,245.86,251.2,229.081241578027,NA,224.4,232.187716666667,228.820615590307,-16.8722947847792,20.9,10.0308966793895,4.78924762018176,1.2,3,2.1,3,123.2,2.6,118.6,6,127,115.8,12.7,2.1,3
"AJGREEN","A.J. Green","WR","CIN",27,14.3,4,228.632483623729,262.985,226.75,227,230.106168816514,229.25,227.4,237.075,220.481168816514,224.481168816514,230.856168816514,222.306168816514,227.856168816514,194.125,252.375,241.852418816514,NA,211.7,230.593009049774,228.632483623729,85.851314611892,3.2,15.496998573746,3.10933890833986,51.3,47,49.15,51.3,12.4,40.5,16.5,38,14,13.2,2.3,49.15,61
"JULIOJONES","Julio Jones","WR","ATL",28,14.9,5,224.816564725818,250.31,224.25,238.125,226.27493200719,229.85,234.8625,242.075,240.82493200719,212.72493200719,214.49993200719,227.12493200719,212.24993200719,199.25,237.725,221.26218200719,NA,226.095,227.47524321267,224.816564725818,82.0353957139816,3.9,13.3118524767419,2.99575551280555,41.5,38,39.75,41.5,20.2,34.1,21.9,36,19,15.3,2.4,39.75,50
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",29,15.1,6,221.078103998112,232.35,220.975,228.85,223.509253224771,224.85,221.6875,241.6,204.509253224771,211.509253224771,219.009253224771,206.709253224771,225.509253224771,198.625,234.75,234.803003224771,NA,223.15,223.28112066365,221.078103998112,78.2969349862752,2.6,11.8180220936021,2.69908811841792,46.8,45,45.9,46.8,14.4,36.1,19.8,36,18,16,2.7,45.9,57
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",30,133.6,19,219.738180822193,198.59,235.98,237.96,203.341389474653,NA,224.718,204.64,207.461389474653,209.161389474653,229.961389474653,213.601389474653,217.561389474653,240.08,252.82,192.066689474653,NA,232.22,221.4108,219.738180822193,-25.9547295528926,22,17.7336934029617,5.62896329019787,1,1,1,1,133.5,2.7,130.8,5,159,NA,NA,1,2
"JIMMYGRAHAM","Jimmy Graham","TE","NO",31,8.8,1,219.186341939824,292.36,232.625,232.75,215.32,217.375,224.9375,252.5,207.195,211.445,222.195,210.07,213.695,176.875,221.125,210.35875,NA,211.8,223.393382352941,219.186341939824,101.246428826764,2.4,24.498125228945,3.83378355958575,58.8,53,55.9,58.8,7.7,46.6,11.4,43,8,8.2,2.1,55.9,70
"JORDYNELSON","Jordy Nelson","WR","GB",32,19.9,7,217.480551777686,219.035,219,223,218.50013495054,216.125,217.125,217.575,202.62513495054,219.75013495054,213.00013495054,210.37513495054,226.25013495054,220.25,222.5,209.01388495054,NA,197.25,216.496037330317,217.480551777686,74.6993827658494,4.4,7.63859314508026,2.53862970158194,38.2,36,37.1,38.2,22.9,30.5,24.6,31,22,19.9,2.6,37.1,46
