"name","pos","name_fbg3","team_fbg3","positionRank_fbg3","overallRank_fbg3","pts_fbg3","passAtt_fbg3","passComp_fbg3","passYds_fbg3","passTds_fbg3","passInt_fbg3","rushAtt_fbg3","rushYds_fbg3","rushTds_fbg3","rec_fbg3","recYds_fbg3","recTds_fbg3","returnTds_fbg3","twoPts_fbg3","fumbles_fbg3"
"NICKTOON","WR","Nick Toon","NO",114,283,30.6,NA,NA,NA,NA,NA,0,0,0,18,246,1,NA,NA,NA
"ROBERTTURBIN","RB","Robert Turbin","SEA",81,284,29.9,NA,NA,NA,NA,NA,43,171,1,8,68,0,NA,NA,NA
"JORDANTODMAN","RB","Jordan Todman","JAX",82,285,28.8,NA,NA,NA,NA,NA,53,168,1,9,60,0,NA,NA,NA
"JOSHMORGAN","WR","Josh Morgan","CHI",115,286,28.5,NA,NA,NA,NA,NA,0,2,0,18,223,1,NA,NA,NA
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",116,287,28,NA,NA,NA,NA,NA,0,0,0,18,220,1,NA,NA,NA
"LEONARDHANKERSON","WR","Leonard Hankerson","WAS",117,288,27.6,NA,NA,NA,NA,NA,0,0,0,16,216,1,NA,NA,NA
"ROBERTHERRON","WR","Robert Herron","TB",118,289,27.5,NA,NA,NA,NA,NA,0,2,0,16,213,1,NA,NA,NA
"CHRISPOLK","RB","Chris Polk","PHI",83,290,27.2,NA,NA,NA,NA,NA,39,163,1,6,49,0,NA,NA,NA
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",119,290,27.2,NA,NA,NA,NA,NA,0,0,0,16,212,1,NA,NA,NA
"THEORIDDICK","RB","Theo Riddick","DET",84,292,27.1,NA,NA,NA,NA,NA,36,149,1,8,62,0,NA,NA,NA
"CHRISOWUSU","WR","Chris Owusu","TB",120,293,26.7,NA,NA,NA,NA,NA,0,0,0,17,207,1,NA,NA,NA
"STORMJOHNSON","RB","Storm Johnson","JAX",85,294,26.4,NA,NA,NA,NA,NA,47,157,1,7,47,0,NA,NA,NA
"DONTEMONCRIEF","WR","Donte Moncrief","IND",121,295,25.6,NA,NA,NA,NA,NA,0,2,0,15,194,1,NA,NA,NA
"AUSTINDAVIS","QB","Austin Davis","STL",42,296,25.5,52,30,350,2,2,5,20,0,NA,NA,NA,NA,NA,NA
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",49,297,25.4,NA,NA,NA,NA,NA,NA,NA,NA,16,194,1,NA,NA,NA
"DREWDAVIS","WR","Drew Davis","ATL",122,298,24.2,NA,NA,NA,NA,NA,0,0,0,13,182,1,NA,NA,NA
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",123,299,23.7,NA,NA,NA,NA,NA,2,12,0,12,165,1,NA,NA,NA
"LARRYDONNELL","TE","Larry Donnell","NYG",50,300,23,NA,NA,NA,NA,NA,NA,NA,NA,16,170,1,NA,NA,NA
"SILASREDD","RB","Silas Redd","WAS",86,301,22.8,NA,NA,NA,NA,NA,31,129,1,5,39,0,NA,NA,NA
"DEMETRIUSHARRIS","TE","Demetrius Harris","KC",51,302,22.6,NA,NA,NA,NA,NA,NA,NA,NA,16,166,1,NA,NA,NA
"BENJAMINWATSON","TE","Ben Watson","NO",51,302,22.6,NA,NA,NA,NA,NA,NA,NA,NA,15,166,1,NA,NA,NA
"RYANBROYLES","WR","Ryan Broyles","DET",124,304,22.5,NA,NA,NA,NA,NA,0,0,0,12,165,1,NA,NA,NA
"DONTRELLEINMAN","WR","Dontrelle Inman","SD",125,305,22.3,NA,NA,NA,NA,NA,0,0,0,12,163,1,NA,NA,NA
"MATTASIATA","RB","Matt Asiata","MIN",87,306,21.9,NA,NA,NA,NA,NA,28,123,1,5,36,0,NA,NA,NA
"DEANTHONYTHOMAS","RB","DeAnthony Thomas","KC",87,306,21.9,NA,NA,NA,NA,NA,17,70,1,12,89,0,NA,NA,NA
"MARLONMOORE","WR","Marlon Moore","",126,308,21.8,NA,NA,NA,NA,NA,0,0,0,12,158,1,NA,NA,NA
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",89,309,21.7,NA,NA,NA,NA,NA,26,113,1,6,44,0,NA,NA,NA
"SHAUNDRAUGHN","RB","Shaun Draughn","CHI",90,310,21.6,NA,NA,NA,NA,NA,34,140,1,2,16,0,NA,NA,NA
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",90,310,21.6,NA,NA,NA,NA,NA,29,119,1,5,37,0,NA,NA,NA
"AUSTINPETTIS","WR","Austin Pettis","STL",127,310,21.6,NA,NA,NA,NA,NA,0,0,0,13,156,1,NA,NA,NA
"EDDICKSON","TE","Ed Dickson","CAR",53,313,21.5,NA,NA,NA,NA,NA,NA,NA,NA,15,155,1,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","KC",53,313,21.5,NA,NA,NA,NA,NA,NA,NA,NA,17,155,1,NA,NA,NA
