"name","pos","name_fbg2","team_fbg2","positionRank_fbg2","overallRank_fbg2","pts_fbg2","passAtt_fbg2","passComp_fbg2","passYds_fbg2","passTds_fbg2","passInt_fbg2","rushAtt_fbg2","rushYds_fbg2","rushTds_fbg2","rec_fbg2","recYds_fbg2","recTds_fbg2","returnTds_fbg2","twoPts_fbg2","fumbles_fbg2"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,409,610,416,4940,43,11,25,10,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,392,555,369,4600,36,11,52,230,1,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,379.5,630,421,4900,35,15,18,35,1,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",4,4,365.5,610,375,4370,27,10,60,310,3,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",5,5,357,630,374,4620,31,18,30,80,2,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",6,6,348,455,291,3700,28,11,78,440,3,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",7,7,345,630,389,4480,30,10,32,50,1,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",8,8,342,510,326,4120,27,9,63,250,2,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",9,9,339,470,286,3660,24,9,87,510,3,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",10,10,336,480,297,3380,23,13,105,580,5,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",11,11,333,620,410,4560,28,17,15,40,1,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",12,12,323,500,300,3600,22,14,88,510,3,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",13,13,321,550,343,4100,27,16,38,180,1,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",14,14,317,555,347,4000,30,13,22,40,1,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",15,15,316,528,327,3820,29,18,48,150,2,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",15,15,316,535,354,4300,28,15,25,40,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",17,17,311,540,346,3980,27,12,30,100,1,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",17,17,311,560,340,3860,26,15,40,230,1,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",19,19,296.5,540,333,3670,22,8,55,270,1,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",20,20,290,580,350,4000,23,15,26,70,1,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",21,21,284.5,555,347,4110,24,18,23,10,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",22,22,278,570,338,4020,23,18,20,30,0,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,23,260,NA,NA,NA,NA,NA,245,1230,10,65,590,3,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",23,24,246.5,400,242,2850,16,9,45,310,3,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",24,25,246,475,289,3280,16,14,44,200,2,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",2,26,245,NA,NA,NA,NA,NA,300,1380,12,42,290,1,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",3,27,244.5,NA,NA,NA,NA,NA,290,1445,9,40,340,2,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",25,28,240,460,280,3140,20,13,28,100,1,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",25,28,240,420,247,2860,16,15,65,300,3,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",4,30,234,NA,NA,NA,NA,NA,270,1220,8,68,520,2,NA,NA,NA
"MONTEEBALL","RB","Montee Ball","DEN",5,31,228.5,NA,NA,NA,NA,NA,270,1145,12,48,360,1,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",27,32,223.5,410,238,2720,14,16,56,295,3,NA,NA,NA,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",28,33,222,390,238,2660,16,13,65,260,2,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",6,33,222,NA,NA,NA,NA,NA,290,1250,10,42,310,1,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",29,35,220,395,239,2940,16,12,30,150,1,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,36,218,NA,NA,NA,NA,NA,0,0,0,90,1520,11,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",7,37,213,NA,NA,NA,NA,NA,280,1190,10,27,220,2,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,38,210,NA,NA,NA,NA,NA,0,0,0,90,1380,12,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAX",30,39,207.5,380,219,2590,13,12,40,200,3,NA,NA,NA,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",31,40,204,460,262,3040,13,16,28,100,1,NA,NA,NA,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",8,40,204,NA,NA,NA,NA,NA,225,900,6,62,540,4,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",32,42,201.5,375,222,2530,13,11,43,220,2,NA,NA,NA,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",3,42,201.5,NA,NA,NA,NA,NA,2,5,0,93,1290,12,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",9,44,201,NA,NA,NA,NA,NA,225,1090,8,56,380,1,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",4,45,199,NA,NA,NA,NA,NA,0,0,0,94,1390,10,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",10,46,198,NA,NA,NA,NA,NA,225,1000,7,55,440,2,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,47,195,NA,NA,NA,NA,NA,NA,NA,NA,90,1170,13,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",5,48,189,NA,NA,NA,NA,NA,0,0,0,100,1290,10,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",11,49,186,NA,NA,NA,NA,NA,200,900,5,55,480,3,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",6,50,185,NA,NA,NA,NA,NA,2,10,0,90,1300,9,NA,NA,NA
"LEVEONBELL","RB","LeVeon Bell","PIT",12,51,184.5,NA,NA,NA,NA,NA,255,1005,7,46,360,1,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",7,52,183,NA,NA,NA,NA,NA,0,0,0,84,1290,9,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",8,53,182,NA,NA,NA,NA,NA,6,30,0,92,1250,9,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",9,54,181.5,NA,NA,NA,NA,NA,10,70,0,90,1325,7,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",13,55,181,NA,NA,NA,NA,NA,280,1105,7,31,225,1,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",14,56,179.5,NA,NA,NA,NA,NA,270,1170,8,18,145,0,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",15,57,177.5,NA,NA,NA,NA,NA,210,1080,5,35,275,2,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",16,58,174,NA,NA,NA,NA,NA,250,1100,6,30,220,1,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAX",16,58,174,NA,NA,NA,NA,NA,235,1000,6,40,320,1,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",18,60,173,NA,NA,NA,NA,NA,200,950,5,48,420,1,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",19,61,172,NA,NA,NA,NA,NA,260,1000,8,30,180,1,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",20,62,167,NA,NA,NA,NA,NA,165,680,8,50,450,1,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",21,63,164.5,NA,NA,NA,NA,NA,200,865,5,48,360,2,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",10,64,162,NA,NA,NA,NA,NA,7,35,0,80,1045,9,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",11,65,159,NA,NA,NA,NA,NA,0,0,0,78,1110,8,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",12,66,157.5,NA,NA,NA,NA,NA,1,5,0,70,1150,7,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",22,67,156,NA,NA,NA,NA,NA,230,950,8,15,130,0,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,67,156,NA,NA,NA,NA,NA,NA,NA,NA,75,900,11,NA,NA,NA
"BENTATE","RB","Ben Tate","CLE",23,69,155.5,NA,NA,NA,NA,NA,230,995,5,30,200,1,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",13,70,153,NA,NA,NA,NA,NA,0,0,0,72,1110,7,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",24,71,152,NA,NA,NA,NA,NA,220,910,4,33,250,2,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",14,72,151,NA,NA,NA,NA,NA,3,20,0,68,1070,7,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",14,72,151,NA,NA,NA,NA,NA,0,0,0,95,1210,5,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",16,74,149.5,NA,NA,NA,NA,NA,0,0,0,87,1075,7,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",3,75,148,NA,NA,NA,NA,NA,NA,NA,NA,60,880,10,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",17,76,147.5,NA,NA,NA,NA,NA,2,15,0,90,1100,6,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",25,77,146,NA,NA,NA,NA,NA,155,655,7,40,325,1,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",18,78,143,NA,NA,NA,NA,NA,0,0,0,82,1070,6,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",19,79,142,NA,NA,NA,NA,NA,15,140,2,60,800,6,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",26,80,141.5,NA,NA,NA,NA,NA,190,765,5,36,290,1,NA,NA,NA
