"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_nfl","projectedPts_yahoo","passYdsMedian","passTdsMedian","passIntMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian","weeklyVariability"
"SHONNGREENE","Shonn Greene","RB","TEN",176,84.0743890386055,98.7,61.975,87.025,NA,84.7925,70.625,89.925,82.1,99.75,75.375,108.25,111.175,91.7,0,0,0,521.825,4.50000906020339,9.00004934433341,61.3,0,0.05,0.956888440871612,87.5077083333333,84.0743890386055,3.25667313196403
"JACEAMARO","Jace Amaro","TE","NYJ",177,83.2246171538663,109,88,65,NA,90.8,92.75,93.5,53.25,102.5,42.375,79.625,90.875,69.5,0,0,0,0,0,38.9,484.15,3.78431119231104,0,0,81.10625,83.2246171538663,3.44551642817625
"COBYFLEENER","Coby Fleener","TE","IND",178,82.9217147086405,91.625,62.25,84.125,NA,76.2125,63.625,66.125,85.25,87.75,69.875,113.125,93.5,91.25,0,0,0,0,0,38.999909906476,461.775,3.99997328477341,0.6,0,82.959375,82.9217147086405,3.19370136353036
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",179,82.855993110563,91.75,88.5,90.9,NA,86.95,94.15,76.625,66.05,101.125,69.25,21.625,90.925,93.385,0,0,0,14.499941238415,0,42,555.25,2.4999828410304,0,1.00004935315361,79.53975,82.855993110563,2.92001896729356
"LANCEMOORE","Lance Moore","WR","PIT",180,82.5269338200589,88.375,74.5,87.25,NA,88.4375,81.375,110.625,77.375,74.5,77,86.5,88.875,70.225,0,0,0,0,0,43.0000490656139,542.615452094311,2.50000038471167,0,0.1,83.2197916666667,82.5269338200589,3.08947850138466
"STEVEJOHNSON","Steve Johnson","WR","SF",181,81.8088821592859,96.875,66.625,97.75,NA,79.45,NA,60.25,81,87.75,84.45,99,90.725,NA,0,0,0,4.33729639635592,0,41.8500539505408,530.999945623648,3.00002655278238,0,1,82.62,81.8088821592859,3.41647136572908
"MALCOMFLOYD","Malcom Floyd","WR","SD",182,80.1860670992875,98.75,81.25,NA,NA,62.05,103.625,43.25,86.875,100.25,52.5,68.25,98.625,120.625,0,0,0,0,0,32.4999500360817,505.211582836166,3.08933152375699,0.1,0.567123299258417,76.0541666666667,80.1860670992875,3.36156622250998
"ANDREROBERTS","Andre Roberts","WR","WAS",183,80.1768800306733,85.875,85.75,93.825,NA,84.3125,65.05,70.75,72.75,80.75,79.075,73,96.75,87.85,0,0,0,5.75,0,42.4000123182599,505.625,3.00002082140809,0.05,0.567123299258417,81.0039583333333,80.1768800306733,2.96590621170128
"TIMOTHYWRIGHT","Timothy Wright","TE","TB",184,79.71875,65.75,93.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,0,0,0,0,0,36,445.75,4,0,0,78.625,79.71875,3.43258185507137
"ALLENROBINSON","Allen Robinson","WR","JAC",185,78.6249083146837,101.5,113.25,NA,NA,79.9375,86.625,NA,62.375,75.75,67.375,37,71.625,93.375,0,0,0,0,0,37.2782154690569,508.999995510164,2.9999848126522,0,1,70.5056818181818,78.6249083146837,2.96374209405227
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",186,78.1170274566469,100.1,66.35,61.45,NA,81.445,86.6,98.5,55.05,72.5,66.025,42.625,104.9,84.425,0,0,0,441.75,2.6002242272321,16.5000393356689,127.523556709169,0.900039584101369,0,1,75.5891666666667,78.1170274566469,3.1899550562346
"TREMASON","Tre Mason","RB","STL",187,77.7240894615998,138.775,90.95,88.775,NA,93.0975,34.875,38.125,63.825,60.625,58.375,78.25,110.2,60.0375,0,0,0,431,2.94997078664061,12.5000071492808,113.992764603998,0.945861527709399,0,1,75.1258333333333,77.7240894615998,3.27136804423241
"MARCEDESLEWIS","Marcedes Lewis","TE","JAC",188,76.8559882545549,86.625,82.375,58,NA,78.65,85.875,81.75,69.25,73.625,70.25,64.875,73.125,92.8,0,0,0,0,0,37.9999515506089,447.65,3.44995637575915,0.1,0,76.225,76.8559882545549,3.3027748155867
"NATEBURLESON","Nate Burleson","WR","CLE",189,76.8310519845407,76.25,78.25,73.75,NA,79.375,93.7,89.875,75.4,71.875,98.825,68,47,26.675,0,0,0,5.00002873540221,0,41.4999898684839,471.45,2.94996651850009,0,0.1,72.7529166666667,76.8310519845407,3.07321530258219
"STEVIEJOHNSON","Stevie Johnson","WR","SF",190,76.4625,NA,NA,NA,NA,NA,77.175,NA,NA,NA,NA,NA,NA,75.55,0,0,0,1.5,0,45,468.5,3.25,0.1,0.65,76.4625,76.4625,3.32156050269592
"JEROMESIMPSON","Jerome Simpson","WR","MIN",191,75.8785849433441,88.375,78,89.5,NA,74.9875,80.75,41.875,72.75,25,76.125,88.625,87.75,69.6,0,0,0,0,0,36.5,520.625,2.30007840220332,0,1.00000348995859,71.653125,75.8785849433441,2.94136076416053
"SIDNEYRICE","Sidney Rice","WR","SEA",192,75.6131556004473,62.375,72.5,86.125,NA,73.7625,52.75,80.375,78,64.875,86.25,99,76.875,75.675,0,0,0,0,0,30.4999484308732,440.225,3.44750510007455,0.1,0.1,75.3302083333333,75.6131556004473,3.38205008474696
"MIKETOLBERT","Mike Tolbert","RB","CAR",193,74.4120283429991,84.725,69.425,78.175,NA,79.125,89.15,86.225,62.55,75.25,53.15,8.75,69.2,72.475,0,0,0,257.25,3.71963543828426,23.4999903235581,162.15,1.00007761888225,0.05,0,69.025,74.4120283429991,3.63094565372943
"ROYHELU","Roy Helu","RB","WAS",194,73.7513512828094,92.4,61.125,100.975,NA,77.7325,91.125,63.4,47.5,69.125,66.7,51.25,83.3,70.35,0,0,0,273.3,1.89995848791062,33,256.175,0.999963831018519,0,1.00001921025517,71.7152083333333,73.7513512828094,3.03567007674524
