"name","pos","name_fp","team_fp","positionRank_fp","overallRank_fp","pts_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","returnTds_fp","twoPts_fp","fumbles_fp"
"RAYRICE","RB","Ray Rice","BAL",22,64,162.2,NA,NA,NA,NA,NA,197.3,869.6,5.7,46.1,360,1.5,NA,NA,2
"MATTSCHAUB","QB","Matt Schaub","OAK",30,65,162,464.3,275,3073.8,17.3,14.2,35.8,32.1,0,NA,NA,NA,NA,NA,2.5
"ANDREJOHNSON","WR","Andre Johnson","HOU",13,66,161.4,NA,NA,NA,NA,NA,0,0,0,92.6,1260.1,5.9,NA,NA,0
"SHANEVEREEN","RB","Shane Vereen","NE",23,67,160.9,NA,NA,NA,NA,NA,132,593.8,2.6,66.1,605.2,4.4,NA,NA,0.5
"CJSPILLER","RB","C.J. Spiller","BUF",24,68,160.4,NA,NA,NA,NA,NA,207.1,1019.9,4.9,36.2,274.3,1.1,NA,NA,2.5
"MICHAELCRABTREE","WR","Michael Crabtree","SF",14,69,159.9,NA,NA,NA,NA,NA,0.5,6,0,80.9,1150.5,7.7,NA,NA,1
"CHRISJOHNSON","RB","Chris Johnson","NYJ",25,70,158.8,NA,NA,NA,NA,NA,230.1,956.1,5.1,38,291.4,1.4,NA,NA,2.5
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,71,158.2,NA,NA,NA,NA,NA,NA,NA,NA,76.2,937.8,10.9,NA,NA,0.5
"BISHOPSANKEY","RB","Bishop Sankey","TEN",26,72,156.9,NA,NA,NA,NA,NA,221.9,965.7,5.7,31.4,241.1,1,NA,NA,2
"BENTATE","RB","Ben Tate","CLE",27,73,155.5,NA,NA,NA,NA,NA,229.4,1005.4,6.6,29.1,201.3,0.2,NA,NA,3
"KEENANALLEN","WR","Keenan Allen","SD",15,73,155.5,NA,NA,NA,NA,NA,0,0,0,74.9,1077.4,8.3,NA,NA,1
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",16,75,152.7,NA,NA,NA,NA,NA,13.5,115.5,1,71.2,949.8,6.7,NA,NA,0
"RODDYWHITE","WR","Roddy White","ATL",17,76,152.1,NA,NA,NA,NA,NA,0,0,0,85.6,1092.7,7.3,NA,NA,0.5
"TRENTRICHARDSON","RB","Trent Richardson","IND",28,76,152.1,NA,NA,NA,NA,NA,227.9,866.2,5.7,40.5,312.4,1,NA,NA,3
"MICHAELFLOYD","WR","Michael Floyd","ARI",18,78,151.1,NA,NA,NA,NA,NA,0,0,0,76.8,1115.4,6.6,NA,NA,0
"VICTORCRUZ","WR","Victor Cruz","NYG",19,79,151,NA,NA,NA,NA,NA,0,0,0,82.7,1099.8,7,NA,NA,0.5
"PIERREGARCON","WR","Pierre Garcon","WAS",20,80,149.7,NA,NA,NA,NA,NA,1,9.5,0,84.8,1139.5,5.8,NA,NA,0
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",3,81,149.5,NA,NA,NA,NA,NA,NA,NA,NA,68.6,924.5,9.5,NA,NA,0
"STEVANRIDLEY","RB","Stevan Ridley","NE",29,82,148.7,NA,NA,NA,NA,NA,227.6,993.7,8,7.9,53.1,0,NA,NA,2
"STEPHENGOSTKOWSKI","K","Stephen Gostkowski","NE",1,83,148.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",21,84,146.6,NA,NA,NA,NA,NA,0.5,9.5,0,73.9,1018.9,7.3,NA,NA,0
"PERCYHARVIN","WR","Percy Harvin","SEA",22,85,143.7,NA,NA,NA,NA,NA,20.5,113,1,74.7,908.4,6.1,NA,NA,0.5
"TORREYSMITH","WR","Torrey Smith","BAL",22,85,143.7,NA,NA,NA,NA,NA,2,16.5,0,65.8,1070.2,6,NA,NA,0.5
"DESEANJACKSON","WR","DeSean Jackson","WAS",24,87,141,NA,NA,NA,NA,NA,3.5,24,0,59.7,969.9,7.1,NA,NA,0.5
"PHILDAWSON","K","Phil Dawson","SF",2,88,138.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",25,89,137.9,NA,NA,NA,NA,NA,0,0,0,76.1,989.1,6.5,NA,NA,0
"JULIANEDELMAN","WR","Julian Edelman","NE",26,90,135.9,NA,NA,NA,NA,NA,2,17,0,85.2,970.2,6.2,NA,NA,0
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",30,91,135.8,NA,NA,NA,NA,NA,199.7,790.1,4.9,34.2,252.2,0.7,NA,NA,1
"TYHILTON","WR","Ty Hilton","IND",27,92,135.4,NA,NA,NA,NA,NA,4.5,29.5,0,69.3,986.6,5.8,NA,NA,0.5
"GOLDENTATE","WR","Golden Tate","DET",28,93,135.2,NA,NA,NA,NA,NA,3,25,0,70.7,974.5,6.2,NA,NA,1
"PIERRETHOMAS","RB","Pierre Thomas","NO",31,93,135.2,NA,NA,NA,NA,NA,138,562.4,2.7,64.7,449.5,3.3,NA,NA,1
"MIKEWALLACE","WR","Mike Wallace","MIA",29,95,134.5,NA,NA,NA,NA,NA,4.5,38.5,0,71.6,986.3,5.5,NA,NA,0.5
"JUSTINTUCKER","K","Justin Tucker","BAL",3,96,134.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MASONCROSBY","K","Mason Crosby","GB",4,97,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVENHAUSCHKA","K","Steven Hauschka","SEA",5,98,133.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",32,99,133.5,NA,NA,NA,NA,NA,162.9,690.4,5.4,37.5,308.5,0.7,NA,NA,1.5
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",30,100,133.1,NA,NA,NA,NA,NA,0,0,0,69.4,956.9,6.4,NA,NA,0.5
"ADAMVINATIERI","K","Adam Vinatieri","IND",6,101,132.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",31,102,132.6,NA,NA,NA,NA,NA,0.5,4,0,87.9,1053.6,4.8,NA,NA,1
"VERNONDAVIS","TE","Vernon Davis","SF",4,103,131.3,NA,NA,NA,NA,NA,NA,NA,NA,57.7,771,9.2,NA,NA,0.5
"DANBAILEY","K","Dan Bailey","DAL",7,104,130.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAYNEGRAHAM","K","Shayne Graham","NO",7,104,130.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
