"name","pos","name_fp","team_fp","positionRank_fp","overallRank_fp","pts_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","returnTds_fp","twoPts_fp","fumbles_fp"
"DELANIEWALKER","TE","Delanie Walker","TEN",17,191,90.8,NA,NA,NA,NA,NA,NA,NA,NA,58,610.1,5.3,NA,NA,1
"MARQISELEE","WR","Marqise Lee","JAC",60,192,88.6,NA,NA,NA,NA,NA,1,8.5,0,45.3,639.2,4.3,NA,NA,1
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",50,193,88,NA,NA,NA,NA,NA,128.2,544.4,4.9,9.7,71.6,0,NA,NA,1.5
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",51,194,87.4,NA,NA,NA,NA,NA,120.7,580.2,3.5,10.6,86,0.3,NA,NA,1
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",61,195,86.2,NA,NA,NA,NA,NA,5.5,35,0,55,628.8,3.3,NA,NA,0
"DANNYAMENDOLA","WR","Danny Amendola","NE",62,196,86,NA,NA,NA,NA,NA,0,0,0,56.8,666.3,3.4,NA,NA,0.5
"KENNYBRITT","WR","Kenny Britt","STL",63,197,85.7,NA,NA,NA,NA,NA,0,0,0,44.4,617,4,NA,NA,0
"DWAYNEALLEN","TE","Dwayne Allen","IND",18,198,85.4,NA,NA,NA,NA,NA,NA,NA,NA,46.5,559.7,4.9,NA,NA,0
"MARVINJONES","WR","Marvin Jones","CIN",64,198,85.4,NA,NA,NA,NA,NA,5.5,46,0,41,563.7,4.4,NA,NA,1
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",52,200,83.4,NA,NA,NA,NA,NA,52.55,223.8,0.9,51.65,451.15,2,NA,NA,0.75
"BLAKEBORTLES","QB","Blake Bortles","JAC",34,201,83.2,192,114.9,1320.7,8.2,6.3,20.5,75.7,1.1,NA,NA,NA,NA,NA,2
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",65,202,82.7,NA,NA,NA,NA,NA,0,0,0,48.7,628.7,3.8,NA,NA,1.5
"ROBERTWOODS","WR","Robert Woods","BUF",66,203,82.5,NA,NA,NA,NA,NA,2,16,0,47.5,609,3.5,NA,NA,0.5
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",67,204,82.2,NA,NA,NA,NA,NA,3,18,0,39.4,585.6,3.8,NA,NA,0.5
"ERICEBRON","TE","Eric Ebron","DET",19,205,81.8,NA,NA,NA,NA,NA,NA,NA,NA,41.3,536.3,4.7,NA,NA,0
"MALCOMFLOYD","WR","Malcom Floyd","SD",68,206,81.4,NA,NA,NA,NA,NA,0,0,0,40.5,584,4,NA,NA,0.5
"TRAVISKELCE","TE","Travis Kelce","KC",20,207,78.9,NA,NA,NA,NA,NA,NA,NA,NA,41,553,4.1,NA,NA,0.5
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",53,208,78.8,NA,NA,NA,NA,NA,106.3,446.8,2.6,19.4,147,0.8,NA,NA,0.5
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",69,209,78.3,NA,NA,NA,NA,NA,3,14.5,0,47.8,582.9,3.1,NA,NA,0
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",54,210,77.6,NA,NA,NA,NA,NA,92.4,398.8,3,21.4,169.6,0.8,NA,NA,1
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NE",70,211,77.3,NA,NA,NA,NA,NA,0,0,0,38.4,568.5,3.4,NA,NA,0
"MICHAELVICK","QB","Michael Vick","NYJ",35,212,76.8,146.6,86.6,999,6.1,4.5,29.5,166.5,1.3,NA,NA,NA,NA,NA,1.5
"DONNIEAVERY","WR","Donnie Avery","KC",71,213,76.2,NA,NA,NA,NA,NA,1.5,6,0,42.5,594.3,2.7,NA,NA,0
"JAREDCOOK","TE","Jared Cook","STL",21,214,76,NA,NA,NA,NA,NA,NA,NA,NA,46.7,552.1,3.8,NA,NA,1
"NATEWASHINGTON","WR","Nate Washington","TEN",72,214,76,NA,NA,NA,NA,NA,0,0,0,40.5,584.3,3.1,NA,NA,0.5
"MIKEWILLIAMS","WR","Mike Williams","BUF",73,216,75.2,NA,NA,NA,NA,NA,0,0,0,42.6,581.5,3,NA,NA,0.5
"MIKETOLBERT","RB","Mike Tolbert","CAR",55,217,74.6,NA,NA,NA,NA,NA,80,300.9,3.7,24.5,162.6,1,NA,NA,0
"KNILEDAVIS","RB","Knile Davis","KC",56,218,74.3,NA,NA,NA,NA,NA,97.2,449.9,2.9,13.4,111.5,0.3,NA,NA,0.5
"LANCEDUNBAR","RB","Lance Dunbar","DAL",56,218,74.3,NA,NA,NA,NA,NA,74.7,325.8,1.9,29.7,243.3,1,NA,NA,0
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",58,220,73.6,NA,NA,NA,NA,NA,99.8,430.3,3.5,13.6,97.6,0.3,NA,NA,1
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",74,221,73.5,NA,NA,NA,NA,NA,2.5,9.5,0,44.9,577.6,2.8,NA,NA,1
"LANCEMOORE","WR","Lance Moore","PIT",75,222,72.5,NA,NA,NA,NA,NA,0,0,0,46.1,574.8,2.5,NA,NA,0
"TYLEREIFERT","TE","Tyler Eifert","CIN",22,223,71.9,NA,NA,NA,NA,NA,NA,NA,NA,41.7,508.7,3.5,NA,NA,0
"GARRETTGRAHAM","TE","Garrett Graham","HOU",23,224,71.7,NA,NA,NA,NA,NA,NA,NA,NA,44.4,488.8,3.8,NA,NA,0
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",24,225,71,NA,NA,NA,NA,NA,NA,NA,NA,41.1,469.6,4,NA,NA,0
"ANDREHOLMES","WR","Andre Holmes","OAK",76,226,70.6,NA,NA,NA,NA,NA,0,0,0,35.5,520.3,3.1,NA,NA,0
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",59,227,70.2,NA,NA,NA,NA,NA,97.5,411.5,2.8,17.5,134.3,0.3,NA,NA,1.5
"JAMESSTARKS","RB","James Starks","GB",60,228,70.1,NA,NA,NA,NA,NA,98.5,435.9,3.1,12.4,99.4,0,NA,NA,1
"JOHNBROWN","WR","John Brown","ARI",77,229,69.9,NA,NA,NA,NA,NA,0,0,0,35.1,530.9,2.8,NA,NA,0
"MILESAUSTIN","WR","Miles Austin","CLE",78,230,69.8,NA,NA,NA,NA,NA,0,0,0,41.9,540.3,2.8,NA,NA,0.5
"COBYFLEENER","TE","Coby Fleener","IND",25,231,69.6,NA,NA,NA,NA,NA,NA,NA,NA,38.5,461.9,3.9,NA,NA,0
"SCOTTCHANDLER","TE","Scott Chandler","BUF",26,232,69.1,NA,NA,NA,NA,NA,NA,NA,NA,43.3,495.3,3.6,NA,NA,1
"AARONDOBSON","WR","Aaron Dobson","NE",79,233,68.8,NA,NA,NA,NA,NA,0,0,0,34.7,478,3.5,NA,NA,0
"ANDREROBERTS","WR","Andre Roberts","WAS",80,234,68.6,NA,NA,NA,NA,NA,1.5,8.5,0,43.8,513.2,2.9,NA,NA,0.5
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",61,235,68,NA,NA,NA,NA,NA,96.3,426.8,2.7,11.7,83.2,0.3,NA,NA,0.5
"MYCHALRIVERA","TE","Mychal Rivera","OAK",27,236,67.8,NA,NA,NA,NA,NA,NA,NA,NA,41.4,461.9,3.6,NA,NA,0
"STEVEJOHNSON","WR","Steve Johnson","SF",81,237,67.2,NA,NA,NA,NA,NA,0,0,0,41.2,529.9,2.7,NA,NA,1
"ROYHELU","RB","Roy Helu","WAS",62,238,67,NA,NA,NA,NA,NA,72.3,305.5,1,36.2,282.9,0.7,NA,NA,1
"BRIANQUICK","WR","Brian Quick","STL",82,239,65.6,NA,NA,NA,NA,NA,0,0,0,34,476.3,3,NA,NA,0
"JOSHGORDON","WR","Josh Gordon","CLE",82,239,65.6,NA,NA,NA,NA,NA,1,5.5,0,30.9,440.9,3.5,NA,NA,0
"DONALDBROWN","RB","Donald Brown","SD",63,241,65.5,NA,NA,NA,NA,NA,84.6,372.9,2,16.3,131.9,0.5,NA,NA,0
"DENARIUSMOORE","WR","Denarius Moore","OAK",84,242,63.2,NA,NA,NA,NA,NA,0,0,0,31.9,506,2.6,NA,NA,1.5
"JEROMESIMPSON","WR","Jerome Simpson","MIN",84,242,63.2,NA,NA,NA,NA,NA,0,0,0,36.3,513.5,2.3,NA,NA,1
"CHRISGIVENS","WR","Chris Givens","STL",86,244,62.2,NA,NA,NA,NA,NA,2,15.5,0,33.8,508.6,1.8,NA,NA,0.5
"MARCELREECE","RB","Marcel Reece","OAK",64,245,61.9,NA,NA,NA,NA,NA,43.3,196.7,1.6,31.5,284.3,0.7,NA,NA,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",28,246,61.4,NA,NA,NA,NA,NA,NA,NA,NA,31.6,379.8,3.9,NA,NA,0
"BRENTCELEK","TE","Brent Celek","PHI",29,247,61.3,NA,NA,NA,NA,NA,NA,NA,NA,34.8,424.9,3.3,NA,NA,0.5
"JACEAMARO","TE","Jace Amaro","NYJ",30,248,60.9,NA,NA,NA,NA,NA,NA,NA,NA,31.4,429.2,3,NA,NA,0
"JAMESWHITE","RB","James White","NE",65,249,59.4,NA,NA,NA,NA,NA,79.3,340,2.3,11.4,86.1,0.5,NA,NA,0
"PAULRICHARDSON","WR","Paul Richardson","SEA",87,250,59.2,NA,NA,NA,NA,NA,0,0,0,23,441.5,2.5,NA,NA,0
"CJANDERSON","RB","C.J. Anderson","DEN",66,251,58.7,NA,NA,NA,NA,NA,84.7,353.8,2.2,13.1,93,0.3,NA,NA,0.5
"BRANDONLAFELL","WR","Brandon LaFell","NE",88,252,58.6,NA,NA,NA,NA,NA,1,6,0,30.3,451.6,2.3,NA,NA,0.5
"ZACHMILLER","TE","Zach Miller","SEA",31,253,58.4,NA,NA,NA,NA,NA,NA,NA,NA,33.3,379.9,3.4,NA,NA,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",67,254,57.7,NA,NA,NA,NA,NA,63.7,254.1,0.5,32.7,235.1,1.3,NA,NA,1
"BRIANHOYER","QB","Brian Hoyer","CLE",36,255,57.1,148.3,90.1,1005.9,7.5,6.7,12.6,32.5,0,NA,NA,NA,NA,NA,1.5
"EDDIEROYAL","WR","Eddie Royal","SD",89,256,56.3,NA,NA,NA,NA,NA,1.5,6.5,0,39.5,470,1.6,NA,NA,0.5
"RICHARDRODGERS","TE","Richard Rodgers","GB",32,257,55.9,NA,NA,NA,NA,NA,NA,NA,NA,27.7,354.7,3.4,NA,NA,0
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",33,258,55.8,NA,NA,NA,NA,NA,NA,NA,NA,36.6,401.9,3.1,NA,NA,1.5
"ROBERTTURBIN","RB","Robert Turbin","SEA",68,259,55.7,NA,NA,NA,NA,NA,75.5,332.2,2.1,12.9,108.5,0,NA,NA,0.5
"BRANDONGIBSON","WR","Brandon Gibson","MIA",90,260,54.7,NA,NA,NA,NA,NA,0,0,0,35.8,426.9,2,NA,NA,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",90,260,54.7,NA,NA,NA,NA,NA,0,0,0,26.8,402.6,2.4,NA,NA,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",69,262,54.3,NA,NA,NA,NA,NA,80.7,319.8,2.6,11.8,87.5,0,NA,NA,1
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",70,263,54,NA,NA,NA,NA,NA,67.6,292.8,2.5,10.8,82.4,0.3,NA,NA,0
"NATEBURLESON","WR","Nate Burleson","CLE",92,264,53.9,NA,NA,NA,NA,NA,1,5,0,31.5,384,2.5,NA,NA,0
"DAVANTEADAMS","WR","Davante Adams","GB",93,265,53.8,NA,NA,NA,NA,NA,0,0,0,26.3,395.7,2.7,NA,NA,1
"JERRELJERNIGAN","WR","Jerrel Jernigan","NYG",94,266,52.9,NA,NA,NA,NA,NA,1.5,13,0,25.9,365.8,2.5,NA,NA,0
"TEDGINN","WR","Ted Ginn Jr.","ARI",95,267,52.1,NA,NA,NA,NA,NA,4,24.5,0,23.8,358.3,2.3,NA,NA,0
"ALLENROBINSON","WR","Allen Robinson","JAC",96,268,51.6,NA,NA,NA,NA,NA,0,0,0,29,409.9,2.1,NA,NA,1
"COLEBEASLEY","WR","Cole Beasley","DAL",97,269,51.3,NA,NA,NA,NA,NA,0,0,0,36,386.6,2.1,NA,NA,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",98,270,50.9,NA,NA,NA,NA,NA,0,0,0,23.9,365.1,2.4,NA,NA,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",99,271,50.7,NA,NA,NA,NA,NA,0,0,0,28.9,372.8,2.4,NA,NA,0.5
"LEVINETOILOLO","TE","Levine Toilolo","ATL",34,271,50.7,NA,NA,NA,NA,NA,NA,NA,NA,26.9,326.9,3,NA,NA,0
"BILALPOWELL","RB","Bilal Powell","NYJ",71,273,50.5,NA,NA,NA,NA,NA,62.2,254,1.2,21.5,160.7,0.3,NA,NA,0
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",100,273,50.5,NA,NA,NA,NA,NA,0,0,0,27.8,362,2.4,NA,NA,0
"JASONAVANT","WR","Jason Avant","CAR",101,275,50.3,NA,NA,NA,NA,NA,0,0,0,32.8,387,2.1,NA,NA,0.5
"OWENDANIELS","TE","Owen Daniels","BAL",35,276,49.9,NA,NA,NA,NA,NA,NA,NA,NA,30.9,348.7,2.5,NA,NA,0
"GREGLITTLE","WR","Greg Little","OAK",102,277,49.8,NA,NA,NA,NA,NA,0,0,0,28.6,400.1,1.6,NA,NA,0
"JEFFTUEL","QB","Jeff Tuel","BUF",37,278,49.1,147,87.8,932.3,3.8,1.5,6,13.5,0,NA,NA,NA,NA,NA,0.8
"DENARDROBINSON","RB","Denard Robinson","JAC",72,279,48.9,NA,NA,NA,NA,NA,62.4,282.7,1.5,13.7,115.8,0.5,NA,NA,1.5
"MARQUESSWILSON","WR","Marquess Wilson","CHI",103,280,48.8,NA,NA,NA,NA,NA,0,0,0,25.3,360.5,2.1,NA,NA,0
"TREMASON","RB","Tre Mason","STL",73,280,48.8,NA,NA,NA,NA,NA,65.9,308.6,1.2,13.6,109.1,0.3,NA,NA,1
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",74,282,48.6,NA,NA,NA,NA,NA,45.7,204.4,1.1,22.6,177.7,0.8,NA,NA,0.5
"MARLONBROWN","WR","Marlon Brown","BAL",104,283,47.9,NA,NA,NA,NA,NA,0,0,0,29,359.3,2,NA,NA,0
"JORDANTODMAN","RB","Jordan Todman","JAC",75,284,47.8,NA,NA,NA,NA,NA,66.3,274.4,1,18.1,144,0.5,NA,NA,1.5
"SANTONIOHOLMES","WR","Santonio Holmes",NA,105,285,46.7,NA,NA,NA,NA,NA,0,0,0,23.7,317.2,2.5,NA,NA,0
"CHRISPOLK","RB","Chris Polk","PHI",76,286,46.5,NA,NA,NA,NA,NA,61.3,278.6,2.1,9.5,70.2,0,NA,NA,0.5
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",77,287,46.4,NA,NA,NA,NA,NA,54.1,237,1.5,14.8,116.7,0.5,NA,NA,0.5
"DEVINSTREET","WR","Devin Street","DAL",106,288,46.3,NA,NA,NA,NA,NA,0,0,0,23.5,342.5,2,NA,NA,0
"KEVINOGLETREE","WR","Kevin Ogletree","DET",107,289,46.2,NA,NA,NA,NA,NA,0,0,0,24,372,1.5,NA,NA,0
"TOMSAVAGE","QB","Tom Savage","HOU",38,289,46.2,143.3,82.9,955.5,5.6,6.8,9.8,19.9,0,NA,NA,NA,NA,NA,1.5
"CODYLATIMER","WR","Cody Latimer","DEN",108,291,45.6,NA,NA,NA,NA,NA,0,0,0,25.4,329.8,2.1,NA,NA,0
"JERMICHAELFINLEY","TE","Jermichael Finley",NA,36,291,45.6,NA,NA,NA,NA,NA,NA,NA,NA,23.9,291,2.8,NA,NA,0
"TRAVARISCADET","RB","Travaris Cadet","NO",78,291,45.6,NA,NA,NA,NA,NA,39.3,188.1,0.4,23.3,178,1.1,NA,NA,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",79,294,44.6,NA,NA,NA,NA,NA,68.2,278.5,1.1,11.6,83.1,0.3,NA,NA,0
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",37,295,44.3,NA,NA,NA,NA,NA,NA,NA,NA,28,283.1,3,NA,NA,1
"CASEKEENUM","QB","Case Keenum","HOU",39,295,44.3,112,65.5,748.5,4.5,4,12,43.5,0,NA,NA,NA,NA,NA,0
"ADRIENROBINSON","TE","Adrien Robinson","NYG",38,297,43.4,NA,NA,NA,NA,NA,NA,NA,NA,24.8,319.5,1.9,NA,NA,0
"JACOBYJONES","WR","Jacoby Jones","BAL",109,298,43.2,NA,NA,NA,NA,NA,0,0,0,25.1,335.9,1.6,NA,NA,0
"JOHNCARLSON","TE","John Carlson","ARI",39,299,43.1,NA,NA,NA,NA,NA,NA,NA,NA,28.2,293.1,2.3,NA,NA,0
"BRANDONBOLDEN","RB","Brandon Bolden","NE",80,300,42.1,NA,NA,NA,NA,NA,55.2,255.6,1.5,11.5,75.1,0,NA,NA,0
"CJFIEDOROWICZ","TE","C.J. Fiedorowicz","HOU",40,301,41.8,NA,NA,NA,NA,NA,NA,NA,NA,21.3,262.1,2.6,NA,NA,0
"DANIELTHOMAS","RB","Daniel Thomas","MIA",81,302,41.5,NA,NA,NA,NA,NA,63.6,246.6,1.8,10.5,72.9,0,NA,NA,0.5
"ANDRECALDWELL","WR","Andre Caldwell","DEN",110,303,40.9,NA,NA,NA,NA,NA,0,0,0,26.4,319.1,1.5,NA,NA,0
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",41,303,40.9,NA,NA,NA,NA,NA,NA,NA,NA,25.1,294.5,1.9,NA,NA,0
"DAVIDNELSON","WR","David Nelson","NYJ",111,305,40.8,NA,NA,NA,NA,NA,0,0,0,27.7,330.1,1.3,NA,NA,0
"ANTHONYFASANO","TE","Anthony Fasano","KC",42,306,40.6,NA,NA,NA,NA,NA,NA,NA,NA,25.1,256.2,2.5,NA,NA,0
"JOSEPHMORGAN","WR","Joseph Morgan","NO",112,306,40.6,NA,NA,NA,NA,NA,0,0,0,15.1,271,2.3,NA,NA,0
"DEREKCARR","QB","Derek Carr","OAK",40,308,40.5,126.8,77.7,848.8,4.5,4.8,8,21.7,0,NA,NA,NA,NA,NA,2
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis","CIN",82,309,40.2,NA,NA,NA,NA,NA,71.3,273,1.9,3.8,24.9,0,NA,NA,0.5
"ALLENHURNS","WR","Allen Hurns","JAC",113,310,40.1,NA,NA,NA,NA,NA,0,0,0,25,321.2,1.3,NA,NA,0
"BRYCEBROWN","RB","Bryce Brown","BUF",83,311,40,NA,NA,NA,NA,NA,66.7,295.7,1.5,6.1,44.4,0,NA,NA,1.5
"MIKEJAMES","RB","Mike James","TB",84,312,39.8,NA,NA,NA,NA,NA,59.3,262.1,1.3,9.8,67.4,0,NA,NA,0.5
"ANDREWQUARLESS","TE","Andrew Quarless","GB",43,313,39.4,NA,NA,NA,NA,NA,NA,NA,NA,23.7,268.1,2.1,NA,NA,0
"MIKEBROWN","WR","Mike Brown","JAC",114,314,39,NA,NA,NA,NA,NA,0,0,0,24,330,1,NA,NA,0
"BRANDONBOSTICK","TE","Brandon Bostick","GB",44,315,38.8,NA,NA,NA,NA,NA,NA,NA,NA,20.3,278.2,2,NA,NA,0.5
"DRIARCHER","RB","Dri Archer","PIT",85,316,38.5,NA,NA,NA,NA,NA,23.9,114.7,0.6,20,190.2,0.9,NA,NA,0.5
"EARLBENNETT","WR","Earl Bennett","CLE",115,317,38.2,NA,NA,NA,NA,NA,0,0,0,24.8,291.8,1.5,NA,NA,0
"STEPHENHILL","WR","Stephen Hill","NYJ",116,318,37.8,NA,NA,NA,NA,NA,0,0,0,20.5,282.1,1.6,NA,NA,0
"AJJENKINS","WR","A.J. Jenkins","KC",117,319,37.7,NA,NA,NA,NA,NA,1.5,3,0,21.2,284.1,1.5,NA,NA,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",41,320,37,103.6,60.6,674,3.7,2.5,3.7,12.4,0,NA,NA,NA,NA,NA,0.5
"RYANGRIFFIN","TE","Ryan Griffin","HOU",45,321,36.6,NA,NA,NA,NA,NA,NA,NA,NA,23.3,263.5,1.7,NA,NA,0
"SANTANAMOSS","WR","Santana Moss","WAS",118,321,36.6,NA,NA,NA,NA,NA,0,0,0,24.4,285.9,1.5,NA,NA,0.5
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",119,323,36.2,NA,NA,NA,NA,NA,0,0,0,22,341.5,0.5,NA,NA,0.5
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",120,324,36.1,NA,NA,NA,NA,NA,0,0,0,17.5,268.5,1.7,NA,NA,0.5
"ALFREDBLUE","RB","Alfred Blue","HOU",86,325,35.7,NA,NA,NA,NA,NA,52.3,229.3,1.3,6.7,49.3,0,NA,NA,0
"LANCEKENDRICKS","TE","Lance Kendricks","STL",46,325,35.7,NA,NA,NA,NA,NA,NA,NA,NA,22.7,243.2,1.9,NA,NA,0
"ACESANDERS","WR","Ace Sanders","JAC",121,327,35.6,NA,NA,NA,NA,NA,2,8,0,25.4,272.8,1.3,NA,NA,0
"BRANDONMYERS","TE","Brandon Myers","TB",47,327,35.6,NA,NA,NA,NA,NA,NA,NA,NA,22.5,241.9,1.9,NA,NA,0
"MATTASIATA","RB","Matt Asiata","MIN",87,327,35.6,NA,NA,NA,NA,NA,52.1,204.6,2,4.9,31.4,0,NA,NA,0
"LUKEWILLSON","TE","Luke Willson","SEA",48,330,35.1,NA,NA,NA,NA,NA,NA,NA,NA,18.1,236.5,1.9,NA,NA,0
"TIQUANUNDERWOOD","WR","Tiquan Underwood","CAR",122,331,34.8,NA,NA,NA,NA,NA,0,0,0,16.2,237.7,1.8,NA,NA,0
"ROBERTHERRON","WR","Robert Herron","TB",123,332,34.7,NA,NA,NA,NA,NA,0,0,0,19,286.5,1,NA,NA,0
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",88,333,34.6,NA,NA,NA,NA,NA,63.7,258.7,0.9,5.9,43.1,0,NA,NA,0.5
"ROBERTMEACHEM","WR","Robert Meachem","NO",124,334,34.5,NA,NA,NA,NA,NA,0,0,0,13.5,255,1.5,NA,NA,0
"ANDREBROWN","RB","Andre Brown","HOU",89,335,34.2,NA,NA,NA,NA,NA,43,163,2,11,59,0,NA,NA,0
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",89,335,34.2,NA,NA,NA,NA,NA,51.9,245.3,1,6,36.6,0,NA,NA,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",91,337,33.7,NA,NA,NA,NA,NA,53.4,239.1,0.6,9,59.9,0,NA,NA,0
"STEDMANBAILEY","WR","Stedman Bailey","STL",125,338,33.4,NA,NA,NA,NA,NA,0,0,0,21.5,304,0.5,NA,NA,0
"AUSTINDAVIS","QB","Austin Davis","STL",42,339,33.2,103.5,60.3,569.5,4.2,3.7,7.3,10.5,0,NA,NA,NA,NA,NA,0
"VINCENTBROWN","WR","Vincent Brown","SD",126,340,33.1,NA,NA,NA,NA,NA,0,0,0,21.6,270.5,1,NA,NA,0
"GAVINESCOBAR","TE","Gavin Escobar","DAL",49,341,33,NA,NA,NA,NA,NA,NA,NA,NA,17.8,221.5,1.8,NA,NA,0
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",127,341,33,NA,NA,NA,NA,NA,0,0,0,19.9,270.3,1,NA,NA,0
"KRISDURHAM","WR","Kris Durham","DET",127,341,33,NA,NA,NA,NA,NA,0,0,0,20.3,258.1,1.2,NA,NA,0
"JALENSAUNDERS","WR","Jalen Saunders","NYJ",129,344,32.8,NA,NA,NA,NA,NA,0,0,0,18.5,237.5,1.5,NA,NA,0
"RYANBROYLES","WR","Ryan Broyles","DET",129,344,32.8,NA,NA,NA,NA,NA,0,0,0,20.6,260.6,1.1,NA,NA,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",43,346,32.7,94.4,54.5,585.6,3.5,3.1,12.1,45.4,0,NA,NA,NA,NA,NA,1.5
"DREWDAVIS","WR","Drew Davis","ATL",131,347,32.6,NA,NA,NA,NA,NA,0,0,0,18.5,265.9,1,NA,NA,0
"LOUISMURPHY","WR","Louis Murphy","TB",132,348,32.4,NA,NA,NA,NA,NA,0,0,0,18.5,264,1,NA,NA,0
"MARCUSLATTIMORE","RB","Marcus Lattimore","SF",92,348,32.4,NA,NA,NA,NA,NA,44.5,201.8,1.7,3,20,0,NA,NA,0
"PEYTONHILLIS","RB","Peyton Hillis","NYG",93,350,32.2,NA,NA,NA,NA,NA,49.6,188.5,1.1,10.9,77,0,NA,NA,0.5
"TIMWRIGHT","TE","Tim Wright","TB",50,351,31.7,NA,NA,NA,NA,NA,NA,NA,NA,17.8,215.4,1.7,NA,NA,0
"BENJAMINWATSON","TE","Benjamin Watson","NO",51,352,31.3,NA,NA,NA,NA,NA,NA,NA,NA,19.6,215.4,1.6,NA,NA,0
"BRANDONLLOYD","WR","Brandon Lloyd","SF",133,353,31.2,NA,NA,NA,NA,NA,0,0,0,16.3,222.1,1.5,NA,NA,0
"KEVINNORWOOD","WR","Kevin Norwood","SEA",133,353,31.2,NA,NA,NA,NA,NA,0,0,0,17.5,252,1,NA,NA,0
"DAMIANWILLIAMS","WR","Damian Williams","MIA",135,355,30.8,NA,NA,NA,NA,NA,0,0,0,18.9,247.8,1,NA,NA,0
"JOSHHUFF","WR","Josh Huff","PHI",135,355,30.8,NA,NA,NA,NA,NA,0,0,0,15,247.5,1,NA,NA,0
"JUSTINBROWN","WR","Justin Brown","PIT",135,355,30.8,NA,NA,NA,NA,NA,0,0,0,16.5,218.3,1.5,NA,NA,0
"MIKEGLENNON","QB","Mike Glennon","TB",44,358,30.7,79.2,47.2,568,3.7,3.7,10,25.8,0,NA,NA,NA,NA,NA,1
"EDDICKSON","TE","Ed Dickson","CAR",52,359,30.6,NA,NA,NA,NA,NA,NA,NA,NA,21.8,233.5,1.2,NA,NA,0
"RONNIEBROWN","RB","Ronnie Brown",NA,94,360,30.4,NA,NA,NA,NA,NA,33,116,0,18,128,1,NA,NA,0
"ARRELIOUSBENN","WR","Arrelious Benn","PHI",138,361,30.3,NA,NA,NA,NA,NA,0,0,0,18,258,0.8,NA,NA,0
"ANTHONYDIXON","RB","Anthony Dixon","BUF",95,362,30.2,NA,NA,NA,NA,NA,31,135.5,2.5,2,16.5,0,NA,NA,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",139,363,30.1,NA,NA,NA,NA,NA,0,0,0,16.1,233.1,1.1,NA,NA,0
"DEANTHONYTHOMAS","RB","De'Anthony Thomas","KC",96,364,29.9,NA,NA,NA,NA,NA,18.3,79.2,0.6,18.8,142.1,0.7,NA,NA,0
"MARIOMANNINGHAM","WR","Mario Manningham","NYG",140,364,29.9,NA,NA,NA,NA,NA,0,0,0,17.5,239,1,NA,NA,0
"DEVIERPOSEY","WR","DeVier Posey","HOU",141,366,29.7,NA,NA,NA,NA,NA,0,0,0,20,243.4,0.9,NA,NA,0
"DARRELYOUNG","RB","Darrel Young","WAS",97,367,29.5,NA,NA,NA,NA,NA,13.5,53,2,8.5,92,0.5,NA,NA,0
"JONBALDWIN","WR","Jon Baldwin","SF",142,368,29.4,NA,NA,NA,NA,NA,0,0,0,18,249,0.8,NA,NA,0
