"name","pos","name_wf","team_wf","positionRank_wf","overallRank_wf","pts_wf","passAtt_wf","passComp_wf","passYds_wf","passTds_wf","passInt_wf","rushAtt_wf","rushYds_wf","rushTds_wf","rec_wf","recYds_wf","recTds_wf","returnTds_wf","twoPts_wf","fumbles_wf"
"DOUGMARTIN","RB","Doug Martin","TB",7,43,195,NA,NA,NA,NA,NA,NA,1150,NA,35,250,NA,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",8,43,195,NA,NA,NA,NA,NA,NA,NA,NA,80,1340,NA,NA,NA,NA
"LEVEONBELL","RB","LeVeon Bell","PIT",8,45,194,NA,NA,NA,NA,NA,NA,1090,NA,49,360,NA,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",9,45,194,NA,NA,NA,NA,NA,NA,NA,NA,87,1390,NA,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",10,47,193,NA,NA,NA,NA,NA,NA,NA,NA,101,1380,NA,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",9,48,192,NA,NA,NA,NA,NA,NA,1140,NA,34,230,NA,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",11,48,192,NA,NA,NA,NA,NA,NA,NA,NA,82,1310,NA,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",10,50,189,NA,NA,NA,NA,NA,NA,1200,NA,14,90,NA,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",11,51,187,NA,NA,NA,NA,NA,NA,1200,NA,28,150,NA,NA,NA,NA
"EJMANUEL","QB","E.J. Manuel","BUF",29,52,186,NA,NA,2500,15,14,NA,300,NA,NA,NA,NA,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",12,53,185,NA,NA,NA,NA,NA,NA,970,NA,52,480,NA,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",13,54,184,NA,NA,NA,NA,NA,NA,1070,NA,29,210,NA,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARZ",12,55,183,NA,NA,NA,NA,NA,NA,NA,NA,84,1160,NA,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",13,56,181,NA,NA,NA,NA,NA,NA,NA,NA,83,1200,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",14,57,175,NA,NA,NA,NA,NA,NA,1020,NA,49,330,NA,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",14,57,175,NA,NA,NA,NA,NA,NA,NA,NA,102,1320,NA,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARZ",15,59,171,NA,NA,NA,NA,NA,NA,970,NA,49,440,NA,NA,NA,NA
