"name","pos","name_wf","team_wf","positionRank_wf","overallRank_wf","pts_wf","passAtt_wf","passComp_wf","passYds_wf","passTds_wf","passInt_wf","rushAtt_wf","rushYds_wf","rushTds_wf","rec_wf","recYds_wf","recTds_wf","returnTds_wf","twoPts_wf","fumbles_wf"
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",41,184,104,NA,NA,NA,NA,NA,NA,490,NA,16,120,NA,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",41,184,104,NA,NA,NA,NA,NA,NA,500,NA,6,40,NA,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",13,184,104,NA,NA,NA,NA,NA,NA,NA,NA,65,680,NA,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",43,187,103,NA,NA,NA,NA,NA,NA,500,NA,20,140,NA,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham","NYG",67,187,103,NA,NA,NA,NA,NA,NA,NA,NA,50,790,NA,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",67,187,103,NA,NA,NA,NA,NA,NA,NA,NA,43,730,NA,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",14,187,103,NA,NA,NA,NA,NA,NA,NA,NA,55,670,NA,NA,NA,NA
"ROYHELU","RB","Roy Helu","WAS",44,191,102,NA,NA,NA,NA,NA,NA,410,NA,40,320,NA,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",44,191,102,NA,NA,NA,NA,NA,NA,450,NA,31,240,NA,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",69,191,102,NA,NA,NA,NA,NA,NA,NA,NA,75,900,NA,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",15,191,102,NA,NA,NA,NA,NA,NA,NA,NA,65,720,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",34,195,101,NA,NA,1500,8,10,NA,170,NA,NA,NA,NA,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",46,195,101,NA,NA,NA,NA,NA,NA,650,NA,9,60,NA,NA,NA,NA
"COBYFLEENER","TE","Coby Fleener","IND",16,195,101,NA,NA,NA,NA,NA,NA,NA,NA,60,710,NA,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",17,198,100,NA,NA,NA,NA,NA,NA,NA,NA,55,700,NA,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",47,199,99,NA,NA,NA,NA,NA,NA,380,NA,51,370,NA,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",18,199,99,NA,NA,NA,NA,NA,NA,NA,NA,59,690,NA,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",70,201,98,NA,NA,NA,NA,NA,NA,NA,NA,46,740,NA,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",48,202,97,NA,NA,NA,NA,NA,NA,400,NA,10,70,NA,NA,NA,NA
"JONATHANDWYER","RB","Jonathan Dwyer","ARZ",48,202,97,NA,NA,NA,NA,NA,NA,500,NA,15,120,NA,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",48,202,97,NA,NA,NA,NA,NA,NA,520,NA,22,150,NA,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",48,202,97,NA,NA,NA,NA,NA,NA,150,NA,63,520,NA,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",52,206,95,NA,NA,NA,NA,NA,NA,620,NA,5,30,NA,NA,NA,NA
"MARQISELEE","WR","Marqise Lee","JAC",71,206,95,NA,NA,NA,NA,NA,NA,NA,NA,48,710,NA,NA,NA,NA
"JAMESSTARKS","RB","James Starks","GB",53,208,94,NA,NA,NA,NA,NA,NA,380,NA,10,180,NA,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",72,208,94,NA,NA,NA,NA,NA,NA,NA,NA,52,700,NA,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","PIT",73,210,93,NA,NA,NA,NA,NA,NA,NA,NA,51,630,NA,NA,NA,NA
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",74,211,92,NA,NA,NA,NA,NA,NA,NA,NA,41,680,NA,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",19,212,91,NA,NA,NA,NA,NA,NA,NA,NA,53,610,NA,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",19,212,91,NA,NA,NA,NA,NA,NA,NA,NA,52,610,NA,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",54,214,90,NA,NA,NA,NA,NA,NA,380,NA,18,130,NA,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",75,214,90,NA,NA,NA,NA,NA,NA,NA,NA,43,660,NA,NA,NA,NA
"CHRISGIVENS","WR","Chris Givens","STL",75,214,90,NA,NA,NA,NA,NA,NA,NA,NA,48,720,NA,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",55,217,88,NA,NA,NA,NA,NA,NA,450,NA,10,70,NA,NA,NA,NA
"MIKEWILLIAMS","WR","Mike Williams","BUF",77,218,87,NA,NA,NA,NA,NA,NA,NA,NA,45,630,NA,NA,NA,NA
"BRANDONLAFELL","WR","Brandon LaFell","NE",77,218,87,NA,NA,NA,NA,NA,NA,NA,NA,45,630,NA,NA,NA,NA
"ANDREROBERTS","WR","Andre Roberts","WAS",77,218,87,NA,NA,NA,NA,NA,NA,NA,NA,58,630,NA,NA,NA,NA
"LADARIUSGREEN","TE","Ladarius Green","SD",21,218,87,NA,NA,NA,NA,NA,NA,NA,NA,42,630,NA,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",56,222,86,NA,NA,NA,NA,NA,NA,250,NA,24,190,NA,NA,NA,NA
"JOSHGORDON","WR","Josh Gordon","CLE",80,222,86,NA,NA,NA,NA,NA,NA,NA,NA,20,430,NA,NA,NA,NA
"EDDIEROYAL","WR","Eddie Royal","SD",80,222,86,NA,NA,NA,NA,NA,NA,NA,NA,46,620,NA,NA,NA,NA
"AUSTINPETTIS","WR","Austin Pettis","STL",80,222,86,NA,NA,NA,NA,NA,NA,NA,NA,49,560,NA,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",83,226,85,NA,NA,NA,NA,NA,NA,NA,NA,50,670,NA,NA,NA,NA
"ERICEBRON","TE","Eric Ebron","DET",22,226,85,NA,NA,NA,NA,NA,NA,NA,NA,47,610,NA,NA,NA,NA
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",22,226,85,NA,NA,NA,NA,NA,NA,NA,NA,40,510,NA,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",57,229,84,NA,NA,NA,NA,NA,NA,300,NA,20,150,NA,NA,NA,NA
"DENARIUSMOORE","WR","Denarius Moore","OAK",84,229,84,NA,NA,NA,NA,NA,NA,NA,NA,45,660,NA,NA,NA,NA
"MYCHALRIVERA","TE","Mychal Rivera","OAK",24,229,84,NA,NA,NA,NA,NA,NA,NA,NA,53,600,NA,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",58,232,83,NA,NA,NA,NA,NA,NA,500,NA,14,90,NA,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",25,232,83,NA,NA,NA,NA,NA,NA,NA,NA,52,590,NA,NA,NA,NA
"DRIARCHER","RB","Dri Archer","PIT",59,234,82,NA,NA,NA,NA,NA,NA,80,NA,45,360,NA,NA,NA,NA
"TROYNIKLAS","TE","Troy Niklas","ARZ",26,234,82,NA,NA,NA,NA,NA,NA,NA,NA,39,480,NA,NA,NA,NA
"JASONAVANT","WR","Jason Avant","CAR",85,236,81,NA,NA,NA,NA,NA,NA,NA,NA,52,630,NA,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",85,236,81,NA,NA,NA,NA,NA,NA,NA,NA,43,570,NA,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",60,238,80,NA,NA,NA,NA,NA,NA,400,NA,0,0,NA,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",61,239,79,NA,NA,NA,NA,NA,NA,320,NA,40,290,NA,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",87,239,79,NA,NA,NA,NA,NA,NA,NA,NA,46,610,NA,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",87,239,79,NA,NA,NA,NA,NA,NA,NA,NA,44,610,NA,NA,NA,NA
"SCOTTCHANDLER","TE","Scott Chandler","BUF",27,242,78,NA,NA,NA,NA,NA,NA,NA,NA,47,540,NA,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",27,242,78,NA,NA,NA,NA,NA,NA,NA,NA,46,540,NA,NA,NA,NA
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",62,244,77,NA,NA,NA,NA,NA,NA,250,NA,20,140,NA,NA,NA,NA
"CODYLATIMER","WR","Cody Latimer","DEN",89,244,77,NA,NA,NA,NA,NA,NA,NA,NA,36,530,NA,NA,NA,NA
"JORDANTODMAN","RB","Jordan Todman","JAC",63,246,76,NA,NA,NA,NA,NA,NA,370,NA,24,150,NA,NA,NA,NA
"JERMICHAELFINLEY","TE","Jermichael Finley","GB",29,246,76,NA,NA,NA,NA,NA,NA,NA,NA,42,520,NA,NA,NA,NA
"MARCUSLATTIMORE","RB","Marcus Lattimore","SF",64,248,75,NA,NA,NA,NA,NA,NA,300,NA,10,70,NA,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","BAL",30,248,75,NA,NA,NA,NA,NA,NA,NA,NA,45,510,NA,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",31,250,74,NA,NA,NA,NA,NA,NA,NA,NA,35,500,NA,NA,NA,NA
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",65,251,73,NA,NA,NA,NA,NA,NA,330,NA,15,120,NA,NA,NA,NA
"MARLONBROWN","WR","Marlon Brown","BAL",90,251,73,NA,NA,NA,NA,NA,NA,NA,NA,42,490,NA,NA,NA,NA
"JACEAMARO","TE","Jace Amaro","NYJ",32,251,73,NA,NA,NA,NA,NA,NA,NA,NA,39,490,NA,NA,NA,NA
"ANDREWQUARLESS","TE","Andrew Quarless","TBA",32,251,73,NA,NA,NA,NA,NA,NA,NA,NA,45,490,NA,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",66,255,72,NA,NA,NA,NA,NA,NA,450,NA,4,30,NA,NA,NA,NA
"TEDGINN","WR","Ted Ginn","ARZ",91,255,72,NA,NA,NA,NA,NA,NA,NA,NA,34,540,NA,NA,NA,NA
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",34,255,72,NA,NA,NA,NA,NA,NA,NA,NA,45,480,NA,NA,NA,NA
"BRANDONMYERS","TE","Brandon Myers","TB",35,258,71,NA,NA,NA,NA,NA,NA,NA,NA,41,470,NA,NA,NA,NA
"ADRIENROBINSON","TE","Adrien Robinson","NYG",35,258,71,NA,NA,NA,NA,NA,NA,NA,NA,43,530,NA,NA,NA,NA
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",35,258,71,NA,NA,NA,NA,NA,NA,NA,NA,46,470,NA,NA,NA,NA
"MIKEJAMES","RB","Mike James","TB",67,261,70,NA,NA,NA,NA,NA,NA,390,NA,18,130,NA,NA,NA,NA
"PAULRICHARDSON","WR","Paul Richardson","SEA",92,261,70,NA,NA,NA,NA,NA,NA,NA,NA,32,520,NA,NA,NA,NA
"TONYGONZALEZ","TE","Tony Gonzalez","TBA",38,263,69,NA,NA,NA,NA,NA,NA,NA,NA,24,260,NA,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",68,264,68,NA,NA,NA,NA,NA,NA,340,NA,18,120,NA,NA,NA,NA
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NE",93,264,68,NA,NA,NA,NA,NA,NA,NA,NA,36,500,NA,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",35,266,67,NA,NA,1200,6,8,NA,50,NA,NA,NA,NA,NA,NA,NA
"BILALPOWELL","RB","Bilal Powell","NYJ",69,266,67,NA,NA,NA,NA,NA,NA,320,NA,25,170,NA,NA,NA,NA
"GARRETTGRAHAM","TE","Garrett Graham","HOU",39,268,66,NA,NA,NA,NA,NA,NA,NA,NA,43,420,NA,NA,NA,NA
"MARIOMANNINGHAM","WR","Mario Manningham","NYG",94,269,65,NA,NA,NA,NA,NA,NA,NA,NA,39,470,NA,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","SEA",40,270,62,NA,NA,NA,NA,NA,NA,NA,NA,35,380,NA,NA,NA,NA
"LUKEWILLSON","TE","Luke Willson","SEA",40,270,62,NA,NA,NA,NA,NA,NA,NA,NA,36,440,NA,NA,NA,NA
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",70,272,59,NA,NA,NA,NA,NA,NA,300,NA,22,170,NA,NA,NA,NA
"JOSEPHFAURIA","TE","Joseph Fauria","DET",42,273,58,NA,NA,NA,NA,NA,NA,NA,NA,24,340,NA,NA,NA,NA
"TIMWRIGHT","TE","Tim Wright","TB",43,274,52,NA,NA,NA,NA,NA,NA,NA,NA,32,340,NA,NA,NA,NA
"ROBERTTURBIN","RB","Robert Turbin","SEA",71,275,51,NA,NA,NA,NA,NA,NA,250,NA,12,80,NA,NA,NA,NA
"DAVIDWILSON","RB","David Wilson","NYG",72,276,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA
"VICKBALLARD","RB","Vick Ballard","IND",72,276,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA
"SIDNEYRICE","WR","Sidney Rice","SEA",95,276,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"DUSTINKELLER","TE","Dustin Keller","TBA",44,276,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"49ERS","DST","49ers","SF",1,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAMS","DST","Rams","STL",2,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARDINALS","DST","Cardinals","ARZ",3,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEAHAWKS","DST","Seahawks","SEA",4,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EAGLES","DST","Eagles","PHI",5,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENGALS","DST","Bengals","CIN",6,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEELERS","DST","Steelers","PIT",7,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PANTHERS","DST","Panthers","CAR",8,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAVENS","DST","Ravens","BAL",9,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PACKERS","DST","Packers","GB",10,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIEFS","DST","Chiefs","KC",11,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JETS","DST","Jets","NYJ",12,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARGERS","DST","Chargers","SD",13,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VIKINGS","DST","Vikings","MIN",14,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROWNS","DST","Browns","CLE",15,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEXANS","DST","Texans","HOU",16,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIONS","DST","Lions","DET",17,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TITANS","DST","Titans","TEN",18,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINTS","DST","Saints","NO",19,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAIDERS","DST","Raiders","OAK",20,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BILLS","DST","Bills","BUF",21,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COWBOYS","DST","Cowboys","DAL",22,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FALCONS","DST","Falcons","ATL",23,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAGUARS","DST","Jaguars","JAC",24,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PATRIOTS","DST","Patriots","NE",25,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REDSKINS","DST","Redskins","WAS",26,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRONCOS","DST","Broncos","DEN",27,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLTS","DST","Colts","IND",28,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUCCANEERS","DST","Buccaneers","TB",29,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOLPHINS","DST","Dolphins","MIA",30,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEARS","DST","Bears","CHI",31,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIANTS","DST","Giants","NYG",32,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
