"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo"
"ELIMANNING","Eli Manning","QB",200.087454123895,6.06738944277905,2,"NYG",44,146.6,23,141.56,213.34,213.38,211.18,NA,208.2,174.3,201.74,203.16,201.8,208.5,191.5,241.08,218.86,NA,184.69,198.522773809524,200.087454123895,-44.9948599926289,20.1,23.2887151491168,1.1,2,1.55,2,132.4,1.8,123.1,3,157,NA,NA,1.55,1
"RANDALLCOBB","Randall Cobb","WR",198.296301685486,4.21672210910243,38,"GB",45,29,10,266.555,199,184.125,214.425,204.875,201.8375,192.025,197.725,205.375,188.125,199.65,199,164.75,205.3,NA,188.11,203.63421875,198.296301685486,54.8970799958752,4.1,21.6493944254359,33.2,33,33.1,33.2,32.2,22.8,33.7,27,28,27.4,3.4,33.1,32
"DOUGMARTIN","Doug Martin","RB",197.513810561445,3.89663368991102,35,"TB",46,22.8,12,239.13,209.35,183.4,212.7,NA,201.5775,208.25,202.125,178.225,184,186.25,199.875,213,203.55,NA,188.4,197.882488095238,197.513810561445,79.5859963603748,6.2,16.0743027263622,25,36,30.5,36,35,40.4,16,42,24,25.3,4.1,30.5,32
"VINCENTJACKSON","Vincent Jackson","WR",196.458464441395,5.83145354775081,34,"TB",47,34.3,11,331.06,201.375,188.75,203.575,NA,196.2375,210.25,190.625,194.875,186.25,194.425,198,187.875,211.95,NA,184.4,206.583430735931,196.458464441395,53.0592427517844,5.2,37.0607926718845,29.4,30,29.7,30,34.8,19.4,38.8,25,32,34.2,4,29.7,29
"JOSHMCCOWN","Josh McCown","QB",192.517950124987,7.84284811956091,2,"TB",48,154.1,24,256.74,220.4,213.74,207.3,NA,199.554,161.32,151.26,177.98,166.6,214.52,186.5,257.6,165.34,NA,154.1,195.763242857143,192.517950124987,-52.5643639915368,26,35.1348142292382,1.1,1,1.05,1.1,133,2.1,134.7,0,185,NA,NA,1.05,1
"JAKELOCKER","Jake Locker","QB",190.299798991509,7.50037679031673,1,"TEN",49,160.7,25,263.27,229.92,192.66,157.72,NA,178.95,136.32,127.16,215.42,192,209.32,187.5,214.64,249.14,NA,220.92,195.283547619048,190.299798991509,-54.7825151250152,18.9,39.3313642705744,1,0,0,0,NA,0,170,3,239,NA,NA,0,1
"ANDREELLINGTON","Andre Ellington","RB",189.673213822496,4.15148352236935,41,"ARI",50,25.9,13,147.26,209.2,178.05,179.825,NA,191.035,220.75,203.475,175.4,184.125,180.8,197,189.3,203.875,NA,196.175,187.714773809524,189.673213822496,71.7453996214257,6.9,17.9343850475272,34.8,38,36.4,38,24.9,15,50.2,21,30,28.7,3.6,36.4,28
"EJMANUEL","EJ Manuel","QB",188.954060498546,5.44486685036529,1,"BUF",51,173.9,26,193.69,192.32,172.14,173.72,NA,180.446,187.52,204.62,196.1,185.2,210.74,198.6,238.34,225.12,NA,205.14,190.949745238095,188.954060498546,-56.1282536179782,18.5,18.6256150290075,1,0,0,0,NA,0,170,3,234,NA,NA,0,1
"ANDREJOHNSON","Andre Johnson","WR",188.414175302624,4.17864572811008,25,"HOU",52,37.6,12,179.675,198,188.375,212.875,NA,192.9125,210.5,172.125,182.25,181.25,178.75,201.625,162.25,214.75,NA,179,189.916726190476,188.414175302624,45.0149536130133,8.9,16.0394297861243,19.1,24,21.55,24,39.9,21.1,34.9,27,36,45.5,5.8,21.55,24
"KEENANALLEN","Keenan Allen","WR",187.668917154342,3.68507817726549,40,"SD",53,34.1,13,223.145,186.625,177.125,178.625,NA,181.475,187.1,189.125,181.25,186.75,192.875,198,181,207.25,NA,177.525,188.945757575758,187.668917154342,44.2696954647314,7.1,12.9200444195133,35.2,35,35.1,35.2,29.9,15.9,45.7,23,35,32.2,3.6,35.1,27
"ALFREDMORRIS","Alfred Morris","RB",186.433381640909,4.05616661726889,39,"WAS",54,21.9,14,228.265,207.65,185.85,190.45,NA,192.03,170.75,185.45,179.775,183.125,174.95,184,220.15,191.4,NA,173.425,186.852,186.433381640909,68.5055674398385,6.8,17.0627806662904,33.3,36,34.65,36,27,29.8,26.1,31,23,23.6,3.9,34.65,27
"ZACSTACY","Zac Stacy","RB",184.627674239166,3.63466562758921,40,"STL",55,22,15,160.64,209.7,183.525,188.575,NA,193.2125,187.25,208.65,174.75,176.5,177.275,181.875,194.075,189.5,NA,196.15,184.432916666667,184.627674239166,66.6998600380956,6.4,13.1625689589941,33.7,36,34.85,36,26.8,35.1,24.6,30,27,27.6,3.9,34.85,23
"VICTORCRUZ","Victor Cruz","WR",182.791067250929,4.11667411603057,35,"NYG",56,39,14,199.655,179.375,167.875,172.25,NA,176.475,208.525,195.25,181.75,170.375,181.5,204.875,185.25,207.75,NA,179.475,185.234691558442,182.791067250929,39.3918455613183,10.1,14.097472339878,26.3,35,30.65,35,34.2,14.7,47.6,21,41,38,5,30.65,22
"PIERREGARCON","Pierre Garcon","WR",179.098153443051,4.00217804207859,24,"WAS",57,40,15,163.1,199,183.375,179.025,NA,184.4875,187.825,170,174.2,175,182.55,176.625,145.75,208.925,NA,172.4,179.552104978355,179.098153443051,35.698931753441,8.1,15.0942118356983,18.9,23,20.95,23,40.8,16.4,44.8,23,40,38.6,4.7,20.95,20
"GENOSMITH","Geno Smith","QB",177.600373559443,4.83614272549211,1,"NYJ",58,170.8,27,168.79,191.74,173.78,153.14,NA,174.152,157.14,187.34,213.5,181.8,204.88,191.5,189.84,174.88,NA,198.98,173.283002380952,177.600373559443,-67.4819405570805,14,17.2571860827455,1,0,0,0,NA,0,170,0,NA,NA,NA,0,1
