"name","pos","name_fs","team_fs","positionRank_fs","overallRank_fs","pts_fs","passAtt_fs","passComp_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"DANTEROSARIO","TE","Dante Rosario","CHI",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JAKESTONEBURNER","TE","Jake Stoneburner","GBP",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"BRANDONWILLIAMS","TE","Brandon Williams","CAR",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ARRELIOUSBENN","WR","Arrelious Benn","PHI",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JUSTINBLACKMON","WR","Justin Blackmon","JAC",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JUSTINBROWN","WR","Justin Brown","PIT",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"PHILLYBROWN","WR","Philly Brown","CAR",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"VINCENTBROWN","WR","Vincent Brown","SDC",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ISAIAHBURSE","WR","Isaiah Burse","DEN",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"LARONBYRD","WR","LaRon Byrd","CLE",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MICHAELCAMPANARO","WR","Michael Campanaro","BAL",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TANDONDOSS","WR","Tandon Doss","JAC",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MARCUSEASLEY","WR","Marcus Easley","BUF",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"SHAQEVANS","WR","Shaq Evans","NYJ",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"COREYFULLER","WR","Corey Fuller","DET",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JOSHGORDON","WR","Josh Gordon","CLE",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MARCUSHARRIS","WR","Marcus Harris","NYG",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TRINDONHOLLIDAY","WR","Trindon Holliday","NYG",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TJJONES","WR","T.J. Jones","DET",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MARIOMANNINGHAM","WR","Mario Manningham","NYG",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MARLONMOORE","WR","Marlon Moore","CLE",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"LOUISMURPHY","WR","Louis Murphy","TBB",156,410,0,NA,0,0,0,0,0,0,0,3,22,0,NA,NA,1
"KEVINNORWOOD","WR","Kevin Norwood","SEA",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"PRESTONPARKER","WR","Preston Parker","NYG",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ALLENROBINSON","WR","Allen Robinson","JAC",156,410,0,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0
"JALENSAUNDERS","WR","Jalen Saunders","NYJ",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"RUSSELLSHEPARD","WR","Russell Shepard","TBB",156,410,0,NA,0,0,0,0,1,1,0,0,1,0,NA,NA,0
"MATTSLATER","WR","Matt Slater","NEP",156,410,0,NA,0,0,0,0,0,0,0,1,8,0,NA,NA,0
"RODNEYSMITH","WR","Rodney Smith","MIN",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MICHEALSPURLOCK","WR","Micheal Spurlock","CHI",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ADAMTHIELEN","WR","Adam Thielen","MIN",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"BRIANTYMS","WR","Brian Tyms","NEP",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"KYLEWILLIAMS","WR","Kyle Williams","KCC",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ALBERTWILSON","WR","Albert Wilson","KCC",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JAMESWRIGHT","WR","James Wright","CIN",156,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"RYANNASSIB","QB","Ryan Nassib","NYG",83,496,-1,NA,10,77,0,4,11,0,0,0,0,0,NA,NA,0
"COREYWASHINGTON","WR","Corey Washington","NYG",190,497,-2,NA,0,0,0,0,0,0,0,1,6,0,NA,NA,1
"ERICWEEMS","WR","Eric Weems","ATL",190,497,-2,NA,0,0,0,0,0,0,0,1,3,0,NA,NA,1
"JEFFJANIS","WR","Jeff Janis","GBP",192,499,-3,NA,0,0,0,0,0,0,0,2,12,0,NA,NA,2
