"name","pos","name_fs","team_fs","positionRank_fs","overallRank_fs","pts_fs","passAtt_fs","passComp_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"KIRKCOUSINS","QB","Kirk Cousins","WAS",40,310,22,NA,54,556,2,6,5,6,0,0,0,0,NA,NA,1
"MIKEJAMES","RB","Mike James","TBB",90,310,22,NA,0,0,0,0,38,167,0,12,66,0,NA,NA,0
"CJANDERSON","RB","C.J. Anderson","DEN",91,312,21,NA,0,0,0,0,50,203,0,3,34,0,NA,NA,1
"RYANGRIFFIN","TE","Ryan Griffin","HOU",58,312,21,NA,0,0,0,0,0,0,0,12,152,1,NA,NA,0
"BRUCEELLINGTON","WR","Bruce Ellington","SFO",125,312,21,NA,0,0,0,0,0,0,0,17,215,0,NA,NA,0
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",125,312,21,NA,0,0,0,0,0,0,0,15,173,1,NA,NA,1
"TRAVARISCADET","RB","Travaris Cadet","NOS",92,316,20,NA,0,0,0,0,17,67,1,9,48,1,NA,NA,1
"JIMDRAY","TE","Jim Dray","CLE",59,317,19,NA,0,0,0,0,3,16,0,18,146,1,NA,NA,1
"MICHAELHOOMANAWANUI","TE","Michael Hoomanawanui","NEP",59,317,19,NA,0,0,0,0,0,0,0,9,131,1,NA,NA,0
"STEDMANBAILEY","WR","Stedman Bailey","STL",127,317,19,NA,0,0,0,0,1,3,0,13,199,0,NA,NA,0
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",127,317,19,NA,0,0,0,0,1,0,0,13,131,1,NA,NA,0
"SANTONIOHOLMES","WR","Santonio Holmes","CHI",129,321,18,NA,0,0,0,0,0,0,0,13,184,0,NA,NA,0
"TARVARISJACKSON","QB","Tarvaris Jackson","SEA",41,322,17,NA,13,189,1,0,7,0,1,0,0,0,NA,NA,0
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",41,322,17,NA,37,425,1,3,3,19,0,0,0,0,NA,NA,1
"STANLEYHAVILI","RB","Stanley Havili","IND",93,322,17,NA,0,0,0,0,7,10,0,22,161,0,NA,NA,0
"ROBERTHOUSLER","TE","Robert Housler","ARI",61,322,17,NA,0,0,0,0,0,0,0,16,175,0,NA,NA,0
"DEVIERPOSEY","WR","DeVier Posey","HOU",130,326,16,NA,0,0,0,0,0,0,0,16,163,0,NA,NA,0
"CRAIGSTEVENS","TE","Craig Stevens","TEN",62,327,15,NA,0,0,0,0,0,0,0,9,98,1,NA,NA,0
"DREWDAVIS","WR","Drew Davis","ATL",131,327,15,NA,0,0,0,0,0,0,0,6,96,1,NA,NA,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",131,327,15,NA,0,0,0,0,1,7,0,15,175,0,NA,NA,1
"DARICKROGERS","WR","Da'Rick Rogers","IND",131,327,15,NA,0,0,0,0,1,0,0,10,159,0,NA,NA,0
