"name","pos","name_eds","team_eds","positionRank_eds","overallRank_eds","pts_eds","passAtt_eds","passComp_eds","passYds_eds","passTds_eds","passInt_eds","rushAtt_eds","rushYds_eds","rushTds_eds","rec_eds","recYds_eds","recTds_eds","returnTds_eds","twoPts_eds","fumbles_eds"
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",6,44,199.9,NA,NA,NA,NA,NA,103,1339,11,0,0,0,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAC",30,45,198.72,448,278,3158,18,11,18,54,1,NA,NA,NA,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",10,46,198.7,NA,NA,NA,NA,NA,248,1079,8,41,308,2,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",31,47,196.62,364,222,2493,16,15,78,359,2,NA,NA,NA,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",11,48,192.7,NA,NA,NA,NA,NA,258,1084,8,41,303,1,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARZ",12,49,189.4,NA,NA,NA,NA,NA,218,1003,4,64,531,2,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",7,50,188.3,NA,NA,NA,NA,NA,82,1283,10,0,0,0,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",13,51,187.8,NA,NA,NA,NA,NA,255,1135,6,42,323,1,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",14,52,187.7,NA,NA,NA,NA,NA,267,1223,9,15,114,0,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,53,187.1,NA,NA,NA,NA,NA,86,1307,8,12,84,0,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,54,186.8,NA,NA,NA,NA,NA,NA,NA,NA,87,1148,12,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",15,55,186.2,NA,NA,NA,NA,NA,273,1201,7,26,181,1,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",9,56,186.1,NA,NA,NA,NA,NA,104,1352,8,7,29,0,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",16,57,183.5,NA,NA,NA,NA,NA,256,986,6,52,429,1,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",17,58,178.4,NA,NA,NA,NA,NA,216,1112,5,38,312,1,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",18,59,177.4,NA,NA,NA,NA,NA,260,1079,7,33,215,1,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",19,60,174.8,NA,NA,NA,NA,NA,178,801,4,62,527,3,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",20,61,173.6,NA,NA,NA,NA,NA,195,848,7,49,468,0,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",10,62,170.7,NA,NA,NA,NA,NA,94,1227,8,0,0,0,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",11,63,170,NA,NA,NA,NA,NA,83,1220,8,0,0,0,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",12,64,169.9,NA,NA,NA,NA,NA,81,1098,8,11,121,0,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",13,65,169.7,NA,NA,NA,NA,NA,99,1337,6,0,0,0,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",21,66,167.6,NA,NA,NA,NA,NA,236,991,9,17,145,0,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",14,67,164.4,NA,NA,NA,NA,NA,92,1224,7,0,0,0,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",2,67,164.4,NA,NA,NA,NA,NA,NA,NA,NA,71,1044,10,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",22,69,164.2,NA,NA,NA,NA,NA,220,968,4,52,374,1,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",15,69,164.2,NA,NA,NA,NA,NA,74,1162,8,0,0,0,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",16,71,160.1,NA,NA,NA,NA,NA,83,1121,8,0,0,0,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",16,71,160.1,NA,NA,NA,NA,NA,91,1165,7,2,16,0,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARZ",18,73,157.5,NA,NA,NA,NA,NA,75,1155,7,0,0,0,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",32,74,156.44,307,189,2241,16,12,22,88,1,NA,NA,NA,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARZ",19,75,155.5,NA,NA,NA,NA,NA,85,1003,9,2,12,0,NA,NA,NA
"BENTATE","RB","Ben Tate","CLE",23,76,150.8,NA,NA,NA,NA,NA,232,1009,6,24,139,0,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",3,77,150.5,NA,NA,NA,NA,NA,NA,NA,NA,69,845,11,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",20,78,150.2,NA,NA,NA,NA,NA,69,1018,6,8,64,1,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",24,79,149.4,NA,NA,NA,NA,NA,194,844,5,44,290,1,NA,NA,NA
