"name","pos","name_eds","team_eds","positionRank_eds","overallRank_eds","pts_eds","passAtt_eds","passComp_eds","passYds_eds","passTds_eds","passInt_eds","rushAtt_eds","rushYds_eds","rushTds_eds","rec_eds","recYds_eds","recTds_eds","returnTds_eds","twoPts_eds","fumbles_eds"
"JAMESSTARKS","RB","James Starks","GB",58,181,81.7,NA,NA,NA,NA,NA,110,501,3,16,136,0,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",59,182,81.5,NA,NA,NA,NA,NA,78,277,5,24,178,1,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",21,183,81,NA,NA,NA,NA,NA,NA,NA,NA,44,510,5,NA,NA,NA
"JAMESWHITE","RB","James White","NE",60,184,80.9,NA,NA,NA,NA,NA,102,454,4,16,115,0,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",61,185,80.7,NA,NA,NA,NA,NA,110,473,3,20,154,0,NA,NA,NA
"KNILEDAVIS","RB","Knile Davis","KC",61,185,80.7,NA,NA,NA,NA,NA,104,468,4,15,99,0,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","CLE",71,187,79.6,NA,NA,NA,NA,NA,45,556,4,0,0,0,NA,NA,NA
"ERICEBRON","TE","Eric Ebron","DET",22,187,79.6,NA,NA,NA,NA,NA,NA,NA,NA,37,496,5,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",72,189,78.7,NA,NA,NA,NA,NA,53,607,3,0,0,0,NA,NA,NA
"AARONDOBSON","WR","Aaron Dobson","NE",73,190,78,NA,NA,NA,NA,NA,38,540,4,0,0,0,NA,NA,NA
"CODYLATIMER","WR","Cody Latimer","DEN",73,190,78,NA,NA,NA,NA,NA,38,540,4,0,0,0,NA,NA,NA
"DENARIUSMOORE","WR","Denarius Moore","OAK",75,192,77.5,NA,NA,NA,NA,NA,36,535,4,0,0,0,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",23,193,77.4,NA,NA,NA,NA,NA,NA,NA,NA,41,474,5,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham","NYG",76,194,76.4,NA,NA,NA,NA,NA,42,584,3,0,0,0,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",77,195,75.6,NA,NA,NA,NA,NA,40,576,3,0,0,0,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAC",78,196,74.8,NA,NA,NA,NA,NA,36,508,4,0,0,0,NA,NA,NA
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",79,197,73.7,NA,NA,NA,NA,NA,31,437,5,0,0,0,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",63,198,72.4,NA,NA,NA,NA,NA,52,250,0,47,414,1,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",80,199,69.3,NA,NA,NA,NA,NA,46,557,2,4,16,0,NA,NA,NA
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",64,200,69.1,NA,NA,NA,NA,NA,104,437,3,12,74,0,NA,NA,NA
"TIMWRIGHT","TE","Tim Wright","NE",24,201,68.5,NA,NA,NA,NA,NA,NA,NA,NA,42,445,4,NA,NA,NA
"EDDIEROYAL","WR","Eddie Royal","SD",81,202,67.9,NA,NA,NA,NA,NA,39,499,3,0,0,0,NA,NA,NA
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",25,203,67,NA,NA,NA,NA,NA,NA,NA,NA,33,370,5,NA,NA,NA
"DAVANTEADAMS","WR","Davante Adams","GB",82,204,66.9,NA,NA,NA,NA,NA,33,429,4,0,0,0,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",83,205,66.6,NA,NA,NA,NA,NA,39,546,2,0,0,0,NA,NA,NA
"THEORIDDICK","RB","Theo Riddick","DET",65,206,65.5,NA,NA,NA,NA,NA,58,258,2,31,217,1,NA,NA,NA
"GARRETTGRAHAM","TE","Garrett Graham","HOU",26,207,64.3,NA,NA,NA,NA,NA,NA,NA,NA,36,403,4,NA,NA,NA
"SANTONIOHOLMES","WR","Santonio Holmes","CHI",84,208,64.2,NA,NA,NA,NA,NA,35,462,3,0,0,0,NA,NA,NA
"TREMASON","RB","Tre Mason","STL",66,209,64.1,NA,NA,NA,NA,NA,90,401,2,15,120,0,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",67,210,62.5,NA,NA,NA,NA,NA,88,392,3,7,53,0,NA,NA,NA
"GAVINESCOBAR","TE","Gavin Escobar","DAL",27,211,62.1,NA,NA,NA,NA,NA,NA,NA,NA,32,381,4,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",68,212,61.7,NA,NA,NA,NA,NA,65,234,1,37,263,1,NA,NA,NA
"BRYCEBROWN","RB","Bryce Brown","BUF",69,213,61.5,NA,NA,NA,NA,NA,88,396,3,6,39,0,NA,NA,NA
"MARLONBROWN","WR","Marlon Brown","BAL",85,214,61.4,NA,NA,NA,NA,NA,34,374,4,0,0,0,NA,NA,NA
"COBYFLEENER","TE","Coby Fleener","IND",28,215,61.1,NA,NA,NA,NA,NA,NA,NA,NA,38,431,3,NA,NA,NA
"SCOTTCHANDLER","TE","Scott Chandler","BUF",29,216,60,NA,NA,NA,NA,NA,NA,NA,NA,39,480,2,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","SEA",29,216,60,NA,NA,NA,NA,NA,NA,NA,NA,32,360,4,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",86,218,58.9,NA,NA,NA,NA,NA,33,409,3,0,0,0,NA,NA,NA
"ANDREROBERTS","WR","Andre Roberts","WAS",87,219,58.7,NA,NA,NA,NA,NA,41,467,2,0,0,0,NA,NA,NA
"RICHARDRODGERS","TE","Richard Rodgers","GB",31,220,58.6,NA,NA,NA,NA,NA,NA,NA,NA,27,346,4,NA,NA,NA
"ROBERTTURBIN","RB","Robert Turbin","SEA",70,221,57.5,NA,NA,NA,NA,NA,72,302,2,18,153,0,NA,NA,NA
"JONATHANDWYER","RB","Jonathan Dwyer","ARZ",71,222,56.9,NA,NA,NA,NA,NA,84,340,3,7,49,0,NA,NA,NA
"JACEAMARO","TE","Jace Amaro","NYJ",32,223,56.1,NA,NA,NA,NA,NA,NA,NA,NA,31,381,3,NA,NA,NA
"DAVIDNELSON","WR","David Nelson","NYJ",88,224,55.8,NA,NA,NA,NA,NA,32,378,3,0,0,0,NA,NA,NA
"JARVISLANDRY","WR","Jarvis Landry","MIA",89,225,55.7,NA,NA,NA,NA,NA,38,437,2,0,0,0,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",90,226,55.5,NA,NA,NA,NA,NA,36,367,3,2,8,0,NA,NA,NA
"MARCELREECE","RB","Marcel Reece","OAK",72,227,54.5,NA,NA,NA,NA,NA,35,158,1,27,267,1,NA,NA,NA
"LEVINETOILOLO","TE","Levine Toilolo","ATL",33,228,54.4,NA,NA,NA,NA,NA,NA,NA,NA,32,304,4,NA,NA,NA
"STEPFANTAYLOR","RB","Stepfan Taylor","ARZ",73,229,53.7,NA,NA,NA,NA,NA,76,289,3,9,68,0,NA,NA,NA
"JORDANTODMAN","RB","Jordan Todman","JAC",74,230,52.2,NA,NA,NA,NA,NA,85,306,2,12,96,0,NA,NA,NA
"JARIUSWRIGHT","WR","Jarius Wright","MIN",91,231,51.9,NA,NA,NA,NA,NA,29,399,2,0,0,0,NA,NA,NA
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NE",92,232,51.2,NA,NA,NA,NA,NA,28,392,2,0,0,0,NA,NA,NA
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",93,233,51.1,NA,NA,NA,NA,NA,23,331,3,0,0,0,NA,NA,NA
"CHRISGIVENS","WR","Chris Givens","STL",94,234,50.2,NA,NA,NA,NA,NA,22,361,2,3,21,0,NA,NA,NA
"ALFREDBLUE","RB","Alfred Blue","HOU",75,235,49.3,NA,NA,NA,NA,NA,70,308,2,10,65,0,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","PIT",95,236,49,NA,NA,NA,NA,NA,33,370,2,0,0,0,NA,NA,NA
"COLEBEASLEY","WR","Cole Beasley","DAL",96,237,48.8,NA,NA,NA,NA,NA,45,428,1,0,0,0,NA,NA,NA
"BRANDONGIBSON","WR","Brandon Gibson","MIA",96,237,48.8,NA,NA,NA,NA,NA,33,368,2,0,0,0,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",34,239,48.42,96,60,638,6,4,12,29,0,NA,NA,NA,NA,NA,NA
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",76,240,48,NA,NA,NA,NA,NA,66,290,2,10,70,0,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",34,241,46.8,NA,NA,NA,NA,NA,NA,NA,NA,23,288,3,NA,NA,NA
"DANHERRON","RB","Dan Herron","IND",77,242,46.2,NA,NA,NA,NA,NA,72,324,2,3,18,0,NA,NA,NA
"KYLEORTON","QB","Kyle Orton","BUF",35,243,45.4,100,62,725,4,2,11,24,0,NA,NA,NA,NA,NA,NA
"JASONAVANT","WR","Jason Avant","CAR",98,244,45.1,NA,NA,NA,NA,NA,33,391,1,0,0,0,NA,NA,NA
"BOBBYRAINEY","RB","Bobby Rainey","TB",78,245,45,NA,NA,NA,NA,NA,58,238,1,22,152,0,NA,NA,NA
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",79,246,44.9,NA,NA,NA,NA,NA,64,294,2,5,35,0,NA,NA,NA
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",99,246,44.9,NA,NA,NA,NA,NA,19,319,2,1,10,0,NA,NA,NA
"BILALPOWELL","RB","Bilal Powell","NYJ",80,248,44.4,NA,NA,NA,NA,NA,53,212,1,22,172,0,NA,NA,NA
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",80,248,44.4,NA,NA,NA,NA,NA,57,239,2,13,85,0,NA,NA,NA
"LUKEWILLSON","TE","Luke Willson","SEA",35,250,44,NA,NA,NA,NA,NA,NA,NA,NA,20,260,3,NA,NA,NA
"CJFIEDOROWICZ","TE","C.J. Fiedorowicz","HOU",36,251,43.2,NA,NA,NA,NA,NA,NA,NA,NA,24,252,3,NA,NA,NA
"JERRELJERNIGAN","WR","Jerrel Jernigan","NYG",100,252,42.8,NA,NA,NA,NA,NA,27,308,2,0,0,0,NA,NA,NA
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",37,253,41.7,NA,NA,NA,NA,NA,NA,NA,NA,28,297,2,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAC",101,254,40.5,NA,NA,NA,NA,NA,22,285,2,0,0,0,NA,NA,NA
"DRIARCHER","RB","Dri Archer","PIT",82,255,40.3,NA,NA,NA,NA,NA,20,112,0,25,231,1,NA,NA,NA
"MYCHALRIVERA","TE","Mychal Rivera","OAK",38,256,40.1,NA,NA,NA,NA,NA,NA,NA,NA,26,281,2,NA,NA,NA
"SANTANAMOSS","WR","Santana Moss","WAS",102,257,38.9,NA,NA,NA,NA,NA,24,269,2,0,0,0,NA,NA,NA
"SHAUNDRAUGHN","RB","Shaun Draughn","CHI",83,258,38.6,NA,NA,NA,NA,NA,64,256,1,10,70,0,NA,NA,NA
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",39,258,38.6,NA,NA,NA,NA,NA,NA,NA,NA,22,266,2,NA,NA,NA
"BRANDONLAFELL","WR","Brandon LaFell","NE",103,260,38.3,NA,NA,NA,NA,NA,19,263,2,0,0,0,NA,NA,NA
"DUJUANHARRIS","RB","DuJuan Harris","GB",84,261,37.5,NA,NA,NA,NA,NA,50,223,2,4,32,0,NA,NA,NA
"MIKEJAMES","RB","Mike James","TB",85,262,37.2,NA,NA,NA,NA,NA,56,258,1,8,54,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAC",86,263,36.8,NA,NA,NA,NA,NA,42,197,1,13,111,0,NA,NA,NA
"ANDRECALDWELL","WR","Andre Caldwell","DEN",104,263,36.8,NA,NA,NA,NA,NA,20,248,2,0,0,0,NA,NA,NA
"DAVIDAUSBERRY","TE","David Ausberry","OAK",40,263,36.8,NA,NA,NA,NA,NA,NA,NA,NA,25,308,1,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","KC",41,266,36.6,NA,NA,NA,NA,NA,NA,NA,NA,28,246,2,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",36,267,36.06,72,46,529,3,1,10,39,0,NA,NA,NA,NA,NA,NA
"JEROMESIMPSON","WR","Jerome Simpson","MIN",105,268,35.4,NA,NA,NA,NA,NA,19,234,2,0,0,0,NA,NA,NA
"BRANDONMYERS","TE","Brandon Myers","TB",42,269,34.9,NA,NA,NA,NA,NA,NA,NA,NA,22,229,2,NA,NA,NA
"LANCEKENDRICKS","TE","Lance Kendricks","STL",43,270,34.5,NA,NA,NA,NA,NA,NA,NA,NA,25,225,2,NA,NA,NA
"ROBERTHERRON","WR","Robert Herron","TB",106,271,34.2,NA,NA,NA,NA,NA,22,282,1,0,0,0,NA,NA,NA
"RYANGRIFFIN","TE","Ryan Griffin","HOU",44,272,34,NA,NA,NA,NA,NA,NA,NA,NA,18,220,2,NA,NA,NA
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",87,273,33.8,NA,NA,NA,NA,NA,55,248,1,5,30,0,NA,NA,NA
"DEVIERPOSEY","WR","DeVier Posey","HOU",107,274,33.6,NA,NA,NA,NA,NA,18,216,2,0,0,0,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","BAL",45,275,33.5,NA,NA,NA,NA,NA,NA,NA,NA,25,275,1,NA,NA,NA
"JARONBROWN","WR","Jaron Brown","ARZ",108,276,32.9,NA,NA,NA,NA,NA,21,269,1,0,0,0,NA,NA,NA
"EDDICKSON","TE","Ed Dickson","CAR",46,276,32.9,NA,NA,NA,NA,NA,NA,NA,NA,25,269,1,NA,NA,NA
"CHRISPOLK","RB","Chris Polk","PHI",88,278,32.8,NA,NA,NA,NA,NA,50,230,1,5,38,0,NA,NA,NA
"JOHNCARLSON","TE","John Carlson","ARZ",47,279,32.6,NA,NA,NA,NA,NA,NA,NA,NA,24,266,1,NA,NA,NA
"COREYWASHINGTON","WR","Corey Washington","NYG",109,280,32.3,NA,NA,NA,NA,NA,15,203,2,0,0,0,NA,NA,NA
"ANDREWQUARLESS","TE","Andrew Quarless","GB",48,281,32,NA,NA,NA,NA,NA,NA,NA,NA,19,200,2,NA,NA,NA
"ZACHSUDFELD","TE","Zach Sudfeld","NYJ",49,282,31.8,NA,NA,NA,NA,NA,NA,NA,NA,16,198,2,NA,NA,NA
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",89,283,31.7,NA,NA,NA,NA,NA,48,204,1,7,53,0,NA,NA,NA
"RYANMALLETT","QB","Ryan Mallett","HOU",37,284,31.56,74,44,529,3,2,2,4,0,NA,NA,NA,NA,NA,NA
"DEANTHONYTHOMAS","RB","De'Anthony Thomas","KC",90,285,31.5,NA,NA,NA,NA,NA,16,83,0,21,172,1,NA,NA,NA
"LOUISMURPHY","WR","Louis Murphy","TB",110,286,31,NA,NA,NA,NA,NA,20,250,1,0,0,0,NA,NA,NA
"BENWATSON","TE","Ben Watson","NO",50,287,30.9,NA,NA,NA,NA,NA,NA,NA,NA,18,189,2,NA,NA,NA
"STEDMANBAILEY","WR","Stedman Bailey","STL",111,288,30.8,NA,NA,NA,NA,NA,18,232,1,2,16,0,NA,NA,NA
"JACOBYJONES","WR","Jacoby Jones","BAL",112,289,30.6,NA,NA,NA,NA,NA,18,241,1,1,5,0,NA,NA,NA
"PEYTONHILLIS","RB","Peyton Hillis","NYG",91,290,30.1,NA,NA,NA,NA,NA,41,146,1,14,95,0,NA,NA,NA
"JEFFJANIS","WR","Jeff Janis","GB",113,291,28.8,NA,NA,NA,NA,NA,12,168,2,0,0,0,NA,NA,NA
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",51,291,28.8,NA,NA,NA,NA,NA,NA,NA,NA,23,228,1,NA,NA,NA
"TEDGINN","WR","Ted Ginn Jr.","ARZ",114,293,28.4,NA,NA,NA,NA,NA,14,189,1,5,35,0,NA,NA,NA
"DREWDAVIS","WR","Drew Davis","ATL",115,294,28.1,NA,NA,NA,NA,NA,17,221,1,0,0,0,NA,NA,NA
"FRANKIEHAMMOND","WR","Frankie Hammond","KC",116,295,27.6,NA,NA,NA,NA,NA,18,216,1,0,0,0,NA,NA,NA
"GREGSALAS","WR","Greg Salas","NYJ",116,295,27.6,NA,NA,NA,NA,NA,18,216,1,0,0,0,NA,NA,NA
"PAULRICHARDSON","WR","Paul Richardson","SEA",118,297,27.5,NA,NA,NA,NA,NA,13,215,1,0,0,0,NA,NA,NA
"VANCEMCDONALD","TE","Vance McDonald","SF",52,298,27.3,NA,NA,NA,NA,NA,NA,NA,NA,17,213,1,NA,NA,NA
"AJJENKINS","WR","A.J. Jenkins","KC",119,299,27,NA,NA,NA,NA,NA,16,210,1,0,0,0,NA,NA,NA
"TROYNIKLAS","TE","Troy Niklas","ARZ",53,300,26.7,NA,NA,NA,NA,NA,NA,NA,NA,18,207,1,NA,NA,NA
"JOHNKUHN","RB","John Kuhn","GB",92,301,26.6,NA,NA,NA,NA,NA,16,51,1,14,95,1,NA,NA,NA
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",120,302,26.5,NA,NA,NA,NA,NA,12,190,1,3,15,0,NA,NA,NA
"TRAVARISCADET","RB","Travaris Cadet","NO",93,303,26.3,NA,NA,NA,NA,NA,20,84,0,17,119,1,NA,NA,NA
"DONTEMONCRIEF","WR","Donte Moncrief","IND",121,304,25.5,NA,NA,NA,NA,NA,14,195,1,0,0,0,NA,NA,NA
"KEVINOGLETREE","WR","Kevin Ogletree","DET",122,305,25.2,NA,NA,NA,NA,NA,15,192,1,0,0,0,NA,NA,NA
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",123,306,25.1,NA,NA,NA,NA,NA,16,173,1,3,18,0,NA,NA,NA
"JOSEPHFAURIA","TE","Joseph Fauria","DET",54,307,24.1,NA,NA,NA,NA,NA,NA,NA,NA,11,121,2,NA,NA,NA
"ADRIENROBINSON","TE","Adrien Robinson","NYG",55,308,23.9,NA,NA,NA,NA,NA,NA,NA,NA,14,179,1,NA,NA,NA
"ACESANDERS","WR","Ace Sanders","JAC",124,309,23.8,NA,NA,NA,NA,NA,21,226,0,3,12,0,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",38,310,23.6,54,34,400,2,2,4,16,0,NA,NA,NA,NA,NA,NA
"MARCUSLATTIMORE","RB","Marcus Lattimore","SF",94,311,23.5,NA,NA,NA,NA,NA,35,154,1,3,21,0,NA,NA,NA
"QUINTONPATTON","WR","Quinton Patton","SF",125,312,23.3,NA,NA,NA,NA,NA,15,173,1,0,0,0,NA,NA,NA
"STORMJOHNSON","RB","Storm Johnson","JAC",95,313,22.6,NA,NA,NA,NA,NA,35,154,1,2,12,0,NA,NA,NA
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",126,314,22.4,NA,NA,NA,NA,NA,15,164,1,0,0,0,NA,NA,NA
"JOSHMORGAN","WR","Josh Morgan","CHI",127,315,22.2,NA,NA,NA,NA,NA,15,162,1,0,0,0,NA,NA,NA
"MARQUESSWILSON","WR","Marquess Wilson","CHI",128,316,21.8,NA,NA,NA,NA,NA,12,158,1,0,0,0,NA,NA,NA
"NICKTOON","WR","Nick Toon","NO",129,317,21.6,NA,NA,NA,NA,NA,12,156,1,0,0,0,NA,NA,NA
"BRANDONBOSTICK","TE","Brandon Bostick","GB",56,317,21.6,NA,NA,NA,NA,NA,NA,NA,NA,12,156,1,NA,NA,NA
"JOSEPHRANDLE","RB","Joseph Randle","DAL",96,319,21.4,NA,NA,NA,NA,NA,45,158,0,8,56,0,NA,NA,NA
"RYANBROYLES","WR","Ryan Broyles","DET",130,320,21.1,NA,NA,NA,NA,NA,14,151,1,0,0,0,NA,NA,NA
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",131,321,20.6,NA,NA,NA,NA,NA,14,146,1,0,0,0,NA,NA,NA
"DEVINSTREET","WR","Devin Street","DAL",132,322,20.3,NA,NA,NA,NA,NA,11,143,1,0,0,0,NA,NA,NA
"CHARLESSIMS","RB","Charles Sims","TB",97,323,20.2,NA,NA,NA,NA,NA,24,108,0,12,94,0,NA,NA,NA
"MATTASIATA","RB","Matt Asiata","MIN",98,324,19.7,NA,NA,NA,NA,NA,38,125,1,3,12,0,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","NYJ",39,325,19.22,28,17,203,2,1,6,41,0,NA,NA,NA,NA,NA,NA
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",133,326,19.2,NA,NA,NA,NA,NA,10,132,1,0,0,0,NA,NA,NA
"AUSTINPETTIS","WR","Austin Pettis","STL",134,327,18.2,NA,NA,NA,NA,NA,12,122,1,0,0,0,NA,NA,NA
"LOGANPAULSEN","TE","Logan Paulsen","WAS",57,328,17.4,NA,NA,NA,NA,NA,NA,NA,NA,12,114,1,NA,NA,NA
"DWAYNEHARRIS","WR","Dwayne Harris","DAL",135,329,17.2,NA,NA,NA,NA,NA,10,112,1,0,0,0,NA,NA,NA
"BRANDONLLOYD","WR","Brandon Lloyd","SF",135,329,17.2,NA,NA,NA,NA,NA,8,112,1,0,0,0,NA,NA,NA
"ROBHOUSLER","TE","Rob Housler","ARZ",58,331,16.8,NA,NA,NA,NA,NA,NA,NA,NA,14,168,0,NA,NA,NA
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",40,332,16.66,32,20,229,2,1,3,5,0,NA,NA,NA,NA,NA,NA
"DIONSIMS","TE","Dion Sims","MIA",59,333,16.4,NA,NA,NA,NA,NA,NA,NA,NA,10,104,1,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","OAK",41,334,16.22,32,19,218,2,1,3,5,0,NA,NA,NA,NA,NA,NA
"JIMDRAY","TE","Jim Dray","CLE",60,335,16.2,NA,NA,NA,NA,NA,NA,NA,NA,12,102,1,NA,NA,NA
"MIKEGLENNON","QB","Mike Glennon","TB",42,336,15.28,29,18,202,2,1,1,2,0,NA,NA,NA,NA,NA,NA
"MARQUEISGRAY","TE","MarQueis Gray","MIN",61,337,15.2,NA,NA,NA,NA,NA,NA,NA,NA,8,92,1,NA,NA,NA
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",137,338,14.7,NA,NA,NA,NA,NA,15,147,0,0,0,0,NA,NA,NA
"JACOBTAMME","TE","Jacob Tamme","DEN",62,338,14.7,NA,NA,NA,NA,NA,NA,NA,NA,8,87,1,NA,NA,NA
"GRIFFWHALEN","WR","Griff Whalen","IND",138,340,13.9,NA,NA,NA,NA,NA,13,139,0,0,0,0,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",99,341,13.8,NA,NA,NA,NA,NA,20,86,0,8,52,0,NA,NA,NA
"BRENTONBERSIN","WR","Brenton Bersin","CAR",139,342,13.2,NA,NA,NA,NA,NA,11,132,0,0,0,0,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",43,343,12.76,35,21,259,1,2,1,4,0,NA,NA,NA,NA,NA,NA
"JOEMORGAN","WR","Joe Morgan","NO",140,344,12,NA,NA,NA,NA,NA,10,120,0,0,0,0,NA,NA,NA
"JOSHHUFF","WR","Josh Huff","PHI",141,345,11.4,NA,NA,NA,NA,NA,7,98,0,2,16,0,NA,NA,NA
"LARRYDONNELL","TE","Larry Donnell","NYG",63,346,11.1,NA,NA,NA,NA,NA,NA,NA,NA,11,111,0,NA,NA,NA
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",44,347,10.68,26,16,187,1,1,4,2,0,NA,NA,NA,NA,NA,NA
"KYLEJUSZCZYK","RB","Kyle Juszczyk","BAL",100,348,10.4,NA,NA,NA,NA,NA,8,20,0,12,84,0,NA,NA,NA
"CHRISHOGAN","WR","Chris Hogan","BUF",142,349,10.2,NA,NA,NA,NA,NA,12,102,0,0,0,0,NA,NA,NA
"LEONARDHANKERSON","WR","Leonard Hankerson","WAS",143,350,9.9,NA,NA,NA,NA,NA,8,99,0,0,0,0,NA,NA,NA
"MICHAELFORD","RB","Michael Ford","CHI",101,351,9.6,NA,NA,NA,NA,NA,20,82,0,2,14,0,NA,NA,NA
"DAMIENWILLIAMS","RB","Damien Williams","MIA",101,351,9.6,NA,NA,NA,NA,NA,24,84,0,2,12,0,NA,NA,NA
"BRICEBUTLER","WR","Brice Butler","OAK",144,353,9.2,NA,NA,NA,NA,NA,8,92,0,0,0,0,NA,NA,NA
"MIKEBROWN","WR","Mike Brown","JAC",145,354,8.4,NA,NA,NA,NA,NA,8,84,0,0,0,0,NA,NA,NA
"CHRISOWUSU","WR","Chris Owusu","TB",145,354,8.4,NA,NA,NA,NA,NA,6,84,0,0,0,0,NA,NA,NA
"BRUCEELLINGTON","WR","Bruce Ellington","SF",145,354,8.4,NA,NA,NA,NA,NA,5,60,0,3,24,0,NA,NA,NA
"KRISDURHAM","WR","Kris Durham","TEN",148,357,7.3,NA,NA,NA,NA,NA,6,73,0,0,0,0,NA,NA,NA
"KEVINNORWOOD","WR","Kevin Norwood","SEA",148,357,7.3,NA,NA,NA,NA,NA,5,73,0,0,0,0,NA,NA,NA
"BRANDONBOLDEN","RB","Brandon Bolden","NE",103,359,6.6,NA,NA,NA,NA,NA,12,53,0,2,13,0,NA,NA,NA
"LAMICHAELJAMES","RB","LaMichael James","SF",104,360,6.1,NA,NA,NA,NA,NA,10,47,0,2,14,0,NA,NA,NA
"DARICKROGERS","WR","Da'Rick Rogers","IND",150,361,5.4,NA,NA,NA,NA,NA,4,54,0,0,0,0,NA,NA,NA
"TJGRAHAM","WR","T.J. Graham","TEN",151,362,5,NA,NA,NA,NA,NA,4,50,0,0,0,0,NA,NA,NA
"CHRISGRAGG","TE","Chris Gragg","BUF",64,363,3.9,NA,NA,NA,NA,NA,NA,NA,NA,3,39,0,NA,NA,NA
"CROCKETTGILLMORE","TE","Crockett Gillmore","BAL",65,364,3.6,NA,NA,NA,NA,NA,NA,NA,NA,3,36,0,NA,NA,NA
"DANESANZENBACHER","WR","Dane Sanzenbacher","CIN",152,365,3.2,NA,NA,NA,NA,NA,3,32,0,0,0,0,NA,NA,NA
"JAMESCASEY","TE","James Casey","PHI",66,365,3.2,NA,NA,NA,NA,NA,NA,NA,NA,3,32,0,NA,NA,NA
"TOMSAVAGE","QB","Tom Savage","HOU",45,367,2.76,10,6,69,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"MICHAELHOOMANAWANUI","TE","Michael Hoomanawanui","NE",67,368,2.4,NA,NA,NA,NA,NA,NA,NA,NA,2,24,0,NA,NA,NA
