"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstPtsAllowed","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg019","fg2029","fg3039","fg4049","fg50","xp"
"JAMAALCHARLES","RB","KC","cbs2","Jamaal Charles",389,2015,1,1,255.425,235.7,307.8,131.310524785935,5.99375,4.01502854183591,30.609795545435,3.4413,NA,NA,NA,NA,NA,NA,268,1204,9,65,28,525,3,0,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","WR","DET","espn","Calvin Johnson",143,2015,1,3,277.8,189.775,277.8,130.670872341612,11.1875,5.75373783357932,41.6461101374826,6.21195,0,0,0,0,0,0,0,0,0,94,52,1664,12,0,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTONIOBROWN","WR","PIT","yahoo","Antonio Brown",52,2015,2,6,275.68,203.775,275.68,128.550872341612,20.64375,4.56874793920094,30.8644848153451,3.4913,5.7,0,0,20,1,0,8,22.4,0,123,112,1632,12.3,0.2,0.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","CHI","cbs2","Matt Forte",616,2015,2,2,251.3,250.8,279,127.185524785935,3.4,3.01759314141211,14.5915500661627,3.3413,NA,NA,NA,NA,NA,NA,281,1256,8,62,77,508,3,0,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","GB","cbs1","Eddie Lacy",317,2015,4,4,251.025,200.875,251.025,126.910524785935,12.10625,3.7146490190257,23.081516550045,7.0065,NA,NA,NA,NA,NA,NA,277,1412,12,38,30,277,1,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","MIN","cbs1","Adrian Peterson",11,2015,5,5,251,96.45,256.725,126.885524785935,19.10625,6.81353071375969,75.0993092511509,4.3239,NA,NA,NA,NA,NA,NA,309,1458,11,47,3,288,2,0,0.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","CHI","espn","Matt Forte",616,2015,3,4,250.8,250.8,279,126.685524785935,3.4,3.01759314141211,14.5915500661627,3.3413,0,0,0,0,0,0,270,1227,8,70,77,576,2,0,1.1,2.03333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DAL","cbs1","DeMarco Murray",264,2015,6,6,249.725,196.025,292.125,125.610524785935,7.1125,4.94770076755509,46.3132090588995,2.57065,NA,NA,NA,NA,NA,NA,225,1229,9,62,41,533,2,0,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","PHI","espn","LeSean McCoy",573,2015,4,5,249.35,182.6,289.925,125.235524785935,9.25625,4.77520716244657,44.2887842037914,1.56195,0,0,0,0,0,0,294,1402,9,42,28,342,3,0,0.1,1.93333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","WR","DET","cbs1","Calvin Johnson",143,2015,1,7,271.45,189.775,277.8,124.320872341612,11.1875,5.75373783357932,41.6461101374826,6.21195,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,52,1618,12,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","WR","DET","cbs2","Calvin Johnson",143,2015,1,3,268.95,189.775,277.8,121.820872341612,11.1875,5.75373783357932,41.6461101374826,6.21195,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,52,1550,13,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
