"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation","bidUpToSim"
"LOGANTHOMAS","Logan Thomas","QB",0,NA,1,"ARI",609,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-247.607366659827,NA,NA,1,1,1,NA,1
"LUKEMCCOWN","Luke McCown","QB",0,NA,1,"NO",609,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-247.607366659827,NA,NA,1,1,1,NA,1
"MCLEODBETHELTHOMPSON","McLeod Bethel-Thompson","QB",0,NA,1,"SFO",609,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-247.607366659827,NA,NA,1,1,1,NA,1
"MIKEKAFKA","Mike Kafka","QB",0,NA,1,"TBB",609,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-247.607366659827,NA,NA,1,1,1,NA,1
"SEANRENFREE","Sean Renfree","QB",0,NA,1,"ATL",609,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-247.607366659827,NA,NA,1,1,1,NA,1
"TYLERBRAY","Tyler Bray","QB",0,NA,1,"KC",609,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-247.607366659827,NA,NA,1,1,1,NA,1
"ZACDYSERT","Zac Dysert","QB",0,NA,1,"DEN",609,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-247.607366659827,NA,NA,1,1,1,NA,1
"RYANNASSIB","Ryan Nassib","QB",-1.66,NA,1,"NYG",653,NA,94,NA,NA,NA,NA,NA,-3.32,NA,NA,NA,-1.66,-1.66,0,-249.267366659827,NA,NA,1,1,1,NA,1
"CURTISPAINTER","Curtis Painter","QB",-2.16,NA,1,"NYG",654,NA,95,NA,NA,NA,NA,NA,-2.16,NA,NA,NA,-2.16,-2.16,0,-249.767366659827,NA,NA,1,1,1,NA,1
"RYANLINDLEY","Ryan Lindley","QB",-3.22,NA,1,"ARI",656,NA,96,NA,NA,NA,NA,NA,-3.22,NA,NA,NA,-3.22,-3.22,0,-250.827366659827,NA,NA,1,1,1,NA,1
"MATTSIMMS","Matt Simms","QB",-4.22,NA,1,"NYJ",657,NA,97,NA,NA,NA,NA,NA,-4.22,NA,NA,NA,-4.22,-4.22,0,-251.827366659827,NA,NA,1,1,1,NA,1
