"name","name_accu","pos","team_accu","positionRank_accu","overallRank_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","twoPts_accu","fumbles_accu","pts_accu"
"ANTHONYFASANO","Anthony Fasano","TE","KC",22,177,NA,NA,NA,NA,NA,NA,NA,37.4,388,4.58,NA,0.33,65.6
"HEATHMILLER","Heath Miller","TE","PIT",23,178,NA,NA,NA,NA,NA,NA,NA,54.7,513,2.51,NA,0.55,65.3
"MARLONBROWN","Marlon Brown","WR","BAL",71,179,NA,NA,NA,NA,NA,NA,NA,45.8,497,2.65,NA,0.44,64.5
"SANTONIOHOLMES","Santonio Holmes","WR","NYJ",72,180,NA,NA,NA,NA,NA,NA,NA,34.4,547,1.55,NA,0.34,63.3
"VERNONDAVIS","Vernon Davis","TE","SF",24,181,NA,NA,NA,NA,NA,NA,NA,38.6,470,2.8,NA,0.36,63.1
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",73,182,NA,NA,NA,NA,NA,NA,NA,37.3,495,2.3,NA,0.31,62.7
"OWENDANIELS","Owen Daniels","TE","BAL",25,183,NA,NA,NA,NA,NA,NA,NA,48.3,473,2.56,NA,0.42,61.8
"ANDREBROWN","Andre Brown","RB","HOU",54,184,NA,NA,NA,NA,NA,264,2.15,25,154,1.14,NA,0.94,59.8
"SCOTTCHANDLER","Scott Chandler","TE","BUF",26,184,NA,NA,NA,NA,NA,NA,NA,42.6,477,2.22,NA,0.66,59.8
"JAMESSTARKS","James Starks","RB","GB",55,186,NA,NA,NA,NA,NA,278,1.95,14.6,139,1.27,NA,0.66,59.7
"MERCEDESLEWIS","Mercedes Lewis","TE","JAC",27,186,NA,NA,NA,NA,NA,NA,NA,47.2,462,2.45,NA,0.62,59.7
"ROBERTWOODS","Robert Woods","WR","BUF",74,188,NA,NA,NA,NA,NA,NA,NA,34,486,1.91,NA,0.29,59.6
"TEDGINN","Ted Ginn Jr.","WR","ARI",75,189,NA,NA,NA,NA,NA,NA,NA,26.2,384,1.67,NA,0.76,57.7
"BERNARDPIERCE","Bernard Pierce","RB","BAL",56,190,NA,NA,NA,NA,NA,432,2.15,4,22,0.16,NA,1.19,57
"LANCEMOORE","Lance Moore","WR","PIT",76,191,NA,NA,NA,NA,NA,NA,NA,31.8,411,2.66,NA,0.36,56.4
"DELANIEWALKER","Delanie Walker","TE","TEN",28,192,NA,NA,NA,NA,NA,NA,NA,43.7,418,2.4,NA,0.6,55.3
"NICKTOON","Nick Toon","WR","NO",77,193,NA,NA,NA,NA,NA,NA,NA,27.9,474,1.32,NA,0.29,54.8
"JASONSNELLING","Jason Snelling","RB","ATL",57,194,NA,NA,NA,NA,NA,108,0.6,36.2,270,2.17,NA,0.6,53.3
"BRENTCELEK","Brent Celek","TE","PHI",29,194,NA,NA,NA,NA,NA,NA,NA,28.2,362,3,NA,0.42,53.3
"TYHILTON","T.Y. Hilton","WR","IND",78,196,NA,NA,NA,NA,NA,NA,NA,25.1,341,2.05,NA,0.68,53
"JARIUSWRIGHT","Jarius Wright","WR","MIN",79,197,NA,NA,NA,NA,NA,NA,NA,28.4,434,1.47,NA,0.22,51.8
"MARKUSWHEATON","Markus Wheaton","WR","PIT",80,198,NA,NA,NA,NA,NA,NA,NA,35.9,415,1.59,NA,0.5,51.7
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",58,199,NA,NA,NA,NA,NA,290,2.34,8.8,68,0.48,NA,0.66,51.4
"ADRIENROBINSON","Adrien Robinson","TE","NYG",30,200,NA,NA,NA,NA,NA,NA,NA,42.6,401,1.86,NA,0.36,50.6
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CLE",59,201,NA,NA,NA,NA,NA,58,0.2,43.9,351,1.59,NA,0.75,50.2
"DREWDAVIS","Drew Davis","WR","ATL",81,202,NA,NA,NA,NA,NA,NA,NA,27.5,389,1.77,NA,0.26,49
"DARRIUSHEYWARDBEY","Darrius Heyward-Bey","WR","PIT",82,203,NA,NA,NA,NA,NA,NA,NA,32.2,375,1.88,NA,0.29,48.8
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",31,204,NA,NA,NA,NA,NA,NA,NA,39.1,383,1.99,NA,0.9,48.4
"TAVONAUSTIN","Tavon Austin","WR","STL",83,205,NA,NA,NA,NA,NA,NA,NA,21.8,254,2.23,NA,2.95,47.9
"MILESAUSTIN","Miles Austin","WR","CLE",84,206,NA,NA,NA,NA,NA,NA,NA,33,389,1.36,NA,0.28,46.5
"SANTANAMOSS","Santana Moss","WR","WAS",85,207,NA,NA,NA,NA,NA,NA,NA,28.1,313,2.36,NA,0.56,45.4
"JARONBROWN","Jaron Brown","WR","ARI",86,208,NA,NA,NA,NA,NA,NA,NA,26.6,350,1.56,NA,0.24,43.9
"DWAYNEHARRIS","Dwayne Harris","WR","DAL",87,209,NA,NA,NA,NA,NA,NA,NA,11.1,146,1.54,NA,1.83,42.5
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",87,209,NA,NA,NA,NA,NA,NA,NA,20.2,324,1.29,NA,0.57,42.5
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",32,211,NA,NA,NA,NA,NA,NA,NA,29.5,340,1.48,NA,0.26,42.4
"BRYCEBROWN","Bryce Brown","RB","BUF",60,212,NA,NA,NA,NA,NA,267,1.84,5.7,43,0.23,NA,0.63,42.3
"AJJENKINS","A.J. Jenkins","WR","KC",89,213,NA,NA,NA,NA,NA,NA,NA,21,365,0.91,NA,0.2,41.5
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",61,214,NA,NA,NA,NA,NA,186,1.74,6.3,58,0.26,NA,0.47,40.2
"THEORIDDICK","Theo Riddick","RB","DET",62,215,NA,NA,NA,NA,NA,182,2.24,6.5,48,0.29,NA,0.38,37.5
"KEVINWALTER","Kevin Walter","WR","TEN",90,216,NA,NA,NA,NA,NA,NA,NA,27.5,309,1.2,NA,0.37,37.4
"KYLEWILLIAMS","Kyle Williams","WR","KC",91,217,NA,NA,NA,NA,NA,NA,NA,23.4,261,0.94,NA,4.81,37.1
"DALLASCLARK","Dallas Clark","TE","BAL",33,218,NA,NA,NA,NA,NA,NA,NA,30.1,272,1.63,NA,0.28,36.4
"MARIOMANNINGHAM","Mario Manningham","WR","NYG",92,219,NA,NA,NA,NA,NA,NA,NA,27,300,1.18,NA,0.47,36.2
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",63,220,NA,NA,NA,NA,NA,126,1.04,14.7,151,0.63,NA,0.93,35.8
"AARONDOBSON","Aaron Dobson","WR","NE",93,220,NA,NA,NA,NA,NA,NA,NA,23.3,279,1.43,NA,0.37,35.8
"ROYHELU","Roy Helu","RB","WAS",64,222,NA,NA,NA,NA,NA,165,1.88,7.7,61,0.39,NA,0.48,35.2
"ROBERTTURBIN","Robert Turbin","RB","SEA",65,223,NA,NA,NA,NA,NA,177,0.98,10.7,91,0.5,NA,0.57,34.8
"ANTHONYMCCOY","Anthony McCoy","TE","SEA",34,223,NA,NA,NA,NA,NA,NA,NA,15.1,224,2.11,NA,0.14,34.8
"DAMARISJOHNSON","Damaris Johnson","WR","PHI",94,225,NA,NA,NA,NA,NA,NA,NA,19.4,245,0.94,NA,1.09,34.5
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",95,226,NA,NA,NA,NA,NA,NA,NA,21.4,270,1.2,NA,0.29,33.6
"DAVIDAUSBERRY","David Ausberry","TE","OAK",35,226,NA,NA,NA,NA,NA,NA,NA,29.1,265,1.26,NA,0.25,33.6
"MATTASIATA","Matt Asiata","RB","MIN",66,228,NA,NA,NA,NA,NA,185,1.91,6.8,28,0.29,NA,0.58,33.3
"JASONAVANT","Jason Avant","WR","CAR",96,229,NA,NA,NA,NA,NA,NA,NA,26.2,281,0.95,NA,0.31,33.2
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",97,230,NA,NA,NA,NA,NA,NA,NA,22.9,254,1.35,NA,0.24,33
"JACOBYJONES","Jacoby Jones","WR","BAL",98,231,NA,NA,NA,NA,NA,NA,NA,4.5,52,0.25,NA,1.34,32.8
"VICKBALLARD","Vick Ballard","RB","IND",67,232,NA,NA,NA,NA,NA,212,1.15,4.4,35,0.3,NA,0.57,32.1
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",99,233,NA,NA,NA,NA,NA,NA,NA,18.4,248,1.15,NA,0.18,31.4
"ACESANDERS","Ace Sanders","WR","JAC",100,234,NA,NA,NA,NA,NA,NA,NA,22.2,225,0.98,NA,0.8,31.1
"MICHAELROBINSON","Michael Robinson","RB","SEA",68,235,NA,NA,NA,NA,NA,6,0.04,14,181,1.87,NA,0.13,30
"BRANDONGIBSON","Brandon Gibson","WR","MIA",101,236,NA,NA,NA,NA,NA,NA,NA,18.5,234,1.13,NA,0.17,29.8
"RICHARDGORDON","Richard Gordon","TE","KC",36,237,NA,NA,NA,NA,NA,NA,NA,15.1,163,2.14,NA,0.1,29
"LARODSTEPHENSHOWLING","LaRod Stephens-Howling","RB","PIT",69,238,NA,NA,NA,NA,NA,111,0.85,14.2,95,0.62,NA,0.46,28.6
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",70,239,NA,NA,NA,NA,NA,2,0.01,19.4,185,1.77,NA,0.48,28.4
"TYLEREIFERT","Tyler Eifert","TE","CIN",37,239,NA,NA,NA,NA,NA,NA,NA,20.6,228,1.02,NA,0.21,28.4
"GRIFFWHALEN","Griff Whalen","WR","IND",102,241,NA,NA,NA,NA,NA,NA,NA,15,184,1.09,NA,0.47,28.2
"JOHNCARLSON","John Carlson","TE","ARI",38,242,NA,NA,NA,NA,NA,NA,NA,24.2,223,1.07,NA,0.35,28
"FOZZYWHITTAKER","Fozzy Whittaker","RB","CLE",71,243,NA,NA,NA,NA,NA,51,0.21,14.4,110,0.71,NA,0.62,27.4
"KEALOHAPILARES","Kealoha Pilares","WR","CAR",103,244,NA,NA,NA,NA,NA,NA,NA,9.7,173,1.53,NA,0.13,27.3
"ERICPAGE","Eric Page","WR","TB",104,245,NA,NA,NA,NA,NA,NA,NA,8,133,0.37,NA,4.34,27
"BRUCEMILLER","Bruce Miller","RB","SF",72,246,NA,NA,NA,NA,NA,13,0.08,21.2,190,1,NA,0.43,25.9
"GREGLITTLE","Greg Little","WR","OAK",105,246,NA,NA,NA,NA,NA,NA,NA,17.3,202,0.93,NA,0.18,25.9
"CHASECOFFMAN","Chase Coffman","TE","ATL",39,248,NA,NA,NA,NA,NA,NA,NA,17.3,210,0.84,NA,0.15,25.8
"JAMESHANNA","James Hanna","TE","DAL",40,249,NA,NA,NA,NA,NA,NA,NA,22.6,199,1.04,NA,0.21,25.7
"BOBBYRAINEY","Bobby Rainey","RB","TB",73,250,NA,NA,NA,NA,NA,134,1.13,6.4,31,0.38,NA,0.41,25.1
"JAMESJONES","James Jones","WR","OAK",106,251,NA,NA,NA,NA,NA,NA,NA,17,196,0.97,NA,0.23,24.9
"LANCEKENDRICKS","Lance Kendricks","TE","STL",41,252,NA,NA,NA,NA,NA,NA,NA,12.9,155,1.54,NA,0.11,24.5
"JORVORSKIELANE","Jorvorskie Lane","RB","TB",74,253,NA,NA,NA,NA,NA,5,0.07,18.6,164,1.59,NA,1.53,24
"JOHNKUHN","John Kuhn","RB","GB",75,254,NA,NA,NA,NA,NA,31,0.33,19,146,0.84,NA,0.81,23.8
"BENJAMINWATSON","Benjamin Watson","TE","NO",42,254,NA,NA,NA,NA,NA,NA,NA,16.1,167,1.22,NA,0.16,23.8
"DAVIDPAULSON","David Paulson","TE","PIT",43,256,NA,NA,NA,NA,NA,NA,NA,20.3,225,0.75,NA,1.82,23.3
"EDDICKSON","Ed Dickson","TE","CAR",44,257,NA,NA,NA,NA,NA,NA,NA,17.3,192,0.65,NA,0.19,23.1
"BRIANQUICK","Brian Quick","WR","STL",107,258,NA,NA,NA,NA,NA,NA,NA,9.3,161,1.18,NA,0.08,23
"ERIKLORIG","Erik Lorig","RB","NO",76,259,NA,NA,NA,NA,NA,0,0,26.4,159,1.18,NA,0.25,22.8
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",108,260,NA,NA,NA,NA,NA,NA,NA,11.8,183,0.6,NA,0.55,22.6
"JACOBTAMME","Jacob Tamme","TE","DEN",45,261,NA,NA,NA,NA,NA,NA,NA,17,163,1.02,NA,0.17,22.3
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",109,262,NA,NA,NA,NA,NA,NA,NA,14.8,177,0.77,NA,0.13,22.1
"JOSEPHRANDLE","Joseph Randle","RB","DAL",77,263,NA,NA,NA,NA,NA,86,0.76,8.8,72,0.38,NA,0.36,22
"ALLENREISNER","Allen Reisner","TE","MIN",46,263,NA,NA,NA,NA,NA,NA,NA,18.2,177,0.77,NA,0.17,22
"SHAUNDRAUGHN","Shaun Draughn","RB","CHI",78,265,NA,NA,NA,NA,NA,155,1.04,1,7,0.04,NA,0.51,21.8
"TANDONDOSS","Tandon Doss","WR","JAC",110,266,NA,NA,NA,NA,NA,NA,NA,9,134,0.4,NA,0.59,21.5
"VINCENTBROWN","Vincent Brown","WR","SD",111,267,NA,NA,NA,NA,NA,NA,NA,14.1,167,0.68,NA,0.12,20.5
"RYANBROYLES","Ryan Broyles","WR","DET",112,268,NA,NA,NA,NA,NA,NA,NA,13.2,166,0.68,NA,0.13,20.4
"FELIXJONES","Felix Jones","RB","PIT",79,269,NA,NA,NA,NA,NA,69,0.32,7.3,60,0.35,NA,0.38,20
"DIONLEWIS","Dion Lewis","RB","CLE",80,270,NA,NA,NA,NA,NA,103,1.09,4.7,22,0.16,NA,0.23,19.9
"BRANDONTATE","Brandon Tate","WR","CIN",113,271,NA,NA,NA,NA,NA,NA,NA,6,81,0.4,NA,1.83,19.8
"ISAIAHPEAD","Isaiah Pead","RB","STL",81,272,NA,NA,NA,NA,NA,123,0.59,4.4,31,0.21,NA,0.39,19.7
"MIKEJAMES","Mike James","RB","TB",82,273,NA,NA,NA,NA,NA,102,0.55,7.6,41,0.31,NA,0.26,18.9
"MARCELREECE","Marcel Reece","RB","OAK",83,274,NA,NA,NA,NA,NA,12,0.07,14.3,134,0.65,NA,0.16,18.8
"ALFONSOSMITH","Alfonso Smith","RB","ARI",84,275,NA,NA,NA,NA,NA,52,0.51,11.3,88,0.49,NA,1.3,18.6
"JEREMYROSS","Jeremy Ross","WR","DET",114,276,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.83,17.9
"JACKIEBATTLE","Jackie Battle","RB","TEN",85,277,NA,NA,NA,NA,NA,52,0.4,8.9,76,0.42,NA,0.24,17.8
"STANLEYHAVILI","Stanley Havili","RB","IND",86,278,NA,NA,NA,NA,NA,4,0.05,15.7,118,0.87,NA,0.18,17.4
"JOSEPHFAURIA","Joseph Fauria","TE","DET",47,278,NA,NA,NA,NA,NA,NA,NA,10.5,125,0.84,NA,0.09,17.4
"CHRISOWUSU","Chris Owusu","WR","TB",115,280,NA,NA,NA,NA,NA,NA,NA,13,134,0.59,NA,0.13,16.7
"STEPHENHILL","Stephen Hill","WR","NYJ",116,281,NA,NA,NA,NA,NA,NA,NA,10.6,136,0.48,NA,0.2,16.1
"MIKETHOMAS","Mike Thomas","WR","HOU",116,281,NA,NA,NA,NA,NA,NA,NA,11.9,108,0.77,NA,0.67,16.1
"MICHEALSPURLOCK","Micheal Spurlock","WR","CHI",116,281,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.94,16.1
"ANDREROBERTS","Andre Roberts","WR","WAS",119,284,NA,NA,NA,NA,NA,NA,NA,10.7,122,0.65,NA,0.08,16
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",120,285,NA,NA,NA,NA,NA,NA,NA,6.2,120,0.67,NA,0.05,15.9
"FRANKSUMMERS","Frank Summers","RB","BUF",87,286,NA,NA,NA,NA,NA,26,0.25,7.8,88,0.46,NA,0.12,15.4
"DAMIANWILLIAMS","Damian Williams","WR","MIA",121,287,NA,NA,NA,NA,NA,NA,NA,9.7,110,0.46,NA,1.66,15.1
"LESTARJEAN","Lestar Jean","WR","HOU",122,288,NA,NA,NA,NA,NA,NA,NA,9.3,119,0.52,NA,0.09,14.8
"BEARPASCOE","Bear Pascoe","RB","ATL",88,289,NA,NA,NA,NA,NA,0,0,14.5,109,0.67,NA,0.14,14.7
"VONTALEACH","Vonta Leach","RB","BAL",89,290,NA,NA,NA,NA,NA,22,0.19,12.7,83,0.59,NA,0.43,14.4
"DARRELYOUNG","Darrel Young","RB","WAS",89,290,NA,NA,NA,NA,NA,23,0.26,5.1,70,0.63,NA,0.1,14.4
"CLYDEGATES","Clyde Gates","WR","NYJ",123,292,NA,NA,NA,NA,NA,NA,NA,7.1,80,0.29,NA,0.22,14.3
"BRICEBUTLER","Brice Butler","WR","OAK",123,292,NA,NA,NA,NA,NA,NA,NA,9.8,117,0.46,NA,0.09,14.3
"LEESMITH","Lee Smith","TE","BUF",48,294,NA,NA,NA,NA,NA,NA,NA,9.1,105,0.52,NA,0.09,13.4
"TOMCRABTREE","Tom Crabtree","TE","TB",48,294,NA,NA,NA,NA,NA,NA,NA,5.8,73,1.03,NA,0.05,13.4
"BILALPOWELL","Bilal Powell","RB","NYJ",91,296,NA,NA,NA,NA,NA,34,0.15,9,67,0.4,NA,0.18,13.1
"TRAVARISCADET","Travaris Cadet","RB","NO",91,296,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1.61,13.1
"PLAXICOBURRESS","Plaxico Burress","WR","PIT",125,296,NA,NA,NA,NA,NA,NA,NA,5.2,76,0.93,NA,0.04,13.1
"MICHAELHOOMANAWANUI","Michael Hoomanawanui","TE","NE",50,296,NA,NA,NA,NA,NA,NA,NA,8.5,107,0.43,NA,0.09,13.1
"DEVINHESTER","Devin Hester","WR","ATL",126,300,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,2.56,12.9
"ZACHPOTTER","Zach Potter","TE","HOU",51,301,NA,NA,NA,NA,NA,NA,NA,11.8,97,0.54,NA,0.11,12.8
"KELLENWINSLOW","Kellen Winslow","TE","NYJ",52,302,NA,NA,NA,NA,NA,NA,NA,9.2,99,0.47,NA,0.08,12.5
"JEDCOLLINS","Jed Collins","TE","DET",53,303,NA,NA,NA,NA,NA,NA,NA,10.5,89,0.56,NA,0.11,12.1
"MICHAELCOX","Michael Cox","RB","NYG",93,304,NA,NA,NA,NA,NA,55,0.33,5.8,31,0.28,NA,0.27,11.8
"ANDRECALDWELL","Andre Caldwell","WR","DEN",127,304,NA,NA,NA,NA,NA,NA,NA,5.1,71,0.69,NA,0.05,11.8
"DOMENIKHIXON","Domenik Hixon","WR","CAR",127,304,NA,NA,NA,NA,NA,NA,NA,6.7,82,0.46,NA,0.27,11.8
"DENARDROBINSON","Denard Robinson","WR","JAC",129,307,NA,NA,NA,NA,NA,NA,NA,8.1,101,0.31,NA,1.48,11.5
"MICHAELEGNEW","Michael Egnew","TE","MIA",54,307,NA,NA,NA,NA,NA,NA,NA,8.2,90,0.43,NA,0.05,11.5
"JIMDRAY","Jim Dray","TE","CLE",55,309,NA,NA,NA,NA,NA,NA,NA,9.5,88,0.51,NA,0.23,11.4
"WILLTAUFOOU","Will Taufoou","RB","JAC",94,310,NA,NA,NA,NA,NA,1,0.01,13.3,74,0.61,NA,0.14,11.1
"CLAYHARBOR","Clay Harbor","TE","JAC",56,311,NA,NA,NA,NA,NA,NA,NA,8.6,95,0.38,NA,0.37,11
"WESLYESAUNDERS","Weslye Saunders","TE","IND",56,311,NA,NA,NA,NA,NA,NA,NA,7.6,88,0.4,NA,0.08,11
"MARCUSTHIGPEN","Marcus Thigpen","RB","MIA",95,313,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1.85,10.8
"JASONCAMPBELL","Jason Campbell","QB","CIN",33,314,30,16.4,188,0.89,0.7,10,0.04,NA,NA,NA,NA,0.17,10.6
"DENNISPITTA","Dennis Pitta","TE","BAL",58,314,NA,NA,NA,NA,NA,NA,NA,8.7,80,0.45,NA,0.09,10.6
"KENJONBARNER","Kenjon Barner","RB","CAR",96,316,NA,NA,NA,NA,NA,25,0.14,5.4,26,0.22,NA,0.32,10.4
"BRIANLEONARD","Brian Leonard","RB","TB",97,317,NA,NA,NA,NA,NA,3,0.01,10.5,72,0.51,NA,0.12,10.3
"JUSTINFORSETT","Justin Forsett","RB","BAL",98,318,NA,NA,NA,NA,NA,61,0.29,2.3,14,0.1,NA,0.18,9.7
"JEFFKING","Jeff King","TE","ARI",59,318,NA,NA,NA,NA,NA,NA,NA,9.6,72,0.44,NA,0.06,9.7
"LOGANPAULSEN","Logan Paulsen","TE","WAS",60,320,NA,NA,NA,NA,NA,NA,NA,6.4,68,0.53,NA,0.18,9.6
"LAMICHAELJAMES","LaMichael James","RB","SF",99,321,NA,NA,NA,NA,NA,0,0,0,0,0,NA,2.85,9.3
"CHRISTHOMPSON","Chris Thompson","RB","WAS",100,322,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.84,8.7
"COLLINMOONEY","Collin Mooney","RB","TEN",101,323,NA,NA,NA,NA,NA,15,0.06,8,51,0.32,NA,0.11,8.6
"DAVIDJOHNSON","David Johnson","TE","SD",61,323,NA,NA,NA,NA,NA,NA,NA,5.6,73,0.24,NA,0.06,8.6
"DANIELTHOMAS","Daniel Thomas","RB","MIA",102,325,NA,NA,NA,NA,NA,23,0.18,5.2,36,0.29,NA,0.09,8.5
"FREDDAVIS","Fred Davis","TE","WAS",62,326,NA,NA,NA,NA,NA,NA,NA,4.8,60,0.37,NA,0.05,8.1
"KIRKCOUSINS","Kirk Cousins","QB","WAS",34,327,29.3,15.2,189,0.82,1.25,3,0.02,NA,NA,NA,NA,0.4,7.9
"GREGJONES","Greg Jones","RB","HOU",103,327,NA,NA,NA,NA,NA,1,0.01,7.9,54,0.38,NA,0.1,7.9
"LUKESTOCKER","Luke Stocker","TE","TB",63,327,NA,NA,NA,NA,NA,NA,NA,5.8,56,0.39,NA,0.05,7.9
"JAMESCASEY","James Casey","TE","PHI",64,330,NA,NA,NA,NA,NA,NA,NA,5.5,58,0.33,NA,0.04,7.7
"TRINDONHOLLIDAY","Trindon Holliday","WR","NYG",130,331,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,2.68,7.5
"LOUISMURPHY","Louis Murphy","WR","TB",131,332,NA,NA,NA,NA,NA,NA,NA,4.6,51,0.42,NA,0.25,7.1
"JOHNPHILLIPS","John Phillips","TE","SD",65,332,NA,NA,NA,NA,NA,NA,NA,5.5,50,0.35,NA,0.06,7.1
"DAVIDNELSON","David Nelson","WR","NYJ",132,334,NA,NA,NA,NA,NA,NA,NA,4.9,56,0.22,NA,0.05,6.8
"STEPHENWILLIAMS","Stephen Williams","WR","JAC",132,334,NA,NA,NA,NA,NA,NA,NA,4.6,55,0.22,NA,0.05,6.8
"DIONSIMS","Dion Sims","TE","MIA",66,336,NA,NA,NA,NA,NA,NA,NA,5.3,47,0.33,NA,0.04,6.6
"CRAIGSTEVENS","Craig Stevens","TE","TEN",67,337,NA,NA,NA,NA,NA,NA,NA,5.9,54,0.25,NA,0.25,6.5
"DAVIDREED","David Reed","WR","SF",134,338,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.23,6.4
"CHRISRAINEY","Chris Rainey","RB","IND",104,339,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1.57,6.2
"JEROMEFELTON","Jerome Felton","RB","MIN",105,340,NA,NA,NA,NA,NA,0,0,6,47,0.24,NA,0.07,6
"DANIELFELLS","Daniel Fells","TE","NYG",68,340,NA,NA,NA,NA,NA,NA,NA,3.9,50,0.18,NA,0.05,6
"BRANDONSTOKLEY","Brandon Stokley","WR","BAL",135,342,NA,NA,NA,NA,NA,NA,NA,4.2,42,0.2,NA,0.04,5.4
"TONYFIAMMETTA","Tony Fiammetta","RB","CHI",106,343,NA,NA,NA,NA,NA,0,0,3.2,45,0.13,NA,0.03,5.2
"BRADSMITH","Brad Smith","WR","PHI",136,344,NA,NA,NA,NA,NA,NA,NA,2.7,35,0.27,NA,0.08,5
"JACOBYFORD","Jacoby Ford","WR","NYJ",137,345,NA,NA,NA,NA,NA,NA,NA,4.1,37,0.16,NA,1.97,4.9
"LERONMCCLAIN","LeRon McClain","RB","SD",107,346,NA,NA,NA,NA,NA,20,0.1,3.3,16,0.15,NA,0.12,4.8
"BENHARTSOCK","Ben Hartsock","TE","CAR",69,347,NA,NA,NA,NA,NA,NA,NA,4.8,38,0.16,NA,0.04,4.7
"KYLEORTON","Kyle Orton","QB","DAL",35,348,12.1,7.8,88,0.46,0.41,0,0,NA,NA,NA,NA,0.01,4.6
"DAVIDWILSON","David Wilson","RB","NYG",108,348,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.24,4.6
"MICHAELVICK","Michael Vick","QB","NYJ",36,350,10,5.4,64,0.28,0.2,10,0.07,NA,NA,NA,NA,0.14,4.5
"ORSONCHARLES","Orson Charles","RB","CIN",109,351,NA,NA,NA,NA,NA,0,0,3.2,35,0.15,NA,0.03,4.4
"EARLBENNETT","Earl Bennett","WR","CHI",138,352,NA,NA,NA,NA,NA,NA,NA,1.8,22,0.25,NA,0.1,4.1
"CURTISPAINTER","Curtis Painter","QB","NYG",37,353,29.6,14,164,0.55,1.73,-3,0,NA,NA,NA,NA,0.65,3.7
"TYLERTHIGPEN","Tyler Thigpen","QB","CLE",37,353,14.2,8.2,79,0.3,0.29,0,0,NA,NA,NA,NA,0.01,3.7
"JOHNCONNER","John Conner","RB","NYG",110,355,NA,NA,NA,NA,NA,0,0,4,26,0.18,NA,0.02,3.6
"JOSHMORGAN","Josh Morgan","WR","CHI",139,356,NA,NA,NA,NA,NA,NA,NA,2.4,28,0.1,NA,0.11,3.5
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",139,356,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.58,3.5
"BRANDONLLOYD","Brandon Lloyd","WR","SF",139,356,NA,NA,NA,NA,NA,NA,NA,2.4,26,0.15,NA,0.03,3.5
"SCOTTTOLZIEN","Scott Tolzien","QB","GB",39,359,6.8,4,46,0.2,0.33,5,0.07,NA,NA,NA,NA,0,2.9
"BLAINEGABBERT","Blaine Gabbert","QB","SF",40,360,9.4,5,61,0.26,0.42,3,0.01,NA,NA,NA,NA,0.11,2.8
"MATTMOORE","Matt Moore","QB","MIA",40,360,22.2,9.4,107,0.42,1.25,0,0,NA,NA,NA,NA,0.31,2.8
"BROCKOSWEILER","Brock Osweiler","QB","DEN",42,362,6.3,4.2,47,0.24,0.09,0,0,NA,NA,NA,NA,0,2.7
"LANCEDUNBAR","Lance Dunbar","RB","DAL",111,363,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.2,2.6
"BRUCEGRADKOWSKI","Bruce Gradkowski","QB","PIT",43,364,12.9,5.7,60,0.2,0.25,-1,0,NA,NA,NA,NA,0.14,2.4
"PATRICKEDWARDS","Patrick Edwards","WR","DET",142,364,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.12,2.4
"DEREKANDERSON","Derek Anderson","QB","CAR",44,366,5.7,4.3,42,0.21,0.12,0,0,NA,NA,NA,NA,0,2.3
"TERRELLEPRYOR","Terrelle Pryor","QB","SEA",45,367,4.4,2.6,32,0.15,0.15,5,0.03,NA,NA,NA,NA,0.04,2.2
"DANORLOVSKY","Dan Orlovsky","QB","DET",46,368,6.3,3.4,40,0.19,0.13,0,0,NA,NA,NA,NA,0,2.1
"CHASEDANIEL","Chase Daniel","QB","KC",47,369,5.5,3.6,37,0.2,0.15,1,0,NA,NA,NA,NA,0,2
