"name","name_accu","pos","team_accu","positionRank_accu","overallRank_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","twoPts_accu","fumbles_accu","pts_accu"
"CHRISTIANPONDER","Christian Ponder","QB","MIN",26,42,532.5,323.1,3516,15.49,15.62,317,3.15,NA,NA,NA,NA,6.72,208.6
"LEVEONBELL","Le'Veon Bell","RB","PIT",10,43,NA,NA,NA,NA,NA,1108,7.45,52.2,445,2.19,NA,3.26,206.7
"CARSONPALMER","Carson Palmer","QB","ARI",27,44,621.6,379.3,4317,20.07,20.78,7,0.26,NA,NA,NA,NA,3.86,206
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",7,45,NA,NA,NA,NA,NA,NA,NA,95.4,1296,12.08,NA,0.91,200.3
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",8,46,NA,NA,NA,NA,NA,NA,NA,89.7,1388,8.19,NA,1.69,195.9
"KEENANALLEN","Keenan Allen","WR","SD",9,47,NA,NA,NA,NA,NA,NA,NA,79.5,1309,10.68,NA,1.52,194.9
"GENOSMITH","Geno Smith","QB","NYJ",28,48,488.6,261.3,3124,12.76,20.32,431,4.11,NA,NA,NA,NA,4.67,193.8
"MATTSCHAUB","Matt Schaub","QB","OAK",29,49,573,339.6,3902,17.24,16.8,7,0.05,NA,NA,NA,NA,1.65,189.1
"JOEFLACCO","Joe Flacco","QB","BAL",30,50,584.5,334.5,3603,17.4,15.27,93,0.84,NA,NA,NA,NA,4.46,188.7
"JORDYNELSON","Jordy Nelson","WR","GB",10,51,NA,NA,NA,NA,NA,NA,NA,87,1279,10.23,NA,0.74,187.8
"ARIANFOSTER","Arian Foster","RB","HOU",11,52,NA,NA,NA,NA,NA,1053,7.22,44.8,302,2.23,NA,2.52,187.2
"SHANEVEREEN","Shane Vereen","RB","NE",12,53,NA,NA,NA,NA,NA,841,5.88,54.5,495,3.22,NA,2.09,184.4
"CALVINJOHNSON","Calvin Johnson","WR","DET",11,54,NA,NA,NA,NA,NA,NA,NA,97.1,1471,6.16,NA,1.04,182
"ANTONIOBROWN","Antonio Brown","WR","PIT",12,55,NA,NA,NA,NA,NA,NA,NA,98.5,1278,7.04,NA,2.17,181.6
"BRIANHOYER","Brian Hoyer","QB","CLE",31,56,656.4,372.8,3652,15.95,19.17,70,0.39,NA,NA,NA,NA,1.1,178.6
"CECILSHORTS","Cecil Shorts","WR","JAC",13,57,NA,NA,NA,NA,NA,NA,NA,114.7,1437,6.11,NA,0.97,178.2
"WESWELKER","Wes Welker","WR","DEN",14,58,NA,NA,NA,NA,NA,NA,NA,100.3,1100,9.4,NA,1.78,172.3
"SIDNEYRICE","Sidney Rice","WR","SEA",15,59,NA,NA,NA,NA,NA,NA,NA,69.7,1129,9.8,NA,1.12,169.5
"ELIMANNING","Eli Manning","QB","NYG",32,60,567,319.6,3706,16.7,22.93,41,0.29,NA,NA,NA,NA,3.51,168
"VICTORCRUZ","Victor Cruz","WR","NYG",16,61,NA,NA,NA,NA,NA,NA,NA,103,1333,5.96,NA,0.91,167.2
"MARQUESCOLSTON","Marques Colston","WR","NO",17,62,NA,NA,NA,NA,NA,NA,NA,96.7,1200,7.97,NA,0.91,166
"JULIUSTHOMAS","Julius Thomas","TE","DEN",2,63,NA,NA,NA,NA,NA,NA,NA,77.2,1017,10.49,NA,0.64,163.3
"STEVANRIDLEY","Stevan Ridley","RB","NE",13,64,NA,NA,NA,NA,NA,1079,8.88,5.1,40,0.24,NA,2.29,162
"RASHADJENNINGS","Rashad Jennings","RB","NYG",14,65,NA,NA,NA,NA,NA,724,5.3,54.9,474,2.46,NA,2.24,161.9
