"name","pos","name_nf","team_nf","positionRank_nf","overallRank_nf","pts_nf","passAtt_nf","passComp_nf","passYds_nf","passTds_nf","passInt_nf","rushAtt_nf","rushYds_nf","rushTds_nf","rec_nf","recYds_nf","recTds_nf","returnTds_nf","twoPts_nf","fumbles_nf"
"LADARIUSGREEN","TE","Ladarius Green","SD",20,160,78.4,0,0,0,0,0,0,0,0,31.78,434.99,5.83,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","SEA",21,161,77.35,0,0,0,0,0,0,0,0,36.55,491.71,4.83,NA,NA,NA
"AARONDOBSON","WR","Aaron Dobson","NE",63,162,77.29,0.2,0.06,0.75,0,0,0,0,0,37.55,569.76,3.45,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",64,163,76.86,0,0,0,0,0,0,0,0,66.12,722.35,0.77,NA,NA,NA
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",22,164,76.33,0,0,0,0,0,0,0,0,30.88,457.86,5.11,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",34,165,76.14,186,114.34,1275.56,6.78,4.07,15.33,53.62,0.72,0,0,0,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",65,166,76,0.12,0.12,3.66,0,0,0.63,2.43,0,41.08,557.48,3.44,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",66,167,74.52,0.56,0.36,16.05,0,0,3.28,14.93,0,43.08,562.82,2.77,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",67,168,74.13,0.18,0.16,6.33,0,0.02,0,0,0,40.62,547.18,3.28,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",68,169,73.73,0.27,0.21,5.51,0.21,0,0.66,4.49,0,51.13,574.2,2.58,NA,NA,NA
"EDDIEROYAL","WR","Eddie Royal","SD",69,170,73.6,0,0,0,0,0,1.08,9.3,0,34.68,474.08,4.25,NA,NA,NA
"GARRETTGRAHAM","TE","Garrett Graham","HOU",23,171,72.11,0,0,0,0,0,0,0,0,52.8,545.72,3.25,NA,NA,NA
"COBYFLEENER","TE","Coby Fleener","IND",24,172,71.71,0.23,0.2,7.25,0.14,0,0,0,0,48.97,508.79,3.51,NA,NA,NA
"SCOTTCHANDLER","TE","Scott Chandler","BUF",25,173,71.51,0.04,0,0,0,0,0,0,0,40.63,507.73,3.64,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","PIT",70,174,71.4,0.01,0,0,0,0,0,0,0,36.61,497.04,3.66,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",71,175,70.7,0.18,0,0,0,0,0,0,0,31.66,498.98,3.48,NA,NA,NA
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",46,176,70.2,0,0,0,0,0,77.1,315.91,2.83,25.73,188.89,0.62,NA,NA,NA
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis","CIN",47,177,70.07,0.04,0,0,0,0,112.84,439.43,3.64,9.85,48.49,0.18,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",48,178,68.92,0.08,0.08,-0.12,0,0,65.26,314.68,3.5,13.65,134.92,0.65,NA,NA,NA
"ROYHELU","RB","Roy Helu","WSH",49,179,68.88,0.16,0.16,4.65,0,0,70.95,322.15,1.8,31.43,236.38,0.47,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",50,180,67.3,0,0,0,0,0,68.71,356.75,2.1,32.84,217.22,0,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",35,181,66.77,159.36,95.13,1087.02,6.53,4.73,16.39,55.26,0.56,0,0,0,NA,NA,NA
"JOSHGORDON","WR","Josh Gordon","CLE",72,182,66.55,0.12,0.12,2.27,0.06,0,0.9,10.36,0,27.32,459.65,3.23,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",51,183,65.86,0.08,0.08,0.32,0.08,0,82.91,322.47,1.43,29.72,232.84,0.56,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",26,184,65.04,0,0,0,0,0,0,0,0,48.19,481.24,2.95,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",52,185,64.9,0,0,0,0,0,104.64,461.32,1.64,14.66,103.12,0.08,NA,NA,NA
"MARVINJONES","WR","Marvin Jones","CIN",73,186,64.49,0.29,0.02,0.44,0,0.07,1.34,14.53,0,25.8,414.76,3.64,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",53,187,64.04,0.06,0,0,0,0,55.42,298.21,2.23,25.76,182.39,0.62,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","BAL",27,188,63.76,0,0,0,0,0,0,0,0,38.48,402.96,3.91,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",54,189,63.55,0,0,0,0,0,77.2,282.98,2.2,26.7,180.48,0.78,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",55,190,63.44,0.04,0.04,0.8,0,0,21.25,109.52,0.89,42.11,368.53,1.75,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",74,191,63.25,0.24,0.24,5.69,0,0,2.78,15.27,0.12,48.43,505.53,2.04,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","NYJ",36,192,63.11,119.69,67.74,753.71,3.67,3.89,40.53,198.57,1.38,0,0.6,0,NA,NA,NA
"DENARIUSMOORE","WR","Denarius Moore","OAK",75,193,62.94,0,0,0,0,0,0,0,0,29.69,469.58,2.82,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",56,194,62.73,0,0,0,0,0,72.69,280.38,2.19,26.33,180.9,0.81,NA,NA,NA
"MARQISELEE","WR","Marqise Lee","JAC",76,195,62.65,0.03,0,0,0,0,0,0,0,38.63,502.12,2.08,NA,NA,NA
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",77,196,62.5,0.15,0.03,0.61,0,0,0,0,0,25.42,429.17,3.26,NA,NA,NA
"ROBHOUSLER","TE","Rob Housler","ARI",28,197,62.35,0,0,0,0,0,0,0,0,46.5,441.08,3.12,NA,NA,NA
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",29,198,61.48,0,0,0,0,0,0,0,0,47.16,448.17,3.07,NA,NA,NA
"BOBBYRAINEY","RB","Bobby Rainey","TB",57,199,61.32,0,0,0,0,0,94.96,385.16,2,15.76,99.24,0.36,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",30,200,61.29,0,0,0,0,0,0,0,0,31.87,389.93,3.91,NA,NA,NA
"TREMASON","RB","Tre Mason","STL",58,201,60.93,0.1,0.1,0.34,0.1,0,75.6,311.79,2,22.47,167.2,0.51,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",59,202,60.26,0.06,0.06,0.42,0.06,0,70.8,310.35,2.28,19.17,148.73,0.29,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",78,203,59.84,0.04,0,0,0,0,0,0,0,39.49,493.44,1.75,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",79,204,58.38,0,0,0,0,0,2.59,25.45,0.11,40.16,422.3,2.38,NA,NA,NA
"TOMSAVAGE","QB","Tom Savage","HOU",37,205,57.68,145.86,88.44,985.99,5.25,3.25,12.76,43.98,0.33,0,0,0,NA,NA,NA
"BRANDONGIBSON","WR","Brandon Gibson","MIA",80,206,56.83,0,0,0,0,0,0,0,0,33.1,413.72,2.6,NA,NA,NA
"JAMESSTARKS","RB","James Starks","GB",60,207,56.79,0.2,0.08,0.97,0,0,52.89,249.52,2.54,11.86,127.17,0.74,NA,NA,NA
"BRANDONMYERS","TE","Brandon Myers","TB",31,208,55.57,0,0,0,0,0,0,0,0,37.7,378.73,3.11,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",61,209,55.29,0,0,0,0,0,77.24,313.87,1.21,14.23,158.39,0.38,NA,NA,NA
"KHIRYROBINSON","RB","Khiry Robinson","NO",62,210,54.96,0.12,0,0,0,0,96.38,349.22,3.16,9.52,17.96,0,NA,NA,NA
"LEVINETOILOLO","TE","Levine Toilolo","ATL",32,211,54.89,0,0,0,0,0,0,0,0,52.9,344.91,3.52,NA,NA,NA
"VINCENTBROWN","WR","Vincent Brown","SD",81,212,54.72,0,0,0,0,0,0,0,0,35.64,410.79,2.32,NA,NA,NA
"JACEAMARO","TE","Jace Amaro","NYJ",33,213,54.66,0,0,0,0,0,0,0,0,32.16,365.56,3.26,NA,NA,NA
"ERICEBRON","TE","Eric Ebron","DET",34,214,54.56,0,0,0,0,0,0,0,0,36.8,404.36,2.54,NA,NA,NA
"KNILEDAVIS","RB","Knile Davis","KC",63,215,54.55,0,0,0,0,0,69.71,238.27,1.59,22.4,164.2,0.93,NA,NA,NA
"CHRISTIANPONDER","QB","Christian Ponder","MIN",38,216,53.95,145.12,83.16,907.76,4.04,4.6,15.88,76.92,0.72,0,0.24,0,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",82,217,53.93,0.07,0.03,0.48,0,0,0,0,0,36.03,404.73,2.26,NA,NA,NA
"DANIELTHOMAS","RB","Daniel Thomas","MIA",64,218,53.53,0.07,0,0,0,0,60.89,265.3,1.87,16.34,121.6,0.8,NA,NA,NA
"JASONAVANT","WR","Jason Avant","CAR",83,219,53.24,0.06,0.06,2.04,0.06,0,0,0,0,36.55,443.2,1.58,NA,NA,NA
"MATTASIATA","RB","Matt Asiata","MIN",65,220,53.09,0.06,0,0,0,0,73.6,261.78,3.11,13.95,81.94,0.24,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",66,221,53.08,0,0,0,0,0,43.4,222.1,2.08,16.62,147.91,0.7,NA,NA,NA
"MIKEWILLIAMS","WR","Mike Williams","BUF",84,222,52.98,0.12,0.08,2.94,0.08,0,0,0,0,38,427.59,1.68,NA,NA,NA
"GREGLITTLE","WR","Greg Little","OAK",85,223,52.41,0.16,0.08,2.37,0.08,0,0,0,0,40.19,457.93,1.13,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",67,224,52.34,0.18,0.18,1.96,0,0,48.55,220.12,1.5,19.34,152.31,1.17,NA,NA,NA
"CODYLATIMER","WR","Cody Latimer","DEN",86,225,52.21,0,0,0,0,0,0,0,0,31.92,381.66,2.34,NA,NA,NA
"ANDREWQUARLESS","TE","Andrew Quarless","GB",35,226,51.78,0.26,0.18,6.33,0.12,0,0,0,0,41.2,376.9,2.44,NA,NA,NA
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",68,227,51.68,0.01,0.01,0.03,0.01,0,75.54,342.99,2.55,4.65,28.02,0,NA,NA,NA
"JEROMESIMPSON","WR","Jerome Simpson","MIN",87,228,51.67,0,0,0,0,0,0,0,0,24.54,386.5,2.19,NA,NA,NA
"ADRIENROBINSON","TE","Adrien Robinson","NYG",36,229,51.39,0,0,0,0,0,0,0,0,37.51,414.92,1.67,NA,NA,NA
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NE",88,230,50.09,0.02,0,0,0,0,0,0,0,25.17,381.85,2.04,NA,NA,NA
"ROBERTMEACHEM","WR","Robert Meachem","NO",89,231,49.95,0.13,0,0,0,0.08,0.66,4.45,0,19.49,375.03,2.03,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham","NYG",90,232,49.22,0.03,0,0,0,0,0,0,0,29.88,384.75,1.8,NA,NA,NA
"DAVIDAUSBERRY","TE","David Ausberry","OAK",37,233,48.19,0,0,0,0,0,0,0,0,27.67,369.49,1.93,NA,NA,NA
"CHRISGIVENS","WR","Chris Givens","STL",91,234,47.07,0.08,0.08,1.9,0,0,0.91,3.75,0,32.46,442.55,0.59,NA,NA,NA
"CASEKEENUM","QB","Case Keenum","HOU",39,235,46.91,131.03,75.41,821.53,4.2,4.24,10.29,55.31,0.4,0.12,-0.04,0,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","KC",38,236,46.6,0,0,0,0,0,0,0,0,31.72,304.99,2.77,NA,NA,NA
"AUSTINPETTIS","WR","Austin Pettis","STL",92,237,46.21,0,0,0,0,0,0,0,0,28.82,360.9,1.7,NA,NA,NA
"JACOBYJONES","WR","Jacoby Jones","BAL",93,238,45.81,0.01,0.01,0.51,0.01,0,1.39,7.77,0,32.05,363.52,1.49,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",69,239,44.57,0.12,0.12,0.3,0.12,0,51.88,217.66,1.44,16.37,127.32,0.38,NA,NA,NA
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",70,240,43.96,0.1,0.04,0.49,0,0.02,58.91,223.1,1.06,18.55,137.14,0.36,NA,NA,NA
"MYCHALRIVERA","TE","Mychal Rivera","OAK",39,241,43.84,0,0,0,0,0,0,0,0,23.82,292.77,2.49,NA,NA,NA
"NATEBURLESON","WR","Nate Burleson","CLE",94,242,43.76,0.03,0.03,0.48,0,0,0.69,4.94,0,33,354.62,1.43,NA,NA,NA
"COLEBEASLEY","WR","Cole Beasley","DAL",95,243,43.55,0,0,0,0,0,0,0,0,29.42,337.69,1.66,NA,NA,NA
"DAVIDNELSON","WR","David Nelson","NYJ",96,244,42.39,0.05,0,0,0,0,0,0,0,26.44,333.07,1.53,NA,NA,NA
"MIKEBROWN","WR","Mike Brown","JAC",97,245,42.23,0.02,0.02,0.38,0.02,0,0,0,0,24.26,318.78,1.82,NA,NA,NA
"JOSEPHFAURIA","TE","Joseph Fauria","DET",40,246,41.7,0,0,0,0,0,0,0,0,15.89,227.81,3.2,NA,NA,NA
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",71,247,41.35,0,0,0,0,0,57.78,222.61,1.31,16.69,92.26,0.63,NA,NA,NA
"BENJAMINWATSON","TE","Benjamin Watson","NO",41,248,41.24,0,0,0,0,0,0,0,0,21.99,239.78,2.88,NA,NA,NA
"JARONBROWN","WR","Jaron Brown","ARI",98,249,41.12,0.05,0.03,1.06,0.03,0,0,0,0,21.27,299.8,1.84,NA,NA,NA
"BRANDONLAFELL","WR","Brandon LaFell","NE",99,250,40.75,0.28,0,0,0,0,0.56,1.12,0,21.92,286.4,2,NA,NA,NA
