Player,Action,,Proj Value,Avg Cost,Percent Drafted
No new player Notes,,,,,
Mike Wallace,The add action is disabled,Add to Watch List,$18 ,$10.00 ,100%
(Mia - WR),,,,,
No new player Notes,,,,,
Tony Gonzalez,The add action is disabled,Add to Watch List,$18 ,$9.30 ,100%
(Atl - TE),,,,,
No new player Notes,,,,,
Jason Witten,The add action is disabled,Add to Watch List,$18 ,$9.60 ,100%
(Dal - TE),,,,,
No new player Notes,,,,,
Robert Griffin III,The add action is disabled,Add to Watch List,$14 ,$11.20 ,100%
(Was - QB),,,,,
New Player Note,,,,,
DeMarco Murray,The add action is disabled,Add to Watch List,$23 ,$13.00 ,100%
(Dal - RB),,,,,
No new player Notes,,,,,
Antonio Brown,The add action is disabled,Add to Watch List,$16 ,$6.10 ,100%
(Pit - WR),,,,,
No new player Notes,,,,,
Matthew Stafford,The add action is disabled,Add to Watch List,$18 ,$8.90 ,100%
(Det - QB),,,,,
No new player Notes,,,,,
Steve Smith,The add action is disabled,Add to Watch List,$16 ,$7.40 ,100%
(Car - WR),,,,,
No new player Notes,,,,,
Le'Veon Bell,The add action is disabled,Add to Watch List,$23 ,$11.40 ,100%
(Pit - RB),,,,,
No new player Notes,,,,,
Vernon Davis,The add action is disabled,Add to Watch List,$8 ,$5.50 ,100%
(SF - TE),,,,,
Player Note,,,,,
Dennis Pitta,The add action is disabled,Add to Watch List,$12 ,$5.40 ,100%
(Bal - TE),,,,,
Player Note,,,,,
Reggie Bush,The add action is disabled,Add to Watch List,$23 ,$11.90 ,100%
(Det - RB),,,,,
Player Note,,,,,
Pierre Garcon,The add action is disabled,Add to Watch List,$14 ,$5.50 ,100%
(Was - WR),,,,,
No new player Notes,,,,,
James Jones,The add action is disabled,Add to Watch List,$12 ,$5.70 ,100%
(GB - WR),,,,,
No new player Notes,,,,,
Stephen Gostkowski,The add action is disabled,Add to Watch List,$0 ,$3.20 ,100%
(NE - K),,,,,
No new player Notes,,,,,
Kyle Rudolph,The add action is disabled,Add to Watch List,$9 ,$3.20 ,100%
(Min - TE),,,,,
No new player Notes,,,,,
David Wilson,The add action is disabled,Add to Watch List,$23 ,$9.60 ,100%
(NYG - RB),,,,,
No new player Notes,,,,,
Danario Alexander,The add action is disabled,Add to Watch List,$12 ,$3.80 ,100%
(SD - WR),,,,,
No new player Notes,,,,,
Montee Ball,The add action is disabled,Add to Watch List,$18 ,$9.90 ,100%
(Den - RB),,,,,
No new player Notes,,,,,
Matt Bryant,The add action is disabled,Add to Watch List,$0 ,$1.80 ,100%
(Atl - K),,,,,
No new player Notes,,,,,
Andrew Luck,The add action is disabled,Add to Watch List,$16 ,$8.90 ,100%
(Ind - QB),,,,,
No new player Notes,,,,,
DeSean Jackson,The add action is disabled,Add to Watch List,$10 ,$4.10 ,100%
(Phi - WR),,,,,
No new player Notes,,,,,
Ryan Mathews,The add action is disabled,Add to Watch List,$22 ,$11.80 ,100%
(SD - RB),,,,,
No new player Notes,,,,,
Greg Jennings,The add action is disabled,Add to Watch List,$12 ,$4.80 ,100%
(Min - WR),,,,,
No new player Notes,,,,,
Greg Olsen,The add action is disabled,Add to Watch List,$8 ,$2.50 ,100%
(Car - TE),,,,,
No new player Notes,,,,,
Blair Walsh,The add action is disabled,Add to Watch List,$0 ,$2.50 ,100%
(Min - K),,,,,
No new player Notes,,,,,
Darren Sproles,The add action is disabled,Add to Watch List,$14 ,$5.90 ,100%
(NO - RB),,,,,
No new player Notes,,,,,
Phil Dawson,The add action is disabled,Add to Watch List,$0 ,$1.60 ,100%
(SF - K),,,,,
No new player Notes,,,,,
Lamar Miller,The add action is disabled,Add to Watch List,$18 ,$7.30 ,100%
(Mia - RB),,,,,
Player Note,,,,,
Tony Romo,The add action is disabled,Add to Watch List,$14 ,$6.10 ,100%
(Dal - QB),,,,,
No new player Notes,,,,,
Matt Prater,The add action is disabled,Add to Watch List,$0 ,$1.50 ,100%
(Den - K),,,,,
No new player Notes,,,,,
Stevie Johnson,The add action is disabled,Add to Watch List,$12 ,$4.50 ,100%
(Buf - WR),,,,,
No new player Notes,,,,,
Miles Austin,The add action is disabled,Add to Watch List,$9 ,$3.60 ,100%
(Dal - WR),,,,,
No new player Notes,,,,,
Owen Daniels,The add action is disabled,Add to Watch List,$7 ,$2.10 ,100%
(Hou - TE),,,,,
No new player Notes,,,,,
BenJarvus Green-Ellis,The add action is disabled,Add to Watch List,$12 ,$4.40 ,96%
(Cin - RB),,,,,
No new player Notes,,,,,
Tavon Austin,The add action is disabled,Add to Watch List,$8 ,$4.50 ,100%
(StL - WR),,,,,
No new player Notes,,,,,
Justin Tucker,The add action is disabled,Add to Watch List,$0 ,$1.30 ,98%
(Bal - K),,,,,
No new player Notes,,,,,
Cecil Shorts,The add action is disabled,Add to Watch List,$10 ,$3.80 ,100%
(Jac - WR),,,,,
No new player Notes,,,,,
Chris Ivory,The add action is disabled,Add to Watch List,$13 ,$4.70 ,99%
(NYJ - RB),,,,,
No new player Notes,,,,,
Vick Ballard,The add action is disabled,Add to Watch List,$13 ,$5.30 ,93%
(Ind - RB),,,,,
No new player Notes,,,,,
Eddie Lacy,The add action is disabled,Add to Watch List,$12 ,$5.70 ,96%
(GB - RB),,,,,
No new player Notes,,,,,
Jeremy Maclin,The add action is disabled,Add to Watch List,$8 ,$2.90 ,100%
(Phi - WR),,,,,
New Player Note,,,,,
T.Y. Hilton,The add action is disabled,Add to Watch List,$7 ,$2.90 ,100%
(Ind - WR),,,,,
No new player Notes,,,,,
