"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo","passAttMedian","passCompMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"MATTFORTE","Matt Forte","RB","CHI",18,249.585218867006,260.9,270.7,249.1,254.7,254.55,253.305,243.525,244.125,234.425,250.625,239.375,250.625,282.475,250.75,236.825,0,0,250.544333333333,249.585218867006,4.05357928414317,12.5874200900665,1.2413,3.32291619122444
"PHILIPRIVERS","Philip Rivers","QB","SD",19,248.434631090284,261.83,250.18,252.24,256.18,NA,247.614,230.6,249.26,243.24,243,245.04,255.5,268.82,260.02,242.45,556,365,247.882726190476,248.434631090284,103.825154969006,9.70482514746438,15.8391,4.47162793435672
"JAYCUTLER","Jay Cutler","QB","CHI",20,243.510905150078,248.25,276.98,251.68,235.72,NA,251.234,252.84,243.66,245.88,248,239.98,241.5,237.74,260.54,236.36,547.500006888467,341.013625103848,245.507785714286,243.510905150078,93.7872425514897,10.9749577805892,10.9239,4.11640470712173
"ADRIANPETERSON","Adrian Peterson","RB","MIN",21,240.270920945321,226.935,250.8,223.825,262.625,244.025,240.2325,244.5,241.6,239.275,252.25,236.025,246.75,244.9,253.125,229.125,0,0,239.904833333333,240.270920945321,2.84059188162368,10.488254153031,0.830190326285874,3.06085828993516
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",22,238.514935542784,203.96,264.84,251.14,230.76,NA,246.082,245.84,246.68,237.12,247.2,233.7,249,255.94,253.96,219.54,565.75,356.075,238.788952380952,238.514935542784,118.689383865248,15.792156192515,12.2652,4.75736608815529
"ALEXSMITH","Alex Smith","QB","KC",23,237.605404924097,255.3,243.96,228.86,211.58,NA,232.174,247.04,258.06,229.38,243.8,235.96,256,221.12,259.74,249.94,534.300037927329,320.55,238.026178571429,237.605404924097,146,14.8092965433842,15.9,5.01546156485497
"DEZBRYANT","Dez Bryant","WR","DAL",24,232.746530992851,331.07,232.375,232.125,238.675,229.525,230.05,252.625,225.25,228.275,233.75,233.1,244.5,196.75,248.075,241.825,0,0,238.467,232.746530992851,13.7344931013797,28.2647687985962,2.8826,5.13788183642969
"ANDYDALTON","Andy Dalton","QB","CIN",25,230.034574964417,242.28,245.26,235.98,231.18,NA,231.808,227.16,230.6,229.92,241.8,237.32,236.2,245,251.2,224.6,536.75,330.500028510101,233.594916666667,230.034574964417,127.703677510608,7.76998098912916,13.8652,4.0713925953268
"EDDIELACY","Eddie Lacy","RB","GB",26,228.751006114631,246.43,250.825,209.675,225.625,227.275,224.875,249.6,214,218.05,229.75,225.15,239.875,255.6,240.6,230.625,0,0,231.158333333333,228.751006114631,5.42690461907618,14.0043308947455,1.5913,3.50701597506192
"JULIOJONES","Julio Jones","WR","ATL",27,228.632829918353,250.31,224.25,244.375,229.275,231.1,236.7375,242.075,243.825,213.975,217.5,227.75,211.5,222.875,237.725,225.98,0,0,230.0725,228.632829918353,15.2493101379724,11.7032429291852,3.9326,3.49753498956344
"AJGREEN","A.J. Green","WR","CIN",28,227.837590342506,262.985,226.75,227,233,229.25,227.4,237.075,223.375,225.75,233.75,226.65,233.875,189.25,252.375,211.1,0,0,228.999,227.837590342506,15.8270145970806,16.4477229065158,3.3326,3.93768619471068
"JIMMYGRAHAM","Jimmy Graham","TE","NO",29,220.244125349494,292.36,232.625,232.75,217.375,217.375,224.9375,252.5,209.25,213.5,224.25,212.125,215.75,188.25,221.125,211.55,0,0,224.2255,220.244125349494,9.35470905818836,23.453683075829,3.2326,4.66583980598453
