"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"EDDIELACY","Eddie Lacy","RB","GB",5,35,NA,NA,NA,NA,NA,NA,NA,277,1295,4.7,11,34.5,254,7.4,1,NA,1,208
"MONTEEBALL","Montee Ball","RB","DEN",6,36,NA,NA,NA,NA,NA,NA,NA,256.5,1190.5,4.6,10,40.5,319,7.9,1.5,NA,2.5,198
"ARIANFOSTER","Arian Foster","RB","HOU",6,36,NA,NA,NA,NA,NA,NA,NA,278.5,1226.5,4.4,8,44.5,362.5,8.1,2,NA,2,198
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",8,38,NA,NA,NA,NA,NA,NA,NA,233.5,1153,4.9,9,55,412,7.5,1,NA,2,197
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",9,39,NA,NA,NA,NA,NA,NA,NA,246.5,1174.5,4.8,5.5,55,497,9,2.5,NA,2.5,196
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,1213.5,13.9,13.5,NA,0,194
"LEVEONBELL","Le'Veon Bell","RB","PIT",10,41,NA,NA,NA,NA,NA,NA,NA,267,1176.5,4.4,9,46,365,7.9,0.5,NA,1,193
"JULIOJONES","Julio Jones","WR","ATL",3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1382.5,15.2,10.5,NA,0.5,193
"DEZBRYANT","Dez Bryant","WR","DAL",4,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,1339,14.2,11,NA,1,190
"MATTSCHAUB","Matt Schaub","QB","OAK",29,44,473.5,279,3148,17.5,14,58.9,6.6,24,24.5,1,0,NA,NA,NA,NA,NA,2.5,189
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1305.5,12.2,10.5,NA,0,186
"AJGREEN","A.J. Green","WR","CIN",5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1311,14.4,10.5,NA,0,186
"ALFREDMORRIS","Alfred Morris","RB","WAS",11,47,NA,NA,NA,NA,NA,NA,NA,279,1312.5,4.7,9.5,17,130,7.6,0.5,NA,2.5,185
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",12,48,NA,NA,NA,NA,NA,NA,NA,267.5,1216,4.5,9.5,24,190.5,7.9,1,NA,2,184
"DOUGMARTIN","Doug Martin","RB","TB",13,49,NA,NA,NA,NA,NA,NA,NA,278,1204,4.3,8,31,235.5,7.6,1.5,NA,2,181
"JORDYNELSON","Jordy Nelson","WR","GB",7,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1276,15.9,10.5,NA,0.5,181
"ZACSTACY","Zac Stacy","RB","STL",14,51,NA,NA,NA,NA,NA,NA,NA,299,1252.5,4.2,8,30,192.5,6.4,1,NA,1.5,180
"ANTONIOBROWN","Antonio Brown","WR","PIT",8,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.5,1334.5,13,7.5,NA,0.5,171
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",9,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.5,1275.5,15.8,8,NA,0,169
"BISHOPSANKEY","Bishop Sankey","RB","TEN",15,54,NA,NA,NA,NA,NA,NA,NA,267.5,1179.5,4.4,5.5,38,307,8.1,1,NA,2,168
"ANDREELLINGTON","Andre Ellington","RB","ARI",15,54,NA,NA,NA,NA,NA,NA,NA,199,985,4.9,4.5,54.5,485,8.9,2,NA,1.5,168
"RANDALLCOBB","Randall Cobb","WR","GB",10,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,1167.5,13.5,8,NA,1,166
"MICHAELVICK","Michael Vick","QB","NYJ",30,57,278.5,165.5,2030,13,9.5,59.4,7.3,48.5,310,6.4,2.5,NA,NA,NA,NA,NA,3.5,164
"BLAKEBORTLES","Blake Bortles","QB","JAC",30,57,360,209,2491,13.5,9.5,58.1,6.9,28,86,3.1,1.5,NA,NA,NA,NA,NA,2,164
"RYANMATHEWS","Ryan Mathews","RB","SD",17,59,NA,NA,NA,NA,NA,NA,NA,263.5,1176,4.5,7,24,162,6.8,1,NA,2,163
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",32,60,402,246.5,2649.5,15.5,15.5,61.3,6.6,28.5,122,4.3,0.5,NA,NA,NA,NA,NA,2.5,162
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",11,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1096,12.7,10,NA,0,161
"MICHAELCRABTREE","Michael Crabtree","WR","SF",12,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,1185.5,14.2,8.5,NA,1,160
"VINCENTJACKSON","Vincent Jackson","WR","TB",13,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,1176.5,16,8,NA,0,158
"TOBYGERHART","Toby Gerhart","RB","JAC",18,64,NA,NA,NA,NA,NA,NA,NA,257,1108.5,4.3,6.5,33,227,6.9,0.5,NA,1.5,157
"CJSPILLER","C.J. Spiller","RB","BUF",19,65,NA,NA,NA,NA,NA,NA,NA,214.5,1057.5,4.9,5.5,39.5,288.5,7.3,1.5,NA,2.5,156
"ANDREJOHNSON","Andre Johnson","WR","HOU",14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1306.5,13.5,5.5,NA,0,156
"REGGIEBUSH","Reggie Bush","RB","DET",20,67,NA,NA,NA,NA,NA,NA,NA,200,955.5,4.8,3.5,47,425,9,3,NA,2.5,155
"PIERREGARCON","Pierre Garcon","WR","WAS",15,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5,1240,13.9,6.5,NA,0.5,155
"JULIUSTHOMAS","Julius Thomas","TE","DEN",2,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,957,12.4,11,NA,0.5,152
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",3,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,988.5,13.4,10,NA,0,151
"SHANEVEREEN","Shane Vereen","RB","NE",21,71,NA,NA,NA,NA,NA,NA,NA,128,589.5,4.6,3.5,64.5,598,9.3,4.5,NA,1,148
"RAYRICE","Ray Rice","RB","BAL",22,72,NA,NA,NA,NA,NA,NA,NA,195,847.5,4.3,6,47,371,7.9,1.5,NA,2,147
"KEENANALLEN","Keenan Allen","WR","SD",16,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5,1071,15.4,8.5,NA,1,147
"JOIQUEBELL","Joique Bell","RB","DET",23,74,NA,NA,NA,NA,NA,NA,NA,202.5,879.5,4.3,6.5,44,351.5,8,1,NA,2.5,146
