Name,,Proj Value,Avg Cost,Percent Drafted,
,Sun 10:00 am @ Mia,,,,
?,New Player Note,?,$1 ,$-,0%
,Ahmad Bradshaw Ind - RB,,,,
,Sun 5:30 pm @ Den,,,,
?,No new player Notes,?,$0 ,$-,0%
,Alvin Scioneaux SD - LB,,,,
,Mon 7:20 pm @ Ari,,,,
?,No new player Notes,?,$0 ,$-,0%
,Geno Smith NYJ - QB,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$0 ,$-,0%
,Denarius Moore Oak - WR,,,,
,Sun 10:00 am @ NYJ,,,,
?,No new player Notes,?,$0 ,$-,0%
,Rashard Mendenhall Ari - RB,,,,
,Mon 7:20 pm vs SD,,,,
?,No new player Notes,?,$0 ,$-,0%
,Brandon Gibson Mia - WR,,,,
,Out,,,,
,Sun 10:00 am vs NE,,,,
?,No new player Notes,?,$0 ,$-,0%
,Marcedes Lewis Jax - TE,,,,
,Sun 10:00 am @ Phi,,,,
?,No new player Notes,?,$0 ,$-,0%
,Ryan Fitzpatrick Hou - QB,,,,
,Sun 10:00 am vs Was,,,,
?,No new player Notes,?,$0 ,$-,0%
,Da'Rick Rogers Ind - WR,,,,
,Sun 5:30 pm @ Den,,,,
?,No new player Notes,?,$0 ,$-,0%
,Nate Washington Ten - WR,,,,
,Sun 10:00 am @ KC,,,,
?,No new player Notes,?,$0 ,$-,0%
,Brandon Myers TB - TE,,,,
,Sun 1:25 pm vs Car,,,,
?,No new player Notes,?,$1 ,$-,0%
,Rod Streater Oak - WR,,,,
,Sun 10:00 am @ NYJ,,,,
?,Player Note,?,$0 ,$-,0%
,Scott Chandler Buf - TE,,,,
,Out,,,,
,Sun 10:00 am @ Chi,,,,
?,No new player Notes,?,$0 ,$-,0%
,Eddie Royal SD - WR,,,,
,Mon 7:20 pm @ Ari,,,,
?,No new player Notes,?,$0 ,$-,0%
,Jermaine Gresham Cin - TE,,,,
,Out,,,,
,Sun 10:00 am @ Bal,,,,
?,No new player Notes,?,$0 ,$-,0%
,Bilal Powell NYJ - RB,,,,
,Sun 10:00 am vs Oak,,,,
?,Player Note,?,$0 ,$-,0%
,Nate Burleson Cle - WR,,,,
,Out,,,,
,Sun 10:00 am @ Pit,,,,
?,Player Note,?,$0 ,$-,0%
,Jeremy Kerley NYJ - WR,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$0 ,$-,0%
,Jeff Cumberland NYJ - TE,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$0 ,$-,0%
,Dallas Clark Bal - TE,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$0 ,$-,0%
,Marlon Brown Bal - WR,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$0 ,$-,0%
,Bobby Rainey TB - RB,,,,
,Sun 1:25 pm vs Car,,,,
?,No new player Notes,?,$0 ,$-,0%
,Kenbrell Thompkins NE - WR,,,,
,Sun 10:00 am @ Mia,,,,
?,No new player Notes,?,$0 ,$-,0%
,Santonio Holmes NYJ - WR,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$0 ,$-,0%
,Mike Tolbert Car - RB,,,,
,Sun 1:25 pm @ TB,,,,
?,No new player Notes,?,$0 ,$-,0%
,Willis McGahee Cle - RB,,,,
,Sun 10:00 am @ Pit,,,,
?,No new player Notes,?,$0 ,$-,0%
,Jacquizz Rodgers Atl - RB,,,,
,Sun 10:00 am vs NO,,,,
?,No new player Notes,?,$0 ,$-,0%
,Anthony Fasano KC - TE,,,,
,Sun 10:00 am vs Ten,,,,
?,No new player Notes,?,$0 ,$-,0%
,Jake Locker Ten - QB,,,,
,Out,,,,
,Sun 10:00 am @ KC,,,,
?,No new player Notes,?,$0 ,$-,0%
,Leonard Hankerson Was - WR,,,,
,Out,,,,
,Sun 10:00 am @ Hou,,,,
?,No new player Notes,?,$0 ,$-,0%
,Peyton Hillis NYG - RB,,,,
,Mon 4:10 pm @ Det,,,,
?,No new player Notes,?,$0 ,$-,0%
,Kellen Winslow NYJ - TE,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$0 ,$-,0%
,Josh Brown NYG - K,,,,
,Mon 4:10 pm @ Det,,,,
?,No new player Notes,?,$0 ,$-,0%
,Taiwan Jones Oak - CB,,,,
,Sun 10:00 am @ NYJ,,,,
?,No new player Notes,?,$0 ,$-,0%
,Terence Newman Cin - CB,,,,
,Sun 10:00 am @ Bal,,,,
?,No new player Notes,?,$0 ,$-,0%
,Patrick Peterson Ari - CB,,,,
,Mon 7:20 pm vs SD,,,,
?,No new player Notes,?,$0 ,$-,0%
,Daniel Thomas Mia - RB,,,,
,Sun 10:00 am vs NE,,,,
