Name,,Proj Value,Avg Cost,Percent Drafted,
,Sun 10:00 am vs NO,,,,
?,No new player Notes,?,$23 ,$14.10 ,100%
,Frank Gore SF - RB,,,,
,Sun 1:25 pm @ Dal,,,,
?,New Player Note,?,$22 ,$10.50 ,100%
,T.Y. Hilton Ind - WR,,,,
,Sun 5:30 pm @ Den,,,,
?,No new player Notes,?,$18 ,$11.80 ,100%
,Cam Newton Car - QB,,,,
,Out,,,,
,Sun 1:25 pm @ TB,,,,
?,Player Note,?,$16 ,$9.50 ,100%
,Jordan Cameron Cle - TE,,,,
,Sun 10:00 am @ Pit,,,,
?,No new player Notes,?,$18 ,$7.30 ,100%
,Matt Ryan Atl - QB,,,,
,Sun 10:00 am vs NO,,,,
?,No new player Notes,?,$18 ,$6.60 ,100%
,Julian Edelman NE - WR,,,,
,Sun 10:00 am @ Mia,,,,
?,No new player Notes,?,$16 ,$10.90 ,100%
,Tom Brady NE - QB,,,,
,Sun 10:00 am @ Mia,,,,
?,New Player Note,?,$18 ,$7.80 ,100%
,Robert Griffin III Was - QB,,,,
,Sun 10:00 am @ Hou,,,,
?,No new player Notes,?,$12 ,$6.10 ,100%
,Jason Witten Dal - TE,,,,
,Sun 1:25 pm vs SF,,,,
?,No new player Notes,?,$16 ,$5.40 ,100%
,Torrey Smith Bal - WR,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$24 ,$11.40 ,100%
,Rashad Jennings NYG - RB,,,,
,Mon 4:10 pm @ Det,,,,
?,No new player Notes,?,$12 ,$4.90 ,100%
,Greg Olsen Car - TE,,,,
,Sun 1:25 pm @ TB,,,,
?,No new player Notes,?,$16 ,$4.10 ,100%
,Michael Floyd Ari - WR,,,,
,Mon 7:20 pm vs SD,,,,
?,No new player Notes,?,$13 ,$6.80 ,100%
,Nick Foles Phi - QB,,,,
,Sun 10:00 am vs Jax,,,,
?,Player Note,?,$14 ,$6.70 ,100%
,Jeremy Maclin Phi - WR,,,,
,Sun 10:00 am vs Jax,,,,
?,No new player Notes,?,$23 ,$12.50 ,94%
,Bishop Sankey Ten - RB,,,,
,Sun 10:00 am @ KC,,,,
?,No new player Notes,?,$7 ,$2.80 ,100%
,Dennis Pitta Bal - TE,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$13 ,$8.10 ,100%
,Chris Johnson NYJ - RB,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$0 ,$2.60 ,100%
,Stephen Gostkowski NE - K,,,,
,Sun 10:00 am @ Mia,,,,
?,No new player Notes,?,$10 ,$3.60 ,100%
,Eric Decker NYJ - WR,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$0 ,$2.80 ,100%
,Matt Prater Den - K,,,,
,Sun 5:30 pm vs Ind,,,,
?,Player Note,?,$13 ,$4.70 ,100%
,Knowshon Moreno Mia - RB,,,,
,Sun 10:00 am vs NE,,,,
?,No new player Notes,?,$18 ,$9.80 ,100%
,Ben Tate Cle - RB,,,,
,Sun 10:00 am @ Pit,,,,
?,No new player Notes,?,$0 ,$1.00 ,100%
,Adam Vinatieri Ind - K,,,,
,Sun 5:30 pm @ Den,,,,
?,No new player Notes,?,$14 ,$8.40 ,100%
