"name","name_nfl","pos","team_nfl","positionRank_nfl","overallRank_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","twoPts_nfl","fumbles_nfl","pts_nfl"
"DANNYWOODHEAD","Danny Woodhead","RB","SD",34,105,NA,NA,0,0,0,392,3,NA,510,5,0,0,138.2
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",35,106,NA,NA,2530,13,11,67,0,NA,0,0,0,0,137.9
"RILEYCOOPER","Riley Cooper","WR","PHI",35,107,NA,NA,0,0,0,5,0,NA,990,6,1,0,137.5
"GOLDENTATE","Golden Tate","WR","DET",36,108,NA,NA,0,0,0,10,0,NA,943,7,0,0,137.3
"DARRENSPROLES","Darren Sproles","RB","PHI",35,109,NA,NA,0,0,0,340,2,NA,630,5,0,2,135
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",35,109,NA,NA,0,0,0,749,5,NA,241,1,0,0,135
"VERNONDAVIS","Vernon Davis","TE","SF",4,111,NA,NA,0,0,0,0,0,NA,819,9,0,1,133.9
"STEVANRIDLEY","Stevan Ridley","RB","NE",37,112,NA,NA,0,0,0,819,8,NA,84,0,0,3,132.3
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",37,113,NA,NA,0,0,0,40,0,NA,880,7,0,1,132
"BERNARDPIERCE","Bernard Pierce","RB","BAL",38,114,NA,NA,0,0,0,709,6,NA,190,1,0,0,131.9
"JASONWITTEN","Jason Witten","TE","DAL",5,115,NA,NA,0,0,0,0,0,NA,978,6,0,1,131.8
"SAMMYWATKINS","Sammy Watkins","WR","BUF",38,116,NA,NA,0,0,0,26,0,NA,891,7,0,1,131.7
"BRANDINCOOKS","Brandin Cooks","WR","NO",39,117,NA,NA,0,0,0,0,0,NA,831,8,0,0,131.1
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",40,118,NA,NA,0,0,0,7,0,NA,960,6,0,1,130.7
"CECILSHORTS","Cecil Shorts","WR","JAX",40,118,NA,NA,0,0,0,0,0,NA,947,6,0,0,130.7
"TERRANCEWEST","Terrance West","RB","CLE",39,120,NA,NA,0,0,0,740,5,NA,199,1,0,0,129.9
"DENNISPITTA","Dennis Pitta","TE","BAL",6,121,NA,NA,0,0,0,0,0,NA,872,7,0,0,129.2
"JORDANCAMERON","Jordan Cameron","TE","CLE",7,122,NA,NA,0,0,0,0,0,NA,858,7,1,1,127.8
"DARRENMCFADDEN","Darren McFadden","RB","OAK",40,123,NA,NA,0,0,0,702,4,NA,307,1,0,2,126.9
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",40,123,NA,NA,0,0,0,688,3,NA,301,2,0,1,126.9
"JAMESJONES","James Jones","WR","OAK",42,125,NA,NA,0,0,0,0,0,NA,855,7,0,1,125.5
"GREGOLSEN","Greg Olsen","TE","CAR",8,126,NA,NA,0,0,0,0,0,NA,851,7,0,1,125.1
"TAVONAUSTIN","Tavon Austin","WR","STL",43,127,NA,NA,0,0,0,131,2,NA,739,5,0,2,125
"BRIANHARTLINE","Brian Hartline","WR","MIA",43,127,NA,NA,0,0,0,0,0,NA,950,5,0,0,125
"RUEBENRANDLE","Rueben Randle","WR","NYG",43,127,NA,NA,0,0,0,0,0,NA,930,6,0,2,125
"MIKEEVANS","Mike Evans","WR","TB",46,130,NA,NA,0,0,0,0,0,NA,783,8,0,1,124.3
"MARVINJONES","Marvin Jones","WR","CIN",47,131,NA,NA,0,0,0,33,0,NA,784,7,0,0,123.7
"ANQUANBOLDIN","Anquan Boldin","WR","SF",48,132,NA,NA,0,0,0,7,0,NA,881,6,0,1,122.8
"HAKEEMNICKS","Hakeem Nicks","WR","IND",49,133,NA,NA,0,0,0,0,0,NA,845,6,0,0,120.5
"GREGJENNINGS","Greg Jennings","WR","MIN",50,134,NA,NA,0,0,0,0,0,NA,860,6,0,1,120
"AARONDOBSON","Aaron Dobson","WR","NE",51,135,NA,NA,0,0,0,0,0,NA,852,6,0,1,119.2
"ROBERTWOODS","Robert Woods","WR","BUF",52,136,NA,NA,0,0,0,12,0,NA,816,6,0,0,118.8
"KHIRYROBINSON","Khiry Robinson","RB","NO",42,137,NA,NA,0,0,0,697,5,NA,129,1,0,0,118.6
"CHRISIVORY","Chris Ivory","RB","NYJ",43,138,NA,NA,0,0,0,791,6,NA,34,0,0,0,118.5
"JUSTINHUNTER","Justin Hunter","WR","TEN",53,139,NA,NA,0,0,0,0,0,NA,842,6,0,1,118.2
"KENNYSTILLS","Kenny Stills","WR","NO",54,140,NA,NA,0,0,0,26,0,NA,731,7,0,0,117.7
"JORDANREED","Jordan Reed","TE","WAS",9,141,NA,NA,0,0,0,0,0,NA,791,6,1,0,117.1
"KENNYBRITT","Kenny Britt","WR","STL",55,142,NA,NA,0,0,0,0,0,NA,880,5,0,1,116
"STEVESMITH","Steve Smith","WR","BAL",56,143,NA,NA,0,0,0,0,0,NA,803,6,0,1,114.3
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",10,144,NA,NA,0,0,0,0,0,NA,662,8,0,0,114.2
"DANNYAMENDOLA","Danny Amendola","WR","NE",57,145,NA,NA,0,0,0,9,0,NA,790,6,0,1,113.9
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",11,146,NA,NA,0,0,0,0,0,NA,717,7,0,0,113.7
"MARKINGRAM","Mark Ingram","RB","NO",44,147,NA,NA,0,0,0,670,5,NA,166,0,0,0,113.6
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",45,148,NA,NA,0,0,0,650,5,NA,115,1,0,0,112.5
"CHARLESCLAY","Charles Clay","TE","MIA",12,148,NA,NA,0,0,0,0,0,NA,765,6,0,0,112.5
"SHONNGREENE","Shonn Greene","RB","TEN",46,150,NA,NA,0,0,0,798,5,NA,59,0,0,2,111.7
"ROBERTTURBIN","Robert Turbin","RB","SEA",47,151,NA,NA,0,0,0,680,6,NA,95,0,0,1,111.5
"DOUGBALDWIN","Doug Baldwin","WR","SEA",58,152,NA,NA,0,0,0,13,0,NA,798,5,0,0,111.1
"MILESAUSTIN","Miles Austin","WR","CLE",59,153,NA,NA,0,0,0,0,0,NA,770,6,0,1,111
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",59,153,NA,NA,0,0,0,0,0,NA,770,6,0,1,111
"ANDREBROWN","Andre Brown","RB","HOU",48,155,NA,NA,0,0,0,640,6,NA,98,0,0,0,109.8
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",49,156,NA,NA,0,0,0,611,5,NA,122,1,0,0,109.3
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",61,157,NA,NA,0,0,0,0,0,NA,791,5,0,0,109.1
"MARKUSWHEATON","Markus Wheaton","WR","PIT",62,158,NA,NA,0,0,0,13,0,NA,772,5,0,0,108.5
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",63,159,NA,NA,0,0,0,0,0,NA,765,5,0,0,106.5
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",50,160,NA,NA,0,0,0,710,5,NA,93,0,0,2,106.3
"CARLOSHYDE","Carlos Hyde","RB","SF",51,161,NA,NA,0,0,0,600,6,NA,58,1,0,1,105.8
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",64,162,NA,NA,0,0,0,20,0,NA,732,5,0,0,105.2
"MIKEWILLIAMS","Mike Williams","WR","BUF",65,163,NA,NA,0,0,0,0,0,NA,770,5,0,1,105
"ZACHERTZ","Zach Ertz","TE","PHI",13,164,NA,NA,0,0,0,0,0,NA,749,5,0,0,104.9
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",66,165,NA,NA,0,0,0,0,0,NA,690,6,0,1,103
"KNILEDAVIS","Knile Davis","RB","KC",52,166,NA,NA,0,0,0,608,4,NA,160,1,0,2,102.8
"HARRYDOUGLAS","Harry Douglas","WR","ATL",67,167,NA,NA,0,0,0,0,0,NA,720,5,0,0,102
