"name","name_nfl","pos","team_nfl","positionRank_nfl","overallRank_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","twoPts_nfl","fumbles_nfl","pts_nfl"
"BLAKEBORTLES","Blake Bortles","QB","JAX",36,265,NA,NA,669,4,3,82,1,NA,0,0,1,0,52.96
"MATTASIATA","Matt Asiata","RB","MIN",75,266,NA,NA,0,0,0,279,3,NA,67,0,0,0,52.6
"DONALDBROWN","Donald Brown","RB","SD",76,267,NA,NA,0,0,0,263,2,NA,120,0,0,0,50.3
"DARRIUSHEYWARDBEY","Darrius Heyward-Bey","WR","PIT",116,268,NA,NA,0,0,0,7,0,NA,385,2,0,1,49.2
"MICHAELBUSH","Michael Bush","RB",NA,77,269,NA,NA,0,0,0,258,3,NA,53,0,0,0,49.1
"LANCEKENDRICKS","Lance Kendricks","TE","STL",41,269,NA,NA,0,0,0,0,0,NA,311,3,0,0,49.1
"MARIONGRICE","Marion Grice","RB","SD",78,271,NA,NA,0,0,0,128,1,NA,237,1,0,0,48.5
"DRIARCHER","Dri Archer","RB","PIT",79,272,NA,NA,0,0,0,255,2,NA,67,1,0,1,48.2
"BRANDONBOLDEN","Brandon Bolden","RB","NE",80,273,NA,NA,0,0,0,232,2,NA,120,0,0,0,47.2
"ROBERTMEACHEM","Robert Meachem","WR","NO",117,274,NA,NA,0,0,0,0,0,NA,350,2,0,0,47
"RONNIEBROWN","Ronnie Brown","RB",NA,81,275,NA,NA,0,0,0,270,2,NA,76,0,0,0,46.6
"BRYCEBROWN","Bryce Brown","RB","BUF",82,276,NA,NA,0,0,0,252,3,NA,48,0,0,1,46
"AUSTINCOLLIE","Austin Collie","WR",NA,118,277,NA,NA,0,0,0,0,0,NA,339,2,0,0,45.9
"BILALPOWELL","Bilal Powell","RB","NYJ",83,278,NA,NA,0,0,0,284,2,NA,52,0,0,0,45.6
"DALLASCLARK","Dallas Clark","TE",NA,42,279,NA,NA,0,0,0,0,0,NA,334,2,0,0,45.4
"ANTHONYFASANO","Anthony Fasano","TE","KC",42,279,NA,NA,0,0,0,0,0,NA,334,2,0,0,45.4
"MIKEBROWN","Mike Brown","WR","JAX",119,281,NA,NA,0,0,0,0,0,NA,412,1,0,1,45.2
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",84,282,NA,NA,0,0,0,203,2,NA,128,0,0,0,45.1
"ZACHMILLER","Zach Miller","TE","SEA",44,282,NA,NA,0,0,0,0,0,NA,331,2,0,0,45.1
"ISAIAHPEAD","Isaiah Pead","RB","STL",85,284,NA,NA,0,0,0,217,1,NA,112,1,0,0,44.9
"KIRKCOUSINS","Kirk Cousins","QB","WAS",37,285,NA,NA,718,5,4,39,0,NA,0,0,0,0,44.62
"CASEKEENUM","Case Keenum","QB","HOU",38,286,NA,NA,796,5,6,45,0,NA,0,0,0,0,44.34
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",86,287,NA,NA,0,0,0,224,2,NA,119,0,0,1,44.3
"DWAYNEHARRIS","Dwayne Harris","WR","DAL",120,288,NA,NA,0,0,0,28,0,NA,232,3,0,0,44
"BRIANQUICK","Brian Quick","WR","STL",121,289,NA,NA,0,0,0,0,0,NA,319,2,0,0,43.9
"BOBBYRAINEY","Bobby Rainey","RB","TB",87,290,NA,NA,0,0,0,212,2,NA,64,1,0,1,43.6
"JOHNCARLSON","John Carlson","TE","ARI",45,290,NA,NA,0,0,0,0,0,NA,376,1,0,0,43.6
"GAVINESCOBAR","Gavin Escobar","TE","DAL",45,290,NA,NA,0,0,0,0,0,NA,316,2,0,0,43.6
"RYANGRIFFIN","Ryan Griffin","TE","HOU",47,293,NA,NA,0,0,0,0,0,NA,313,2,0,0,43.3
"TONYMOEAKI","Tony Moeaki","TE","BUF",48,294,NA,NA,0,0,0,0,0,NA,311,2,0,0,43.1
"MIKELLESHOURE","Mikel Leshoure","RB","DET",88,295,NA,NA,0,0,0,222,2,NA,88,0,0,0,43
"CHRISPOLK","Chris Polk","RB","PHI",89,296,NA,NA,0,0,0,168,2,NA,79,1,0,0,42.7
"BRUCEELLINGTON","Bruce Ellington","WR","SF",122,296,NA,NA,0,0,0,0,0,NA,387,1,0,1,42.7
"MIKEGLENNON","Mike Glennon","QB","TB",39,298,NA,NA,818,5,6,19,0,NA,0,0,0,0,42.62
"DENNISJOHNSON","Dennis Johnson","RB","HOU",90,299,NA,NA,0,0,0,207,1,NA,92,1,0,0,41.9
"MARKSANCHEZ","Mark Sanchez","QB","PHI",40,300,NA,NA,799,4,4,16,0,NA,0,0,0,0,41.56
"TERRELLEPRYOR","Terrelle Pryor","QB","SEA",41,301,NA,NA,486,3,7,173,1,NA,0,0,0,0,40.74
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",91,302,NA,NA,0,0,0,206,2,NA,96,0,0,1,40.2
"BLAINEGABBERT","Blaine Gabbert","QB","SF",42,303,NA,NA,675,4,2,9,0,NA,0,0,0,0,39.9
"FOZZYWHITTAKER","Fozzy Whittaker","RB","CAR",92,304,NA,NA,0,0,0,195,1,NA,143,0,0,0,39.8
"QUINTONPATTON","Quinton Patton","WR","SF",123,305,NA,NA,0,0,0,14,0,NA,322,1,0,0,39.6
"CHRISTIANPONDER","Christian Ponder","QB","MIN",43,306,NA,NA,789,4,7,55,0,NA,0,0,0,0,39.06
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",124,307,NA,NA,0,0,0,6,0,NA,320,1,0,0,38.6
"DAVIDNELSON","David Nelson","WR","NYJ",125,308,NA,NA,0,0,0,0,0,NA,315,1,0,0,37.5
"DARICKROGERS","Da'Rick Rogers","WR","IND",126,309,NA,NA,0,0,0,6,0,NA,248,2,0,0,37.4
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",127,310,NA,NA,0,0,0,0,0,NA,313,1,0,0,37.3
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",128,311,NA,NA,0,0,0,0,0,NA,312,1,0,0,37.2
"SANTANAMOSS","Santana Moss","WR","WAS",129,312,NA,NA,0,0,0,0,0,NA,348,1,0,2,36.8
"JONBALDWIN","Jon Baldwin","WR",NA,130,313,NA,NA,0,0,0,0,0,NA,243,2,0,0,36.3
"JIMDRAY","Jim Dray","TE","CLE",49,313,NA,NA,0,0,0,0,0,NA,303,1,0,0,36.3
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",131,315,NA,NA,0,0,0,0,0,NA,258,2,0,1,35.8
"DEVIERPOSEY","DeVier Posey","WR","HOU",132,316,NA,NA,0,0,0,0,0,NA,282,1,0,0,34.2
"MATTMCGLOIN","Matt McGloin","QB","OAK",44,317,NA,NA,522,5,4,12,0,NA,0,0,0,0,34.08
"EDDICKSON","Ed Dickson","TE","CAR",50,318,NA,NA,0,0,0,0,0,NA,279,1,0,0,33.9
"PAULRICHARDSON","Paul Richardson","WR","SEA",133,319,NA,NA,0,0,0,0,0,NA,276,1,0,0,33.6
"WILLISMCGAHEE","Willis McGahee","RB",NA,93,320,NA,NA,0,0,0,185,2,NA,27,0,0,0,33.2
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",94,321,NA,NA,0,0,0,210,2,NA,18,0,0,1,32.8
"LAVONBRAZILL","LaVon Brazill","WR",NA,134,322,NA,NA,0,0,0,0,0,NA,280,1,0,1,32
"CHRISOWUSU","Chris Owusu","WR","TB",135,323,NA,NA,0,0,0,0,0,NA,256,1,0,0,31.6
"JOHNATHANFRANKLIN","Johnathan Franklin","RB",NA,95,324,NA,NA,0,0,0,167,1,NA,127,0,0,2,31.4
"TYLERGAFFNEY","Tyler Gaffney","RB","NE",96,325,NA,NA,0,0,0,185,1,NA,63,0,0,0,30.8
"GRIFFWHALEN","Griff Whalen","WR","IND",136,326,NA,NA,0,0,0,0,0,NA,245,1,0,0,30.5
"LARODSTEPHENSHOWLING","LaRod Stephens-Howling","RB",NA,97,327,NA,NA,0,0,0,211,1,NA,33,0,0,0,30.4
"MIKEGOODSON","Mike Goodson","RB","NYJ",98,328,NA,NA,0,0,0,155,1,NA,88,0,0,0,30.3
"JOSHHUFF","Josh Huff","WR","PHI",137,328,NA,NA,0,0,0,0,0,NA,243,1,0,0,30.3
"JOSHMORGAN","Josh Morgan","WR","CHI",138,330,NA,NA,0,0,0,0,0,NA,261,1,0,1,30.1
"ANDRECALDWELL","Andre Caldwell","WR","DEN",139,331,NA,NA,0,0,0,5,0,NA,233,1,0,0,29.8
"JURONCRINER","Juron Criner","WR","OAK",140,332,NA,NA,0,0,0,0,0,NA,230,1,0,0,29
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",141,333,NA,NA,0,0,0,28,0,NA,220,1,0,1,28.8
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CLE",99,334,NA,NA,0,0,0,104,1,NA,81,1,0,1,28.5
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",99,334,NA,NA,0,0,0,225,0,NA,60,0,0,0,28.5
"JARVISLANDRY","Jarvis Landry","WR","MIA",142,336,NA,NA,0,0,0,0,0,NA,214,1,0,0,27.4
"DEREKCARR","Derek Carr","QB","OAK",45,337,NA,NA,452,3,3,29,0,NA,0,0,0,0,26.98
"TANDONDOSS","Tandon Doss","WR","JAX",143,338,NA,NA,0,0,0,0,0,NA,289,0,0,1,26.9
"JOSHBOYCE","Josh Boyce","WR","NE",144,339,NA,NA,0,0,0,0,0,NA,201,1,0,0,26.1
"DREWDAVIS","Drew Davis","WR","ATL",145,340,NA,NA,0,0,0,0,0,NA,193,1,0,0,25.3
"SHAUNHILL","Shaun Hill","QB","STL",46,341,NA,NA,421,3,3,21,0,NA,0,0,0,0,24.94
"NICKTOON","Nick Toon","WR","NO",146,342,NA,NA,0,0,0,0,0,NA,165,1,0,0,22.5
"DAVONEBESS","Davone Bess","WR",NA,147,343,NA,NA,0,0,0,0,0,NA,228,0,0,1,20.8
"AJMCCARRON","AJ McCarron","QB","CIN",47,344,NA,NA,367,3,3,1,0,NA,0,0,0,0,20.78
"JASONCAMPBELL","Jason Campbell","QB","CIN",48,345,NA,NA,333,2,1,13,0,NA,0,0,0,0,20.62
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",49,346,NA,NA,321,2,2,13,0,NA,0,0,0,0,18.14
"KYLEORTON","Kyle Orton","QB",NA,50,347,NA,NA,324,2,2,7,0,NA,0,0,0,0,17.66
"LEONARDHANKERSON","Leonard Hankerson","WR","WAS",148,348,NA,NA,0,0,0,0,0,NA,109,1,0,0,16.9
"JACOBYFORD","Jacoby Ford","WR","NYJ",149,349,NA,NA,0,0,0,83,0,NA,102,0,0,1,16.5
"DOMENIKHIXON","Domenik Hixon","WR",NA,150,350,NA,NA,0,0,0,0,0,NA,130,0,0,0,13
