"name","player","pos","team","projections","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"JAMAALCHARLES","Jamaal Charles","RB","KC",276.837608598223,153.667469955035,10.5363006940564,1.0413,14.1929531614969,3.15256422889173,59.7,74,79,74
"LESEANMCCOY","LeSean McCoy","RB","PHI",263.100672229449,139.930533586261,9.59110286744398,1.05941766901095,19.5473774260414,3.85410964768013,60.1,75,67,60
"MATTFORTE","Matt Forte","RB","CHI",253.575209417379,130.405070774191,8.74608021735751,1.24197322556544,10.1152039030363,2.65057923848802,53.85,67,58,61
"CALVINJOHNSON","Calvin Johnson","WR","DET",266.79968365548,122.642617253642,10.1063875793733,1.4913,12.1016083067959,2.94736517331734,55.95,70,67,58
"ADRIANPETERSON","Adrian Peterson","RB","MIN",242.930791859818,119.76065321663,5.76519110278484,1.4413,12.2510496007258,2.95934164303902,58.3,73,52,52
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",255.112156404468,110.955090002629,10.0714566031057,2.0913,16.2642581678354,3.58097122004468,51.35,64,59,58
"EDDIELACY","Eddie Lacy","RB","GB",226.025813145601,102.855674502413,4.87519732320115,1.2913,15.4156576246361,3.34977933877494,55.85,70,43,51
"JIMMYGRAHAM","Jimmy Graham","TE","NO",223.874728150512,101.367317065058,8.60904284504612,4.2239,15.2064830495454,3.76397926391193,53.4,67,49,45
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",222.694870942978,99.5247322997894,10.0330234738852,3.6913,18.3133574884563,4.08928200403489,34.7,43,40,35
"ARIANFOSTER","Arian Foster","RB","HOU",218.64987278363,95.4797341404422,9.5563385212508,5.3652,14.9162534755057,3.89792223948605,33.35,42,38,35
"PEYTONMANNING","Peyton Manning","QB","DEN",342.050068753799,94.4427020939715,9.35910514524129,6.4565,10.6305014201798,3.50287324077245,41.1,51,39,44
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",217.6070231222,94.4368844790118,6.37672694789863,2.3913,18.2205037225313,3.88144985579327,55.85,63,37,35
"DEZBRYANT","Dez Bryant","WR","DAL",237.59955117477,93.4424847729319,8.95635094049087,3.0826,13.7764404872957,3.40551974457319,46.3,58,48,50
"MONTEEBALL","Montee Ball","RB","DEN",215.887473129979,92.7173344867913,6.37331978957701,3.9326,15.1244233361143,3.70941456759968,50.65,57,36,22
"JULIOJONES","Julio Jones","WR","ATL",234.943820162937,90.7867537610984,10.0448568979987,3.5826,8.09657403542455,2.73950219764326,37.75,47,49,46
"AJGREEN","A.J. Green","WR","CIN",232.512840939999,88.3557745381605,6.56526497003536,3.0326,9.9482724630963,2.8983695728097,48.35,60,47,52
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",231.70643175556,87.5493653537221,9.85193106562173,2.1913,18.3945776279618,3.87405884436716,40.9,51,47,54
"LEVEONBELL","Le'Veon Bell","RB","PIT",210.306447693552,87.1363090503638,7.90617884039481,3.5326,16.7226696006179,3.85778567514854,42.65,48,32,13
"DOUGMARTIN","Doug Martin","RB","TB",207.799584766891,84.6294461237024,8.23774380389093,6.4239,15.5403539771818,4.13876112660672,37.5,43,31,29
