"player","position","positionRank","team","teams","aav","teams10","aavImputeZeros","aavPercent","aavImputeZerosPercent","aavFitted","aavPercentFitted","aavPercentToAAVFitted","predictedAAV","predictedAAVPercent","predictedAAVPercentToAAV"
"A.J. Green","WR",8,"CIN",14,36,31,36,1.28571428571429,1.28571428571429,35.6777000685311,1.27154001173555,35.6031203285953,35.8896566704385,1.27257263728764,35.6320338440539
"A.J. Green","WR",8,"CIN",4,19,31,19,2.375,2.375,19.8728852077883,2.43137706127448,19.4510164901959,19.7824107316009,2.42251118686323,19.3800894949058
"A.J. Green","WR",8,"CIN",10,31,31,31,1.55,1.55,31.7961441143044,1.59995270021677,31.9990540043354,31.8871282849739,1.59702592578353,31.9405185156705
"A.J. Green","WR",8,"CIN",18,37,31,37,1.02777777777778,1.02777777777778,36.8217089048544,1.03042295373641,37.0952263345106,37.1546379379997,1.03541497927384,37.2749392538582
"A.J. Green","WR",8,"CIN",12,33,31,33,1.375,1.375,34.1067733134158,1.41983080156069,34.0759392374567,34.2582436997043,1.41888372712012,34.0532094508828
"A.J. Green","WR",8,"CIN",20,36,31,36,0.9,0.9,36.5054223151032,0.917582283141652,36.7032913256661,36.8988375638674,0.924554008671755,36.9821603468702
"A.J. Green","WR",8,"CIN",8,30,31,30,1.875,1.875,28.6904968066763,1.82191290891416,29.1506065426266,28.7209947617268,1.81700643448824,29.0721029518119
"A.J. Green","WR",8,"CIN",6,26,31,26,2.16666666666667,2.16666666666667,24.734515726011,2.09571862886327,25.1486235463592,24.7045274654426,2.08883245444468,25.0659894533362
"A.J. Green","WR",8,"CIN",16,37,31,37,1.15625,1.15625,36.5642400441703,1.14507312953091,36.6423401449891,36.8366828616967,1.14808545507567,36.7387345624215
"Aaron Rodgers","QB",2,"GB",18,51,43,51,1.41666666666667,1.41666666666667,50.6696075404314,1.35765043795629,48.8754157664264,49.9836433046928,1.37476167001853,49.4914201206671
"Aaron Rodgers","QB",2,"GB",14,46,43,46,1.64285714285714,1.64285714285714,46.2040748543685,1.66325684051617,46.5711915344529,45.6393073400106,1.63108570018451,45.6703996051662
"Aaron Rodgers","QB",2,"GB",4,29,43,29,3.625,3.625,26.476773157964,3.43829747042341,27.5063797633873,26.2149974470577,3.28292039910697,26.2633631928557
"Aaron Rodgers","QB",2,"GB",6,38,43,38,3.16666666666667,3.16666666666667,35.4234625151405,3.03229443030005,36.3875331636006,35.1010884435439,2.90155854518057,34.8187025421668
"Aaron Rodgers","QB",2,"GB",10,43,43,43,2.15,2.15,43.8037243354878,2.26450534270815,45.2901068541631,43.3601535425105,2.18305182998258,43.6610365996516
"Aaron Rodgers","QB",2,"GB",20,58,43,58,1.45,1.45,56.1909089051093,1.35605724723594,54.2422898894377,55.4443463086803,1.39780966549514,55.9123866198055
"Aaron Rodgers","QB",2,"GB",16,47,43,47,1.46875,1.46875,47.6758750847114,1.46542953214271,46.8937450285666,47.0505092096632,1.45789957800799,46.6527864962558
"Aaron Rodgers","QB",2,"GB",12,44,43,44,1.83333333333333,1.83333333333333,45.2485701658209,1.93499467379767,46.439872171144,44.7444010121533,1.87818234726905,45.0763763344571
"Aaron Rodgers","QB",2,"GB",8,41,43,41,2.5625,2.5625,40.863900679788,2.63565115796862,42.170418527498,40.4809282475011,2.52955645904609,40.4729033447375
"Adam Vinatieri","K",7,"IND",18,1,1,1,0.0277777777777778,0.0277777777777778,1.03180239619599,0.0292664591146389,1.053592528127,1.01248852158005,0.0272286355619702,0.980230880230929
"Adam Vinatieri","K",7,"IND",16,1,1,1,0.03125,0.03125,1.04503874772546,0.032246772223174,1.03189671114157,1.03196904106056,0.0319640111171713,1.02284835574948
"Adam Vinatieri","K",7,"IND",8,1,1,1,0.0625,0.0625,0.701421120916613,0.0359215863512944,0.57474538162071,0.713328086055926,0.0426590750319557,0.682545200511292
"Adam Vinatieri","K",7,"IND",6,NA,1,0,NA,0,0.449801116680554,0.026843311102508,0.322119733230096,0.467952249770919,0.0353358622298354,0.424030346758024
"Adam Vinatieri","K",7,"IND",20,1,1,1,0.025,0.025,1.00553967709474,0.0286356498572262,1.14542599428905,0.979981634527743,0.0248427638578915,0.993710554315661
"Adam Vinatieri","K",7,"IND",10,1,1,1,0.05,0.05,0.873439918278703,0.039413996246892,0.788279924937841,0.879102715466964,0.0443964224808874,0.887928449617748
"Adam Vinatieri","K",7,"IND",14,1,1,1,0.0357142857142857,0.0357142857142857,1.03193376382269,0.0359895153419695,1.00770642957515,1.02510822510885,0.0374618166826328,1.04893086711372
"Adam Vinatieri","K",7,"IND",4,NA,1,0,NA,0,0.105264937710091,0.0105920966596702,0.0847367732773615,0.129660238751507,0.0208397102336635,0.166717681869308
"Adam Vinatieri","K",7,"IND",12,1,1,1,0.0416666666666667,0.0416666666666667,0.979172476627241,0.0389076146301633,0.933782751123918,0.978591105864451,0.0421349784174926,1.01123948201982
"Adrian Peterson","RB",3,"MIN",20,49,50,49,1.225,1.225,49.4325878752181,1.23209682296074,49.2838729184296,49.1793883565457,1.23315217425692,49.3260869702767
"Adrian Peterson","RB",3,"MIN",14,54,50,54,1.92857142857143,1.92857142857143,54.5357138930379,1.94307623271544,54.4061345160323,54.3897642300813,1.94018573698455,54.3252006355675
"Adrian Peterson","RB",3,"MIN",16,54,50,54,1.6875,1.6875,54.2494528384371,1.68752059956128,54.0006591859611,54.0677532235752,1.68594538617275,53.9502523575281
"Adrian Peterson","RB",3,"MIN",12,53,50,53,2.20833333333333,2.20833333333333,53.1737064431218,2.21612110152641,53.1869064366339,53.0635067320706,2.21191532345317,53.0859677628762
"Adrian Peterson","RB",3,"MIN",10,50,50,50,2.5,2.5,49.988314823807,2.5058502603099,50.1170052061981,49.9138650646609,2.50032919989431,50.0065839978862
"Adrian Peterson","RB",3,"MIN",18,54,50,54,1.5,1.5,52.4900389442029,1.45025914774828,52.209329318938,52.2725893774358,1.4499992167021,52.1999718012757
"Adrian Peterson","RB",3,"MIN",4,28,50,28,3.5,3.5,27.7406783006389,3.46709401965226,27.7367521572181,27.7734783972087,3.4576271122096,27.6610168976768
"Adrian Peterson","RB",3,"MIN",8,44,50,44,2.75,2.75,44.8044233702099,2.81145876338158,44.9833402141053,44.7657235629691,2.80462242062364,44.8739587299782
"Adrian Peterson","RB",3,"MIN",6,38,50,38,3.16666666666667,3.16666666666667,37.4469164174482,3.13214166505714,37.5856999806857,37.4439665621127,3.12399003995684,37.4878804794821
"Albert Wilson","WR",103,"KC",16,NA,0,0,NA,0,0,-0.0396802138082675,0,0,0,0
"Albert Wilson","WR",103,"KC",20,2,0,2,0.05,0.05,1.51005758023386,0.0241717076213632,0.966868304854528,0,0.00412100063465504,0.164840025386201
"Albert Wilson","WR",103,"KC",10,NA,0,0,NA,0,0.234664082938279,0.00156178908750312,0.0312357817500624,0,0,0
"Albert Wilson","WR",103,"KC",18,NA,0,0,NA,0,0.079011586938607,-0.0231255441320208,0,0,0,0
"Albert Wilson","WR",103,"KC",14,NA,0,0,NA,0,0,-0.0348472494612089,0,0,0,0
"Albert Wilson","WR",103,"KC",4,NA,0,0,NA,0,0,-0.0172910992603932,0,0,0,0
"Albert Wilson","WR",103,"KC",12,NA,0,0,NA,0,0,-0.0179815991446756,0,0,0,0
"Albert Wilson","WR",103,"KC",6,NA,0,0,NA,0,0.357110117230382,0.0112619870834737,0.135143845001684,0.3293957110531,0.0106730597216983,0.12807671666038
"Albert Wilson","WR",103,"KC",8,NA,0,0,NA,0,0.499507004513311,0.0144279671814955,0.230847474903928,0.248436941993202,0.0110587855875869,0.176940569401391
"Alex Smith","QB",19,"KC",12,1,0,1,0.0416666666666667,0.0416666666666667,0.522360440840271,0.0338668142412021,0.812803541788849,0.593083730275609,0.0334837271680021,0.80360945203205
"Alex Smith","QB",19,"KC",20,22,0,22,0.55,0.55,22.0708026870417,0.554540896905846,22.1816358762338,22.2738945417928,0.556818260324336,22.2727304129734
"Alex Smith","QB",19,"KC",14,4,0,4,0.142857142857143,0.142857142857143,2.26807745273704,0.0919739377996566,2.57527025839038,2.3718928835013,0.092255963349379,2.58316697378261
"Alex Smith","QB",19,"KC",18,11,0,11,0.305555555555556,0.305555555555556,12.3659767145219,0.342077089879977,12.3147752356792,12.535976427944,0.343689340675544,12.3728162643196
"Alex Smith","QB",19,"KC",4,NA,0,0,NA,0,0,0.00894392067204832,0.0715513653763866,0,0.00590038310715855,0.0472030648572684
"Alex Smith","QB",19,"KC",6,NA,0,0,NA,0,0.382277545343088,0.00451658246864017,0.054198989623682,0.35372441079166,0.00213815752667285,0.0256578903200742
