"projectionId","playerId","rec","recYds","recTds","rushAtt","rushYds","rushTds","fumbles","twoPts","rec100","rec150","rec200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
69259,2495315,3,37,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69260,2552458,54,663,3.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69261,2506897,34,499,2.9,7,42,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69262,2541891,17,289,1.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69263,2553434,17,289,1.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69264,2543641,7,84,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69265,497278,92,1391,13.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69266,2543614,25,353,2.9,4,18,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69267,2530700,4,64,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69268,2552491,22,340,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69269,2530747,65,815,3.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69270,2495558,56,719,2.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69271,2495159,11,143,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69272,1990,33,338,1.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69273,497322,89,1140,8.8,7,38,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69274,497284,75,1028,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69275,2507029,8,91,0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69276,2541828,7,76,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69277,497326,85,1105,5,6,41,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69278,2495867,26,366,2.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69279,2535876,4,47,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69280,80672,6,72,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69281,222,28,304,1.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69282,2550182,4,46,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69283,2495651,5,107,0.6,3,18,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69284,2552463,25,289,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69285,2550162,6,74,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69286,2532978,41,554,2.4,4,41,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69287,2541966,29,322,2.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69288,2543488,88,896,5.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69289,2495802,10,133,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69290,2543750,9,92,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69291,2495189,16,198,1,4,39,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69292,80429,77,1026,6.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69293,2530598,11,149,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69294,2532887,40,587,2.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69295,2506004,9,108,0.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69296,2543847,57,795,5.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69297,2543500,80,1040,7.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69298,1032,85,1329,11.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69299,2530720,12,209,1.2,4,38,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69300,2543746,9,130,0.8,3,22,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69301,238498,100,1021,5.8,12,108,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69302,2495454,92,1498,7.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69303,2532862,3,38,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69304,2552418,11,182,1.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69305,2540151,38,572,2.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69306,2530660,22,298,2.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69307,2540154,82,982,6.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69308,2543471,77,1040,8.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69309,2539214,3,39,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69310,2532977,69,787,6,7,71,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69311,2552421,5,61,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69312,71217,46,709,3.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69313,2540202,51,733,5.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69314,2532900,6,72,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69315,2553432,58,816,6.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69316,2506106,80,1031,6.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69317,2495158,4,45,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69318,80670,28,388,2.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69319,2505785,39,725,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69320,1037885,4,40,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69321,2539291,41,517,1.8,2,9,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69322,2540005,33,383,3.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69323,2543475,47,605,2.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69324,2495821,60,883,7.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69325,2540177,11,119,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69326,2539964,6,95,0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69327,2543572,68,987,8.8,8,35,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69328,2532884,45,573,4.7,3,21,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69329,2550163,7,85,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69330,71269,42,581,3.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69331,2532841,55,924,5.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69332,2543468,80,1266,10.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69333,2507763,60,890,5.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69334,2533040,21,295,1.7,2,17,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69335,2506313,43,579,3.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69336,2552600,64,888,5.4,5,34,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69337,2532960,30,534,2.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69338,2543496,101,1523,11.2,8,41,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69339,80425,48,537,3.5,23,143,0.6,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69340,2552424,29,424,4.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69341,2550546,23,341,2,7,60,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69342,2346,76,846,3.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69343,497312,7,95,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69344,2539250,10,152,0.9,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69345,2495448,81,1192,10.5,5,19,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69346,2495306,12,171,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69347,497282,40,498,2.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69348,2543777,2,20,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69349,2540169,25,348,1.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69350,2535869,35,426,2.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69351,2506366,80,999,6.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69352,2533533,45,714,2.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69353,2543759,7,83,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69354,2552470,8,118,1.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69355,2543457,75,1027,5.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
