analystId,siteTableId,positionId,startPage,endPage,stepPage,urlPeriod,urlData,nameCol,whichTable,playerLinkString,siteUrl
yasp,yahoo_rb,2,0,275,25,season,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?&sort=PTS&sdir=1&status=A&pos=RB&cut_type=9&stat1=S_PS_{$Season}&jsenabled=1&count={$PgeID}
yasp,yahoo_wr,3,0,425,25,week,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?status=A&pos=WR&cut_type=9&stat1=S_PW_{$WeekNo}&myteam=0&sort=PTS&sdir=1&count={$PgeID}
yasp,yahoo_wr,3,0,425,25,season,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?&sort=PTS&sdir=1&status=A&pos=WR&cut_type=9&stat1=S_PS_{$Season}&jsenabled=1&count={$PgeID}
yasp,yahoo_te,4,0,225,25,week,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?status=A&pos=TE&cut_type=9&stat1=S_PW_{$WeekNo}&myteam=0&sort=PTS&sdir=1&count={$PgeID}
yasp,yahoo_te,4,0,225,25,season,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?&sort=PTS&sdir=1&status=A&pos=TE&cut_type=9&stat1=S_PS_{$Season}&jsenabled=1&count={$PgeID}
yasp,yahoo_k,5,0,50,25,week,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?status=A&pos=K&cut_type=9&stat1=S_PW_{$WeekNo}&myteam=0&sort=PTS&sdir=1&count={$PgeID}
yasp,yahoo_k,5,0,50,25,season,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?&sort=PTS&sdir=1&status=A&pos=K&cut_type=9&stat1=S_PS_{$Season}&jsenabled=1&count={$PgeID}
yasp,yahoo_dst,6,0,25,25,week,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?status=A&pos=DEF&cut_type=9&stat1=S_PW_{$WeekNo}&myteam=0&sort=PTS&sdir=1&count={$PgeID}
yasp,yahoo_dst,6,0,25,25,season,html,2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}",http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?&sort=PTS&sdir=1&status=A&pos=DEF&cut_type=9&stat1=S_PS_{$Season}&jsenabled=1&count={$PgeID}
essit,espn_qb,1,0,160,40,week,html,1,2,,http://games.espn.go.com/ffl/tools/projections?&slotCateryId=0&scoringPeriodId={$WeekNo}&seasonId={$Season}&startIndex={$PgeID}
essit,espn_qb,1,0,160,40,season,html,2,2,,http://games.espn.go.com/ffl/tools/projections?&slotCategoryId=0&startIndex={$PgeID}
essit,espn_rb,2,0,400,40,week,html,1,2,,http://games.espn.go.com/ffl/tools/projections?&slotCateryId=2&scoringPeriodId={$WeekNo}&seasonId={$Season}&startIndex={$PgeID}
essit,espn_rb,2,0,400,40,season,html,2,2,,http://games.espn.go.com/ffl/tools/projections?&slotCategoryId=2&startIndex={$PgeID}
essit,espn_wr,3,0,520,40,week,html,1,2,,http://games.espn.go.com/ffl/tools/projections?&slotCateryId=4&scoringPeriodId={$WeekNo}&seasonId={$Season}&startIndex={$PgeID}
essit,espn_wr,3,0,520,40,season,html,2,2,,http://games.espn.go.com/ffl/tools/projections?&slotCategoryId=4&startIndex={$PgeID}
essit,espn_te,4,0,280,40,week,html,1,2,,http://games.espn.go.com/ffl/tools/projections?&slotCateryId=6&scoringPeriodId={$WeekNo}&seasonId={$Season}&startIndex={$PgeID}
essit,espn_te,4,0,280,40,season,html,2,2,,http://games.espn.go.com/ffl/tools/projections?&slotCategoryId=6&startIndex={$PgeID}
nfla,nfl_qb,1,1,76,25,week,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=1&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=weekProjectedStats&offset={$PgeID}&statweek={$WeekNo}
nfla,nfl_qb,1,1,76,25,season,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=1&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=seasonProjectedStats&offset={$PgeID}
nfla,nfl_rb,2,1,201,25,week,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=2&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=weekProjectedStats&offset={$PgeID}&statweek={$WeekNo}
nfla,nfl_rb,2,1,201,25,season,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=2&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=seasonProjectedStats&offset={$PgeID}
nfla,nfl_wr,3,1,251,25,week,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=3&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=weekProjectedStats&offset={$PgeID}&statweek={$WeekNo}
nfla,nfl_wr,3,1,251,25,season,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=3&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=seasonProjectedStats&offset={$PgeID}
nfla,nfl_te,4,1,126,25,week,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=4&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=weekProjectedStats&offset={$PgeID}&statweek={$WeekNo}
nfla,nfl_te,4,1,126,25,season,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=4&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=seasonProjectedStats&offset={$PgeID}
nfla,nfl_k,5,1,26,25,week,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=7&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=weekProjectedStats&offset={$PgeID}&statweek={$WeekNo}
nfla,nfl_k,5,1,26,25,season,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=7&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=seasonProjectedStats&offset={$PgeID}
nfla,nfl_dst,6,1,26,25,week,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=8&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=weekProjectedStats&offset={$PgeID}&statweek={$WeekNo}
nfla,nfl_dst,6,1,26,25,season,html,1,1,"playerId=[0-9]{3,7}$",http://fantasy.nfl.com/research/projections?position=8&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=seasonProjectedStats&offset={$PgeID}
fosp,fox_qb,1,1,6,1,week,html,1,1,,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=8&split=4&playerSearchStatus=1
fosp,fox_qb,1,1,6,1,season,html,1,1,/fantasy/football/commissioner/Players/Profile.aspx,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=8&split=3&playerSearchStatus=1
fosp,fox_rb,2,1,12,1,week,html,1,1,,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=16&split=4&playerSearchStatus=1
fosp,fox_rb,2,1,12,1,season,html,1,1,/fantasy/football/commissioner/Players/Profile.aspx,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=16&split=3&playerSearchStatus=1
fosp,fox_wr,3,1,18,1,week,html,1,1,,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=1&split=4&playerSearchStatus=1
fosp,fox_wr,3,1,18,1,season,html,1,1,/fantasy/football/commissioner/Players/Profile.aspx,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=1&split=3&playerSearchStatus=1
fosp,fox_te,4,1,9,1,week,html,1,1,,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=4&split=4&playerSearchStatus=1
fosp,fox_te,4,1,9,1,season,html,1,1,/fantasy/football/commissioner/Players/Profile.aspx,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=4&split=3&playerSearchStatus=1
fosp,fox_k,5,1,3,1,week,html,1,1,,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=64&split=4&playerSearchStatus=1
fosp,fox_k,5,1,3,1,season,html,1,1,/fantasy/football/commissioner/Players/Profile.aspx,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=64&split=3&playerSearchStatus=1
fosp,fox_dst,6,1,2,1,week,html,1,1,,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=32768&split=4&playerSearchStatus=1
fosp,fox_dst,6,1,2,1,season,html,1,1,/fantasy/football/commissioner/Players/Profile.aspx,http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position=32768&split=3&playerSearchStatus=1
ffto,fft_qb,1,0,0,1,week,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerwkproj.php?Season={$Season}&GameWeek={$WeekNo}&LeaugeID=1&PosID=10&cur_page={$PgeID}
ffto,fft_qb,1,0,0,1,season,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerproj.php?Season={$Season}&LeaugeID=1&PosID=10&cur_page={$PgeID}
ffto,fft_rb,2,0,1,1,week,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerwkproj.php?Season={$Season}&GameWeek={$WeekNo}&LeaugeID=1&PosID=20&cur_page={$PgeID}
ffto,fft_rb,2,0,1,1,season,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerproj.php?Season={$Season}&LeaugeID=1&PosID=20&cur_page={$PgeID}
ffto,fft_wr,3,0,2,1,week,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerwkproj.php?Season={$Season}&GameWeek={$WeekNo}&LeaugeID=1&PosID=30&cur_page={$PgeID}
ffto,fft_wr,3,0,2,1,season,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerproj.php?Season={$Season}&LeaugeID=1&PosID=30&cur_page={$PgeID}
ffto,fft_te,4,0,1,1,week,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerwkproj.php?Season={$Season}&GameWeek={$WeekNo}&LeaugeID=1&PosID=40&cur_page={$PgeID}
ffto,fft_te,4,0,1,1,season,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerproj.php?Season={$Season}&LeaugeID=1&PosID=40&cur_page={$PgeID}
ffto,fft_k,5,0,0,1,week,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerwkproj.php?Season={$Season}&GameWeek={$WeekNo}&LeaugeID=1&PosID=80&cur_page={$PgeID}
ffto,fft_k,5,0,0,1,season,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerproj.php?Season={$Season}&LeaugeID=1&PosID=80&cur_page={$PgeID}
ffto,fft_dst,6,0,0,1,week,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerwkproj.php?Season={$Season}&GameWeek={$WeekNo}&LeaugeID=1&PosID=99&cur_page={$PgeID}
ffto,fft_dst,6,0,0,1,season,html,2,11,"/stats/players/""",http://www.fftoday.com/rankings/playerproj.php?Season={$Season}&LeaugeID=1&PosID=99&cur_page={$PgeID}
numf,nmf_qb,1,1,1,1,week,html,1,1,,http://www.numberfire.com/nfl/fantasy/fantasy-football-projections/qb
numf,nmf_qb,1,1,1,1,season,file,1,1,,/numberfire/qbprojections.xls
numf,nmf_rb,2,1,1,1,week,html,1,1,,http://www.numberfire.com/nfl/fantasy/fantasy-football-projections/rb
numf,nmf_rb,2,1,1,1,season,file,1,1,,/numberfire/rbprojections.xls
numf,nmf_wr,3,1,1,1,week,html,1,1,,http://www.numberfire.com/nfl/fantasy/fantasy-football-projections/wr
numf,nmf_wr,3,1,1,1,season,file,1,1,,/numberfire/wrprojections.xls
numf,nmf_te,4,1,1,1,week,html,1,1,,http://www.numberfire.com/nfl/fantasy/fantasy-football-projections/te
numf,nmf_te,4,1,1,1,season,file,1,1,,/numberfire/teprojections.xls
numf,nmf_k,5,1,1,1,week,html,1,1,,http://www.numberfire.com/nfl/fantasy/fantasy-football-projections/k
numf,nmf_k,5,1,1,1,season,file,1,1,,/numberfire/kprojections.xls
numf,nmf_dst,6,1,1,1,week,html,1,1,,http://www.numberfire.com/nfl/fantasy/fantasy-football-projections/d
numf,nmf_dst,6,1,1,1,season,file,1,1,,/numberfire/dstprojections.xls
fapro,ffp_qb,1,1,1,1,week,html,1,2,,http://www.fantasypros.com/nfl/projections/qb
fapro,ffp_rb,2,1,1,1,week,html,1,2,,http://www.fantasypros.com/nfl/projections/rb
fapro,ffp_wr,3,1,1,1,week,html,1,2,,http://www.fantasypros.com/nfl/projections/wr
fapro,ffp_te,4,1,1,1,week,html,1,2,,http://www.fantasypros.com/nfl/projections/te
fapro,ffp_k,5,1,1,1,week,html,1,2,,http://www.fantasypros.com/nfl/projections/k
dono,fbg_qb,1,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=0&pos=qb&profile=0&week={$WeekNo}
dono,fbg_rb,2,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=0&pos=rb&profile=0&week={$WeekNo}
dono,fbg_wr,3,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=0&pos=wr&profile=0&week={$WeekNo}
dono,fbg_te,4,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=0&pos=te&profile=0&week={$WeekNo}
dono,fbg_k,5,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=0&pos=pk&profile=0&week={$WeekNo}
dono,fbg_dst,6,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=0&pos=td&profile=0&week={$WeekNo}
dado,fbg_qb,1,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=qb&projector=2&profile=0
dado,fbg_rb,2,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=rb&projector=2&profile=0
dado,fbg_wr,3,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=wr&projector=2&profile=0
dado,fbg_te,4,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=te&projector=2&profile=0
dado,fbg_k,5,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=pk&projector=2&profile=0
dado,fbg_dst,6,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=td&projector=2&profile=0
matr,fbg_qb,1,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=53&pos=qb&profile=0&week={$WeekNo}
matr,fbg_qb,1,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=qb&projector=53&profile=0
matr,fbg_rb,2,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=53&pos=rb&profile=0&week={$WeekNo}
matr,fbg_rb,2,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=rb&projector=53&profile=0
matr,fbg_wr,3,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=53&pos=wr&profile=0&week={$WeekNo}
matr,fbg_wr,3,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=wr&projector=53&profile=0
matr,fbg_te,4,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=53&pos=te&profile=0&week={$WeekNo}
matr,fbg_te,4,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=te&projector=53&profile=0
matr,fbg_k,5,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=53&pos=pk&profile=0&week={$WeekNo}
matr,fbg_k,5,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=pk&projector=53&profile=0
matr,fbg_dst,6,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=53&pos=td&profile=0&week={$WeekNo}
matr,fbg_dst,6,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=td&projector=53&profile=0
wafo,wf_qb,1,1,1,1,season,file,0,,,/walterfootball/fantasy{$Season}rankingsexcel.xls
wafo,wf_rb,2,1,1,1,season,file,0,,,/walterfootball/fantasy{$Season}rankingsexcel.xls
wafo,wf_wr,3,1,1,1,season,file,0,,,/walterfootball/fantasy{$Season}rankingsexcel.xls
wafo,wf_te,4,1,1,1,season,file,0,,,/walterfootball/fantasy{$Season}rankingsexcel.xls
wafo,wf_k,5,1,1,1,season,file,0,,,/walterfootball/fantasy{$Season}rankingsexcel.xls
aaru,fbg_dl,7,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=dl&projector=40&profile=0
aaru,fbg_lb,8,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=lb&projector=40&profile=0
aaru,fbg_db,9,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=db&projector=40&profile=0
jono,fbg_dl,7,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=dl&projector=56&profile=0
jono,fbg_lb,8,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=lb&projector=56&profile=0
jono,fbg_db,9,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=db&projector=56&profile=0
mihe,fbg_k,5,1,1,1,week,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who=60&pos=pk&profile=0&week={$WeekNo}
mihe,fbg_k,5,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=pk&projector=60&profile=0
bohe,fbg_qb,1,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=qb&projector=41&profile=0
bohe,fbg_rb,2,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=rb&projector=41&profile=0
bohe,fbg_wr,3,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=wr&projector=41&profile=0
bohe,fbg_te,4,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=te&projector=41&profile=0
jawo,fbg_qb,1,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=qb&projector=50&profile=0
jawo,fbg_rb,2,1,1,1,season,html,2,1,player-all-info.php?,http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat=rb&projector=50&profile=0
