"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts"
"Drew Stanton","QB","ARI",486,8.484,NA,6.51,NA,8.484,7.497,3.57378365388013,NA
"DuJuan Harris","RB","GB",273,40.015,32.375,50.4075,NA,40.015,40.8158333333333,27.2646182101432,29.83
"Dustin Keller","TE","MIA",161,93.0875,93.625,96.0875,92.375,93.0875,93.7854166666667,88.3338087844753,52.63
"Dwayne Allen","TE","IND",159,94.4,78.25,102.3125,83.625,94.4,89.5885416666667,89.7641314914784,84.63
"Dwayne Bowe","WR","KC",66,181.175,158.75,190.7375,177.375,181.175,176.859375,185.189086921637,117.13
"Dwayne Harris","WR","DAL",239,53.5,51.25,NA,56.375,53.5,53.6916666666667,38.1040901122159,56.53
"E.J. Manuel","QB","BUF",100,147.554,84.62,180.248,113.64,147.554,130.623833333333,171.760519556621,NA
"Earl Bennett","WR","CHI",216,63.5,48.5,74.825,55.875,63.5,60.6666666666667,59.4750145901431,62.4
"Ed Dickson","TE","BAL",227,57.8375,52.625,61.6125,69.625,57.8375,60.425,58.104991274422,29.13
"Eddie Lacy","RB","GB",103,144.0825,155.325,146.905,165.925,144.0825,152.792708333333,153.334972442706,NA
"Eddie Royal","WR","SD",281,38.405,NA,NA,52.125,38.405,45.265,16.7575003884532,39.73
"Eddie Williams","RB","CLE",613,0.745,NA,NA,NA,0.745,0.745,2.49496775400223,NA
"Edwin Baker","RB","SD",483,8.56,NA,NA,NA,8.56,8.56,2.14072866353774,NA
"Eli Manning","QB","NYG",19,239.166,219.58,249.458,233.44,239.166,234.502666666667,245.724693613871,216.92
"Emmanuel Sanders","WR","PIT",110,133.08,135.025,136.4875,141.5,133.08,136.542291666667,130.001056408767,82.05
"Emory Blake","WR","STL",678,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Eric Decker","WR","DEN",71,174.225,158.375,179.2125,166.875,174.225,169.555208333333,170.454657749447,214.44
"Eric Page","WR",NA,679,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Eric Weems","WR","CHI",432,13.4875,NA,NA,35.875,13.4875,24.68125,5.68774292228255,16.5
"Erik Lorig","RB","TB",548,4.43,NA,NA,NA,4.43,4.43,2.25891905921463,23.38
"Evan Moore","TE",NA,444,12.375,NA,NA,NA,12.375,12.375,2.16900198411139,NA
"Evan Rodriguez","TE","MIA",555,4,NA,NA,8,4,6,3.03399949198638,NA
"Evan Royster","RB","WAS",265,43.8175,32.5,47.5925,34.3,43.8175,39.5525,37.7434409145826,35.21
"Felix Jones","RB","PHI",302,32.885,36.825,NA,59.025,32.885,42.8616666666667,25.9489399017407,102.67
"Fendi Onobun","TE","CHI",622,0.4125,NA,NA,NA,0.4125,0.4125,2.52232419440992,NA
"Frank Gore","RB","SF",61,184.93,187.575,187.82,182.95,184.93,185.402083333333,174.71923419572,207.45
"Fred Davis","TE","WAS",156,96.5875,93.625,104.1625,98.25,96.5875,98.1395833333333,94.1107060016446,40.73
"Fred Jackson","RB","BUF",145,102.6925,77.45,114.1575,127.375,102.6925,105.085416666667,112.703971585549,85.83
"Gabe Miller","TE","CHI",680,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Garrett Celek","TE","SF",393,18.2625,NA,NA,NA,18.2625,18.2625,2.47167568737405,6.38
"Garrett Graham","TE","HOU",247,50.15,NA,53.3375,NA,50.15,51.74375,23.4928358558336,54.88
"Gary Barnidge","TE","CLE",478,8.775,NA,NA,NA,8.775,8.775,2.13881214879609,23.25
"Gavin Escobar","TE","DAL",305,32.3,NA,NA,NA,32.3,32.3,4.46169519865123,NA
"Geno Smith","QB","NYJ",136,111.132,103.54,130.718,89.22,111.132,107.619166666667,114.689073355549,NA
"Giovani Bernard","RB","CIN",114,127.5025,128.15,149.2075,111.675,127.5025,128.775416666667,135.218123311701,NA
"Golden Tate","WR","SEA",166,92.1025,81,104.25,102.5,92.1025,95.295625,94.5666387600136,132.92
"Graham Harrell","QB","GB",538,5.126,NA,5.72,NA,5.126,5.423,3.21682452830476,NA
"Greg Childs","WR","MIN",681,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Greg Jennings","WR","MIN",98,148.0375,142.75,151.375,167,148.0375,152.190625,153.712774794158,70.75
"Greg Little","WR","CLE",128,117.45,99.1,115.5625,128.875,117.45,115.380208333333,117.37527866743,110.38
"Greg McElroy","QB","NYJ",682,NA,NA,NA,NA,NA,0,2.55765622217905,9.56
"Greg Olsen","TE","CAR",115,126.9875,123.375,129.1375,122.75,126.9875,125.445833333333,119.166245998878,136.38
"Greg Orton","WR","DEN",683,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Greg Salas","WR","PHI",502,7.6,NA,NA,NA,7.6,7.6,2.1544013274904,NA
"Griff Whalen","WR","IND",504,7.575,NA,NA,NA,7.575,7.575,2.15486905477059,NA
"Hakeem Nicks","WR","NYG",77,169.0375,146.5,176.925,175,169.0375,166.757291666667,174.883043463496,105.5
"Harry Douglas","WR","ATL",220,61.4875,56.9,67.25,46.375,61.4875,58.0822916666667,56.3667350573411,57.9
"Harvey Unga","RB","CHI",525,6.1,NA,NA,NA,6.1,6.1,2.19249810805593,NA
"Hayden Smith","TE","NYJ",442,12.525,NA,NA,NA,12.525,12.525,2.17281069317534,NA
"Heath Miller","TE","PIT",170,88.8625,71.375,98.5375,93.75,88.8625,87.9729166666667,88.3267707473406,155
"Henry Hynoski","RB","NYG",463,10.44,NA,NA,NA,10.44,10.44,2.13816498979315,15.25
"Isaac Redman","RB","PIT",246,50.68,57.975,39.3925,47.1,50.68,48.6702083333333,46.7561045665467,74.5
"Isaiah Pead","RB","STL",141,106.8825,118.75,114.98,123.25,106.8825,115.757291666667,112.898288990176,9.64
"Isaiah Stanback","TE","NE",626,0.3375,NA,NA,NA,0.3375,0.3375,2.52863341349217,NA
"Isaiah Williams","WR","OAK",684,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jackie Battle","RB","FA",685,NA,NA,NA,NA,NA,0,2.55765622217905,79.1
"Jacob Hester","RB","DEN",384,19.3225,NA,NA,NA,19.3225,19.3225,2.55956532372306,20.98
"Jacob Tamme","TE","DEN",207,67.7125,75.375,78.375,50,67.7125,67.865625,67.1532135451926,85.38
"Jacoby Ford","WR","OAK",218,62.8175,70.65,65.2625,60.875,62.8175,65.6370833333333,62.0725609382038,NA
"Jacoby Jones","WR","BAL",167,90.855,97.3,98.9625,66.625,90.855,88.650625,90.581856834644,106.51
"Jacquizz Rodgers","RB","ATL",160,93.7,94.725,96.55,106.875,93.7,97.8541666666667,94.7540845812245,110.29
"Jahvid Best","RB","DET",686,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jake Ballard","TE","NE",206,68.8375,80.75,50.05,69.25,68.8375,67.1052083333333,66.377975069408,NA
"Jake Delhomme","QB",NA,687,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jake Locker","QB","TEN",55,193.096,163.1,222.922,169.8,193.096,186.1545,221.660612887943,119.14
"Jake Stoneburner","TE","GB",688,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jalen Parmele","RB","TEN",505,7.5375,NA,NA,NA,7.5375,7.5375,2.15558127402113,31.96
"Jamaal Charles","RB","KC",16,251.545,245.15,264.0875,253.025,251.545,252.960208333333,252.376102068713,208.4
"Jamar Newsome","WR","KC",581,2,NA,NA,NA,2,2,2.40074726558089,10.13
"JaMarcus Russell","QB",NA,689,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"James Casey","TE","PHI",198,72.5125,NA,93.7375,46.975,72.5125,71.1416666666667,59.9919008322786,63.85
"James Hanna","TE","DAL",453,11.15,NA,NA,NA,11.15,11.15,2.14553575342666,15.75
"James Jones","WR","GB",83,160.925,158,178.45,138.5,160.925,158.827083333333,169.922763002926,183
"James Starks","RB","GB",381,19.825,5.775,NA,27,19.825,17.5333333333333,9.26057551106715,35.38
"Jamie Harper","RB",NA,379,20.15,NA,NA,28.5,20.15,24.325,7.48504048226977,24
"Jamie McCoy","TE","PIT",690,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jared Cook","TE","STL",132,114.4625,112.75,125.65,109.625,114.4625,115.463541666667,113.096241623347,87.38
"Jarett Dillard","WR",NA,691,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jarius Wright","WR","MIN",205,69.1675,71.2,86.4875,NA,69.1675,76.5983333333333,62.7617258583188,51.85
"Jaron Brown","WR","ARI",692,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jarred Fayson","WR","NO",693,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jarrett Boykin","WR","GB",434,13.4375,NA,NA,NA,13.4375,13.4375,2.2003769259257,5.88
"Jason Avant","WR","PHI",230,56.3,69.875,62.3875,23,56.3,52.7572916666667,52.2936957104237,84
"Jason Campbell","QB","CLE",322,28.55,24.58,35.6,NA,28.55,22.1241666666667,18.3063226125723,15.4
"Jason Snelling","RB","ATL",292,36.375,35.975,41.55,34.05,36.375,36.8458333333333,35.5223846374214,42
"Jason Witten","TE","DAL",92,150.7625,147,152.2,136.75,150.7625,146.678125,144.24094939593,147.88
"Jasper Collins","WR","MIA",694,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Javon Ringer","RB","FA",695,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jawan Jamison","RB","WAS",696,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jay Cutler","QB","CHI",37,215.756,196.84,239.35,186.88,215.756,208.5065,241.411352926537,168.62
"Jed Collins","RB","NO",417,15.6075,NA,18.5925,NA,15.6075,17.1,5.77174731848686,19.75
"Jeff Cumberland","TE","NYJ",245,50.7625,NA,66.8625,31.875,50.7625,49.8333333333333,35.5893948118153,63.88
"Jeff Demps","RB","TB",697,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jeff Fuller","WR","MIA",431,13.5125,NA,NA,NA,13.5125,13.5125,2.20297849892182,NA
"Jeff King","TE","ARI",339,25.95,NA,32.75,21.75,25.95,26.8166666666667,16.247871810572,17.13
"Jeff Maehl","WR","HOU",571,2.725,NA,NA,NA,2.725,2.725,2.35282674265625,NA
"Jeff Tuel","QB","BUF",698,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jeremiah Johnson","RB","DEN",699,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jeremy Ebert","WR","JAC",700,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jeremy Horne","WR",NA,701,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jeremy Kerley","WR","NYJ",173,87.445,85.25,99.5375,75.125,87.445,86.874375,86.1232928316549,122.02
"Jeremy Maclin","WR","PHI",96,149.5925,136.875,157.5125,165.775,149.5925,152.97875,156.448055771187,146.13
"Jeremy Ross","WR","GB",702,NA,NA,NA,NA,NA,0,2.55765622217905,4.78
"Jeremy Stewart","RB","OAK",462,10.46,NA,NA,NA,10.46,10.46,2.13831003732929,18.71
"Jermaine Gresham","TE","CIN",150,100.2375,84.625,100.0625,113.125,100.2375,99.2208333333333,100.135511857561,120.13
"Jermaine Kearse","WR","SEA",703,NA,NA,NA,NA,NA,0,2.55765622217905,6.38
"Jermichael Finley","TE","GB",127,118.25,101,120.75,112.625,118.25,112.947916666667,112.531260079738,93.38
"Jerome Felton","RB","MIN",477,8.9375,NA,NA,NA,8.9375,8.9375,2.13764179904268,4.7
"Jerome Simpson","WR","MIN",251,48.425,55.625,NA,54.375,48.425,52.6916666666667,36.3743279120692,31.25
"Jeron Mastrud","TE","OAK",704,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jerrel Jernigan","WR","NYG",433,13.45,NA,NA,NA,13.45,13.45,2.2008069786483,6.55
"Jerrell Jackson","WR","CHI",705,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jerricho Cotchery","WR","PIT",253,48.2375,NA,67.0375,40.875,48.2375,52.0666666666667,36.6834013745176,25.63
"Jewel Hampton","RB",NA,706,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jim Dray","TE","ARI",572,2.7125,NA,NA,NA,2.7125,2.7125,2.35361257091381,NA
"Jimmy Clausen","QB","CAR",707,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jimmy Graham","TE","NO",49,201.6375,205.875,196.7875,209.25,201.6375,203.370833333333,197.11380385997,176.75
"Joe Adams","WR","CAR",563,3.375,NA,NA,NA,3.375,3.375,2.31391645180707,NA
"Joe Anderson","WR","CHI",708,NA,NA,NA,NA,NA,0,2.55765622217905,5.5
"Joe Flacco","QB","BAL",32,221.912,215.38,231.018,214.2,221.912,219.385833333333,219.23599378143,220.88
"Joe Hastings","WR",NA,709,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Joe McKnight","RB","NYJ",364,21.6825,12.4,NA,35.7,21.6825,23.1441666666667,12.5304310138486,46.59
"Joe Morgan","WR","NO",171,88.2825,68.975,98.0375,NA,88.2825,85.7433333333333,78.9055465917361,NA
"Joe Webb","WR","MIN",426,14.4375,NA,NA,NA,14.4375,14.4375,2.23925921354396,NA
"Joel Dreessen","TE","DEN",210,65.2375,65,71.875,48.375,65.2375,62.521875,61.2565284182867,75.5
"John Carlson","TE","MIN",354,23.525,NA,NA,NA,23.525,23.525,3.00830363186003,5.38
"John Conner","RB","CIN",583,1.94,NA,NA,NA,1.94,1.94,2.40492668888555,NA
"John Griffin","RB","NYJ",542,4.8575,NA,NA,NA,4.8575,4.8575,2.23950737143815,NA
"John Kuhn","RB","GB",289,36.995,NA,46.6825,5.95,36.995,29.8758333333333,18.0607574263727,32.8
"John Parker Wilson","QB","JAC",710,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"John Phillips","TE","SD",369,21.05,NA,NA,NA,21.05,21.05,2.72463724044815,18.78
"John Skelton","QB","CIN",623,0.402,NA,NA,NA,0.402,0.402,2.52320441391913,23.78
"Johnathan Franklin","RB","GB",154,97.975,130.825,92.52,101.975,97.975,105.757083333333,109.585095470364,NA
"Joique Bell","RB","DET",248,49.8,30.75,55.2925,61.425,49.8,49.1085416666667,47.2589608585131,120.11
"Jon Baldwin","WR","KC",209,65.8625,42.25,64.5375,72.125,65.8625,61.09375,60.4058989832726,47.63
"Jonathan Dwyer","RB","PIT",270,41.1,39.8,46.9925,63.3,41.1,47.6147916666667,45.0000419550982,83.55
"Jonathan Grimes","RB",NA,514,6.55,NA,NA,NA,6.55,6.55,2.17892640250864,NA
"Jonathan Stewart","RB","CAR",107,138.365,114.4,143.4,161.6,138.365,139.124583333333,150.939430441784,65.23
"Jordan Cameron","TE","CLE",152,99.7625,86.875,93.4,97,99.7625,94.209375,91.2944921874681,35.25
"Jordan Norwood","WR","CLE",506,7.5,NA,NA,NA,7.5,7.5,2.15630624726805,17.23
"Jordan Reed","TE","WAS",367,21.6125,NA,NA,20.125,21.6125,20.86875,6.99982204675405,NA
"Jordan Roberts","RB","KC",711,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jordan Rodgers","QB","JAC",712,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Jordan Shipley","WR","JAC",241,52.3625,61.625,65.1625,28.5,52.3625,51.9125,50.4313614133319,37.54
"Jordan Todman","RB","JAC",614,0.6,NA,NA,NA,0.6,0.6,2.50677434163941,NA
"Jordan White","WR","NYJ",546,4.5,NA,NA,NA,4.5,4.5,2.25562705501471,NA
"Jordy Nelson","WR","GB",67,180.95,184.5,188.2125,174.75,180.95,181.994791666667,177.047437811998,138.13
"Jorvorski Lane","RB","MIA",328,27.12,NA,NA,NA,27.12,27.12,3.51929204850381,NA
"Jorvorskie Lane","RB","MIA",713,NA,NA,27.12,NA,NA,27.12,0.80389994692365,29.52
"Joseph Fauria","TE","DET",714,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Joseph Randle","RB","DAL",192,75.6575,75.875,88.1325,57.175,75.6575,74.135,74.1178025739892,NA
"Josh Bellamy","WR","KC",715,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Josh Boyce","WR","NE",318,29.325,35.25,NA,39,29.325,34.525,20.9112772952335,NA
"Josh Cooper","WR","CLE",529,5.8875,NA,NA,NA,5.8875,5.8875,2.19954537737891,14.25
"Josh Cribbs","WR","OAK",351,23.6,NA,NA,36.925,23.6,30.2625,9.2567387325671,NA
"Josh Freeman","QB","TB",27,226.716,210.74,234.55,242.52,226.716,227.689833333333,240.341525901529,229.5
"Josh Gordon","WR","CLE",102,146.9175,129,152.9875,NA,146.9175,142.79,180.186460450437,128.63
"Josh Johnson","QB","CIN",533,5.318,NA,NA,NA,5.318,5.318,2.22045160742982,NA
"Josh McCown","QB","CHI",485,8.534,NA,3.682,NA,8.534,6.108,3.121180295594,NA
"Josh Morgan","WR","WAS",187,78.8475,69,81.8,91.375,78.8475,80.5772916666667,78.718394211541,NA
"Josh Vaughan","RB","ATL",621,0.44,NA,NA,NA,0.44,0.44,2.5200235964183,NA
"Julian Edelman","WR","NE",238,53.8925,63.625,NA,91.75,53.8925,69.6225,50.4668731151987,75.78
"Julio Jones","WR","ATL",30,225.745,219.775,228.2,215.9,225.745,224.073333333333,216.366864996365,213.75
"Julius Thomas","TE","DEN",424,14.5375,NA,NA,NA,14.5375,14.5375,2.24364626527199,NA
"Junior Hemingway","WR","KC",716,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Juron Criner","WR","OAK",225,60.2075,NA,71.7625,NA,60.2075,44.0183333333333,33.9274944377751,27.88
"Justice Cunningham","TE","IND",717,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Justin Blackmon","WR","JAC",119,123.13,95.125,133.9875,131.75,123.13,121.158958333333,128.834708738269,144.43
"Justin Brown","WR","PIT",326,28.225,NA,NA,35.25,28.225,31.7375,10.5810627784064,NA
"Justin Forsett","RB","JAC",250,48.955,53.025,53.9625,27.325,48.955,45.716875,43.933219441416,54.25
"Justin Hunter","WR","TEN",223,60.8425,71.25,74.2625,56.125,60.8425,65.3266666666667,63.4834551842925,NA
"Kamar Aiken","WR","NE",718,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Kashif Moore","WR","PIT",719,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Kassim Osgood","WR","SF",584,1.8875,NA,NA,NA,1.8875,1.8875,2.40861046766929,9
"Kealoha Pilares","WR","CAR",510,6.9875,NA,NA,NA,6.9875,6.9875,2.16749244882624,21.27
"Keenan Allen","WR","SD",229,56.6625,59.675,69.1125,NA,56.6625,62.1083333333333,46.8248155040176,NA
"Keiland Williams","RB","WAS",416,15.76,NA,NA,NA,15.76,15.76,2.30460956490447,NA
"Kellen Clemens","QB","STL",620,0.482,NA,NA,NA,0.482,0.241,2.5165231927968,NA
"Kellen Davis","TE","CLE",350,24.2125,NA,NA,NA,24.2125,24.2125,3.09695939938831,39.63
"Kellen Moore","QB","DET",720,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Kellen Winslow","TE","NYJ",221,61.35,65.375,NA,NA,61.35,63.0125,31.4704664471698,NA
"Kenbrell Thompkins","WR","NE",721,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Kendall Hunter","RB","SF",217,63.03,28.175,77.2075,62.7,63.03,57.7364583333333,58.1939149889927,56.9
"Kendall Wright","WR","TEN",116,125.9875,135.75,131.575,143,125.9875,133.832291666667,131.17471618231,100.65
"Kenjon Barner","RB","CAR",405,16.8425,NA,22.5575,NA,16.8425,13.0333333333333,6.39967486725294,NA
"Kenny Britt","WR","TEN",99,147.7875,112,163.7125,159.75,147.7875,145.745833333333,164.085613643272,100.63
"Kenny Stills","WR","NO",315,29.6125,11.875,NA,47.75,29.6125,29.7125,16.3927568807542,NA
"Kerry Taylor","WR","ARI",722,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Kerwynn Williams","RB","IND",560,3.53,NA,NA,NA,3.53,1.765,2.30520366794929,NA
"Keshawn Martin","WR","HOU",288,37.01,20,NA,36.375,37.01,31.095,19.5450797058328,44.09
"Kevin Brock","TE",NA,610,0.775,NA,NA,NA,0.775,0.775,2.49254881919222,NA
"Kevin Cone","WR","ATL",464,10.4375,NA,NA,NA,10.4375,10.4375,2.1381471139311,NA
"Kevin Dorsey","WR","GB",429,13.8125,NA,NA,27.625,13.8125,20.71875,5.59980949308255,NA
"Kevin Elliott","WR","BUF",527,6,NA,NA,NA,6,6,2.19576345410508,15
"Kevin Kolb","QB","BUF",212,64.342,97.08,56.83,95.72,64.342,78.0263333333333,78.7753302264736,80.06
"Kevin Ogletree","WR","TB",255,46.4,19.425,59.0875,40.625,46.4,41.5302083333333,39.1828414305945,79.9
"Kevin Smith","RB",NA,723,NA,NA,NA,NA,NA,0,2.55765622217905,37.28
"Kevin Walter","WR","TEN",283,37.605,NA,NA,45,37.605,41.3025,15.2771017760598,77.75
"Kirk Cousins","QB","WAS",311,30.05,31.74,26.622,NA,30.05,22.0946666666667,18.5021855946557,30.84
"Knile Davis","RB","KC",231,55.7125,15.575,72.9175,52.075,55.7125,48.9033333333333,48.4851614944409,NA
"Knowshon Moreno","RB","DEN",235,55.0725,37.05,62.4375,45.375,55.0725,49.7754166666667,48.4452551282927,94.68
"Konrad Reuland","TE","NYJ",457,10.85,NA,NA,NA,10.85,10.85,2.14186357148628,11.66
"Kory Sperry","TE","ARI",582,1.95,NA,NA,NA,1.95,1.95,2.40422785095762,NA
"Kris Adams","WR","NYG",591,1.45,NA,NA,NA,1.45,1.45,2.44028076214033,NA
"Kris Durham","WR","DET",419,15.175,NA,NA,22.125,15.175,18.65,5.74970016768157,22.63
"Kyle Adams","TE","CHI",551,4.3875,NA,NA,NA,4.3875,4.3875,2.26093945784396,6.76
"Kyle Juszczyk","RB","BAL",511,6.7175,NA,NA,NA,6.7175,6.7175,2.17434374740981,NA
"Kyle Miller","TE","MIA",724,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Kyle Orton","QB","DAL",526,6.054,NA,2.31,NA,6.054,4.182,2.8245790398849,9.56
"Kyle Rudolph","TE","MIN",123,120.9,110.875,128.2875,109.625,120.9,117.413541666667,116.831245972754,119.65
"Kyle Williams","WR","SF",331,26.875,NA,NA,73.375,26.875,50.125,14.1099717208548,44.7
"Ladarius Green","TE","SD",418,15.45,NA,NA,NA,15.45,15.45,2.28786780007346,7
"Lamar Miller","RB","MIA",62,184.105,148,193.045,194.675,184.105,179.58125,202.640619392197,36.63
"LaMichael James","RB","SF",211,65.0125,53.325,82.7125,48.025,65.0125,62.1270833333333,62.058501252837,24.47
"Lance Ball","RB","DEN",396,17.7775,NA,NA,NA,17.7775,17.7775,2.43486003772642,35.43
"Lance Dunbar","RB","DAL",373,20.79,23.125,NA,29.275,20.79,24.1633333333333,14.1990530017224,24.85
"Lance Kendricks","TE","STL",285,37.375,NA,36.7,61.25,37.375,45.1083333333333,28.7531046253433,93.88
"Lance Lewis","WR",NA,725,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Lance Moore","WR","NO",91,151.7125,136.75,148.2875,159.25,151.7125,148.958333333333,149.503088364,167.23
"Landry Jones","QB","PIT",619,0.53,NA,NA,NA,0.53,0.53,2.51254232165343,NA
"LaQuan Williams","WR","BAL",557,3.875,NA,NA,NA,3.875,3.875,2.28659294253322,NA
"LaRod Stephens-Howling","RB","PIT",232,55.36,26.575,72.4625,NA,55.36,51.3658333333333,38.3889991547688,81.05
"Laron Byrd","WR","ARI",501,7.6625,NA,NA,NA,7.6625,7.6625,2.15325680872706,NA
"Larry Fitzgerald","WR","ARI",44,207.575,199,214.775,197.25,207.575,204.608333333333,204.126189102632,126.75
"Latavius Murray","RB","OAK",282,38.045,18.2,31.2375,NA,38.045,29.0941666666667,18.8612000392056,NA
"Laurent Robinson","WR",NA,312,30,NA,NA,60,30,45,14.171529812987,29.5
"Lavelle Hawkins","WR","NE",447,11.95,NA,NA,23.25,11.95,17.6,4.94747720097592,11.85
"LaVon Brazill","WR","IND",286,37.275,NA,NA,38.875,37.275,38.075,14.1441003339913,31.49
"Lawrence Vickers","RB",NA,484,8.5525,NA,NA,NA,8.5525,8.5525,2.1408030860743,16.88
"Le'Ron McClain","RB","SD",430,13.6125,15.825,NA,11.25,13.6125,13.5625,8.41548092993912,7.83
"Le'Veon Bell","RB","PIT",79,166.375,143.525,163.2625,137.975,166.375,152.417708333333,161.211811533176,NA
"Lee Smith","TE","BUF",378,20.4875,NA,NA,NA,20.4875,20.4875,2.66791565878577,14.63
"LeGarrette Blount","RB","NE",314,29.6625,10.6,31.1175,33.275,29.6625,26.0054166666667,23.4507824159032,27.35
"Leon Washington","RB","NE",346,24.5475,15.1,32.675,NA,24.5475,24.0075,14.2613980918142,43.98
"Leonard Hankerson","WR","WAS",196,73.63,65.1,86.4125,30.125,73.63,63.844375,67.2651784464762,86.38
"LeSean McCoy","RB","PHI",29,226.5025,220.125,241.12,223.625,226.5025,227.418125,229.783184827757,152.63
"Lestar Jean","WR","HOU",272,40.1125,38.625,NA,NA,40.1125,39.36875,15.418251927064,24.88
"Levine Toilolo","TE","ATL",493,8.075,NA,NA,NA,8.075,8.075,2.14659151329778,NA
"Lex Hilliard","RB","NYJ",543,4.6875,NA,NA,NA,4.6875,4.6875,2.24702813022515,16.18
"Logan Paulsen","TE","WAS",343,25.1,NA,NA,NA,25.1,25.1,3.21774467181092,44.5
"Louis Murphy","WR","NYG",259,44.955,42.1,NA,44.25,44.955,43.7683333333333,29.3634948231162,54.3
"Luke McCown","QB","NO",588,1.572,NA,NA,NA,1.572,1.572,2.43127472708528,NA
"Luke Stocker","TE","TB",224,60.725,56.75,43.5375,56.25,60.725,54.3072916666667,52.534898108837,28.63
"Luke Willson","TE","SEA",365,21.6375,NA,NA,NA,21.6375,21.6375,2.7869435746278,NA
"Malcom Floyd","WR","SD",158,96.1625,101,106.4125,97.75,96.1625,100.33125,96.1711406436266,133.75
"Manase Tonga","RB",NA,601,1.15,NA,NA,NA,1.15,1.15,2.46300084986717,NA
"Marc Mariani","WR","TEN",625,0.35,NA,NA,NA,0.35,0.35,2.52757833420179,NA
"Marcedes Lewis","TE","JAC",155,96.6375,82.5,102.5125,90.125,96.6375,92.8354166666667,91.7821261746939,93.5
"Marcel Reece","RB","OAK",194,74.405,87.05,84.3625,62.95,74.405,77.0835416666667,76.1897278174525,97.82
"Marcus Davis","WR","NYJ",726,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Marcus Easley","WR","BUF",359,22.675,NA,NA,NA,22.675,22.675,2.90461922167935,9
"Marcus Lattimore","RB","SF",727,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Marcus Thigpen","RB","MIA",507,7.275,NA,NA,NA,7.275,7.275,2.16092392067151,42.3
"Mardy Gilyard","WR","KC",591,1.45,NA,NA,NA,1.45,1.45,2.44028076214033,5.18
"Mario Manningham","WR","SF",228,57.3125,48,NA,69.125,57.3125,58.0791666666667,42.2618468261095,66.53
"Mark Harrison","WR","NE",728,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Mark Ingram","RB","NO",124,118.985,105.625,122.4425,122.4,118.985,117.204791666667,115.835419472145,93.83
"Mark Sanchez","QB","NYJ",219,61.756,33.2,50.592,90.06,61.756,58.402,59.0454439765196,95.62
"Markus Wheaton","WR","PIT",191,75.905,44.125,88.2625,44.5,75.905,63.300625,66.452772807241,NA
"Marlon Moore","WR","SF",536,5.175,NA,NA,NA,5.175,5.175,2.22616314333891,27.9
"MarQueis Gray","TE","SF",729,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Marques Colston","WR","NO",59,187.2625,181.125,192.2875,181.125,187.2625,185.191666666667,179.868404747743,199.25
"Marquess Wilson","WR","CHI",372,20.825,NA,NA,30.375,20.825,25.6,7.82910035703111,NA
