"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts"
"Ben Roethlisberger","QB","PIT",28,226.662,220.1,241.93,219.82,226.662,226.144666666667,231.724423815564,212.8
"Ben Tate","RB","HOU",157,96.5775,74.45,103.295,99.1,96.5775,93.1389583333333,94.7035289203288,43.03
"Benjamin Watson","TE","NO",279,38.9,NA,38.6375,62.125,38.9,46.5541666666667,30.1113998900584,80.63
"BenJarvus Green-Ellis","RB","CIN",111,132.5,138.85,125.975,149.325,132.5,136.2625,136.929024835778,153.9
"Benny Cunningham","RB","STL",639,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Bernard Pierce","RB","BAL",153,98.21,71.65,112.8075,84.5,98.21,91.691875,96.4218350758464,65.08
"Bernard Scott","RB","CIN",383,19.35,20.9,NA,13.075,19.35,17.325,10.6635188638133,NA
"Bilal Powell","RB","NYJ",260,44.7225,26.775,56.4,37.6,44.7225,41.374375,39.2077176180486,90.2
"Billy Bajema","TE","BAL",508,7.25,NA,NA,NA,7.25,7.25,2.16146533770802,NA
"Blaine Gabbert","QB","JAC",120,121.88,66.1,150.082,106.8,121.88,110.157166666667,134.708522296066,85.08
"Bobby Rainey","RB","BAL",640,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Brad Smelley","TE","CLE",627,0.25,NA,NA,NA,0.25,0.25,2.53605864762505,NA
"Brad Smith","WR","BUF",368,21.1625,NA,NA,NA,21.1625,21.1625,2.73632591468061,72.02
"Brad Sorensen","QB","SD",641,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Bradie Ewing","RB","ATL",559,3.75,NA,NA,NA,3.75,3.75,2.29321125324674,NA
"Brady Quinn","QB","SEA",612,0.752,NA,NA,NA,0.752,0.752,2.4944026057845,36.24
"Brandon Barden","TE","TEN",642,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Brandon Bolden","RB","NE",296,35.11,18.1,25.7325,NA,35.11,26.2975,16.7808559210426,45.78
"Brandon Bostick","TE","GB",643,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Brandon Collins","WR","NYG",644,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Brandon Gibson","WR","MIA",189,77.45,69.775,87.1625,83.5,77.45,79.609375,77.3176880810577,116.38
"Brandon Jackson","RB","CLE",487,8.4125,NA,NA,NA,8.4125,8.4125,2.14228594943137,7.9
"Brandon Jacobs","RB","FA",645,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Brandon Kaufman","WR","BUF",646,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Brandon LaFell","WR","CAR",129,116.0125,94.8,124.4125,119,116.0125,113.90625,116.307146922952,114.13
"Brandon Lloyd","WR","FA",647,NA,130,NA,NA,NA,65,1.23771202677244,143.88
"Brandon Marshall","WR","CHI",25,231.455,230.925,236.5,237.875,231.455,234.132916666667,222.687494183446,258.3
"Brandon Myers","TE","NYG",131,114.925,115.625,115.3625,117.125,114.925,115.759375,108.098387906651,126.75
"Brandon Pettigrew","TE","DET",140,107.4625,98.375,109.925,99.25,107.4625,103.411458333333,100.686738247235,85.88
"Brandon Tate","WR","CIN",402,17.0875,NA,NA,27.5,17.0875,22.29375,6.55520870206431,50.32
"Brandon Weeden","QB","CLE",60,185.14,159.78,199.742,158.04,185.14,174.783833333333,196.214464527634,147.38
"Brandon Williams","TE","ARI",648,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Braylon Edwards","WR",NA,249,49.625,NA,NA,49.625,49.625,49.625,21.1327598360317,31.88
"Brent Celek","TE","PHI",195,73.75,79.75,79.5375,83.75,73.75,79.096875,75.6162148275023,88.5
"Brett Brackett","TE","JAC",482,8.5875,NA,NA,NA,8.5875,8.5875,2.14046014560466,NA
"Brett Swain","WR","SF",649,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Brian Hartline","WR","MIA",126,118.2875,100.125,122.1625,108.5,118.2875,112.14375,112.697289836846,141.38
"Brian Hoyer","QB","CLE",537,5.142,NA,3.102,NA,5.142,4.122,2.97115166663775,11.8
"Brian Leonard","RB","TB",306,31.5825,NA,41.4375,14.6,31.5825,29.2066666666667,17.632479354781,22.48
"Brian Quick","WR","STL",175,86.475,83.375,90.5625,108.75,86.475,92.1989583333333,91.7498373887615,31.5
"Brian Robiskie","WR",NA,422,14.7,NA,NA,NA,14.7,14.7,2.25096865994055,11.5
"Brice Butler","WR","OAK",409,16.5625,NA,NA,23,16.5625,19.78125,6.14253276025681,NA
"Brit Miller","RB",NA,590,1.515,NA,NA,NA,1.515,1.515,2.43546566351051,NA
"Brock Bolen","RB","JAC",606,0.9275,NA,NA,NA,0.9275,0.9275,2.4803787751203,NA
