"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk","avgCost","projectedCost","inflatedCost"
"Bryce Brown","RB","PHI",145,102.85,47,82.1375,84.725,99.5325,77.05,82.1375,85.38625,88.3357628366113,-31.2741666666667,11.15,9.65571646314589,3.91355732747049,2.3,3,3
"Daryl Richardson","RB","STL",146,94.2,48,81.5175,103.425,80.1375,128.25,81.5175,97.9991666666667,102.888754066838,-31.8941666666667,13.9,22.6185220007851,5.73929630003812,2.1,3,3
"Delanie Walker","TE","TEN",147,207,25,80.0375,67.25,94.2125,NA,80.0375,80.2166666666667,69.6856114205015,-33.5166666666667,53.2,13.4871987918174,9.07484685295237,1,2,2
"Ryan Williams","RB","ARI",148,132.55,49,79.0425,113.425,64.8075,82.65,79.0425,84.7895833333333,89.9320270637012,-34.3691666666667,18.3,20.4672957116958,5.9805849723325,NA,1,1
"Andre Roberts","WR","ARI",149,162.6,50,109.4125,104.85,93.7875,107.125,109.4125,104.09375,104.722748068239,-35.0125,20.1,6.92599646861976,4.59706298507613,0,0,0
"Greg Little","WR","CLE",150,162.8,51,109.1575,90.475,110.5625,73.375,109.1575,96.0733333333333,102.636231981579,-35.2675,13.7,17.5836689146492,5.12745976094733,0,0,0
"Coby Fleener","TE","IND",151,187.8,26,77.6625,82.375,81.6625,72.875,77.6625,78.64375,80.6097908349353,-35.8916666666667,13.2,4.36945481915841,3.52445707558389,NA,1,1
"Bernard Pierce","RB","BAL",152,112.25,50,76.9325,71.65,100.1575,54.5,76.9325,75.6683333333333,80.4537001952527,-36.4791666666667,12.5,18.8457109399814,5.1407151126049,3.8,5,4
"Heath Miller","TE","PIT",153,144.2,27,76.4625,71.375,98.5375,63.25,76.4625,77.2145833333333,81.1996871586537,-37.0916666666667,26.9,15.1018297042665,6.31630220883101,1.7,2,2
"Joseph Randle","RB","DAL",154,142.55,51,75.6425,75.875,87.7325,47.175,75.6425,71.4645833333333,76.1881571091516,-37.7691666666667,21.4,17.2380920855529,5.94997947997018,NA,1,1
"Mike Goodson","RB","NYJ",155,139.9,52,75.175,93.675,74.3825,81.825,75.175,80.9560416666667,83.6332867705836,-38.2366666666667,19.2,8.92148352176737,4.72980391739632,NA,1,1
"Justin Blackmon","WR","JAC",156,116.65,52,105.8175,95.125,133.9875,88.75,105.8175,106.0225,112.983083465208,-38.6075,18.35,19.992798599329,5.9306401512312,2,3,3
"Marcel Reece","RB","OAK",157,143.5,53,74.755,87.05,83.0625,62.95,74.755,76.8127083333333,80.0848052996615,-38.6566666666667,16.5,10.6487965624838,4.62941557633799,NA,1,1
"Mike Tolbert","RB","CAR",158,165.7,54,74.375,72.35,91.78,17.4,74.375,63.8345833333333,70.8119719525972,-39.0366666666667,20.3,32.2523863135221,7.58439480007806,NA,1,1
"DeAndre Hopkins","WR","HOU",159,119.2,53,104.5375,100.25,129.2375,96.3,104.5375,108.539583333333,111.863430656553,-39.8875,19.2,14.8242077500508,5.42082568109964,1.1,2,2
"Robert Turbin","RB","SEA",160,146.75,55,72.8625,81.725,70.4875,57.525,72.8625,70.65,74.104414127223,-40.5491666666667,17.3,9.99737986507798,4.64281516874314,NA,1,1
