"name","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"Percy Harvin","WR","SEA",89,283,0,0,0,0,0,45,0,165,1,NA,NA,24
"Chris Polk","RB","PHI",78,284,0,0,0,0,0,205,0,35,0,NA,NA,23
"Stepfan Taylor","RB","ARI",90,284,0,0,0,0,0,119,1,60,0,NA,NA,23
"Aaron Mellette","WR","BAL",119,284,0,0,0,0,0,0,0,172,1,NA,NA,23
"Da'Rick Rogers","WR","BUF",116,287,0,0,0,0,0,14,0,151,1,NA,NA,22
"Mike Goodson","RB","NYJ",85,288,0,0,0,0,0,120,0,54,1,NA,NA,21
"Chris Ogbonnaya","RB","CLE",103,289,0,0,0,0,0,27,0,204,0,NA,NA,20
"Mario Manningham","WR","SF",114,289,0,0,0,0,0,0,0,201,0,NA,NA,20
"Marlon Moore","WR","SF",113,291,0,0,0,0,0,0,0,136,1,NA,NA,19
"Brandon Bolden","RB","NE",93,292,0,0,0,0,0,121,1,0,0,NA,NA,18
"Bernard Scott","RB","CIN",97,292,0,0,0,0,0,94,0,92,0,NA,NA,18
"Peyton Hillis","RB","TB",95,294,0,0,0,0,0,72,1,47,0,NA,NA,17
"Latavius Murray","RB","OAK",91,295,0,0,0,0,0,112,0,56,0,NA,NA,16
"Rex Burkhead","RB","CIN",98,296,0,0,0,0,0,75,1,22,0,NA,NA,15
"Nick Toon","WR","NO",110,296,0,0,0,0,0,0,0,99,1,NA,NA,15
"Delone Carter","RB","BAL",94,298,0,0,0,0,0,86,1,0,0,NA,NA,14
"Le'Ron McClain","RB","SD",109,298,0,0,0,0,0,52,1,37,0,NA,NA,14
"Joe McKnight","RB","NYJ",102,300,0,0,0,0,0,124,0,0,0,NA,NA,12
"Armando Allen","RB","CHI",108,300,0,0,0,0,0,137,0,14,0,NA,NA,12
"Leon Washington","RB","NE",107,302,0,0,0,0,0,96,0,44,0,NA,NA,11
"Alex Green","RB","GB",111,302,0,0,0,0,0,104,0,34,0,NA,NA,11
"LeGarrette Blount","RB","NE",89,304,0,0,0,0,0,46,1,0,0,NA,NA,10
"Denard Robinson","RB","JAC",104,304,0,0,0,0,0,67,0,49,0,NA,NA,10
"Tashard Choice","RB","BUF",101,306,0,0,0,0,0,77,0,17,0,NA,NA,8
"Cierre Wood","RB","HOU",99,307,0,0,0,0,0,66,0,17,0,NA,NA,7
"Anthony Allen","RB","BAL",100,308,0,0,0,0,0,54,0,14,0,NA,NA,6
"Da'Rel Scott","RB","NYG",105,308,0,0,0,0,0,55,0,14,0,NA,NA,6
"James Starks","RB","GB",110,310,0,0,0,0,0,49,0,7,0,NA,NA,4
"Ray Graham","RB","HOU",106,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Cyrus Gray","RB","KC",112,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Kenjon Barner","RB","CAR",113,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Terrance Ganaway","RB","STL",114,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Kerwynn Williams","RB","IND",115,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Marcus Lattimore","RB","SF",116,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Brandon Jacobs","RB","FA",117,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Javon Ringer","RB","FA",118,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Jackie Battle","RB","TEN",119,311,0,0,0,0,0,0,0,0,0,NA,NA,0
"Mike James","RB","TB",120,311,0,0,0,0,0,0,0,0,0,NA,NA,0
