"name","pos","team","overallRank","positionRank","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","cost","risk","sdPts"
"DeSean Jackson","WR","PHI",90,29,NA,NA,NA,63.2,0.1,63.9,958.9,5.8,NA,1.3,10,3.52810381727098,8.31319066679575
"Daryl Richardson","RB","STL",91,30,NA,NA,NA,803.6,4.5,35.9,248.6,1.1,NA,2,7,4.00461080508353,9.64164326740174
"Giovani Bernard","RB","CIN",92,31,NA,NA,NA,742.3,4.1,38.5,303.2,1.3,NA,1.4,8,4.93208897263395,15.3990490101391
"Steve Johnson","WR","BUF",93,30,NA,NA,NA,0,0,71.7,960.4,6.4,NA,1,8,3.12701818986641,5.23896160989943
"Geno Smith","QB","NYJ",94,31,1872,12.9,11.5,264.6,1.9,NA,NA,NA,NA,4.2,0,8.67315986285956,17.2896300615909
"Mike Williams","WR","TB",95,31,NA,NA,NA,0,0,64.3,927.1,6.8,NA,1.1,6,3.29036585039978,5.03997561171348
"Tony Gonzalez","TE","ATL",96,3,NA,NA,NA,NA,NA,85.2,888.7,6.9,NA,0,14,3.00286290484156,4.20925783986916
"Blaine Gabbert","QB","JAC",97,32,2341.3,13.1,11.5,80.1,0.6,NA,NA,NA,NA,3.8,1,10.0848115608061,35.0201911426347
"Jason Witten","TE","DAL",98,4,NA,NA,NA,NA,NA,91.7,955.9,5.3,NA,0,12,3.4754127183601,6.97243363031636
"Tavon Austin","WR","STL",99,32,NA,NA,NA,98.6,0.4,72,865,4.9,NA,1,8,3.6715335041527,5.90205980110616
"Lance Moore","WR","NO",100,33,NA,NA,NA,0,0,62.5,881.7,6.4,NA,0.1,5,3.97251924360964,9.36287549313778
"Kenny Britt","WR","TEN",101,34,NA,NA,NA,0,0,58.1,887.2,6.5,NA,0.7,5,6.45871710229688,23.5361402067827
"Miles Austin","WR","DAL",102,35,NA,NA,NA,0,0,61.9,862.3,6.8,NA,0.6,6,3.2316504033259,6.42785584228261
"Andre Brown","RB","NYG",103,32,NA,NA,NA,641.8,7.5,20.7,157.4,0.5,NA,1.3,1,4.63865682512525,13.7136134461345
"Josh Gordon","WR","CLE",103,36,NA,NA,NA,0,0,55.3,887.8,6.3,NA,0.7,4,4.53017678182558,12.471847380534
"DeAngelo Williams","RB","CAR",105,33,NA,NA,NA,773.6,5.3,18.9,139.6,0.7,NA,1.1,9,5.39841506731526,17.2754127272211
"Anquan Boldin","WR","SF",106,37,NA,NA,NA,4,0,62.8,879.1,5.7,NA,0.5,6,3.67789518303112,7.27563266865271
"Golden Tate","WR","SEA",107,38,NA,NA,NA,22.1,0.1,57,798.9,6.6,NA,0.6,3,4.79539354271574,10.7424790308926
"Vernon Davis","TE","SF",107,5,NA,NA,NA,NA,NA,64.5,844.7,6.3,NA,0.5,10,3.91066037642937,9.15302417578474
"Greg Jennings","WR","MIN",109,39,NA,NA,NA,0,0,64.3,851.6,6,NA,0.3,10,4.15491168628993,10.4293924349648
"BenJarvus Green-Ellis","RB","CIN",110,34,NA,NA,NA,774,6,11.6,86,0,NA,1.2,7,4.00444541935788,9.94439750144103
"Mark Ingram","RB","NO",111,35,NA,NA,NA,749.9,6.4,10.2,62.6,0.1,NA,0.9,5,3.82106867035857,7.99133316344443
"Chris Givens","WR","STL",112,40,NA,NA,NA,14.6,0,57.5,845.4,5.4,NA,0.3,4,6.74588568991815,22.876668461466
"Le'Veon Bell","RB","PIT",113,36,NA,NA,NA,695.9,5,20.3,149.2,0.9,NA,1.2,2,7.41718508278151,14.1368290254863
"Michael Floyd","WR","ARI",114,41,NA,NA,NA,0,0,62.3,847.4,5.4,NA,0.4,3,5.25123254146513,14.4405928685713
"Denarius Moore","WR","OAK",115,42,NA,NA,NA,5.7,0,54,796.6,5.7,NA,0.6,3,3.97307930157501,6.78451925802412
"Emmanuel Sanders","WR","PIT",116,43,NA,NA,NA,11.7,0,63,844.7,4.8,NA,1.1,4,3.26218103671421,3.59953896064019
"Ronnie Hillman","RB","DEN",117,37,NA,NA,NA,639.9,3.3,30.9,232.1,1.1,NA,1.1,3,5.31689459234599,14.9764041321396
"Sidney Rice","WR","SEA",118,44,NA,NA,NA,0,0,51,760.4,5.6,NA,0.5,5,4.08587900457738,7.07963581190209
"Greg Olsen","TE","CAR",119,6,NA,NA,NA,NA,NA,63.9,776.3,5.3,NA,0.9,7,3.35662367022659,3.02801158628343
"Jonathan Stewart","RB","CAR",120,38,NA,NA,NA,621.4,3.9,21.6,196.8,0.7,NA,1.6,1,6.63772452588984,19.4499735968116
"Jermichael Finley","TE","GB",121,7,NA,NA,NA,NA,NA,62.2,725.4,5.7,NA,0.4,5,4.23773500213345,8.78764224635937
"Rueben Randle","WR","NYG",122,45,NA,NA,NA,0,0,52.8,743.5,5.2,NA,0.1,2,4.89532742434074,12.815064275915
"Ryan Broyles","WR","DET",123,46,NA,NA,NA,0,0,60.8,775.1,4.7,NA,0.3,3,6.74964268577584,23.3845911138617
"Alshon Jeffery","WR","CHI",124,47,NA,NA,NA,0,0,49,734.7,5.2,NA,0.1,4,4.32189425502655,9.70496275538104
"Antonio Gates","TE","SD",124,8,NA,NA,NA,NA,NA,58.3,674.5,6.2,NA,0.3,4,4.32426623534746,6.62087528830844
"Vincent Brown","WR","SD",124,47,NA,NA,NA,0,0,53.4,732.4,5.2,NA,0.1,3,6.44564806218483,20.8780895293567
"Jared Cook","TE","STL",127,9,NA,NA,NA,NA,NA,58.1,718.6,5.5,NA,0.6,4,4.30239828203961,6.9789592630874
"Justin Blackmon","WR","JAC",128,49,NA,NA,NA,12.5,0,54.6,740.2,4.9,NA,0.5,2,5.93165957565478,17.8726062936877
"Ben Tate","RB","HOU",129,39,NA,NA,NA,652.3,4.7,14.8,104.9,0.2,NA,1,4,4.72885772520222,12.9046781528702
"Kendall Wright","WR","TEN",130,50,NA,NA,NA,0,0,59.5,747.3,5,NA,1.2,4,4.6566779298141,7.16749298773056
"Danny Woodhead","RB","SD",131,40,NA,NA,NA,431.1,2.5,41.8,352.8,1.6,NA,0.4,3,4.83802488876954,10.8095276984011
"Kyle Rudolph","TE","MIN",132,10,NA,NA,NA,NA,NA,58.4,628.5,6.6,NA,0.3,7,4.47321567397229,8.82821220458404
"DeAndre Hopkins","WR","HOU",133,51,NA,NA,NA,0,0,50.9,715.4,5.2,NA,0.5,3,4.86145561794025,13.3763064003733
"Vick Ballard","RB","IND",134,41,NA,NA,NA,561.3,4.3,20.9,154.6,0.8,NA,0.7,4,4.35455702747488,7.0409739427511
"Pierre Thomas","RB","NO",135,42,NA,NA,NA,517.2,3.1,34.4,273.9,0.9,NA,1.2,3,5.15965355901628,12.6294667634531
"Brian Hartline","WR","MIA",136,52,NA,NA,NA,0,0,59.3,804.2,3.7,NA,0.8,2,4.50573257254817,9.92951461133256
"Brandon LaFell","WR","CAR",137,53,NA,NA,NA,14.9,0.1,50.8,742.8,4,NA,0.1,2,5.29725257129912,12.9784777773307
"Bernard Pierce","RB","BAL",138,43,NA,NA,NA,664,3.5,13.9,100.4,0.4,NA,0.5,4,5.40647297888033,17.7173680531045
"Willis McGahee","RB",NA,139,44,NA,NA,NA,488,2,0,327,1,NA,1,0,9.05427882206708,32.0922374765301
"Owen Daniels","TE","HOU",140,11,NA,NA,NA,NA,NA,60.4,678.4,5,NA,0.3,5,3.82852063829634,3.90429784553723
"Greg Little","WR","CLE",141,54,NA,NA,NA,12.7,0,54.6,713.4,4.3,NA,0.7,2,4.72879482185389,12.2664955901227
"Fred Jackson","RB","BUF",142,45,NA,NA,NA,534.4,3.5,25.2,191.9,0.9,NA,1.5,4,6.24592620787993,21.1984754267062
"Bryce Brown","RB","PHI",143,46,NA,NA,NA,595.4,4.1,17.9,121.1,0.5,NA,1.9,4,4.63001459068383,11.2333086130415
"Brandon Myers","TE","NYG",144,12,NA,NA,NA,NA,NA,62,669.2,4.6,NA,0,5,3.18391684811738,0.955105524274671
"Martellus Bennett","TE","CHI",145,13,NA,NA,NA,NA,NA,54.2,616.5,5.4,NA,0.1,3,5.72114110720234,15.760834153977
"Kenbrell Thompkins","WR","NE",146,55,NA,NA,NA,0,0,50,652.4,4.7,NA,0.1,3,5.31533213209133,NA
"Jordan Cameron","TE","CLE",147,14,NA,NA,NA,NA,NA,55.7,650.4,4.7,NA,0.3,3,4.26914810484171,5.56964779519316
"Rod Streater","WR","OAK",148,56,NA,NA,NA,0,0,52.7,682.1,4.3,NA,0.9,0,6.96154507084001,19.7944949733505
"Malcom Floyd","WR","SD",149,57,NA,NA,NA,0,0,46.8,673.3,4.3,NA,0.7,2,4.1115448283278,4.52659387214419
"Brandon Pettigrew","TE","DET",150,15,NA,NA,NA,NA,NA,63.9,653.4,4.7,NA,1.2,3,4.79744980669641,5.80384548345606
"Darrius Heyward-Bey","WR","IND",151,58,NA,NA,NA,6,0,40.7,641.6,4,NA,0.5,2,5.51466705637089,16.1328538205686
"Fred Davis","TE","WAS",152,16,NA,NA,NA,NA,NA,48.8,608.4,4.3,NA,0.1,2,4.23137418788577,4.43760563254556
"Andre Roberts","WR","ARI",153,59,NA,NA,NA,25,0,52.1,637.1,3.4,NA,0.2,2,4.26621653281402,7.01036806570573
"Mohamed Sanu","WR","CIN",153,59,NA,NA,NA,21.9,0.1,43.3,550.1,4.8,NA,0.1,2,5.97790388830078,16.5029190599724
"Jacquizz Rodgers","RB","ATL",155,47,NA,NA,NA,394.7,1.3,40.5,320.4,1.2,NA,0.6,2,4.06169834468757,6.05745064638032
"Jacoby Jones","WR","BAL",156,61,NA,NA,NA,6,0,42.9,602.9,3.8,NA,0.1,0,5.58331630900416,14.9549209257633
"Bilal Powell","RB","NYJ",157,48,NA,NA,NA,457.1,2.5,24.5,175.5,0.6,NA,0.6,2,5.39759056986526,12.4414228110172
"Michael Bush","RB","CHI",158,49,NA,NA,NA,405.3,5.1,10.7,88.3,0.3,NA,0.8,1,3.85384002785138,4.87239732874554
"Coby Fleener","TE","IND",159,17,NA,NA,NA,NA,NA,48.2,541.5,4.4,NA,0.3,0,3.74449024031174,1.16540296142579
"Nate Burleson","WR","DET",159,62,NA,NA,NA,45.5,0.1,46.1,551.8,3.5,NA,0.6,1,3.94516068909373,3.31070643267163
"Shonn Greene","RB","TEN",161,50,NA,NA,NA,460.2,4.7,9.9,69.5,0,NA,1,2,4.85373875920715,7.71233886919742
"Isaiah Pead","RB","STL",162,51,NA,NA,NA,527,2.7,15,113.1,0.2,NA,0.9,6,4.83509988805599,6.93516353297935
"Marcedes Lewis","TE","JAC",162,18,NA,NA,NA,NA,NA,51.6,557.7,4.2,NA,0.8,0,5.93123536982941,8.60662596007672
"Aaron Dobson","WR","NE",164,63,NA,NA,NA,0,0,37.6,547.4,4,NA,0,2,5.15352801544911,11.4395074513358
"Robert Woods","WR","BUF",165,64,NA,NA,NA,8,0,42.2,571.2,3.6,NA,0.5,1,3.96443530082921,5.79243849773133
"Jeremy Kerley","WR","NYJ",166,65,NA,NA,NA,13.9,0,52.5,632.7,2.6,NA,1.2,0,4.8125363426899,10.0226718774237
"Tyler Eifert","TE","CIN",167,19,NA,NA,NA,NA,NA,47.3,557.1,3.8,NA,0.3,0,5.21779198802512,10.6307698794192
"Mikel Leshoure","RB","DET",168,52,NA,NA,NA,420.8,4.9,12.7,85.9,0,NA,1.4,3,4.60077469986995,5.99018620154388
"Daniel Thomas","RB","MIA",169,53,NA,NA,NA,420.5,3.7,17.1,129.1,0.4,NA,1.3,1,4.06487505711825,5.37746706947921
"Santana Moss","WR","WAS",169,66,NA,NA,NA,4,0,37,497.9,4.6,NA,0.6,0,4.12023125426262,3.96994404610023
"Cordarrelle Patterson","WR","MIN",171,67,NA,NA,NA,8.3,0,37.8,536.7,3.9,NA,0.7,2,5.27171577949406,12.4646890212244
"Jermaine Gresham","TE","CIN",172,20,NA,NA,NA,NA,NA,44.5,539.9,4,NA,0.8,3,5.61171540623366,11.6585581941622
"Rob Housler","TE","ARI",173,21,NA,NA,NA,NA,NA,53.4,555.2,3.5,NA,0.1,0,5.79909481474733,12.3897702258759
"Chad Henne","QB","JAC",174,33,1403.6,8.2,7.4,43.5,0,NA,NA,NA,NA,1.4,0,3.66196797234702,6.45832021504044
"Stephen Hill","WR","NYJ",175,68,NA,NA,NA,0,0,37.8,555.5,3.3,NA,0.3,2,5.87103865299218,13.1141741066679
"Zach Miller","TE","SEA",175,22,NA,NA,NA,NA,NA,44.5,518.8,4,NA,0.3,0,5.74829948078983,7.47618702252915
"Ed Dickson","TE","BAL",177,23,NA,NA,NA,NA,NA,38.7,499.9,4.2,NA,0.4,1,4.63377772148177,7.15507541306636
"Donnie Avery","WR","KC",178,69,NA,NA,NA,0.7,0,41.4,561.9,3,NA,0.1,0,6.44944528486362,16.3748458485111
"Dwayne Allen","TE","IND",179,24,NA,NA,NA,NA,NA,46.6,505.2,3.9,NA,0.3,1,5.19279013877008,10.7882960067458
"Santonio Holmes","WR","NYJ",180,70,NA,NA,NA,0,0,38,539.9,3.4,NA,0.7,1,5.45343907833578,12.6161293093405
"Jonathan Dwyer","RB","PIT",181,54,NA,NA,NA,449.4,3.2,10.8,84.5,0.2,NA,0.7,0,5.33469599137397,10.7980251618448
"Joique Bell","RB","DET",182,55,NA,NA,NA,333.9,2.4,27.7,212.9,0.7,NA,0.5,1,6.31106688075787,13.2574135510099
"Brandon Gibson","WR","MIA",183,71,NA,NA,NA,4.7,0,41.7,533.9,3.1,NA,0.3,0,4.59637918631787,7.60457904132986
"Heath Miller","TE","PIT",184,25,NA,NA,NA,NA,NA,37.7,469.8,4.2,NA,0.3,1,6.30906449687469,11.8485868531512
"Roy Helu","RB","WAS",185,56,NA,NA,NA,333,1.6,30.9,219,1.1,NA,0.6,1,6.33126900839737,13.13256591455
"Johnathan Franklin","RB","GB",186,57,NA,NA,NA,357,2,20.3,160.9,1.1,NA,0.3,2,7.00144191130871,17.1120622052594
"Davone Bess","WR","CLE",187,72,NA,NA,NA,0,0,50.4,536.1,2.8,NA,0.6,0,6.76900387536993,16.7855623726662
"Kendall Hunter","RB","SF",188,58,NA,NA,NA,437.6,2.4,13.7,111.3,0.2,NA,0.5,1,6.87398828908607,20.8618684620809
"LaRod Stephens-Howling","RB","PIT",189,59,NA,NA,NA,303.1,1.4,27.6,226.2,1.2,NA,0.3,0,9.13169104810978,23.1902795279258
"Marcel Reece","RB","OAK",189,59,NA,NA,NA,202.8,0.8,40.8,329.5,1.9,NA,0.5,0,5.57232007638262,10.9422448517584
"Riley Cooper","WR","PHI",189,73,NA,NA,NA,8.4,0.1,35.8,471.7,3.3,NA,0.3,0,6.38532666940303,NA
"Mike Tolbert","RB","CAR",192,61,NA,NA,NA,231.7,4.3,27,182,0.3,NA,0.8,1,8.87727470006354,32.150624767128
"Josh Morgan","WR","WAS",193,74,NA,NA,NA,14.8,0.1,38.4,491.7,2.8,NA,0.1,0,6.81424157803693,9.21407446405588
"Nate Washington","WR","TEN",194,75,NA,NA,NA,4,0,33.6,494.4,3,NA,0.3,1,4.77619898157019,9.14200683999416
"Dexter McCluster","WR","KC",195,76,NA,NA,NA,57.2,0,51.4,520.3,2,NA,1.5,0,6.74737200165543,11.1920891890954
"Markus Wheaton","WR","PIT",196,77,NA,NA,NA,24,0,33.6,469.3,2.9,NA,0.1,0,7.98608940858973,22.3837109091075
"Zac Stacy","RB","STL",197,62,NA,NA,NA,384.7,3.1,10,78.6,0.3,NA,0.5,0,7.19476658784178,20.7937629871716
"Keenan Allen","WR","SD",198,78,NA,NA,NA,6,0,34.8,467.6,3.1,NA,0.1,0,4.14698939277469,6.4954350957679
"Zach Sudfeld","TE","NE",199,26,NA,NA,NA,NA,NA,32.1,403.3,4.3,NA,0.2,2,5.90746503138033,NA
"Scott Chandler","TE","BUF",200,27,NA,NA,NA,NA,NA,37.3,427.6,3.9,NA,0.7,1,6.2150166557244,6.0139031626723
"DuJuan Harris","RB","GB",201,63,NA,NA,NA,364.4,2.3,15.8,119.2,0.4,NA,0.3,0,5.95532260038962,9.05119432726974
"Delanie Walker","TE","TEN",202,28,NA,NA,NA,NA,NA,34.6,435.8,3.6,NA,0.6,0,8.56005836829206,9.09599485465077
"Knile Davis","RB","KC",203,64,NA,NA,NA,395.7,2.5,12.3,92.7,0.2,NA,0.6,0,8.54089710973171,24.1092728529917
"Julius Thomas","TE","DEN",204,29,NA,NA,NA,NA,NA,33.2,427.7,3.5,NA,0.1,0,8.79541145247404,NA
"Brent Celek","TE","PHI",205,30,NA,NA,NA,NA,NA,38.2,474.6,2.6,NA,0.2,1,4.68537992998015,4.11587848814402
"Jarius Wright","WR","MIN",206,79,NA,NA,NA,27.1,0.1,35.5,450.6,2.3,NA,0.3,0,6.26547850038958,9.46767405878198
"Toby Gerhart","RB","MIN",207,65,NA,NA,NA,316.1,1.9,18.3,151.6,0.5,NA,0.7,1,3.96709906111288,2.34559160980764
"Isaac Redman","RB","PIT",208,66,NA,NA,NA,348.1,2.2,14.7,115,0.3,NA,0.9,4,6.14434246213427,7.7266938205052
"Leonard Hankerson","WR","WAS",209,80,NA,NA,NA,5.3,0,32.7,442,2.5,NA,0.4,0,9.13288509959217,24.1084255132758
"Kenny Stills","WR","NO",210,81,NA,NA,NA,0,0,29.6,412.6,3,NA,0.5,0,7.72441390318893,17.9378716570092
"Robert Turbin","RB","SEA",211,67,NA,NA,NA,331.2,1.5,15.2,126.7,0.5,NA,0.1,0,5.08621768425376,7.61386796685276
"James Casey","TE","PHI",212,31,NA,NA,NA,NA,NA,33.1,402.4,2.8,NA,0.3,0,7.37283877772326,23.4143685853367
"LaMichael James","RB","SF",213,68,NA,NA,NA,326,1.8,14.7,115.8,0.6,NA,1,1,5.85620494161449,15.3660898978888
"Rashad Jennings","RB","OAK",214,69,NA,NA,NA,353.7,1.5,15.4,113.8,0.3,NA,0.7,0,4.71816609229754,7.64852583154645
"Brian Quick","WR","STL",215,82,NA,NA,NA,0,0,29.7,442,2,NA,0.5,2,5.14527182993484,11.3608583109948
"Jason Avant","WR","PHI",216,83,NA,NA,NA,8.4,0.1,41.8,469.2,1.5,NA,0.8,0,8.80730141394156,20.6860091985501
"Braylon Edwards","WR","NYJ",217,84,NA,NA,NA,0,0,30.3,402,2.5,NA,0.1,0,8.4422093721964,NA
"Jacoby Ford","WR","OAK",217,84,NA,NA,NA,45.7,0.3,28.1,390.5,1.7,NA,0.5,0,6.40893181788901,4.23207322124748
"Kellen Winslow","TE","NYJ",219,32,NA,NA,NA,NA,NA,34.7,418.3,2.3,NA,0.3,0,5.86025887171894,2.84610479427585
"Ryan Williams","RB","ARI",220,70,NA,NA,NA,338.8,1.7,12.4,99.9,0.3,NA,0.9,1,7.25214653643246,21.7367276554376
"Knowshon Moreno","RB","DEN",221,71,NA,NA,NA,270.1,1.9,17.8,126.8,0.6,NA,0.6,2,5.44836999613868,11.0982540856659
"Terrance Williams","WR","DAL",222,86,NA,NA,NA,0,0,30.2,421.8,1.9,NA,0.1,0,8.29768761459369,11.8139130548124
"Tony Scheffler","TE","DET",223,33,NA,NA,NA,NA,NA,29.7,375.8,2.4,NA,0.1,0,7.08956326272347,11.7351474168769
"Earl Bennett","WR","CHI",224,87,NA,NA,NA,0,0,32.9,396.8,2.1,NA,0.1,0,5.29980135105458,11.2468328875288
"Denard Robinson","RB","JAC",225,72,NA,NA,NA,266.3,1.2,18.5,163.9,0.5,NA,0.9,0,8.0461883096405,17.5718694906328
"Harry Douglas","WR","ATL",226,88,NA,NA,NA,1.3,0,33.8,416.9,1.5,NA,0,0,4.47425384034605,8.83319010300544
"Julian Edelman","WR","NE",227,89,NA,NA,NA,34.3,0.1,27.1,370.1,1.9,NA,0.7,0,7.19813115063067,19.6592958821859
"Christine Michael","RB","SEA",228,73,NA,NA,NA,302.9,1.9,11,84,0.1,NA,0.1,1,4.42967143734718,7.26759112286641
"Laurent Robinson","WR",NA,228,90,NA,NA,NA,0,0,0,384,2,NA,0,0,8.70863734348615,21.2132034355964
"Doug Baldwin","WR","SEA",230,91,NA,NA,NA,0,0,27,349.6,2.6,NA,0.1,0,4.67982495868618,0.742462120245873
"Joseph Randle","RB","DAL",230,74,NA,NA,NA,289.5,1.5,13.1,97.6,0.5,NA,0.2,1,6.25815254142687,12.7657708019009
"Mark Sanchez","QB","NYJ",230,34,981.2,5.9,7.1,32.7,0.3,NA,NA,NA,NA,1.7,0,5.58001161612335,23.8650035547172
"Travis Kelce","TE","KC",233,34,NA,NA,NA,NA,NA,30.5,353.5,2.6,NA,0.3,0,5.4839069539175,5.3834865174284
"Nick Foles","QB","PHI",234,35,875.5,5,3,23.1,0,NA,NA,NA,NA,0.9,0,10.5214657506025,26.5133468527331
"Andrew Hawkins","WR","CIN",235,92,NA,NA,NA,16.1,0,32.9,381.7,1.6,NA,0,0,4.18960987227727,5.95497760980957
"Domenik Hixon","WR","CAR",235,92,NA,NA,NA,0,0,26.6,362.3,2.2,NA,0,0,6.79216622095372,6.04777851776998
"Zach Ertz","TE","PHI",237,35,NA,NA,NA,NA,NA,30.3,348.6,2.4,NA,0.1,0,7.55797571700278,14.2311534728098
"Anthony Fasano","TE","KC",238,36,NA,NA,NA,NA,NA,32,339.2,2.6,NA,0.1,0,4.60046160588665,9.20218214609991
"T.J. Graham","WR","BUF",239,94,NA,NA,NA,9,0,29.4,388.8,1.6,NA,0.3,0,5.87573778831018,17.39375
"Eddie Royal","WR","SD",240,95,NA,NA,NA,11.7,0,33.2,379.3,1.9,NA,0.8,0,4.77124693211286,9.70150503787943
"Jon Baldwin","WR","SF",241,96,NA,NA,NA,8.2,0.1,24.2,360.6,1.9,NA,0.2,0,4.89488744585631,13.0554686019563
"Lance Dunbar","RB","DAL",241,75,NA,NA,NA,281.1,1.5,14,92,0.5,NA,0.8,0,4.85574069658787,4.38311057735638
"Austin Pettis","WR","STL",243,97,NA,NA,NA,0,0,29.7,356.9,2.1,NA,0.4,0,6.39192815903967,2.49255140368258
"Joel Dreessen","TE","DEN",244,37,NA,NA,NA,NA,NA,25.7,289.5,3.2,NA,0.3,0,5.2896268081524,10.0181625425607
"Austin Collie","WR","SF",245,98,NA,NA,NA,0,0,25.1,306.3,2.8,NA,0,0,6.75930534263819,NA
"Luke Stocker","TE","TB",246,38,NA,NA,NA,NA,NA,31.9,345.1,2.1,NA,0.1,0,4.90393116639894,7.45913432616905
"David Ausberry","TE","OAK",247,39,NA,NA,NA,NA,NA,28.2,343.9,2.1,NA,0.1,0,6.14733665006288,2.5809397513309
"Kevin Ogletree","WR","TB",248,99,NA,NA,NA,0,0,26.9,359,1.8,NA,0.1,0,7.11242530697647,16.5463785533018
"LeGarrette Blount","RB","NE",249,76,NA,NA,NA,297.6,2.7,3.8,19.5,0,NA,0.6,0,6.41807120857727,10.481429311724
"Jacob Tamme","TE","DEN",250,40,NA,NA,NA,NA,NA,29.7,327.3,2.2,NA,0,0,5.50381575511812,12.7284678272433
"Justin Hunter","WR","TEN",251,100,NA,NA,NA,0,0,23,361.3,1.9,NA,0.8,0,5.56855508980567,8.55120337535406
"Jeff Cumberland","TE","NYJ",252,41,NA,NA,NA,NA,NA,31.5,343.4,1.9,NA,0.1,0,7.62046003041059,17.5122472025532
"Kevin Kolb","QB","BUF",253,36,774,4.9,3.8,46.2,0.2,NA,NA,NA,NA,1.5,0,10.3728210254951,20.9107824498909
"Juron Criner","WR","OAK",254,101,NA,NA,NA,0,0,26,353.9,1.6,NA,0,0,4.24763205246771,8.17061885661056
"Mike Gillislee","RB","MIA",255,77,NA,NA,NA,269.2,1.4,13.6,97,0.2,NA,0.5,0,5.3958462215258,6.75163452432076
"Matt Cassel","QB","MIN",256,37,812.9,5.1,5.1,42.7,0,NA,NA,NA,NA,1.4,0,6.16711547669251,13.7825881942882
"Randy Moss","WR",NA,257,102,NA,NA,NA,0,0,0,323,2,NA,0,0,7.78656726097014,18.5173588323227
"Garrett Graham","TE","HOU",258,42,NA,NA,NA,NA,NA,28.6,310.8,2.2,NA,0.1,0,2.22391495988994,2.25390286503211
"Jerricho Cotchery","WR","PIT",259,103,NA,NA,NA,0,0,29.3,361.6,1.2,NA,0,0,6.06755215177748,13.491496164251
"Justin Forsett","RB","JAC",260,78,NA,NA,NA,287.9,0.7,12.7,87.8,0.2,NA,0.2,0,5.11463052128293,12.518060848064
"Percy Harvin","WR","SEA",261,104,NA,NA,NA,34.7,0,23.8,292.6,1.8,NA,0.6,0,6.22103729370983,12.8828374810249
"Mario Manningham","WR","SF",262,105,NA,NA,NA,0,0,20.9,313.1,1.9,NA,0.3,0,7.4334236139871,10.587126124843
"Latavius Murray","RB","OAK",263,79,NA,NA,NA,249.8,1.3,10.3,80.5,0.2,NA,0.4,0,5.04120719465131,10.084166528937
"Travis Benjamin","WR","CLE",264,106,NA,NA,NA,10.3,0,19,317.2,1.6,NA,0.7,0,2.19005533718772,2.154907915666
"Terrelle Pryor","QB","OAK",265,38,578.8,3.8,4,84.7,0.7,NA,NA,NA,NA,1,3,7.6665773945821,7.21241124728755
"Michael Crabtree","WR","SF",266,107,NA,NA,NA,0,0,19.3,264.8,2.4,NA,0,0,6.68236358850988,13.9706622292932
"Dwayne Harris","WR","DAL",267,108,NA,NA,NA,0,0,23.2,318.8,1.4,NA,0,0,4.55585867196136,2.56884377363306
"Jordan Shipley","WR","JAC",267,108,NA,NA,NA,0,0,31.3,323.4,1.3,NA,0,0,7.10171741669457,16.5150720303203
"Tony Moeaki","TE","KC",267,43,NA,NA,NA,NA,NA,26.7,327.6,1.2,NA,0,0,5.93048665617887,4.35014966217638
"Brandon Jackson","RB","CLE",270,80,NA,NA,NA,217.5,1.3,11.8,94.6,0.4,NA,0.9,0,7.61114565389605,NA
"Donald Brown","RB","IND",271,81,NA,NA,NA,251.7,0.9,10.3,83,0.2,NA,0.2,0,5.12936132078474,8.10912201756968
"Ace Sanders","WR","JAC",272,110,NA,NA,NA,0,0,23.8,311.3,1.4,NA,0.3,0,6.48421681525009,26.1150170320322
"Jerome Simpson","WR","MIN",273,111,NA,NA,NA,0,0,23.3,319.1,1.4,NA,0.6,0,4.44205118428282,3.84718511815241
"Dustin Keller","TE","MIA",274,44,NA,NA,NA,NA,NA,19,276.6,1.9,NA,0,0,3.73786159793648,1.61259689631352
"A.J. Jenkins","WR","KC",275,112,NA,NA,NA,0,0,20.9,291.7,1.6,NA,0,0,5.8755750321143,7.36999519448057
"Ryan Fitzpatrick","QB","TEN",275,39,651.9,4.2,3.2,28.3,0.2,NA,NA,NA,NA,1.1,0,7.21337383238836,8.51073721836128
"Stepfan Taylor","RB","ARI",277,82,NA,NA,NA,264.4,1.3,8.2,52.4,0,NA,0.6,0,6.69024922094995,14.7457036115609
"Marvin Jones","WR","CIN",278,113,NA,NA,NA,4.7,0,19.6,275.6,1.7,NA,0.1,0,6.58368335380332,16.0056451629834
"Dion Lewis","RB","CLE",279,83,NA,NA,NA,151.1,0.5,16.3,130.2,1,NA,0,0,7.66753432641521,3.99856093905461
"Ronnie Brown","RB","SD",280,84,NA,NA,NA,186,0.5,18.8,162.3,0.1,NA,0.6,0,5.20031252393142,4.63636756164421
"Marquise Goodwin","WR","BUF",281,114,NA,NA,NA,0,0,17.5,277.4,1.5,NA,0.5,0,6.39920497794903,11.7074851412818
"Tiquan Underwood","WR","TB",281,114,NA,NA,NA,0,0,18.7,265.9,1.5,NA,0,0,4.34523172624084,8.45596978471423
"Michael Jenkins","WR",NA,283,116,NA,NA,NA,0,0,0,294,1,NA,0,0,4.22223733544104,8.09637264458597
"Mike Goodson","RB","NYJ",284,85,NA,NA,NA,175.5,0.8,11.5,100.5,0.6,NA,0.3,0,4.12596502546921,5.70431086985974
