"name","pos","team","overallRank","positionRank","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","cost","risk","sdPts"
"Tavarres King","WR","DEN",351,147,NA,NA,NA,0,0,7.3,152.6,0.4,NA,0,0,4.11037965329975,7.76933575828719
"Jordan Reed","TE","WAS",353,54,NA,NA,NA,NA,NA,8.8,118.8,0.9,NA,0,0,1.81276239850576,1.05182133701499
"Andre Caldwell","WR","DEN",354,149,NA,NA,NA,0,0,10.5,143.1,0.4,NA,0,0,4.6061812714395,9.21890465971961
"Marquess Wilson","WR","CHI",355,150,NA,NA,NA,0,0,5.2,161,0.2,NA,0.5,0,3.76271388448224,6.75286976033153
"Michael Robinson","RB","SEA",356,110,NA,NA,NA,36.9,0.3,10.1,73.9,0.5,NA,0,0,3.05408035221419,4.68104689145494
"Jason Campbell","QB","CLE",357,43,301.7,1.7,2,12.1,0,NA,NA,NA,NA,0.3,0,3.36198891229537,5.58127524257076
"Montell Owens","RB","DET",357,111,NA,NA,NA,89.4,0.3,7.1,34.3,0.3,NA,0.3,0,2.66892714397636,3.55497934241537
"Ryan Swope","WR",NA,357,151,NA,NA,NA,0,0,9.1,156.2,0,NA,0,0,3.51360380317299,6.02454977570939
"Tashard Choice","RB","BUF",360,112,NA,NA,NA,115.9,0.3,4.2,28.7,0,NA,0.6,0,2.72664172793002,3.72371873937869
"Devin Hester","WR","CHI",361,152,NA,NA,NA,0,0,4.6,121,0.6,NA,0.3,0,8.29869405434133,20.0146574414852
"Corey Fuller","WR","DET",362,153,NA,NA,NA,0,0,9.7,128.5,0.3,NA,0,0,6.79798720528904,15.6270598642227
"Jed Collins","RB","NO",363,113,NA,NA,NA,4.7,0.5,9,44.3,1.1,NA,0,0,2.17493943419565,2.11071374184185
"Virgil Green","TE","DEN",363,55,NA,NA,NA,NA,NA,8.8,114,0.5,NA,0,0,5.87894030337144,12.9400540957138
"Da'Rel Scott","RB","NYG",365,114,NA,NA,NA,89.1,0.3,3.6,27.9,0,NA,0.1,0,2.90231668617385,4.23733738626039
"Jarrett Boykin","WR","GB",365,154,NA,NA,NA,0,0,7.5,104.9,0.6,NA,0,0,11.8287940242703,NA
"Anthony McCoy","TE","SEA",367,56,NA,NA,NA,NA,NA,6.7,95.7,0.7,NA,0,0,3.06738234684721,4.71993776442021
"David Reed","WR","IND",367,155,NA,NA,NA,0,0,0,135.5,0,NA,0,0,5.79731442721429,12.7014055570634
"Clay Harbor","TE","PHI",369,57,NA,NA,NA,NA,NA,8,88.7,0.7,NA,0,0,1.75834514773432,0.892722311248016
"Le'Ron McClain","RB","SD",370,115,NA,NA,NA,48,0.5,7.6,48.9,0,NA,0,0,2.23554648223446,2.28790979935836
"Ben Obomanu","WR","NYJ",371,156,NA,NA,NA,0,0,0,123,0,NA,0,0,3.02505781846943,4.59619407771256
"Brandon Tate","WR","CIN",372,157,NA,NA,NA,0,0,5.3,108.3,0.3,NA,0.5,0,3.97131334577274,7.36274935910492
"Lavelle Hawkins","WR","SF",373,158,NA,NA,NA,0,0,8.4,112.5,0,NA,0,0,4.18595916826008,7.99030662740799
"Kevin Dorsey","WR","GB",374,159,NA,NA,NA,0,0,0,110.5,0,NA,0,0,4.79361846854112,9.76691241513919
"Kris Durham","WR","DET",375,160,NA,NA,NA,0,0,5.8,84.4,0.4,NA,0,0,3.1338923200123,4.91439212924651
"Rex Burkhead","RB","CIN",376,116,NA,NA,NA,61.1,0.6,1,5.5,0,NA,0,0,2.9670127509799,4.42648845022779
"Devin Aromashodu","WR","CHI",377,161,NA,NA,NA,0,0,0,102,0,NA,0,0,4.536648117676,9.01561146012848
"Deon Butler","WR","SD",378,162,NA,NA,NA,0,0,0,93.5,0,NA,0,0,4.27967776681089,8.26431050511777
"Drew Stanton","QB","ARI",378,44,203.7,1,1.2,4.7,0,NA,NA,NA,NA,0.5,0,1.930424587396,1.39582878606224
"Eric Weems","WR","CHI",380,163,NA,NA,NA,0,0,2.7,91.4,0,NA,0,0,6.86752035905254,15.8303530638138
"Tyler Wilson","QB","OAK",381,45,174.4,1.1,1.1,4.8,0,NA,NA,NA,NA,0.3,0,4.58163304498039,9.14713332142918
"Brian Hoyer","QB","CLE",382,46,141.7,0.9,0.4,5.9,0,NA,NA,NA,NA,0.1,0,1.94638698095562,1.44249783362056
"Tyrod Taylor","QB","BAL",383,47,106.3,0.4,0.2,26.4,0,NA,NA,NA,NA,0,0,1.64310150332281,0.555785930012627
"Chris Harper","WR","SEA",384,164,NA,NA,NA,0,0,2.9,72.9,0.1,NA,0,0,4.03480013833942,7.54836488916639
"Anthony Allen","RB","BAL",385,117,NA,NA,NA,49.5,0.3,1.5,11.3,0,NA,0,0,2.20275269570105,2.1920310216783
"Josh McCown","QB","CHI",386,48,174.2,0.6,0.9,11.1,0,NA,NA,NA,NA,0.6,0,2.62648168837464,3.43088210231713
"Dennis Dixon","QB","PHI",387,49,49.8,0.4,0,28.9,0,NA,NA,NA,NA,0,0,1.84480811284894,1.14551298552221
