"name","pos","team","projections","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"Le'Veon Bell","RB","PIT",163.455,43.6691666666667,7.01571242048723,24.1,13.2485892920404,6.20320493168799,10.8,11,1,6
"Percy Harvin","WR","SEA",192.175,41.0883333333333,8.17919979842309,6.35,13.5529421006412,4.35492281229575,27.2,31,17,14
"Chris Ivory","RB","NYJ",160.1725,40.3866666666667,9.08658956454001,22,21.1844119676867,7.25001222201753,4.5,5,1,11
"Tony Gonzalez","TE","ATL",154.6625,40,7.85941315469358,9.1,4.24461055339592,3.15772123637163,9.6,10,1,6
"Reggie Wayne","WR","IND",190.2625,39.1758333333333,9.74220315480797,7.4,9.25648984046689,3.77888994871631,14.2,16,17,11
"Tony Romo","QB","DAL",264.466,39.056,6.30078579466324,11.5,11.4022160419221,4.56080419073599,6.3,8,1,5
"Marques Colston","WR","NO",186.9875,35.9008333333333,5.8111409929767,5.55,5.36990553144715,2.95857576343375,18.7,22,11,8
"Jason Witten","TE","DAL",149.3375,34.675,6.39859493453521,12,5.9958014824264,3.74818421178864,10.6,11,1,5
"Wes Welker","WR","DEN",183.6675,32.5808333333333,9.23004495525052,8.6,13.1838615043798,4.53626894432246,14.9,17,10,10
"Eddie Lacy","RB","GB",150.8575,31.0716666666667,0.693147180559945,15.35,6.81849243326558,4.23800396092265,5.2,6,1,1
"Jordy Nelson","WR","GB",181.325,30.2383333333333,5.10594547390058,6.3,5.11474965785228,2.9978586285265,16.8,18,5,5
"Ryan Mathews","RB","SD",149.985,30.1991666666667,0,8.95,5.06199730014416,3.27262774106951,11.3,12,1,1
"Dwayne Bowe","WR","KC",180.725,29.6383333333333,9.1866622446216,7.1,12.5650323940092,4.27682528761204,13.8,14,5,9
"Pierre Garcon","WR","WAS",178.7,27.6133333333333,10.2806217708762,8.6,15.569098333451,4.9183618329329,5.8,6,3,10
"Steve Smith","WR","CAR",177.2575,26.1708333333333,8.89494446095689,7.4,7.48391859255564,3.49494042214207,7.5,8,3,6
"Vernon Davis","TE","SF",140.4125,25.75,7.09090982207998,11.2,9.24810228281096,4.18367249035555,5.9,6,1,5
"Rashard Mendenhall","RB","ARI",144.6375,24.8516666666667,5.01063529409626,10.8,13.9475137233308,4.89372463613995,4.5,5,1,3
"Eric Decker","WR","DEN",175.675,24.5883333333333,8.86883549282689,8.5,10.6109975133899,4.11343238869222,9.8,10,3,7
"Torrey Smith","WR","BAL",174.57,23.4833333333333,7.19893124068817,8.9,8.02113182345027,3.74130996949557,11,12,2,5
"Dennis Pitta","TE","BAL",136.45,21.7875,5.65948221575962,12.45,8.2410960474017,4.1559535297337,5.6,6,1,4
"Ahmad Bradshaw","RB","IND",140.4,20.6141666666667,8.59618919764273,12,31.0509751172031,7.76179139413105,5,6,1,11
"Shane Vereen","RB","NE",139.5675,19.7816666666667,7.09506437728713,12.55,20.5555699061511,6.13930592543571,2.5,3,1,9
"Mike Wallace","WR","MIA",170.4575,19.3708333333333,8.05959232888755,10.3,11.0394683031687,4.37444499315316,9.7,10,1,6
"Jonathan Stewart","RB","CAR",138.8325,19.0466666666667,6.76041469108343,12.1,19.5017625672442,5.9224018458612,2.8,3,1,5
"Hakeem Nicks","WR","NYG",169.7375,18.6508333333333,8.10802122137675,6.55,14.0266761290466,4.45218568456676,12,13,1,7
"Cecil Shorts","WR","JAC",168.575,17.4883333333333,8.30992298925832,10.3,8.24611887875139,3.92697623975079,3.9,4,1,4
"Antonio Brown","WR","PIT",167.94,16.8533333333333,7.06133436691044,8.3,8.08226092542592,3.68697710478579,6.2,7,1,4
"Eli Manning","QB","NYG",239.898,14.488,2.77258872223978,12.8,12.5409040609785,4.88214937797557,3.2,4,1,1
"Greg Olsen","TE","CAR",128.65,13.9875,2.19722457733622,16.9,4.16209958034003,3.97813110353472,2.6,3,1,1
"Danny Amendola","WR","NE",164.75,13.6633333333333,8.00803284696931,9.1,16.3611308155182,5.09867576568095,12.5,13,1,8
"Steve Johnson","WR","BUF",163.9125,12.8258333333333,5.08759633523238,11.4,5.6003940988559,3.62071842275356,4.2,5,1,3
