"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk"
"Maurice Jones-Drew","RB","JAC",27,24.45,14,187.5825,182.2,211.92,199.675,187.5825,194.786041666667,198.877209418643,74.1708333333333,8.1,13.2479804081918,3.96127884511708
"Russell Wilson","QB","SEA",28,65.35,8,281.542,287.84,287.878,274.8,281.542,281.598333333333,270.344653462284,72.664,13.65,6.23392193299425,3.74575193087278
"Frank Gore","RB","SF",29,31.55,15,183.7,187.575,185.9825,177.45,183.7,183.151875,175.84748088188,70.2883333333333,7.7,4.44543931790399,2.88247033836283
"Julio Jones","WR","ATL",30,19.75,5,214.6125,219.775,228.2,215.9,214.6125,221.180208333333,211.233591035267,70.1875,3.65,6.1251902606504,2.63547104615328
"Demaryius Thomas","WR","DEN",31,23.25,6,214.425,216.125,226.5,145.75,214.425,200.308333333333,247.341274875184,70,3.8,37.0200339906201,6.28421871894562
"Reggie Bush","RB","DET",32,34.4,16,182.4575,176.55,204.17,220.375,182.4575,195.279791666667,208.392645553714,69.0458333333333,9.25,20.1869699491817,4.90330320035844
"Roddy White","WR","ATL",33,31.1,7,210.3375,209.25,215.55,164.5,210.3375,199.826041666667,222.884002593716,65.9125,4.7,23.7658442215399,4.82470764349095
"Stevan Ridley","RB","NE",34,25.7,17,176.705,189.325,197.8175,210.625,176.705,192.951458333333,197.788756804635,63.2933333333333,7.75,14.2753081366335,4.04364864082854
"Matthew Stafford","QB","DET",35,61.55,9,271.28,278.1,287.978,254.22,271.28,271.6195,280.194693357284,62.402,8.7,14.2121164621366,4.14048149066737
"Darren McFadden","RB","OAK",36,33.95,18,175.095,183.05,181.8575,215.775,175.095,188.444375,198.329206226097,61.6833333333334,8.1,18.2268582014519,4.54664203191603
"David Wilson","RB","NYG",37,38,19,174.6,176.075,182.6075,180.15,174.6,177.999791666667,169.89832197107,61.1883333333333,9.55,3.67895669936918,2.99539252683293
"Andre Johnson","WR","HOU",38,30,8,204.5125,212.5,216.8375,220.25,204.5125,213.358333333333,206.49289283295,60.0875,4.9,6.79396944601117,2.85128612039248
"Le'Veon Bell","RB","PIT",39,58,20,171.0825,143.525,160.0625,137.975,171.0825,152.719583333333,160.720166692205,57.6708333333333,16.8,15.190764258259,5.14451330504016
"Vincent Jackson","WR","TB",40,34.05,9,201.9875,208.75,204.1125,177.125,201.9875,197.827083333333,204.426139101819,57.5625,5,14.1961354042805,3.73252857902774
"Darren Sproles","RB","NO",41,47.3,21,169.4925,172.3,181.405,175.375,169.4925,174.559791666667,168.304359376408,56.0808333333333,8.75,5.10809054955959,3.07561500580437
"DeMarco Murray","RB","DAL",42,32.8,22,168.07,163.625,199.27,214.3,168.07,185.732916666667,202.755745106212,54.6583333333333,8.6,24.4861074131843,5.33741246155528
"Andrew Luck","QB","IND",43,67.95,10,261.838,277.34,291.26,324.6,261.838,287.0345,323.290238177711,52.96,11.65,26.7455048123356,5.93778493692882
"Larry Fitzgerald","WR","ARI",44,29.45,10,195.9625,199,211.0875,148.75,195.9625,188.675,215.495594924525,51.5375,6.5,27.4228406169018,5.45220768506003
"Tony Romo","QB","DAL",45,78.25,11,259.97,275.24,271.35,257.36,259.97,264.621666666667,259.983141980282,51.092,9.45,8.66042724119312,3.57008556749175
"Lamar Miller","RB","MIA",46,45.6,23,164.4075,148,188.575,194.675,164.4075,173.414375,186.668197515403,50.9958333333333,10.95,21.6631251953444,5.2634282965072
"Randall Cobb","WR","GB",47,31.4,11,194.8875,203.55,193.15,196.5,194.8875,200.946875,188.048430697082,50.4625,5.4,4.56200767891726,2.64375080228341
"Victor Cruz","WR","NYG",48,35.55,12,191.8625,178.375,203.0125,171.625,191.8625,185.96875,192.037938935435,47.4375,4.4,14.0045695667521,3.64415647455232
"Percy Harvin","WR","SEA",49,28.55,13,188.7175,208.425,175.375,147.45,188.7175,185.419375,203.019279825763,44.2925,5,25.59211006142,5.07234536485314
"Tony Gonzalez","TE","ATL",50,63.35,3,155.8375,155,155.2625,140.5,155.8375,151.65,150.050433927512,42.2833333333333,9.45,7.44155701673603,3.42678384599773
"Reggie Wayne","WR","IND",51,46.45,14,186,181.25,192.6375,203.75,186,190.767708333333,189.614768059783,41.575,7.05,9.75147090934662,3.43495943929089
"Jason Witten","TE","DAL",52,57.85,4,154.75,147,149.2875,136.75,154.75,146.946875,145.843664284032,41.1958333333333,10.4,7.53539132333772,3.54207813082709
"Vick Ballard","RB","IND",53,66.6,24,154.0075,147.125,157.0425,168.2,154.0075,156.152083333333,155.568317804941,40.5958333333333,12.5,8.77975571509063,3.91885163313342
"Chris Ivory","RB","NYJ",54,59.8,25,152.155,134.625,155.9075,186.45,152.155,156.809375,168.569106925857,38.7433333333333,13.3,21.5428814978212,5.50720321272809
"Robert Griffin III","QB","WAS",55,68.5,12,247.402,268.08,293.222,277.78,247.402,269.512666666667,287.819891155064,38.524,15.1,19.1801557518876,5.42696872402953
"Aaron Hernandez","TE","NE",56,50.1,5,151.8875,156,148.75,142.5,151.8875,149.617708333333,146.43992276872,38.3333333333333,11.1,5.69178295696231,3.40215119852016
"Marques Colston","WR","NO",57,41.25,15,182.3875,181.125,192.2875,125.625,182.3875,170.10625,198.64987093202,37.9625,5.6,30.2356379473517,5.68413153980225
"Ryan Mathews","RB","SD",58,55.5,26,150.745,152.75,151.1625,141.2,150.745,148.464375,145.2294913595,37.3333333333333,9.9,5.24782033125818,3.21825513716291
"Mike Wallace","WR","MIA",59,55.55,16,181.32,185.2,161.2625,156.125,181.32,171.374375,177.653422498089,36.895,8.7,14.4248026235774,4.16548685420885
"Jordy Nelson","WR","GB",60,42.8,17,178.3375,184.5,186.4125,162.75,178.3375,177.941666666667,179.08905291426,33.9125,6,10.7346256339008,3.435311029316
"Montee Ball","RB","DEN",61,50.35,27,145.2125,169.95,164.3,157,145.2125,158.723958333333,159.611952748562,31.8008333333333,14,10.6776117755407,4.30660585210451
"Eddie Lacy","RB","GB",62,66.8,28,143.9425,155.325,150.805,165.925,143.9425,153.691041666667,153.217434597847,30.5308333333333,10.7,9.22537406084437,3.77369314297152
"Wes Welker","WR","DEN",63,46.7,18,172.7925,183.85,197.7875,165.625,172.7925,180.107916666667,184.879754792864,28.3675,7.8,14.0214785388941,4.01929355908987
"Dwayne Bowe","WR","KC",64,46.25,19,172.575,158.75,186.5375,146.875,172.575,165.992708333333,175.657842397709,28.15,8.85,17.1582019229629,4.50331316253959
"Torrey Smith","WR","BAL",65,57.75,20,171.595,162.65,170.5375,145.125,171.595,162.799375,166.186601309433,27.17,7.85,12.2369851568581,3.81497940466489
"Pierre Garcon","WR","WAS",66,61.55,21,169.85,148.925,184.425,171.625,169.85,168.83125,174.378956706496,25.425,8.45,14.6992541619181,4.17031649555152
"Eric Decker","WR","DEN",67,59.1,22,169.2375,158.375,182.8125,111.125,169.2375,155.245833333333,181.879262999587,24.8125,9.65,31.1557762835936,6.2367979997686
"Steve Smith","WR","CAR",68,63.85,23,166.295,167.925,180.7375,185.65,166.295,176.199375,173.930702047021,21.87,9.05,9.52333611341985,3.62763726615613
"Rashard Mendenhall","RB","ARI",69,76.35,29,133.9175,124.65,146.795,157.95,133.9175,140.269791666667,144.925615963278,20.5058333333333,15.55,14.5859597694438,4.93621969121823
"Vernon Davis","TE","SF",70,74.6,6,133.0875,134.125,148.2625,126.5,133.0875,135.24375,135.943681990092,19.5333333333333,11.45,9.15772954485262,3.84805252778598
"BenJarvus Green-Ellis","RB","CIN",71,71.8,30,132.7675,138.85,127.775,117.325,132.7675,128.787708333333,130.227769836099,19.3558333333333,9.35,9.10849611969507,3.61178973899735
"Antonio Brown","WR","PIT",72,62.8,24,163.6625,162.7,164.525,150.125,163.6625,160.661458333333,157.36646978408,19.2375,9.65,6.79310599523517,3.37249585958942
"Eli Manning","QB","NYG",73,94.05,13,227.75,219.58,249.458,231.44,227.75,230.865333333333,234.972177556052,18.872,10.4,12.6148228683561,4.13926335203176
"Dennis Pitta","TE","BAL",74,82.9,7,129.2375,123.75,141.8125,140.5,129.2375,133.8,133.744026239966,15.6833333333333,18.1,8.77318950933277,4.53267818052918
"Hakeem Nicks","WR","NYG",75,48.75,25,159.2875,146.5,176.925,157,159.2875,159.761458333333,163.141297208966,14.8625,6.3,12.625273821288,3.69051813833445
"Steve Johnson","WR","BUF",76,78.9,26,156.9125,156,169.65,162.75,156.9125,161.136458333333,157.436918156928,12.4875,11.2,6.30243318588147,3.4849198934673
"Greg Olsen","TE","CAR",77,109.35,8,125.3375,123.375,132.1875,110.25,125.3375,122.645833333333,124.042619945094,11.7833333333333,15.4,9.17235997440135,4.28328408144576
"Cecil Shorts","WR","JAC",78,83.5,27,155.8875,157.25,176.9375,115.5,155.8875,151.285416666667,169.539716123624,11.4625,10.4,25.7897518809959,5.6882305596882
"Jonathan Stewart","RB","CAR",79,83.35,31,123.87,114.4,144.93,161.6,123.87,135.758333333333,144.346349403534,10.4583333333333,10.8,21.2025297232822,5.19281394769306
"Mike Williams","WR","TB",80,99,28,152.375,149.25,162.0375,111.375,152.375,143.484375,157.726078890503,7.94999999999999,11.65,22.2651712673067,5.41103524940072
"James Jones","WR","GB",81,71.8,29,152.3,158,177.3125,89.5,152.3,144.136458333333,175.05251859783,7.875,12.65,38.0550182507183,7.3771862754065
"Danny Amendola","WR","NE",82,55.6,30,152.1125,138.35,167.7875,173.75,152.1125,157.958333333333,163.95035585452,7.68749999999997,10.75,15.9649909959261,4.57155268853336
"Lance Moore","WR","NO",83,101.85,31,151.0875,136.75,151.4125,116,151.0875,138.7875,147.076950634637,6.66249999999999,10.8,16.6743284472469,4.66043648444315
"Matt Schaub","QB","HOU",84,138.65,14,215.412,221.38,225.078,199,215.412,213.9925,216.877003675121,6.53400000000002,20.15,11.5217331306246,5.08080949801622
"Joe Flacco","QB","BAL",85,121.75,15,215.312,215.38,228.062,214.2,215.312,216.7385,210.793584081071,6.43400000000005,14.35,6.57130273740806,3.86224237300219
"Jermichael Finley","TE","GB",86,126.65,9,118.9625,101,118.95,112.625,118.9625,112.717708333333,114.107818062906,5.40833333333333,18.7,8.46642495758983,4.56246192898239
"Josh Gordon","WR","CLE",87,89.2,32,149.3875,142.625,160.4625,NA,149.3875,150.375,176.948731969532,4.96249999999998,15.6,9.00521550269621,4.28558297013549
"Owen Daniels","TE","HOU",88,109.6,10,118.2125,117.75,119.45,79.875,118.2125,108.713541666667,117.2335621334,4.65833333333333,16.75,19.311256365028,5.62346919895895
"Isaiah Pead","RB","STL",89,115.05,32,117.3925,118.75,107.82,101.25,117.3925,110.944791666667,112.679346363318,3.98083333333331,18.5,8.28118182361873,4.51873307546678
"Giovani Bernard","RB","CIN",90,81.95,33,117.1125,128.15,139.9075,111.675,117.1125,123.852916666667,127.167960661209,3.70083333333334,13.75,12.5091410742971,4.49450003886834
"Danario Alexander","WR","SD",91,82.9,33,148.0125,155.625,158.4125,141.5,148.0125,150.695833333333,149.245609392721,3.58749999999998,13.35,7.64766440381201,3.8790397250098
"Andy Dalton","QB","CIN",92,121.9,16,211.518,204.94,237.598,237.24,211.518,221.849,232.721024586117,2.64000000000001,15.9,17.0660991832736,5.26622035914257
"Andre Brown","RB","NYG",93,79.75,34,115.1125,116.925,143.0125,115.7,115.1125,122.379166666667,126.140335038512,1.70083333333334,9.15,13.571020748885,4.11449569716325
"Brandon Myers","TE","NYG",94,123,11,114.6625,115.625,115.3625,98.625,114.6625,111.06875,112.364618789413,1.10833333333332,17.3,8.30577422138759,4.38992470115862
"Brandon Pettigrew","TE","DET",95,136.9,12,114.4625,98.375,105.8,99.25,114.4625,104.138541666667,105.816832314955,0.908333333333331,14.55,7.43900457470622,3.98620741989836
"Denarius Moore","WR","OAK",96,113.95,34,145.32,138.825,141.1125,108.5,145.32,133.520208333333,141.681513774275,0.894999999999982,13,16.8424412293022,4.92165081002112
"Josh Freeman","QB","TB",97,135.4,17,208.878,210.74,235.052,242.52,208.878,222.7975,233.792318930128,0,16.95,17.0223927323198,5.37631904689126
"T.Y. Hilton","WR","IND",98,83,35,144.1375,150.85,161.9125,135.875,144.1375,148.502083333333,149.876491226648,-0.287499999999994,13.05,11.0070361019668,4.24107378931736
"Antonio Gates","TE","SD",99,109.45,13,113.1125,113.625,129.45,82.125,113.1125,109.578125,117.633078703904,-0.441666666666677,15.9,19.8110616591464,5.58894368139312
"Jared Cook","TE","STL",100,118.6,14,113.0875,112.75,124.4125,97.125,113.0875,111.61875,114.648403978525,-0.466666666666669,18.5,11.2098659113301,4.86305641937989
"Jeremy Maclin","WR","PHI",101,94.25,36,143.8175,136.875,157.3875,102.775,143.8175,135.79125,149.061277476737,-0.607500000000016,9.65,23.2431492146969,5.30651595844777
"Mark Ingram","RB","NO",102,89.15,35,112.5675,105.625,122.4425,122.4,112.5675,115.592083333333,116.219204691838,-0.84416666666668,11.6,8.1986926041087,3.75176168475786
"Shane Vereen","RB","NE",103,93.3,36,112.555,142.95,148.1075,107.075,112.555,127.338541666667,135.909838691316,-0.856666666666669,14.45,20.8469585486508,5.55159623582041
"Kyle Rudolph","TE","MIN",104,87.95,15,112.05,110.875,123.5,72.875,112.05,104.741666666667,114.213593613482,-1.50416666666668,14.95,22.0481386213591,5.74769300741634
"Philip Rivers","QB","SD",105,129.45,18,206.238,211.06,221.77,222,206.238,213.683666666667,209.939214004936,-2.63999999999999,18.6,7.89185208511495,4.48393482364969
"Ben Roethlisberger","QB","PIT",106,111.4,19,206.108,220.1,241.93,233.82,206.108,224.322833333333,232.740956143742,-2.76999999999998,14.9,15.7520001163873,5.00197291132585
"Greg Jennings","WR","MIN",107,74.35,37,139.4625,142.75,149.9125,111.5,139.4625,135.739583333333,143.516999303543,-4.96250000000003,10.7,16.8456117554889,4.66959916965506
"Tavon Austin","WR","STL",108,83.35,38,138.82,140.675,145.4875,153.575,138.82,147.303541666667,142.114401365688,-5.60500000000002,12.9,6.58650399649414,3.70489245462683
"Miles Austin","WR","DAL",109,87.95,39,138.6625,141,147.7,125.375,138.6625,138.017708333333,138.90418706523,-5.76250000000002,9.6,9.359194315173,3.66870158529489
"Martellus Bennett","TE","CHI",110,125,16,107.0875,107.625,122.7125,85.75,107.0875,105.79375,110.785928647985,-6.46666666666668,14.85,15.1989394503915,4.93146246798245
"DeSean Jackson","WR","PHI",111,88.95,40,136.7,140.625,148.9125,182.525,136.7,156.398958333333,161.258338925897,-7.72500000000002,13.7,20.8538050459822,5.47008887039026
"Anquan Boldin","WR","SF",112,91.1,41,136.2875,148.075,143.1875,71.125,136.2875,124.69375,148.980195285147,-8.13750000000002,10.25,36.0218690809254,6.87475097599634
"Sam Bradford","QB","STL",113,136.35,20,200.29,201.32,218.208,187.68,200.29,200.291166666667,205.117671843009,-8.58799999999999,18.25,12.5310968261628,4.99095518134413
"Pierre Thomas","RB","NO",114,128.35,37,104.3825,89.075,110.0175,104.675,104.3825,101.870833333333,103.817871402127,-9.02916666666668,17.5,9.02149724269758,4.49602170474326
"Ryan Tannehill","QB","MIA",115,137.8,21,198.81,203.66,228.79,123.46,198.81,187.288333333333,244.707846267398,-10.068,23.85,45.4220130186528,9.47251577121204
"Ahmad Bradshaw","RB","FA/NYG",116,102.6,38,103.25,79.825,28.0625,NA,103.25,70.3291666666667,67.8833770608851,-10.1616666666667,25.85,38.4734696197696,8.87507984960509
"Chris Givens","WR","STL",117,133.55,42,133.2,143.15,130.825,76.625,133.2,121.225,139.368628730596,-11.225,13,30.0284517860423,6.47192086708229
"Michael Vick","QB","PHI",118,108.9,22,197.51,193.74,256.61,226.1,197.51,216.965,247.150489092473,-11.368,17.6,29.2333679209222,6.88329220587778
"Jordan Cameron","TE","CLE",119,148.65,17,101.0875,86.875,90.525,97,101.0875,93.7635416666667,95.2712319983556,-12.4666666666667,23.55,6.37725756595263,4.84912620530849
"Carson Palmer","QB","ARI",120,141.1,23,196.162,211.58,208.45,210.74,196.162,205.374666666667,200.73287262295,-12.716,18.2,7.17039255085334,4.35521343468355
"Jay Cutler","QB","CHI",121,131.8,24,194.482,196.84,240.982,186.88,194.482,203.237666666667,226.187953267308,-14.396,16.1,24.4954838286571,6.16163787360164
"Johnathan Franklin","RB","GB",122,104.25,39,98.98,130.825,99.75,101.975,98.98,107.715833333333,112.142669194385,-14.4316666666667,13.5,15.3476265808973,4.80078136411313
"DeAngelo Williams","RB","CAR",123,111,40,96.9125,84.775,105.1325,66.95,96.9125,88.2758333333333,93.9658970211156,-16.4991666666667,14.45,16.5899077001652,5.05109773906919
"Alex Smith","QB","KC",124,145.7,25,191.182,169.34,228.758,191.92,191.182,194.241666666667,215.802359572181,-17.696,21.95,24.6423868432693,6.82094512455925
"Danny Woodhead","RB","SD",125,132.4,41,95.5825,91.375,112.5675,100.725,95.5825,99.9541666666667,101.690473115424,-17.8291666666667,17.15,9.17164084738022,4.47526157531615
"Jacquizz Rodgers","RB","ATL",126,122.85,42,95.1075,94.725,97.38,106.875,95.1075,98.3802083333333,98.9495712925888,-18.3041666666667,19.2,5.69071735921755,4.29099879303521
"Emmanuel Sanders","WR","PIT",127,116.6,43,126.0575,135.025,136.4875,61.5,126.0575,114.79,136.135633069636,-18.3675,13.9,35.8097536177878,7.2503992519891
"Jermaine Gresham","TE","CIN",128,134.2,18,94.2375,84.625,95.8625,113.125,94.2375,96.6875,99.5398518695733,-19.3166666666667,29.4,11.8613649790682,6.13592485192448
"Dustin Keller","TE","MIA",129,168.2,19,93.6375,93.625,96.0875,61.875,93.6375,86.30625,91.7081315722712,-19.9166666666667,23.1,16.328606352554,5.96971195390655
"Rob Housler","TE","ARI",130,175.1,20,93.55,75.75,94.5375,55.625,93.55,79.7822916666667,85.9911764155577,-20.0041666666667,28.5,18.3218658501029,6.79670666576443
"Mikel Leshoure","RB","DET",131,101.1,43,93.3925,108.9,123.045,98.575,93.3925,105.728125,108.753611930982,-20.0191666666667,14.8,13.0769490859234,4.67649405513346
"Marcedes Lewis","TE","JAC",132,217,21,92.7125,82.5,106.1875,90.125,92.7125,92.7395833333333,95.2583036348441,-20.8416666666667,33.4,9.87339913184242,6.34120004606496
"Michael Floyd","WR","ARI",133,139.4,44,122.9875,103.75,125.1,93,122.9875,111.067708333333,117.28116561848,-21.4375,18.35,15.4800657264701,5.34863837029395
"Fred Davis","TE","WAS",134,143.75,22,91.6125,93.625,104.1625,61.25,91.6125,87.6625,93.525306732907,-21.9416666666667,24.55,18.4483428569253,6.37806501490304
"Kendall Wright","WR","TEN",135,126.75,45,121.8875,135.75,127.575,32,121.8875,104.053125,133.326607794891,-22.5375,14.5,48.5367154574332,8.81254911448042
"Fred Jackson","RB","BUF",136,96.5,44,90.4325,77.45,115.2575,127.375,90.4325,102.12875,107.990737615192,-22.9791666666667,12.2,22.7638615737752,5.53002827642102
"Dwayne Allen","TE","IND",137,180.1,23,90.175,78.25,106.8125,83.625,90.175,89.6072916666667,92.9979027637208,-23.3791666666667,17.8,12.3971828747166,4.92582362954173
"Santonio Holmes","WR","NYJ",138,136.9,46,120.0875,101.25,130.3875,158,120.0875,127.20625,136.700497854717,-24.3375,13.65,23.6824576867211,5.79716410001724
"Zach Miller","TE","SEA",139,192,24,88.25,72.75,87.7125,73.375,88.25,80.496875,83.4799081511388,-25.3041666666667,33.1,8.61991622518262,6.16090401434773
"Kenny Britt","WR","TEN",140,96.25,47,118.9875,112,153.9625,129.25,118.9875,128.441666666667,134.956396959742,-25.4375,12.9,18.3632700655412,5.0894786209503
"Brian Hartline","WR","MIA",141,132.75,48,117.8625,100.125,120.8,108.5,117.8625,111.655208333333,113.657424724118,-26.5625,14.5,9.39765249388555,4.210996801692
"Sidney Rice","WR","SEA",142,120.7,49,116.78,138.85,124.05,125.875,116.78,126.56625,126.862305269318,-27.645,13.3,9.18956870134103,4.05483285010126
"Michael Bush","RB","CHI",143,142.6,45,84.0675,86.175,87.4825,76.675,84.0675,83.375,85.2411421222385,-29.3441666666667,16.75,4.82626883144043,3.9204793254413
"Ben Tate","RB","HOU",144,108.9,46,82.855,74.45,98.995,99.1,82.855,88.575,91.4396487878158,-30.5566666666667,14.35,12.2649031793977,4.5316350027218
"Bryce Brown","RB","PHI",145,101.95,47,82.1375,84.725,99.5325,77.05,82.1375,85.38625,88.3357628366113,-31.2741666666667,10.85,9.65571646314589,3.84075065949113
"Daryl Richardson","RB","STL",146,94.55,48,81.5175,103.425,80.1375,128.25,81.5175,97.9991666666667,102.888754066838,-31.8941666666667,13.45,22.6185220007851,5.65012797651181
"Delanie Walker","TE","TEN",147,207,25,80.0375,67.25,94.2125,NA,80.0375,80.2166666666667,69.6856114205015,-33.5166666666667,53.2,13.4871987918174,8.93911675782474
"Ryan Williams","RB","ARI",148,133.05,49,79.0425,113.425,64.8075,82.65,79.0425,84.7895833333333,89.9320270637012,-34.3691666666667,16.8,20.4672957116958,5.76487142489797
"Andre Roberts","WR","ARI",149,162.9,50,109.4125,104.85,93.7875,107.125,109.4125,104.09375,104.722748068239,-35.0125,20.5,6.92599646861976,4.57890435480536
"Greg Little","WR","CLE",150,162.7,51,109.1575,90.475,110.5625,73.375,109.1575,96.0733333333333,102.636231981579,-35.2675,12.5,17.5836689146492,4.95392156270092
"Coby Fleener","TE","IND",151,190.7,26,77.6625,82.375,81.6625,72.875,77.6625,78.64375,80.6097908349353,-35.8916666666667,12.9,4.36945481915841,3.44423553039141
"Bernard Pierce","RB","BAL",152,113.15,50,76.9325,71.65,100.1575,54.5,76.9325,75.6683333333333,80.4537001952527,-36.4791666666667,13,18.8457109399814,5.157173831584
"Heath Miller","TE","PIT",153,146.1,27,76.4625,71.375,98.5375,63.25,76.4625,77.2145833333333,81.1996871586537,-37.0916666666667,26.45,15.1018297042665,6.19314230127775
"Joseph Randle","RB","DAL",154,143.15,51,75.6425,75.875,87.7325,47.175,75.6425,71.4645833333333,76.1881571091516,-37.7691666666667,21.1,17.2380920855529,5.85714008111652
"Mike Goodson","RB","NYJ",155,143.7,52,75.175,93.675,74.3825,81.825,75.175,80.9560416666667,83.6332867705836,-38.2366666666667,20.6,8.92148352176737,4.82448734853369
"Justin Blackmon","WR","JAC",156,117.3,52,105.8175,95.125,133.9875,88.75,105.8175,106.0225,112.983083465208,-38.6075,18.65,19.992798599329,5.91212214551662
"Marcel Reece","RB","OAK",157,143.1,53,74.755,87.05,83.0625,62.95,74.755,76.8127083333333,80.0848052996615,-38.6566666666667,17.85,10.6487965624838,4.72575455811005
"Mike Tolbert","RB","CAR",158,167.8,54,74.375,72.35,91.78,17.4,74.375,63.8345833333333,70.8119719525972,-39.0366666666667,22.6,32.2523863135221,7.78698477991096
"DeAndre Hopkins","WR","HOU",159,117.85,53,104.5375,100.25,129.2375,96.3,104.5375,108.539583333333,111.863430656553,-39.8875,19.5,14.8242077500508,5.39774180426648
"Robert Turbin","RB","SEA",160,160.3,55,72.8625,81.725,70.4875,57.525,72.8625,70.65,74.104414127223,-40.5491666666667,23,9.99737986507798,5.21437910131564
"Alshon Jeffery","WR","CHI",161,129.95,54,102.6625,113.625,128.3875,92.375,102.6625,109.179166666667,113.793302213785,-41.7625,16.3,15.4223289151369,5.11686333121766
"Daniel Thomas","RB","MIA",162,167.8,56,71.1625,65.8,51.8925,63.1,71.1625,62.7970833333333,66.7468392294418,-42.2491666666667,24.3,8.12101094384191,5.13645037611519
"Rod Streater","WR","OAK",163,174.5,55,101.4625,80.25,119.675,NA,101.4625,100.179166666667,95.5602762407287,-42.9625,22.8,19.7315142918632,6.33686454369748
"Brandon LaFell","WR","CAR",164,159.5,56,100.8175,94.8,124,76,100.8175,99.1402083333333,105.707791504757,-43.6075,16.5,19.7897846517465,5.65229200115881
"Brent Celek","TE","PHI",165,190.5,28,69.2125,79.75,79.125,71.25,69.2125,74.7510416666667,77.1449229761757,-44.3416666666667,30,5.38597111910501,5.44046715843483
"Ronnie Hillman","RB","DEN",166,143.65,57,69.03,75.85,93.9625,82.5,69.03,80.1689583333333,82.5882560295392,-44.3816666666667,24.15,10.6193883955637,5.41372040852903
"Shonn Greene","RB","TEN",167,126,58,68.7925,86.375,99.8675,78.475,68.7925,82.9608333333333,85.8719231537767,-44.6191666666667,18.1,13.1359790588038,5.04560830254756
"Willis McGahee","RB","DEN",168,127.25,59,68.2325,57.8,50.43,106.675,68.2325,70.309375,73.5922451747844,-45.1791666666667,22.45,25.0169516174367,6.91985731249947
"Joel Dreessen","TE","DEN",169,NA,29,68.3625,65,71.875,48.375,68.3625,63.2364583333333,67.2005234976218,-45.1916666666667,NA,10.4045281358246,4.08729918197398
"Jacob Tamme","TE","DEN",170,185.7,30,66.5875,75.375,78.375,43.75,66.5875,66.021875,69.9163257580157,-46.9666666666667,49.6,15.6677693816265,8.80038586394384
"Tony Scheffler","TE","DET",171,NA,31,65.3375,53.5,68.8625,82.125,65.3375,67.3729166666667,70.338624616906,-48.2166666666667,NA,11.7815644299332,4.41109357377381
"Jake Locker","QB","TEN",172,167.7,26,160.47,163.1,218.252,169.8,160.47,176.713833333333,197.59680467839,-48.408,30.8,27.182952274051,8.09092280833211
"Toby Gerhart","RB","MIN",173,183,60,63.8825,58.825,61.605,56.575,63.8825,59.946875,64.0406331547403,-49.5291666666667,9.2,3.19187338864916,2.89971407375885
"Scott Chandler","TE","BUF",174,151.5,32,63.55,NA,77.0125,83.25,63.55,74.6041666666667,56.0896602945324,-50.0041666666667,8.5,10.0683937191259,3.63135695261361
"Isaac Redman","RB","PIT",175,169.4,61,63.155,57.975,39.3925,47.1,63.155,51.680625,56.2487058481144,-50.2566666666667,11.2,10.6935818708778,4.00118417925416
"Tyler Eifert","TE","CIN",176,149.35,33,62.0875,78.125,84.8875,NA,62.0875,75.0333333333333,61.2586570588466,-51.4666666666667,23.85,11.710200770411,5.50904153669436
"Matt Flynn","QB","OAK",177,194,27,157.168,130.7,186.248,111.7,157.168,145.595666666667,171.164481489561,-51.71,39.7,32.4262304521098,9.68414403014517
"Rueben Randle","WR","NYG",178,162.6,57,92.2125,101,116.675,52.375,92.2125,90.4822916666667,99.8668418332889,-52.2125,17.8,27.3971511882014,6.68935943388518
"Donald Brown","RB","IND",179,162.3,62,60.95,48.2,77.02,48.325,60.95,58.59875,62.119359382741,-52.4616666666667,22.3,13.6449290794541,5.56639409993582
"David Ausberry","TE","OAK",180,NA,34,61,NA,52.0375,NA,61,56.51875,29.5159900771066,-52.5541666666667,NA,6.33744452638444,3.13097081985894
"Mike Gillislee","RB","MIA",181,165.3,63,60.7875,51.85,63.6125,46.85,60.7875,55.55,59.8293064595676,-52.6241666666667,20.3,7.780591504935,4.65742854914282
"Jacoby Jones","WR","BAL",182,149.9,58,90.4,97.3,96.2,66.625,90.4,87.83125,92.0275856873434,-54.025,15.25,14.3275575814582,4.8729146050096
"Jeff Cumberland","TE","NYJ",183,NA,35,58.1625,NA,68.6625,31.875,58.1625,52.9,40.5427370201157,-55.3916666666667,NA,18.9499464049374,6.09665690403304
"Malcom Floyd","WR","SD",184,148.8,59,88.575,101,105.1625,73.75,88.575,92.121875,96.0054135440015,-55.85,21,14.1301700530874,5.48076888337128
"Robert Woods","WR","BUF",185,153.5,60,88.0375,84.65,89.7375,94.225,88.0375,89.3291666666667,89.9546626718457,-56.3875,12,3.98278849132949,3.30000067611836
"Brandon Weeden","QB","CLE",186,173.6,28,152.36,159.78,192.442,158.04,152.36,164.6305,174.153438639434,-56.518,50.4,18.1365583192255,9.17843944630601
"Santana Moss","WR","WAS",187,184.4,61,87.1125,85.825,90.875,62.875,87.1125,81.6635416666667,85.6708843067241,-57.3125,2.6,12.7131017351851,3.29476997504314
