"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk"
"Nick Toon","WR","NO",449,NA,137,17.6625,18.375,NA,NA,17.6625,18.01875,14.3836997030029,-126.7625,NA,0.503813581595414,1.75925898347956
"Andre Caldwell","WR","DEN",450,NA,138,17.625,NA,NA,31.625,17.625,24.625,14.0673803358103,-126.8,NA,9.89949493661167,3.96854638055725
"Ace Sanders","WR","JAC",451,NA,139,17.08,24.5,NA,70.775,17.08,37.285,20.9629658682464,-127.345,NA,29.0963487113647,8.48246777758954
"Tavarres King","WR","DEN",452,NA,140,16.875,NA,NA,32.625,16.875,24.75,13.8427284535484,-127.55,NA,11.1369318036881,4.25951555797106
"Chris Harper","WR","SEA",453,NA,141,15.3125,NA,NA,26.75,15.3125,21.03125,13.6493616198069,-129.1125,NA,8.08753380982114,3.54248437077275
"Riley Cooper","WR",NA,454,NA,142,14.375,NA,NA,NA,14.375,14.375,11.1200112827195,-130.05,NA,NA,NA
"David Nelson","WR","CLE",455,NA,143,13.875,NA,NA,23.5,13.875,18.6875,13.4405452885692,-130.55,NA,6.80590276892052,3.24112343702274
"Blaine Gabbert","QB","JAC",456,NA,32,78.278,66.1,150.082,106.8,78.278,99.0066666666667,108.389561773567,-130.6,NA,37.3055183942894,10.4127604765086
"Ted Ginn Jr.","WR",NA,457,NA,144,13.125,NA,NA,NA,13.125,13.125,11.1901003269155,-131.3,NA,NA,NA
"Jarrett Boykin","WR",NA,458,NA,145,12.5,NA,NA,NA,12.5,12.5,11.2292601021338,-131.925,NA,NA,NA
"Kenny Stills","WR","NO",459,NA,146,12.4625,11.875,NA,47.75,12.4625,24.0291666666667,15.8034995765911,-131.9625,NA,20.544944380147,6.4717025012439
"Aldrick Robinson","WR","WAS",460,NA,147,12.0625,NA,NA,41.875,12.0625,26.96875,11.791775318952,-132.3625,NA,21.0806209141239,6.59766073361772
"Stephen Burton","WR",NA,461,NA,148,11.875,NA,NA,NA,11.875,11.875,11.2711633794323,-132.55,NA,NA,NA
"Derek Hagan","WR","OAK",462,NA,149,11.125,NA,NA,46.625,11.125,28.875,11.0703664921061,-133.3,NA,25.1022907321224,7.5433105602126
