"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent"
"Frank Gore","RB","SF",61,184.93,187.575,187.82,182.95,184.93,185.402083333333,174.71923419572
"Lamar Miller","RB","MIA",62,184.105,148,193.045,194.675,184.105,179.58125,202.640619392197
"Darren McFadden","RB","OAK",63,183.87,183.05,183.7575,215.775,183.87,191.196458333333,204.130933712425
"Rob Gronkowski","TE","NE",64,183.725,200.25,189.0375,176.875,183.725,187.221875,189.399525283263
"David Wilson","RB","NYG",65,182.9825,176.075,186.3575,190.15,182.9825,183.682916666667,179.196134927078
"Dwayne Bowe","WR","KC",66,181.175,158.75,190.7375,177.375,181.175,176.859375,185.189086921637
"Jordy Nelson","WR","GB",67,180.95,184.5,188.2125,174.75,180.95,181.994791666667,177.047437811998
"Darren Sproles","RB","NO",68,178.0925,172.3,187.6075,175.375,178.0925,178.19375,174.878307012278
"Wes Welker","WR","DEN",69,177.13,183.85,192.5,165.625,177.13,179.96625,184.06650264276
"Steve Smith","WR","CAR",70,176.755,167.925,179.55,185.65,176.755,178.61,175.174825866953
"Eric Decker","WR","DEN",71,174.225,158.375,179.2125,166.875,174.225,169.555208333333,170.454657749447
"Torrey Smith","WR","BAL",72,172.3675,162.65,169.7125,181.875,172.3675,172.024583333333,170.346005605067
"Mike Wallace","WR","MIA",73,171.925,185.2,167.4125,162.375,171.925,172.123958333333,173.323562913783
"Pierre Garcon","WR","WAS",74,171.5725,148.925,177.9625,171.625,171.5725,167.62625,173.912737389677
"Christian Ponder","QB","MIN",75,169.888,162.56,201.862,143.7,169.888,168.2025,193.934275509729
"Antonio Brown","WR","PIT",76,169.17,162.7,168.8625,180.625,169.17,170.695208333333,168.174013214941
"Hakeem Nicks","WR","NYG",77,169.0375,146.5,176.925,175,169.0375,166.757291666667,174.883043463496
"Cecil Shorts","WR","JAC",78,167.7,157.25,178.4,171,167.7,168.520833333333,168.4944411599
"Le'Veon Bell","RB","PIT",79,166.375,143.525,163.2625,137.975,166.375,152.417708333333,161.211811533176
"Montee Ball","RB","DEN",80,165.225,169.95,163.4,184.8,165.225,170.46875,171.740125770675
"Steve Johnson","WR","BUF",81,163.0125,156,168.8125,162.75,163.0125,162.452083333333,157.354284823982
"Danny Amendola","WR","NE",82,162.2875,138.35,173.375,173.75,162.2875,161.994791666667,173.126433188709
"James Jones","WR","GB",83,160.925,158,178.45,138.5,160.925,158.827083333333,169.922763002926
"Matt Flynn","QB","OAK",84,158.964,130.7,184.98,111.7,158.964,145.919333333333,179.40620842519
"Mike Williams","WR","TB",85,158.1375,149.25,160.8875,154.375,158.1375,155.445833333333,150.381144518896
"Chris Ivory","RB","NYJ",86,157.695,134.625,158.3075,186.45,157.695,158.902708333333,176.098686703674
"T.Y. Hilton","WR","IND",87,157.0425,150.85,164.1375,153.875,157.0425,156.82875,152.014369900366
"Danario Alexander","WR","SD",88,154.65,155.625,160.5,165.5,154.65,158.927083333333,153.321828178715
"Tony Gonzalez","TE","ATL",89,154.4,155,155.2625,146.5,154.4,152.790625,146.448910740593
"Tavon Austin","WR","STL",90,152.275,140.675,151.0375,153.575,152.275,152.098958333333,145.426156078618
"Lance Moore","WR","NO",91,151.7125,136.75,148.2875,159.25,151.7125,148.958333333333,149.503088364
"Jason Witten","TE","DAL",92,150.7625,147,152.2,136.75,150.7625,146.678125,144.24094939593
"Rashard Mendenhall","RB","ARI",93,150.325,124.65,153.3675,157.95,150.325,146.239791666667,154.256167859863
"Ryan Mathews","RB","SD",94,149.9475,152.75,147.495,141.2,149.9475,147.423125,142.639742060261
"Ahmad Bradshaw","RB","IND",95,149.9375,136.525,155.3075,176.9,149.9375,154.609166666667,164.442053115898
"Jeremy Maclin","WR","PHI",96,149.5925,136.875,157.5125,165.775,149.5925,152.97875,156.448055771187
"Miles Austin","WR","DAL",97,149.525,141,152.8875,155.875,149.525,149.751041666667,146.377830344639
"Greg Jennings","WR","MIN",98,148.0375,142.75,151.375,167,148.0375,152.190625,153.712774794158
"Kenny Britt","WR","TEN",99,147.7875,112,163.7125,159.75,147.7875,145.745833333333,164.085613643272
"E.J. Manuel","QB","BUF",100,147.554,84.62,180.248,113.64,147.554,130.623833333333,171.760519556621
"DeSean Jackson","WR","PHI",101,147.3825,140.625,147.675,160.525,147.3825,151.624375,147.901399346487
"Josh Gordon","WR","CLE",102,146.9175,129,152.9875,NA,146.9175,142.79,180.186460450437
"Eddie Lacy","RB","GB",103,144.0825,155.325,146.905,165.925,144.0825,152.792708333333,153.334972442706
"Anquan Boldin","WR","SF",104,142.6125,148.075,142.775,158.125,142.6125,147.955208333333,145.221979120954
"Denarius Moore","WR","OAK",105,142.43,138.825,135.8625,151.5,142.43,142.319375,139.225568148964
"Vernon Davis","TE","SF",106,139.45,134.125,148.2625,126.5,139.45,136.884375,137.148983075818
"Jonathan Stewart","RB","CAR",107,138.365,114.4,143.4,161.6,138.365,139.124583333333,150.939430441784
"Shane Vereen","RB","NE",108,137.265,142.95,159.0425,107.075,137.265,136.424791666667,151.043565759154
"Dennis Pitta","TE","BAL",109,135.6375,123.75,141.8125,140.5,135.6375,135.383333333333,134.197809369151
"Emmanuel Sanders","WR","PIT",110,133.08,135.025,136.4875,141.5,133.08,136.542291666667,130.001056408767
"BenJarvus Green-Ellis","RB","CIN",111,132.5,138.85,125.975,149.325,132.5,136.2625,136.929024835778
"Michael Floyd","WR","ARI",112,130.3425,103.75,136.075,117,130.3425,121.756875,127.288651311027
"Andre Brown","RB","NYG",113,129.5175,116.925,145.1325,115.7,129.5175,126.560416666667,131.411337531581
"Giovani Bernard","RB","CIN",114,127.5025,128.15,149.2075,111.675,127.5025,128.775416666667,135.218123311701
"Greg Olsen","TE","CAR",115,126.9875,123.375,129.1375,122.75,126.9875,125.445833333333,119.166245998878
"Kendall Wright","WR","TEN",116,125.9875,135.75,131.575,143,125.9875,133.832291666667,131.17471618231
"Sidney Rice","WR","SEA",117,124.7675,138.85,123.75,125.875,124.7675,128.438125,125.618462969425
"Chris Givens","WR","STL",118,124.185,143.15,125.7375,88.625,124.185,120.725208333333,133.391555783468
"Justin Blackmon","WR","JAC",119,123.13,95.125,133.9875,131.75,123.13,121.158958333333,128.834708738269
"Blaine Gabbert","QB","JAC",120,121.88,66.1,150.082,106.8,121.88,110.157166666667,134.708522296066
"Santonio Holmes","WR","NYJ",121,121.6125,101.25,131.2125,114.5,121.6125,116.91875,120.079532289596
"Antonio Gates","TE","SD",122,120.925,113.625,127.05,113.125,120.925,118.68125,115.990144360335
"Kyle Rudolph","TE","MIN",123,120.9,110.875,128.2875,109.625,120.9,117.413541666667,116.831245972754
"Mark Ingram","RB","NO",124,118.985,105.625,122.4425,122.4,118.985,117.204791666667,115.835419472145
"Owen Daniels","TE","HOU",125,118.475,117.75,119.45,110.875,118.475,116.5875,111.53094240505
"Brian Hartline","WR","MIA",126,118.2875,100.125,122.1625,108.5,118.2875,112.14375,112.697289836846
"Jermichael Finley","TE","GB",127,118.25,101,120.75,112.625,118.25,112.947916666667,112.531260079738
"Greg Little","WR","CLE",128,117.45,99.1,115.5625,128.875,117.45,115.380208333333,117.37527866743
"Brandon LaFell","WR","CAR",129,116.0125,94.8,124.4125,119,116.0125,113.90625,116.307146922952
"Alshon Jeffery","WR","CHI",130,115.2375,113.625,128.3875,104.875,115.2375,115.522916666667,115.41476037143
"Brandon Myers","TE","NYG",131,114.925,115.625,115.3625,117.125,114.925,115.759375,108.098387906651
"Jared Cook","TE","STL",132,114.4625,112.75,125.65,109.625,114.4625,115.463541666667,113.096241623347
"Pierre Thomas","RB","NO",133,113.125,89.075,117.8175,104.675,113.125,106.023125,108.620410385876
"DeAndre Hopkins","WR","HOU",134,112.675,100.25,125.9,96.3,112.675,109.810416666667,111.782098771987
"Martellus Bennett","TE","CHI",135,111.45,107.625,123.5375,85.75,111.45,107.082291666667,111.938068445669
"Geno Smith","QB","NYJ",136,111.132,103.54,130.718,89.22,111.132,107.619166666667,114.689073355549
"Rueben Randle","WR","NYG",137,110.6625,101,124.65,95.375,110.6625,107.876041666667,110.291675450083
"Rod Streater","WR","OAK",138,108.1125,80.25,118.5375,NA,108.1125,101.966666666667,106.758242100005
"Danny Woodhead","RB","SD",139,107.52,91.375,117.4675,103.225,107.52,104.846875,105.484607226354
"Brandon Pettigrew","TE","DET",140,107.4625,98.375,109.925,99.25,107.4625,103.411458333333,100.686738247235
"Isaiah Pead","RB","STL",141,106.8825,118.75,114.98,123.25,106.8825,115.757291666667,112.898288990176
"Ryan Broyles","WR","DET",142,106.575,75.625,131.6125,95.125,106.575,102.184375,112.166367101957
"Vick Ballard","RB","IND",143,103.035,110.25,106.1625,93.7,103.035,103.070208333333,100.911764169783
"Mikel Leshoure","RB","DET",144,102.7625,108.9,111.875,98.575,102.7625,105.228125,102.265366578109
"Fred Jackson","RB","BUF",145,102.6925,77.45,114.1575,127.375,102.6925,105.085416666667,112.703971585549
"Darrius Heyward-Bey","WR","IND",146,101.955,86.05,114.3375,123.25,101.955,106.525625,110.066307474528
"Daryl Richardson","RB","STL",147,101.605,103.425,92.8825,116.25,101.605,103.315625,102.718918566927
"DeAngelo Williams","RB","CAR",148,100.465,84.775,105.1325,66.95,100.465,89.1722916666667,94.0674939480547
"Mohamed Sanu","WR","CIN",149,100.2975,76.975,109.5375,114,100.2975,100.5575,104.029334820605
"Jermaine Gresham","TE","CIN",150,100.2375,84.625,100.0625,113.125,100.2375,99.2208333333333,100.135511857561
"Andre Roberts","WR","ARI",151,100.0625,104.85,91.2875,107.125,100.0625,101.185416666667,98.338815198399
"Jordan Cameron","TE","CLE",152,99.7625,86.875,93.4,97,99.7625,94.209375,91.2944921874681
"Bernard Pierce","RB","BAL",153,98.21,71.65,112.8075,84.5,98.21,91.691875,96.4218350758464
"Johnathan Franklin","RB","GB",154,97.975,130.825,92.52,101.975,97.975,105.757083333333,109.585095470364
"Marcedes Lewis","TE","JAC",155,96.6375,82.5,102.5125,90.125,96.6375,92.8354166666667,91.7821261746939
"Fred Davis","TE","WAS",156,96.5875,93.625,104.1625,98.25,96.5875,98.1395833333333,94.1107060016446
"Ben Tate","RB","HOU",157,96.5775,74.45,103.295,99.1,96.5775,93.1389583333333,94.7035289203288
"Malcom Floyd","WR","SD",158,96.1625,101,106.4125,97.75,96.1625,100.33125,96.1711406436266
"Dwayne Allen","TE","IND",159,94.4,78.25,102.3125,83.625,94.4,89.5885416666667,89.7641314914784
"Jacquizz Rodgers","RB","ATL",160,93.7,94.725,96.55,106.875,93.7,97.8541666666667,94.7540845812245
"Dustin Keller","TE","MIA",161,93.0875,93.625,96.0875,92.375,93.0875,93.7854166666667,88.3338087844753
"Ronnie Hillman","RB","DEN",162,93.05,75.85,110.1925,82.5,93.05,90.2314583333333,92.7700675210256
"Bryce Brown","RB","PHI",163,92.95,84.725,103.2425,77.05,92.95,89.091875,89.7692332443029
"Nate Burleson","WR","DET",164,92.9075,87.9,95.5125,90.125,92.9075,91.99625,87.2874111710626
"Vincent Brown","WR","SD",165,92.25,52.625,99.8375,87,92.25,82.9114583333333,88.3185370808521
