"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Andrew Hawkins","WR","CIN",91,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,458.7,11.9,2,NA,0,50
"Brandon Stokley","WR","BAL",92,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,444.3,12,2.3,NA,0,49.8
"Denard Robinson","RB","JAC",63,226,NA,NA,NA,NA,NA,NA,NA,59,297,5,1.3,22,211,9.6,0.7,NA,1,48.6
"Justin Hunter","WR","TEN",93,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,441.3,15.6,2.3,NA,0.7,48.4
"Harry Douglas","WR","ATL",94,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,442,13.1,2,NA,0,48
"Michael Crabtree","WR","SF",95,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7,365.7,14.2,3.3,NA,0,47.8
"LeGarrette Blount","RB","NE",64,230,NA,NA,NA,NA,NA,NA,NA,85,384,4.5,2.7,5.3,24.3,4.6,0,NA,0.3,47.6
"Jerricho Cotchery","WR","PIT",96,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,454.7,12.5,1.7,NA,0,47.2
"Tony Scheffler","TE","DET",37,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,386.3,12.2,2.7,NA,0,47.2
"Joseph Randle","RB","DAL",65,233,NA,NA,NA,NA,NA,NA,NA,78,339.7,4.4,2,13,103,7.9,0.7,NA,0.3,46.6
"Knowshon Moreno","RB","DEN",66,234,NA,NA,NA,NA,NA,NA,NA,69.7,302,4.3,2.3,19,147.7,7.8,1,NA,0.7,46.4
"Anthony Fasano","TE","KC",38,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,364,10.7,3,NA,0,46
"Robert Turbin","RB","SEA",67,235,NA,NA,NA,NA,NA,NA,NA,80,360,4.5,1.3,15.7,128.7,8.2,0.7,NA,0,46
"Travis Kelce","TE","KC",39,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,358.7,12.2,3,NA,0.3,45.4
"Christine Michael","RB","SEA",68,238,NA,NA,NA,NA,NA,NA,NA,71.3,345.7,4.8,2.3,9.7,82.3,8.5,0,NA,0,44.8
"Rashad Jennings","RB","OAK",69,239,NA,NA,NA,NA,NA,NA,NA,86.7,378,4.4,1.7,16,120.3,7.5,0,NA,0.3,44.6
"Ryan Williams","RB","ARI",70,240,NA,NA,NA,NA,NA,NA,NA,85,393.7,4.6,2,10.7,68.7,6.4,0,NA,1,44
"Doug Baldwin","WR","SEA",97,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,339.3,14,2.7,NA,0,43.2
"Toby Gerhart","RB","MIN",71,241,NA,NA,NA,NA,NA,NA,NA,73,312.3,4.3,2.3,16.3,143,8.8,0.3,NA,0.7,43.2
"Travis Benjamin","WR","CLE",98,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,356.7,17,2.3,NA,1,42.8
