"name","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"Chastin West","WR","DET",463,NA,NA,NA,NA,NA,0,0,4,54.7,0.7,NA,0,9.4
"Chris Owusu","WR","TB",463,NA,NA,NA,NA,NA,0,0,7.8,88.3,0.1,NA,0,9.4
"Deon Butler","WR","SD",463,NA,NA,NA,NA,NA,0,0,0,93.5,0,NA,0,9.4
"Drew Stanton","QB","ARI",463,28.7,17.8,203.6,1,1.2,4.7,0,NA,NA,NA,NA,0.5,9.4
"Cierre Wood","RB","HOU",467,NA,NA,NA,NA,NA,69.3,0.3,1,8.5,0,NA,0.2,9.3
"Griff Whalen","WR","IND",467,NA,NA,NA,NA,NA,0,0,6.5,77,0.3,NA,0.1,9.3
"Alan Bonner","WR","HOU",469,NA,NA,NA,NA,NA,0,0,4.5,82.9,0.2,NA,0,9.2
"Matthew Mulligan","TE","GB",469,NA,NA,NA,NA,NA,NA,NA,6.2,73.6,0.3,NA,0.1,9.2
"Michael Egnew","TE","MIA",469,NA,NA,NA,NA,NA,NA,NA,6.4,76.3,0.3,NA,0,9.2
"Eric Weems","WR","CHI",472,NA,NA,NA,NA,NA,0,0,2.7,91.4,0,NA,0,9.1
"Levine Toilolo","TE","ATL",473,NA,NA,NA,NA,NA,NA,NA,5.2,60,0.5,NA,0.1,9
"Dion Sims","TE","MIA",474,NA,NA,NA,NA,NA,NA,NA,6,57.7,0.5,NA,0,8.9
"Henry Hynoski","RB","NYG",474,NA,NA,NA,NA,NA,17.9,0.3,7.7,40.4,0.3,NA,0,8.9
"Kevin Cone","WR","ATL",476,NA,NA,NA,NA,NA,0,0,4.6,63.6,0.4,NA,0.1,8.8
"Saalim Hakim","WR","NO",477,NA,NA,NA,NA,NA,0,0,3.6,60.9,0.4,NA,0,8.7
"Brian Hoyer","QB","CLE",478,19.7,11.6,141.9,0.9,0.4,5.9,0,NA,NA,NA,NA,0.1,8.6
"Ryan D'Imperio","RB",NA,478,NA,NA,NA,NA,NA,20.9,0,7.1,64.9,0,NA,0,8.6
"Terrance Ganaway","RB","STL",480,NA,NA,NA,NA,NA,50.9,0.3,2.1,14.6,0,NA,0,8.5
"Bear Pascoe","TE","NYG",481,NA,NA,NA,NA,NA,NA,NA,6.8,79,0.1,NA,0,8.4
"Jeremy Stewart","RB","OAK",481,NA,NA,NA,NA,NA,52.4,0.1,3.7,28,0,NA,0.1,8.4
"Steve Maneri","TE","CHI",481,NA,NA,NA,NA,NA,NA,NA,5.8,63.3,0.3,NA,0,8.4
"Anthony Allen","RB","BAL",484,NA,NA,NA,NA,NA,57.3,0.3,1.2,9.5,0,NA,0,8.2
"Stanley Havili","RB","IND",484,NA,NA,NA,NA,NA,12.3,0.4,6.7,43.7,0,NA,0,8.2
"Tyrod Taylor","QB","BAL",484,15.2,9.3,106.1,0.4,0.2,26.4,0,NA,NA,NA,NA,0,8.2
"Domanique Davis","QB","ATL",487,21.3,12.1,141.4,0.7,0.1,2.3,0,NA,NA,NA,NA,0.1,8.1
"Chad Hall","WR","SF",488,NA,NA,NA,NA,NA,0,0,5.9,63.5,0.3,NA,0,7.9
"Cyrus Gray","RB","KC",488,NA,NA,NA,NA,NA,48.5,0.3,1.3,11.7,0,NA,0,7.9
"Armon Binns","WR",NA,490,NA,NA,NA,NA,NA,0,0,0,76.5,0,NA,0,7.7
"David Gilreath","WR","PIT",490,NA,NA,NA,NA,NA,0,0,4.2,57.3,0.4,NA,0.1,7.7
"Jerome Felton","RB","MIN",490,NA,NA,NA,NA,NA,19.5,0.3,5.7,41.5,0,NA,0,7.7
"Sean McGrath","TE","SEA",490,NA,NA,NA,NA,NA,NA,NA,4.6,52.6,0.4,NA,0.1,7.7
"Joe Anderson","WR","CHI",494,NA,NA,NA,NA,NA,0,0,4.9,68.9,0.1,NA,0,7.6
"Josh McCown","QB","CHI",495,26.2,14.7,175.9,0.6,0.9,11.2,0,NA,NA,NA,NA,0.6,7.5
"Justice Cunningham","TE","IND",496,NA,NA,NA,NA,NA,NA,NA,4.8,54.5,0.3,NA,0.1,7.4
"Patrick Peterson","WR","ARI",496,NA,NA,NA,NA,NA,0,0,4.4,60.3,0.3,NA,0.1,7.4
"Marvin McNutt","WR","MIA",498,NA,NA,NA,NA,NA,0,0,4.2,57.3,0.3,NA,0.1,7.3
