"name","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"Andrew Helmick","WR","STL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"B.J. Coleman","QB","GB",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"B.J. Daniels","QB","SF",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Benny Cunningham","RB","STL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Bobby Rainey","RB","BAL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Brad Sorensen","QB","SD",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Brandon Barden","TE","TEN",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Brandon Bostick","TE","GB",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Brandon Collins","WR","NYG",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Brandon Jackson","RB","CLE",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Brandon Kaufman","WR","BUF",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Brandon Williams","TE","ARI",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Brett Swain","WR","SF",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Brian Jennings","TE",NA,633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Bryan Walters","WR","SEA",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"C.J. Anderson","RB","DEN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Caleb Hanie","QB","BAL",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Cameron Marshall","RB","MIA",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Case Keenum","QB","HOU",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Chad Bumphis","WR","MIA",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Chandler Harnish","QB","IND",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Charly Martin","WR",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Colby Cameron","QB","CAR",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Colin Cloherty","TE",NA,633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Conner Vernon","WR","OAK",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Cory Harkey","TE","STL",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Curtis Brinkley","RB","SD",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Curtis McNeal","RB","PIT",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"D.J. Harper","RB","SF",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Dale Moss","WR","CHI",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Danny Noble","TE","TB",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Dante Rosario","TE","DAL",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"David Douglas","WR","TB",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"David Martin","TE",NA,633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Davin Meggett","RB","IND",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Deangelo Peterson","TE","WAS",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Deji Karim","RB","HOU",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Demetrius Harris","TE","KC",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Dennis Pitta","TE","BAL",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Derek Carrier","TE","PHI",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Devery Henderson","WR","WAS",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Diondre Borel","WR","TEN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Dominique Curry","TE","DET",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Dominique Jones","TE","IND",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Dominique Whaley","RB","SEA",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Donovan McNabb","QB",NA,633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Donte Stallworth","WR","WAS",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Edwin Baker","RB","SD",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Emory Blake","WR","STL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Eric Page","WR","TB",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Eric Rogers","WR","DAL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Gabe Miller","TE","CHI",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Greg Childs","WR","MIN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Greg Jenkins","WR","OAK",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Greg McElroy","QB","NYJ",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Greg Orton","WR","DEN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Isaiah Williams","WR","OAK",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jake O'Connell","TE","DEN",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Jake Stoneburner","TE","GB",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Jarett Dillard","WR",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jarred Fayson","WR","NO",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jawan Jamison","RB","WAS",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jeff Demps","RB","TB",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jeff Tuel","QB","BUF",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Jeremiah Johnson","RB","DEN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jeremy Ebert","WR","JAC",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jeremy Kelley","WR","IND",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jeremy Maclin","WR","PHI",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jeron Mastrud","TE","OAK",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Jerrell Jackson","WR","CHI",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jewel Hampton","RB",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jimmy Clausen","QB","CAR",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Joe Webb","WR","MIN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"John Parker Wilson","QB","JAC",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"John Skelton","QB","CIN",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Jonathan Grimes","RB",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jordan Roberts","RB","KC",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Joseph Fauria","TE","DET",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Josh Bellamy","WR","KC",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Julius Pruitt","WR",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Junior Hemingway","WR","KC",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Kahlil Bell","RB",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Kamar Aiken","WR","NE",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Kashif Moore","WR","PIT",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Kellen Clemens","QB","STL",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Kellen Moore","QB","DET",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Kerry Taylor","WR","ARI",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Khiry Robinson","RB","NO",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Kyle Miller","TE","MIA",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Lance Lewis","WR",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Landry Jones","QB","PIT",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Leonard Pope","TE","CHI",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Marc Mariani","WR","TEN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Marcus Davis","WR",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Marcus Lattimore","RB","SF",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Mark Harrison","WR","NE",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"MarQueis Gray","TE","SF",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Matt Furstenburg","TE","BAL",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Matt McGloin","QB","OAK",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Matt Scott","QB","JAC",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Matthew Tucker","RB","PHI",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"McLeod Bethel-Thompson","QB","MIN",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Michael Ford","RB","CHI",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Michael Hill","RB","SD",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Micheal Spurlock","WR","DET",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Miguel Maysonet","RB","CLE",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Mike Kafka","QB","JAC",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Mike Willie","WR","SD",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Mossis Madu","RB",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Naaman Roosevelt","WR",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Nick Williams","WR","PIT",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Pat Devlin","QB","MIA",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Pat White","QB","WAS",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Patrick Crayton","WR",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Perez Ashford","WR","SEA",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Philip Lutzenkirchen","TE","STL",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Ray Graham","RB","HOU",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Raymond Radway","WR","STL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Rex Grossman","QB","WAS",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Richard Goodman","WR","SD",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Richard Quinn","TE","CIN",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Ricky Stanzi","QB","KC",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Rico Richardson","WR","KC",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Robert Gill","WR","ARI",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Rodney Smith","WR","MIN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Ronnie Wingo","RB","ATL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Roy Roundtree","WR",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Rusty Smith","QB","TEN",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Ryan Katz","QB","DEN",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Ryan Lindley","QB","ARI",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Ryan Otten","TE","JAC",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Ryan Spadola","WR","NYJ",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Sam McGuffie","WR","OAK",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Scott Tolzien","QB","SF",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Sean Renfree","QB","ATL",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Seneca Wallace","QB","NO",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Seth Doege","QB","ATL",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Stephen McGee","QB","HOU",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Steven Miller","RB","DET",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"T.J. Moe","WR","NE",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Tauren Poole","RB","CAR",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Terrence Toliver","WR","CHI",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Thaddeus Lewis","QB","DET",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Tim Benford","WR","DAL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Tim Tebow","QB","NE",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Tim Toone","WR","ATL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Tobais Palmer","WR","JAC",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Tori Gurley","WR","BAL",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Tyler Bray","QB","KC",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Tyrone Goard","WR","CIN",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Zac Dysert","QB","DEN",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Zac Robinson","QB","CIN",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Zach Potter","TE","STL",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Zach Rogers","WR","NYJ",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Jeremy Ross","WR","GB",793,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.1,-0.2
