"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"Anthony Allen","RB",10.25,2.20275269570105,1,"BAL",466,NA,136,7.15,NA,NA,10.25,8.7,3.76892100103703,-109.620833333333,NA,2.1920310216783,1,1,1,0
"Anthony Armstrong","WR",20.5125,NA,1,"DAL",377,NA,165,NA,NA,NA,20.5125,20.5125,2.6703756822107,-129.764166666667,NA,NA,1,1,1,NA
"Anthony Dixon","RB",17.425,NA,1,"SF",400,NA,113,NA,NA,NA,17.425,17.425,2.40944101622324,-102.445833333333,NA,NA,1,1,1,NA
"Anthony Fasano","TE",55.2125,4.60046160588665,1,"KC",233,NA,38,NA,63.5,45.125,55.2125,54.6125,40.144551154129,-58.4,NA,9.20218214609991,1,1,1,0
"Anthony McCoy","TE",28.5375,3.06738234684721,1,"SEA",323,NA,52,NA,35.2125,NA,28.5375,31.875,11.2239342164198,-85.075,NA,4.71993776442021,1,1,1,0
"Anthony Sherman","RB",4.665,NA,1,"KC",544,NA,168,NA,NA,NA,4.665,4.665,2.2480431659248,-115.205833333333,NA,NA,1,1,1,NA
"Antone Smith","RB",5.27,NA,1,"ATL",535,NA,165,NA,NA,NA,5.27,5.27,2.22234808785709,-114.600833333333,NA,NA,1,1,1,NA
"Antonio Brown","WR",169.17,3.34349505277567,7,"PIT",76,57.2,24,162.7,168.8625,180.625,169.17,170.695208333333,168.174013214941,18.8933333333333,8.95,7.47669110608653,6.9,8,1,7.67229245562876
"Antonio Gates","TE",120.925,4.32426623534746,3,"SD",122,105.45,8,113.625,127.05,113.125,120.925,118.68125,115.990144360335,7.31249999999999,19.8,6.62087528830844,2.3,3,1,1.09861228866811
"Arian Foster","RB",270.7025,6.04071394363591,77,"HOU",13,6.8,2,276.15,271.325,325.925,270.7025,285.508958333333,338.545369280302,150.831666666667,3.25,26.7107633092448,62.2,70,78,10.7667993596194
"Armando Allen","RB",23.0325,3.98091981876842,1,"CHI",357,NA,99,15.45,30.23,NA,23.0325,22.9041666666667,13.5794010233626,-96.8383333333333,NA,7.39083568233886,1,1,1,0
"Armanti Edwards","WR",8.0875,NA,1,"CAR",492,NA,199,NA,NA,NA,8.0875,8.0875,2.14641362553033,-142.189166666667,NA,NA,1,1,1,NA
"Armon Binns","WR",31.4875,NA,1,"MIA",307,NA,129,NA,NA,NA,31.4875,31.4875,4.2977841711737,-118.789166666667,NA,NA,1,1,1,NA
"Armond Smith","RB",1.2,NA,1,"CAR",597,NA,185,NA,NA,NA,1.2,1.2,2.45915748415138,-118.670833333333,NA,NA,1,1,1,NA
"Arrelious Benn","WR",39.425,NA,1,"PHI",276,NA,118,NA,NA,NA,39.425,39.425,6.15553043306232,-110.851666666667,NA,NA,1,1,1,NA
"Austin Collie","WR",NA,6.75930534263819,1,NA,634,172.1,233,NA,NA,NA,NA,0,2.55765622217905,NA,28.6,NA,1,1,1,NA
"Austin Davis","QB",1.524,NA,1,"STL",589,NA,69,NA,NA,NA,1.524,1.524,2.4348019776927,-222.232,NA,NA,1,1,1,NA
"Austin Pettis","WR",37.6,6.39192815903967,1,"STL",284,214.5,122,NA,NA,41.125,37.6,39.3625,14.6374241466776,-112.676666666667,46.5,2.49255140368258,1,1,1,0
"B.J. Coleman","QB",NA,NA,1,"GB",635,NA,80,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"B.J. Cunningham","WR",NA,NA,1,"PHI",636,NA,234,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"B.J. Daniels","QB",NA,NA,1,"SF",637,NA,81,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Baron Batch","RB",10.745,NA,1,"PIT",459,NA,133,NA,NA,NA,10.745,10.745,2.14077114823112,-109.125833333333,NA,NA,1,1,1,NA
"Beanie Wells","RB",NA,5.90746503138033,1,"FA",638,211.5,197,40.225,NA,NA,NA,40.225,0,NA,24.5,NA,1,1,1,NA
"Bear Pascoe","TE",9.6125,NA,1,"NYG",470,NA,93,NA,NA,NA,9.6125,9.6125,2.13534389947597,-104,NA,NA,1,1,1,NA
"Ben Hartsock","TE",5.0875,NA,1,"CAR",539,NA,104,NA,NA,NA,5.0875,5.0875,2.22974942458683,-108.525,NA,NA,1,1,1,NA
"Ben Obomanu","WR",24.25,3.02505781846943,1,"NYJ",348,NA,151,NA,NA,30.75,24.25,27.5,8.85876327294659,-126.026666666667,NA,4.59619407771256,1,1,1,0
"Ben Roethlisberger","QB",226.662,4.66280917457252,4,"PIT",28,122.15,16,220.1,241.93,219.82,226.662,226.144666666667,231.724423815564,2.90599999999998,16.9,10.3620462586628,2.6,3,1,0
"Ben Tate","RB",96.5775,4.72885772520222,3,"HOU",157,89.55,46,74.45,103.295,99.1,96.5775,93.1389583333333,94.7035289203288,-23.2933333333333,13.35,12.9046781528702,2.3,3,1,0
"Benjamin Watson","TE",38.9,6.06545883228772,1,"NO",279,NA,45,NA,38.6375,62.125,38.9,46.5541666666667,30.1113998900584,-74.7125,NA,13.4853759526138,1,1,1,0
"BenJarvus Green-Ellis","RB",132.5,4.00444541935788,5,"CIN",111,86.05,32,138.85,125.975,149.325,132.5,136.2625,136.929024835778,12.6291666666667,11.25,9.94439750144103,4.3,5,1,0
"Benny Cunningham","RB",NA,NA,1,"STL",639,NA,198,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Bernard Pierce","RB",98.21,5.40647297888033,3,"BAL",153,104.4,44,71.65,112.8075,84.5,98.21,91.691875,96.4218350758464,-21.6608333333333,11.95,17.7173680531045,2.6,3,1,0
"Bernard Scott","RB",19.35,5.63542901283754,1,"CIN",383,236.5,106,20.9,NA,13.075,19.35,17.325,10.6635188638133,-100.520833333333,36.5,4.14344361612415,1,1,1,0
"Bilal Powell","RB",44.7225,5.39759056986526,1,"NYJ",260,133.2,73,26.775,56.4,37.6,44.7225,41.374375,39.2077176180486,-75.1483333333333,20.55,12.4414228110172,1,1,1,0
"Billy Bajema","TE",7.25,NA,1,"BAL",508,NA,101,NA,NA,NA,7.25,7.25,2.16146533770802,-106.3625,NA,NA,1,1,1,NA
"Blaine Gabbert","QB",121.88,10.0848115608061,1,"JAC",120,259.7,31,66.1,150.082,106.8,121.88,110.157166666667,134.708522296066,-101.876,28.5,35.0201911426347,1,1,1,0.693147180559945
