"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"Cobi Hamilton","WR",3.8375,NA,1,"CIN",558,NA,216,NA,NA,NA,3.8375,3.8375,2.28856355608491,-146.439166666667,NA,NA,1,1,1,NA
"Coby Fleener","TE",81.25,3.74449024031174,2,"IND",184,163.9,26,82.375,81.6625,79.625,81.25,81.2197916666667,76.5291745303959,-32.3625,23.2,1.16540296142579,1.3,2,1,0
"Colby Cameron","QB",NA,NA,1,"CAR",658,NA,87,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Cole Beasley","WR",21.7,NA,1,"DAL",363,NA,159,NA,NA,NA,21.7,21.7,2.79375613244213,-128.576666666667,NA,NA,1,1,1,NA
"Colin Cloherty","TE",NA,NA,1,NA,659,NA,130,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Colin Cochart","TE",1.225,NA,1,"DAL",596,NA,117,NA,NA,NA,1.225,1.225,2.45724430395768,-112.3875,NA,NA,1,1,1,NA
"Colin Kaepernick","QB",294.896,3.21796516338868,25,"SF",6,65.2,6,304.32,296.932,297.08,294.896,296.948666666667,285.51018132097,71.14,13.25,4.13066758123509,19.8,23,16,5.26269018890489
"Colt McCoy","QB",10.71,NA,1,"SF",460,NA,46,NA,NA,NA,10.71,10.71,2.14042922744181,-213.046,NA,NA,1,1,1,NA
"Conner Vernon","WR",NA,NA,1,"OAK",660,NA,242,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Cordarrelle Patterson","WR",89.0425,5.27171577949406,2,"MIN",169,133.35,67,69,98.55,81.7,89.0425,85.5714583333333,85.2791327826365,-61.2341666666667,19.3,12.4646890212244,1.6,2,1,0
"Corey Fuller","WR",21.025,6.79798720528904,1,"DET",370,NA,162,43.125,NA,NA,21.025,32.075,9.12842524686317,-129.251666666667,NA,15.6270598642227,1,1,1,0
"Corey McIntyre","RB",1.39,NA,1,NA,594,NA,184,NA,NA,NA,1.39,1.39,2.44475947922462,-118.480833333333,NA,NA,1,1,1,NA
"Cory Harkey","TE",NA,NA,1,"STL",661,NA,131,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Courtney Roby","WR",22.9375,7.00054030538272,1,"NO",358,NA,156,NA,NA,45.875,22.9375,34.40625,9.76735471595799,-127.339166666667,NA,16.2192617934664,1,1,1,0
"Craig Stevens","TE",26.275,8.09795486260669,1,"TEN",337,NA,55,NA,NA,53.75,26.275,40.0125,11.8375492408201,-87.3375,NA,19.4277588131004,1,1,1,0
"Curtis McNeal","RB",NA,NA,1,"PIT",662,NA,202,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Curtis Painter","QB",2.432,1.59860028491417,1,"NYG",576,NA,66,NA,1.83,NA,2.432,2.131,2.76601761321348,-221.324,NA,0.425678282274301,1,1,1,0
"Cyrus Gray","RB",8.4075,NA,1,"KC",488,NA,147,NA,NA,NA,8.4075,4.20375,2.14234219653378,-111.463333333333,NA,NA,1,1,1,NA
"D.C. Jefferson","TE",6,NA,1,"ARI",527,NA,102,NA,NA,NA,6,6,2.19576345410508,-107.6125,NA,NA,1,1,1,NA
"D.J. Harper","RB",NA,NA,1,"SF",663,NA,203,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"D.J. Williams","TE",20.9625,NA,1,"GB",371,NA,67,NA,NA,NA,20.9625,20.9625,2.71562540757765,-92.65,NA,NA,1,1,1,NA
"Da'Rel Scott","RB",13.2425,2.90231668617385,1,"NYG",436,NA,127,7.25,NA,NA,13.2425,10.19625,4.00038177309011,-106.628333333333,NA,4.23733738626039,1,1,1,0
"Da'Rick Rogers","WR",18.6,2.16767829902876,1,"BUF",389,193.5,167,NA,NA,NA,18.6,9.25,2.49855364444977,-131.676666666667,6.5,NA,1,1,1,NA
"Dale Moss","WR",NA,NA,1,"CHI",664,NA,243,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Damaris Johnson","WR",23.25,NA,1,"PHI",355,NA,155,NA,NA,NA,23.25,23.25,2.97404161761119,-127.026666666667,NA,NA,1,1,1,NA
"Damian Williams","WR",28.925,2.37205080921219,1,"TEN",320,NA,138,NA,NA,25.125,28.925,27.025,9.39305508248771,-121.351666666667,NA,2.68700576850888,1,1,1,0
"Damien Berry","RB",5.34,NA,1,"BAL",531,NA,163,NA,NA,NA,5.34,5.34,2.21958937075561,-114.530833333333,NA,NA,1,1,1,NA
"Dan Gronkowski","TE",1.1625,NA,1,NA,599,NA,119,NA,NA,NA,1.1625,1.1625,2.46203788277217,-112.45,NA,NA,1,1,1,NA
"Dan Herron","RB",4.1,NA,1,NA,554,NA,172,NA,NA,NA,4.1,4.1,2.27503709514508,-115.770833333333,NA,NA,1,1,1,NA
"Dan Orlovsky","QB",0.974,1.60682333614185,1,"TB",605,NA,71,NA,0.338,NA,0.974,0.656,2.57062103039419,-222.782,NA,0.449719912834644,1,1,1,0
"Danario Alexander","WR",154.65,3.7134697733271,4,"SD",88,109,32,155.625,160.5,165.5,154.65,158.927083333333,153.321828178715,4.37333333333333,16.6,4.99313591343156,3.4,4,1,1.38629436111989
"Dane Sanzenbacher","WR",17.4625,NA,1,"CIN",399,NA,169,NA,NA,NA,17.4625,17.4625,2.41209160066256,-132.814166666667,NA,NA,1,1,1,NA
"Daniel Fells","TE",18.125,NA,1,"NE",394,NA,75,NA,NA,NA,18.125,18.125,2.4610215847016,-95.4875,NA,NA,1,1,1,NA
"Daniel Thomas","RB",63.6825,4.06487505711825,1,"MIA",215,140.9,60,65.8,53.6925,63.1,63.6825,61.3520833333333,59.1893868062412,-56.1883333333333,19.35,5.37746706947921,1,1,1,0
"Danny Amendola","WR",162.2875,4.8364932029491,15,"NE",82,43.15,28,138.35,173.375,173.75,162.2875,161.994791666667,173.126433188709,12.0108333333333,8.3,16.6016483086018,14.8,17,1,7.71512360363211
"Danny Coale","WR",3.225,NA,1,"DAL",567,NA,219,NA,NA,NA,3.225,3.225,2.32255564312743,-147.051666666667,NA,NA,1,1,1,NA
"Danny Noble","TE",NA,NA,1,"TB",665,NA,132,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Danny Ware","RB",16.07,NA,1,NA,412,NA,118,NA,NA,NA,16.07,16.07,2.32222290950006,-103.800833333333,NA,NA,1,1,1,NA
"Danny Woodhead","RB",107.52,4.83802488876954,2,"SD",139,112.8,37,91.375,117.4675,103.225,107.52,104.846875,105.484607226354,-12.3508333333333,17.85,10.8095276984011,1.1,2,1,0
"Dante Rosario","TE",NA,NA,1,"DAL",666,NA,133,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Darius Reynaud","RB",6.6975,NA,1,"TEN",512,NA,153,NA,NA,NA,6.6975,6.6975,2.17487755258315,-113.173333333333,NA,NA,1,1,1,NA
"Darrel Young","RB",12.4375,NA,1,"WAS",443,NA,129,NA,NA,NA,12.4375,12.4375,2.17056414678416,-107.433333333333,NA,NA,1,1,1,NA
"Darren McFadden","RB",183.87,4.9241628516977,18,"OAK",63,41.7,20,183.05,183.7575,215.775,183.87,191.196458333333,204.130933712425,63.9991666666667,9.95,16.1120052775097,15.3,18,9,9.4834162920386
"Darren Sproles","RB",178.0925,3.25822796851426,5,"NO",68,40.1,22,172.3,187.6075,175.375,178.0925,178.19375,174.878307012278,58.2216666666667,9.55,6.61363695329582,4.8,6,2,9.67338232488837
"Darrius Heyward-Bey","WR",101.955,5.51466705637089,2,"IND",146,146.75,58,86.05,114.3375,123.25,101.955,106.525625,110.066307474528,-48.3216666666667,15.6,16.1328538205686,1.1,2,1,0
"Daryl Richardson","RB",101.605,4.00461080508353,3,"STL",147,59.2,42,103.425,92.8825,116.25,101.605,103.315625,102.718918566927,-18.2658333333333,11.75,9.64164326740174,2.7,4,1,0
"David Ausberry","TE",48.3875,6.14733665006288,1,"OAK",252,216.3,42,NA,52.0375,NA,48.3875,50.2125,22.3447790226225,-65.225,44,2.5809397513309,1,1,1,0
"David Carr","QB",0.588,1.52072315269905,1,"NYG",616,NA,74,NA,0.308,NA,0.588,0.298666666666667,2.58454786585173,-223.168,NA,0.197989898732233,1,1,1,0
"David Douglas","WR",NA,NA,1,"TB",667,NA,244,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"David Gettis","WR",20.6,NA,1,"CAR",375,NA,164,NA,NA,NA,20.6,20.6,2.67903040318498,-129.676666666667,NA,NA,1,1,1,NA
"David Gilreath","WR",NA,NA,1,"PIT",668,NA,245,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"David Johnson","RB",5.3375,NA,1,NA,532,NA,164,NA,NA,NA,5.3375,5.3375,2.21968713112659,-114.533333333333,NA,NA,1,1,1,NA
"David Nelson","WR",39.2625,5.26523464189357,1,"CLE",278,NA,119,NA,NA,23.5,39.2625,31.38125,11.920521935561,-111.014166666667,NA,11.145770638453,1,1,1,0
"David Paulson","TE",26.5875,5.69452628686824,1,"PIT",334,NA,54,44.125,NA,NA,26.5875,35.35625,11.3318409071874,-87.025,NA,12.4008851750591,1,1,1,0
"David Reed","WR",15.9125,5.79731442721429,1,"BAL",414,NA,174,NA,NA,33.875,15.9125,24.89375,6.48810542127183,-134.364166666667,NA,12.7014055570634,1,1,1,0
"David Thomas","TE",33.875,NA,1,NA,298,NA,48,NA,NA,33.875,33.875,33.875,12.182104241871,-79.7375,NA,NA,1,1,1,NA
"David Wilson","RB",182.9825,3.0195002131637,11,"NYG",65,34.05,21,176.075,186.3575,190.15,182.9825,183.682916666667,179.196134927078,63.1116666666667,8.3,5.97700959928961,9.1,11,9,9.07199742235444
"Davin Meggett","RB",NA,NA,1,"IND",669,NA,204,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Davone Bess","WR",77.3125,6.76900387536993,1,"CLE",190,192.5,79,77.625,87.5375,48.625,77.3125,72.625,74.3592992529474,-72.9641666666667,26.6,16.7855623726662,1,1,1,0
"DeAndre Hopkins","WR",112.675,4.86145561794025,2,"HOU",134,113.35,54,100.25,125.9,96.3,112.675,109.810416666667,111.782098771987,-37.6016666666667,13.85,13.3763064003733,1.8,3,1,0
"Deangelo Peterson","TE",NA,NA,1,"WAS",670,NA,134,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"DeAngelo Williams","RB",100.465,5.39841506731526,3,"CAR",148,77.85,43,84.775,105.1325,66.95,100.465,89.1722916666667,94.0674939480547,-19.4058333333333,12.6,17.2754127272211,2.1,3,1,0
"Deion Branch","WR",35.75,NA,1,NA,295,NA,126,NA,NA,35.75,35.75,35.75,13.0986792246916,-114.526666666667,NA,NA,1,1,1,NA
"Deji Karim","RB",6.275,NA,1,"HOU",522,NA,159,NA,NA,NA,6.275,6.275,2.18700198751759,-113.595833333333,NA,NA,1,1,1,NA
"Delanie Walker","TE",83.1,8.56005836829206,1,"TEN",182,213.4,25,67.25,88.6625,81,83.1,79.8864583333333,78.8014061294092,-30.5125,56.5,9.09599485465077,1,1,1,0
"Delone Carter","RB",26.3575,6.48390336650464,1,"IND",335,NA,95,11.6,41.0175,NA,26.3575,26.2916666666667,14.9786470136959,-93.5133333333333,NA,14.7087769290992,1,1,1,0
"DeMarco Murray","RB",188.8925,5.55564333129886,15,"DAL",57,32,17,163.625,199.27,214.3,188.8925,191.130208333333,214.182437325098,69.0216666666666,7.45,21.3231147442355,12.7,15,16,10.3860062900866
"Demarco Sampson","WR",1,NA,1,"PHI",604,NA,228,NA,NA,NA,1,1,2.47466698964166,-149.276666666667,NA,NA,1,1,1,NA
"Demaryius Thomas","WR",218.7375,2.83318598589913,42,"DEN",34,22.65,6,216.125,226.5,207.5,218.7375,216.857291666667,216.093772195225,68.4608333333333,3.45,7.83365718523815,36.6,42,39,9.58582725656466
"Demetrius Harris","TE",NA,NA,1,"KC",671,NA,135,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Denard Robinson","RB",54.6575,8.0461883096405,1,"JAC",236,190.7,67,22.125,60.275,55.875,54.6575,47.9747916666667,46.9637287028086,-65.2133333333333,37.6,17.5718694906328,1,1,1,0
"Denarius Moore","WR",142.43,3.97307930157501,2,"OAK",105,122.95,42,138.825,135.8625,151.5,142.43,142.319375,139.225568148964,-7.84666666666666,16.15,6.78451925802412,1.5,2,1,1.09861228866811
"Dennis Dixon","QB",6.482,1.84480811284894,1,"PHI",516,NA,54,NA,4.862,NA,6.482,3.78133333333333,3.25117670355661,-217.274,NA,1.14551298552221,1,1,1,0
"Dennis Johnson","RB",11.25,NA,1,"HOU",451,NA,131,NA,NA,NA,11.25,11.25,2.14694120424298,-108.620833333333,NA,NA,1,1,1,NA
"Dennis Pitta","TE",135.6375,8.82647833575244,6,"BAL",109,135.5,6,123.75,141.8125,140.5,135.6375,135.383333333333,134.197809369151,22.025,60.5,8.22408176232054,5.5,7,1,5.18178355029209
"Deon Butler","WR",11.6875,4.27967776681089,1,"SD",449,NA,190,NA,NA,23.375,11.6875,17.53125,4.87574334749087,-138.589166666667,NA,8.26431050511777,1,1,1,0
"Deonte Thompson","WR",19.275,NA,1,"BAL",385,NA,166,NA,NA,NA,19.275,19.275,2.555408779701,-131.001666666667,NA,NA,1,1,1,NA
"Derek Anderson","QB",1.116,NA,1,"CAR",602,NA,70,NA,NA,NA,1.116,0.558,2.46562728981201,-222.64,NA,NA,1,1,1,NA
"Derek Carrier","TE",NA,NA,1,"PHI",672,NA,136,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Derek Hagan","WR",25.0125,6.68008316195093,1,"TB",344,NA,150,NA,NA,46.625,25.0125,35.81875,10.6449611780015,-125.264166666667,NA,15.2823453083943,1,1,1,0
"DeSean Jackson","WR",147.3825,3.52810381727098,5,"PHI",101,62.3,39,140.625,147.675,160.525,147.3825,151.624375,147.901399346487,-2.89416666666668,9.35,8.31319066679575,4.2,5,1,2.07944154167984
"Devery Henderson","WR",11.25,NA,1,"WAS",451,NA,191,NA,NA,NA,11.25,11.25,2.14694120424298,-139.026666666667,NA,NA,1,1,1,NA
"DeVier Posey","WR",21.73,3.27174935529994,1,"HOU",362,NA,158,NA,NA,29.25,21.73,25.49,7.99249749153381,-128.546666666667,NA,5.31744299452284,1,1,1,0
"Devin Aromashodu","WR",12.75,4.536648117676,1,"CHI",440,NA,186,NA,NA,25.5,12.75,19.125,5.22613812185705,-137.526666666667,NA,9.01561146012848,1,1,1,0
"Devin Hester","WR",26.32,8.29869405434133,1,"CHI",336,NA,147,NA,NA,54.625,26.32,40.4725,11.9425179103179,-123.956666666667,NA,20.0146574414852,1,1,1,0
"Devin Thomas","WR",NA,NA,1,"DET",673,NA,246,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Devon Wylie","WR",12.2125,NA,1,"KC",445,NA,188,NA,NA,NA,12.2125,12.2125,2.16510616311422,-138.064166666667,NA,NA,1,1,1,NA
"Dexter McCluster","WR",77.5825,6.74737200165543,1,"KC",188,189.6,77,73.1,80.1375,55.325,77.5825,72.9004166666667,71.1439851963119,-72.6941666666667,35.6,11.1920891890954,1,1,1,0
"Dez Bryant","WR",230.5125,3.11722453011825,60,"DAL",26,14.55,4,241.925,235.9,219.5,230.5125,231.813541666667,234.663590560043,80.2358333333333,3.4,9.52490909296077,48.4,55,43,8.13476078241865
"Dezmon Briscoe","WR",14.9375,NA,1,"WAS",420,NA,176,NA,NA,NA,14.9375,14.9375,2.26210142303182,-135.339166666667,NA,NA,1,1,1,NA
"Dion Lewis","RB",25.5875,7.66753432641521,1,"CLE",341,199.8,96,33.3,NA,31.275,25.5875,30.0541666666667,17.8894068964598,-94.2833333333333,56.3,3.99856093905461,1,1,1,0
"Dion Sims","TE",10.5625,NA,1,"MIA",461,NA,90,NA,NA,NA,10.5625,10.5625,2.13911034545981,-103.05,NA,NA,1,1,1,NA
"Diondre Borel","WR",NA,NA,1,"TEN",674,NA,247,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Domanique Davis","QB",8.198,NA,1,"ATL",490,NA,50,NA,NA,NA,8.198,8.198,2.14490273177802,-215.558,NA,NA,1,1,1,NA
"Domenik Hixon","WR",63.8,6.79216622095372,1,"CAR",213,225.5,86,62,68.2,53.75,63.8,61.9375,59.7176493707553,-86.4766666666667,44.5,6.04777851776998,1,1,1,0
"Dominique Jones","TE",NA,NA,1,"IND",675,NA,137,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Dominique Whaley","RB",NA,NA,1,"SEA",676,NA,205,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Donald Brown","RB",40.0075,5.12936132078474,1,"IND",274,205.2,79,30.5,46.745,48.325,40.0075,41.3527083333333,39.1295419970241,-79.8633333333333,25.1,8.10912201756968,1,1,1,0
"Donald Jones","WR",41.38,NA,1,"NE",269,NA,114,NA,NA,NA,41.38,41.38,6.70079328464527,-108.896666666667,NA,NA,1,1,1,NA
"Donnie Avery","WR",86.755,6.44944528486362,1,"KC",174,187.7,70,66.7,97.7875,104,86.755,88.8672916666667,90.9638435350386,-63.5216666666667,24.2,16.3748458485111,1,1,1,0
"Donte Stallworth","WR",NA,NA,1,"WAS",677,NA,248,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Dorin Dickerson","TE",5.3125,NA,1,"BUF",534,NA,103,NA,NA,NA,5.3125,5.3125,2.22066785248001,-108.3,NA,NA,1,1,1,NA
"Doug Baldwin","WR",41.575,4.67982495868618,1,"SEA",268,210.4,113,42.625,NA,NA,41.575,42.1,16.7497369977719,-108.701666666667,32.9,0.742462120245873,1,1,1,0
"Doug Martin","RB",251.4875,2.54384084910456,75,"TB",17,2.8,4,242.15,259.6675,255,251.4875,251.82625,249.876396269022,131.616666666667,1.35,7.4173772599664,60.5,69,60,7.63916117165917
"Drew Brees","QB",326.868,2.98813023630087,49,"NO",2,22.35,2,319.5,335.158,327.68,326.868,326.293166666667,321.47247443389,103.112,7.3,6.40102020514439,39,44,38,7.5109777520141
"Drew Davis","WR",16.7375,NA,1,"ATL",407,NA,171,NA,NA,NA,16.7375,16.7375,2.3631072597351,-133.539166666667,NA,NA,1,1,1,NA
"Drew Stanton","QB",8.484,1.930424587396,1,"ARI",486,NA,49,NA,6.51,NA,8.484,7.497,3.57378365388013,-215.272,NA,1.39582878606224,1,1,1,0
"DuJuan Harris","RB",40.015,5.95532260038962,1,"GB",273,156.9,78,32.375,50.4075,NA,40.015,40.8158333333333,27.2646182101432,-79.8558333333333,31.5,9.05119432726974,1,1,1,0
"Dustin Keller","TE",93.0875,3.73786159793648,2,"MIA",161,173.2,21,93.625,96.0875,92.375,93.0875,93.7854166666667,88.3338087844753,-20.525,22.4,1.61259689631352,1.2,2,1,0
"Dwayne Allen","TE",94.4,5.19279013877008,2,"IND",159,170.5,20,78.25,102.3125,83.625,94.4,89.5885416666667,89.7641314914784,-19.2125,21.3,10.7882960067458,1,2,1,0
"Dwayne Bowe","WR",181.175,4.22286284002341,21,"KC",66,41.9,16,158.75,190.7375,177.375,181.175,176.859375,185.189086921637,30.8983333333333,7.65,13.4083593911597,18.1,21,10,8.60392119492606
"Dwayne Harris","WR",53.5,4.55585867196136,1,"DAL",239,164.5,99,51.25,NA,56.375,53.5,53.6916666666667,38.1040901122159,-96.7766666666667,28.7,2.56884377363306,1,1,1,0
"E.J. Manuel","QB",147.554,11.7741461306432,1,"BUF",100,180.3,30,84.62,180.248,113.64,147.554,130.623833333333,171.760519556621,-76.202,34.2,41.4359403537557,1,1,1,3.29583686600433
"Earl Bennett","WR",63.5,5.29980135105458,1,"CHI",216,NA,88,48.5,74.825,55.875,63.5,60.6666666666667,59.4750145901431,-86.7766666666667,NA,11.2468328875288,1,1,1,0
"Ed Dickson","TE",57.8375,4.63377772148177,2,"BAL",227,172.2,37,52.625,61.6125,69.625,57.8375,60.425,58.104991274422,-55.775,21.9,7.15507541306636,1,2,1,0
"Eddie Lacy","RB",144.0825,3.98784521755118,5,"GB",103,44.65,29,155.325,146.905,165.925,144.0825,152.792708333333,153.334972442706,24.2116666666667,11.3,9.8169577719288,4.5,6,1,1.79175946922805
"Eddie Royal","WR",38.405,4.77124693211286,1,"SD",281,NA,120,NA,NA,52.125,38.405,45.265,16.7575003884532,-111.871666666667,NA,9.70150503787943,1,1,1,0
"Eddie Williams","RB",0.745,NA,1,"CLE",613,NA,190,NA,NA,NA,0.745,0.745,2.49496775400223,-119.125833333333,NA,NA,1,1,1,NA
"Edwin Baker","RB",8.56,NA,1,"SD",483,NA,144,NA,NA,NA,8.56,8.56,2.14072866353774,-111.310833333333,NA,NA,1,1,1,NA
"Eli Manning","QB",239.166,4.61164323620398,4,"NYG",19,101,13,219.58,249.458,233.44,239.166,234.502666666667,245.724693613871,15.41,12.95,12.4622581688339,2.8,4,1,2.63905732961526
"Emmanuel Sanders","WR",133.08,3.26218103671421,2,"PIT",110,111.9,43,135.025,136.4875,141.5,133.08,136.542291666667,130.001056408767,-17.1966666666667,14.55,3.59953896064019,1.3,2,1,0
"Emory Blake","WR",NA,NA,1,"STL",678,NA,249,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Eric Decker","WR",174.225,3.75228742812875,9,"DEN",71,60.75,20,158.375,179.2125,166.875,174.225,169.555208333333,170.454657749447,23.9483333333333,10.25,9.07737787373094,8.4,10,2,8.77137018531062
"Eric Page","WR",NA,NA,1,NA,679,NA,250,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Eric Weems","WR",13.4875,6.86752035905254,1,"CHI",432,NA,182,NA,NA,35.875,13.4875,24.68125,5.68774292228255,-136.789166666667,NA,15.8303530638138,1,1,1,0
"Erik Lorig","RB",4.43,NA,1,"TB",548,NA,170,NA,NA,NA,4.43,4.43,2.25891905921463,-115.440833333333,NA,NA,1,1,1,NA
"Evan Moore","TE",12.375,NA,1,NA,444,NA,83,NA,NA,NA,12.375,12.375,2.16900198411139,-101.2375,NA,NA,1,1,1,NA
"Evan Rodriguez","TE",4,2.4204216987868,1,"MIA",555,NA,108,NA,NA,8,4,6,3.03399949198638,-109.6125,NA,2.82842712474619,1,1,1,0
"Evan Royster","RB",43.8175,6.17637886931173,1,"WAS",265,217,75,32.5,47.5925,34.3,43.8175,39.5525,37.7434409145826,-76.0533333333333,36.5,7.30658008236412,1,1,1,0
"Felix Jones","RB",32.885,6.24618753549015,1,"PHI",302,197,88,36.825,NA,59.025,32.885,42.8616666666667,25.9489399017407,-86.9858333333333,26,14.0929249388952,1,1,1,0
"Fendi Onobun","TE",0.4125,NA,1,"CHI",622,NA,122,NA,NA,NA,0.4125,0.4125,2.52232419440992,-113.2,NA,NA,1,1,1,NA
"Frank Gore","RB",184.93,2.31051396175832,24,"SF",61,27.75,18,187.575,187.82,182.95,184.93,185.402083333333,174.71923419572,65.0591666666667,7.5,2.31725547073832,20.6,24,11,0.693147180559945
"Fred Davis","TE",96.5875,4.23137418788577,2,"WAS",156,129.15,19,93.625,104.1625,98.25,96.5875,98.1395833333333,94.1107060016446,-17.025,22.5,4.43760563254556,1.1,2,1,0
"Fred Jackson","RB",102.6925,6.24592620787993,3,"BUF",145,107.25,41,77.45,114.1575,127.375,102.6925,105.085416666667,112.703971585549,-17.1783333333333,14.3,21.1984754267062,2.8,4,1,1.94591014905531
"Gabe Miller","TE",NA,NA,1,"CHI",680,NA,138,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Garrett Celek","TE",18.2625,NA,1,"SF",393,NA,74,NA,NA,NA,18.2625,18.2625,2.47167568737405,-95.35,NA,NA,1,1,1,NA
"Garrett Graham","TE",50.15,2.22391495988994,1,"HOU",247,NA,41,NA,53.3375,NA,50.15,51.74375,23.4928358558336,-63.4625,NA,2.25390286503211,1,1,1,0
"Gary Barnidge","TE",8.775,NA,1,"CLE",478,NA,94,NA,NA,NA,8.775,8.775,2.13881214879609,-104.8375,NA,NA,1,1,1,NA
"Gavin Escobar","TE",32.3,NA,1,"DAL",305,NA,50,NA,NA,NA,32.3,32.3,4.46169519865123,-81.3125,NA,NA,1,1,1,NA
"Geno Smith","QB",111.132,8.67315986285956,1,"NYJ",136,207,32,103.54,130.718,89.22,111.132,107.619166666667,114.689073355549,-112.624,44.1,17.2896300615909,1,1,1,0
"Giovani Bernard","RB",127.5025,4.93208897263395,3,"CIN",114,56.8,34,128.15,149.2075,111.675,127.5025,128.775416666667,135.218123311701,7.63166666666666,11.2,15.3990490101391,2.1,3,1,3.43398720448515
"Golden Tate","WR",92.1025,4.79539354271574,2,"SEA",166,99.85,64,81,104.25,102.5,92.1025,95.295625,94.5666387600136,-58.1741666666667,17.55,10.7424790308926,1.5,2,1,0
"Graham Harrell","QB",5.126,1.59666544933118,1,"GB",538,NA,58,NA,5.72,NA,5.126,5.423,3.21682452830476,-218.63,NA,0.420021428024809,1,1,1,0
"Greg Childs","WR",NA,NA,1,"MIN",681,NA,251,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Greg Jennings","WR",148.0375,4.15491168628993,4,"MIN",98,84.05,37,142.75,151.375,167,148.0375,152.190625,153.712774794158,-2.23916666666668,11.9,10.4293924349648,3.7,5,1,4.49980967033027
"Greg Little","WR",117.45,4.72879482185389,2,"CLE",128,149.1,51,99.1,115.5625,128.875,117.45,115.380208333333,117.37527866743,-32.8266666666667,14.4,12.2664955901227,1.2,2,1,0
"Greg McElroy","QB",NA,NA,1,"NYJ",682,NA,88,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Greg Olsen","TE",126.9875,3.35662367022659,3,"CAR",115,98.1,7,123.375,129.1375,122.75,126.9875,125.445833333333,119.166245998878,13.375,16.4,3.02801158628343,2.7,4,1,0.693147180559945
"Greg Orton","WR",NA,NA,1,"DEN",683,NA,252,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Greg Salas","WR",7.6,NA,1,"PHI",502,NA,202,NA,NA,NA,7.6,7.6,2.1544013274904,-142.676666666667,NA,NA,1,1,1,NA
"Griff Whalen","WR",7.575,NA,1,"IND",504,NA,204,NA,NA,NA,7.575,7.575,2.15486905477059,-142.701666666667,NA,NA,1,1,1,NA
"Hakeem Nicks","WR",169.0375,4.42035879549485,13,"NYG",77,51.65,25,146.5,176.925,175,169.0375,166.757291666667,174.883043463496,18.7608333333333,8.6,13.9861217484512,12.1,14,1,8.31139827843664
"Harry Douglas","WR",61.4875,4.47425384034605,1,"ATL",220,NA,90,56.9,67.25,46.375,61.4875,58.0822916666667,56.3667350573411,-88.7891666666667,NA,8.83319010300544,1,1,1,0
"Harvey Unga","RB",6.1,NA,1,"CHI",525,NA,161,NA,NA,NA,6.1,6.1,2.19249810805593,-113.770833333333,NA,NA,1,1,1,NA
"Hayden Smith","TE",12.525,NA,1,"NYJ",442,NA,82,NA,NA,NA,12.525,12.525,2.17281069317534,-101.0875,NA,NA,1,1,1,NA
"Heath Miller","TE",88.8625,6.30906449687469,2,"PIT",170,184.1,22,71.375,98.5375,93.75,88.8625,87.9729166666667,88.3267707473406,-24.75,30.3,11.8485868531512,1.6,2,1,0
