"projectionId","playerId","rec","recYds","recTds","rushAtt","rushYds","rushTds","fumbles","twoPts","rec100","rec150","rec200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
35445,2495234,10,61,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35446,2541199,19,284,2.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35447,2540259,3,32,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35448,2495888,12,113,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35449,1062,76,796,5.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35450,2507182,4,47,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35451,2552468,38,447,3.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35452,497246,2,20,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35453,2539995,45,465,3.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35454,2495211,36,433,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35455,2533047,2,23,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35456,2495825,47,502,5.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35457,2535535,6,72,0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35458,2532835,10,79,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35459,2499255,2,19,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35460,2550313,33,321,2.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35461,497240,85,1103,11.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35462,2508112,32,327,2.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35463,2541316,3,36,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35464,2495573,23,245,3.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35465,2534742,6,72,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35466,497256,11,136,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35467,2540258,70,950,6.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35468,2550284,2,22,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35469,2543628,13,129,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35470,2540148,48,609,3.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35471,2552586,10,74,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35472,2540215,6,68,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35473,2495826,34,389,3.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35474,2495288,8,91,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35475,2540158,64,780,4.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
40842,2534752,4.99,46.57,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40843,497258,35.55,408.2,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
