"projectionId","playerId","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","pass300","pass350","pass400","regTds","returnTds","dataScrapeId","analystId","pass40","rush40","sacks"
32721,2506895,21,13,8,61.9048,134,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32722,2532820,66,40,26,60.6061,488,3,4,2,5,0,0,NA,1,0,0,NA,NA,8,26,NA,NA,3
32723,2543767,15,8,7,53.3333,99,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32724,2506053,23,13,10,56.5217,155,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32725,2552466,477,290,187,60.7967,3111,17,15,81,433,4,3,NA,0,0,0,NA,NA,8,26,NA,NA,40
32726,79858,100,63,37,63,754,6,4,9,34,1,0,NA,0,0,0,NA,NA,8,26,NA,NA,8
32727,2539308,39,24,15,61.5385,266,2,1,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,2
32728,2506562,488,295,193,60.4508,3422,17,13,23,66,1,1,NA,1,0,0,NA,NA,8,26,NA,NA,34
32729,367,18,10,8,55.5556,111,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32730,2501078,33,21,12,63.6364,231,1,1,2,-3,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32731,2542065,21,12,9,57.1429,132,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32732,2507282,33,20,13,60.6061,211,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32733,310,620,413,207,66.6129,4623,30,14,20,88,0,1,NA,6,3,1,NA,NA,8,26,NA,NA,27
32734,2505982,35,21,14,60,233,1,1,1,1,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32735,79860,613,377,236,61.5008,4389,25,13,18,81,1,3,NA,5,2,0,NA,NA,8,26,NA,NA,36
32736,2504531,88,49,39,55.6818,544,3,3,17,111,1,0,NA,0,0,0,NA,NA,8,26,NA,NA,6
32737,2539275,56,34,22,60.7143,388,2,2,3,11,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,2
32738,2532842,510,312,198,61.1765,3675,22,13,12,34,1,1,NA,3,1,0,NA,NA,8,26,NA,NA,35
32739,2501863,588,387,201,65.8163,4555,34,16,5,-11,0,2,NA,6,2,1,NA,NA,8,26,NA,NA,20
32740,2506121,560,367,193,65.5357,4323,29,13,9,23,0,1,NA,4,2,0,NA,NA,8,26,NA,NA,37
32741,2533033,466,300,166,64.3777,3411,14,11,73,366,4,3,NA,2,0,0,NA,NA,8,26,NA,NA,44
32742,2532975,490,313,177,63.8776,3677,24,9,94,677,4,3,NA,2,0,0,NA,NA,8,26,NA,NA,44
32743,2506581,88,55,33,62.5,634,5,3,15,56,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,4
32744,2495443,266,161,105,60.5263,1866,8,7,3,13,0,1,NA,0,0,0,NA,NA,8,26,NA,NA,14
32745,2539961,21,12,9,57.1429,143,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32746,2532956,544,344,200,63.2353,3901,26,13,48,271,2,1,NA,3,1,0,NA,NA,8,26,NA,NA,44
32747,497095,513,317,196,61.7934,3744,26,14,23,77,2,1,NA,6,2,0,NA,NA,8,26,NA,NA,32
32748,2552576,31,19,12,61.2903,191,0,1,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32749,2553501,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32750,2504833,67,41,26,61.194,455,3,3,1,5,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,4
32751,2508123,23,14,9,60.8696,144,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,1
32752,2495863,29,16,13,55.1724,188,0,0,1,5,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,1
32753,2543465,523,333,190,63.6711,3799,20,14,55,311,2,1,NA,5,2,0,NA,NA,8,26,NA,NA,43
32754,497135,15,7,8,46.6667,78,1,0,18,56,2,0,NA,0,0,0,NA,NA,8,26,NA,NA,2
32755,2504211,544,345,199,63.4191,4111,29,9,15,27,1,1,NA,5,2,0,NA,NA,8,26,NA,NA,21
32756,2543640,35,20,15,57.1429,233,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,1
32757,2505354,533,355,178,66.6041,4166,31,11,19,55,0,2,NA,2,1,0,NA,NA,8,26,NA,NA,29
32758,2553457,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,0
32759,2495240,33,20,13,60.6061,211,1,1,3,12,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,1
32760,2543605,67,41,26,61.194,489,4,3,3,11,0,0,NA,0,0,0,NA,NA,8,26,NA,NA,3
