playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,
"2552265","null","Steven Nelson","DB","KC","DB","KC","null","44.35","8","null","1452","659","null","null","0.6375","170","-1589","0","44.35","44.35","null","null",
"2552266","null","Anthony Chickillo","LB","PIT","LB","PIT","null","0","5","null","1479","1479","null","null","0","170","-1590","0","0","0","null","null",
"2552267","null","B.J. Dubose","DL","MIN","DL","MIN","null","0","null","null","1479","1479","null","null","0","170","-1591","0","0","0","null","null",
"2552268","null","Brian Mihalik","DL","PHI","DL","PHI","null","0","null","null","1479","1479","null","null","0","170","-1592","0","0","0","null","null",
"2552271","null","Geneo Grissom","DL","NE","DL","NE","null","6.45","6.5","null","920","1244","null","null","0.55","124","-1639","0","6.45","6.45","null","null",
"2552272","null","Henry Anderson","DL","IND","DL","IND","null","26.45","29","null","921","847","null","null","0.45","183.955","-1580.045","0.5","26.45","26.45","null","null",
"2552273","null","Markus Golden","LB","ARI","LB","ARI","null","14.15","38","null","1148","1041","null","null","0.475","115.67","-1649.33","0","14.15","14.15","null","null",
"2552274","null","Martin Ifedi","DL","STL","DL","STL","null","0","null","null","1479","1479","null","null","0","null","null","0","0","0","null","null",
"2552275","null","Owamagbe Odighizuwa","DL","NYG","DL","NYG","null","35.625","2.5","null","922","746","null","null","0.4625","85.41","-1681.59","1","42.845","28.405","4.7533","null",
"2552276","null","Preston Smith","LB","WAS","LB","WAS","null","51.2","53.5","null","1149","602","null","null","1.3","null","null","1","51.52","50.88","5.474","null",
"2552277","null","Ryan Russell","DL","DAL","DL","DAL","null","5.2","null","null","923","1286","null","null","0.6","170","-1599","0","5.2","5.2","null","null",
"2552278","null","Trey Flowers","DL","NE","DL","NE","null","5.8","null","null","924","1270","null","null","0.3","194.5","-1575.5","0.5","5.8","5.8","null","null",
"2552279","null","ZaDarius Smith","LB","BAL","LB","BAL","null","41.2","37","null","1150","689","null","null","0.75","170","-1601","0","41.2","41.2","null","null",
"2552280","null","Carl Davis","DL","BAL","DL","BAL","null","16.8","9.5","null","925","984","null","null","0.425","170","-1602","0","16.8","16.8","null","null",
"2552289","null","Bud Dupree","LB","PIT","LB","PIT","null","34.375","30.5","null","1151","760","null","null","1","125.87","-1647.13","1","37.395","31.355","3.8819","null",
"2552290","null","Davis Tull","LB","NO","LB","NO","null","7.2","null","null","1152","1224","null","null","0.675","null","null","0","7.2","7.2","null","null",
