"tableColumnID","dataColID","siteTableID","columnPeriod","columnOrder","removeColumn"
13474,99,134,"week",19,0
13475,23,134,"week",20,0
13476,133,136,"week",1,1
13477,49,136,"week",2,0
13478,141,136,"week",3,0
13479,68,136,"week",4,0
13480,144,136,"week",5,0
13481,38,136,"week",6,0
13482,37,136,"week",7,0
13483,46,136,"week",8,0
13484,42,136,"week",9,0
13485,40,136,"week",10,0
13486,60,136,"week",11,0
13487,63,136,"week",12,0
13488,62,136,"week",13,0
13489,41,136,"week",14,0
13490,59,136,"week",15,0
13491,57,136,"week",16,0
13493,99,136,"week",19,0
13494,23,136,"week",20,0
13502,133,162,"week",1,1
13503,49,162,"week",2,0
13504,141,162,"week",3,0
13505,68,162,"week",4,0
13506,144,162,"week",5,0
13507,38,162,"week",6,0
13508,37,162,"week",7,0
13509,46,162,"week",8,0
13510,42,162,"week",9,0
13511,40,162,"week",10,0
13512,60,162,"week",11,0
13513,63,162,"week",12,0
13514,62,162,"week",13,0
13515,41,162,"week",14,0
13516,59,162,"week",15,0
13517,57,162,"week",16,0
13519,99,162,"week",19,0
13520,23,162,"week",20,0
13565,133,135,"week",1,1
13566,49,135,"week",2,0
13567,141,135,"week",3,0
13568,68,135,"week",4,0
13569,144,135,"week",5,0
13570,38,135,"week",6,0
13571,37,135,"week",7,0
13572,46,135,"week",8,0
13573,42,135,"week",9,0
13574,40,135,"week",10,0
13575,60,135,"week",11,0
13576,63,135,"week",12,0
13577,62,135,"week",13,0
13578,41,135,"week",14,0
13579,59,135,"week",15,0
13580,57,135,"week",16,0
13582,99,135,"week",19,0
13583,23,135,"week",20,0
13584,143,137,"week",1,0
13585,142,137,"week",2,0
13586,68,137,"week",3,1
13587,141,137,"week",4,0
13588,35,137,"week",5,1
13589,249,137,"week",6,1
13590,250,137,"week",7,1
13591,143,138,"week",1,0
13592,142,138,"week",2,0
13593,68,138,"week",3,1
13594,141,138,"week",4,0
13595,35,138,"week",5,1
13596,249,138,"week",6,1
13597,250,138,"week",7,1
13598,143,139,"week",1,0
13599,142,139,"week",2,0
13600,68,139,"week",3,1
13601,141,139,"week",4,0
13602,35,139,"week",5,1
13603,249,139,"week",6,1
13604,250,139,"week",7,1
13605,143,140,"week",1,0
13606,142,140,"week",2,0
13607,68,140,"week",3,1
13608,141,140,"week",4,0
13609,35,140,"week",5,1
13610,249,140,"week",6,1
13611,250,140,"week",7,1
13612,143,141,"week",1,0
13613,142,141,"week",2,0
13614,68,141,"week",3,1
13615,141,141,"week",4,0
13616,35,141,"week",5,1
13617,249,141,"week",6,1
13618,250,141,"week",7,1
13619,38,137,"week",8,0
13620,37,137,"week",9,0
13621,46,137,"week",10,0
13622,42,137,"week",11,0
13623,40,137,"week",12,0
13624,60,137,"week",13,0
13625,63,137,"week",14,0
13626,62,137,"week",15,0
13627,27,137,"week",16,0
13628,60,138,"week",8,0
13629,63,138,"week",9,0
13630,62,138,"week",10,0
13631,41,138,"week",11,0
13632,59,138,"week",12,0
13633,57,138,"week",13,0
13634,27,138,"week",14,0
13635,41,139,"week",8,0
13636,59,139,"week",9,0
13637,57,139,"week",10,0
13638,60,139,"week",11,0
13639,63,139,"week",12,0
13640,62,139,"week",13,0
13641,27,139,"week",14,0
13642,41,140,"week",8,0
13643,59,140,"week",9,0
13644,57,140,"week",10,0
13645,60,140,"week",11,0
13646,63,140,"week",12,0
13647,62,140,"week",13,0
13648,27,140,"week",14,0
13649,23,141,"week",8,0
13650,22,141,"week",9,0
13651,99,141,"week",10,0
13652,98,141,"week",11,0
13653,27,141,"week",12,0
13654,49,41,"season",1,0
13655,37,41,"season",2,0
13656,38,41,"season",3,0
13657,46,41,"season",4,0
13658,42,41,"season",5,0
13659,40,41,"season",6,0
13660,60,41,"season",7,0
13661,63,41,"season",8,0
13662,62,41,"season",9,0
13663,29,41,"season",10,0
13664,27,41,"season",11,1
13665,49,42,"season",1,0
13666,60,42,"season",2,0
13667,63,42,"season",3,0
13668,62,42,"season",4,0
13669,41,42,"season",5,0
13670,59,42,"season",6,0
13671,57,42,"season",7,0
13672,29,42,"season",8,0
13673,27,42,"season",9,1
13674,49,43,"season",1,0
13675,60,43,"season",2,0
13676,63,43,"season",3,0
13677,62,43,"season",4,0
13678,41,43,"season",5,0
13679,59,43,"season",6,0
13680,57,43,"season",7,0
13681,29,43,"season",8,0
13682,27,43,"season",9,1
13683,49,44,"season",1,0
13684,41,44,"season",2,0
13685,59,44,"season",3,0
13686,57,44,"season",4,0
13687,29,44,"season",5,0
