"rowRemoveId","siteTableId","rowRemove"
1,1,1
2,1,2
3,2,1
4,2,2
5,3,1
6,3,2
7,4,1
8,4,2
9,5,1
10,6,1
11,13,1
12,14,1
13,15,1
14,16,1
15,29,1
16,30,1
17,31,1
18,32,1
19,33,1
20,34,1
21,52,1
31,53,1
41,54,1
42,157,1
43,158,1
44,159,1
45,160,1
46,161,1
