"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"TONYROMO","Tony Romo","QB","DAL",14,87.6062493750625,12,261.301580455059,276.46,277.94,260.28,256.06,NA,259.41,240.54,250.16,253.4,251,252.28,281.9,273.56,275.68,NA,265.88,260.447619047619,261.301580455059,16.2192663385349,12.5565,12.7913938487331,4.56418959748975,2.5,14,8.25,14,77.4,3.6,99.1,9,85,94.3,11,8.25,11
"LESEANMCCOY","LeSean McCoy","RB","PHI",15,1.52073292670733,2,261.188311712305,308.915,289.725,244.25,254.95,264.875,262.8025,281.175,270.1,251.575,250.5,253.475,255.125,274.5,264.45,NA,237.325,263.025989583333,261.188311712305,143.260497511234,0.704504131134887,18.5794324696116,3.85831836596781,64.8,58,61.4,64.8,1.6,59.7,2.9,55,1,1.6,0.8,61.4,76
"RUSSELLWILSON","Russell Wilson","QB","SEA",16,107.107909209079,13,260.219051982208,323.58,268.74,247,268.26,NA,257.402,275.88,266.14,273.64,284.8,251.46,287,233.84,279.58,NA,242.54,263.489192857143,260.219051982208,15.1367378656842,14.9478,22.5355154391882,5.78146819274876,2.1,8,5.05,8,100.3,5.4,73.8,9,95,111.2,11.9,5.05,7
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",17,8.86086891310869,2,251.381561348738,305.78,249,261.25,253,254.625,254.9,268.25,259.125,241.125,244.5,246.625,271.75,195.5,252.175,NA,229.8,252.349770833333,251.381561348738,107.982339659127,1.8413,23.2884297197025,4.44455903868465,56.5,52,54.25,56.5,9.5,41.3,13.9,38,10,8.1,1.8,54.25,68
"PHILIPRIVERS","Philip Rivers","QB","SD",18,104.062108789121,14,250.93480300012,261.83,250.18,254.44,256.18,NA,248.514,230.6,249.26,246.56,243,250.92,259.9,268.82,260.02,NA,242.41,249.473183333333,250.93480300012,5.85248888359644,14.2152,9.65680821954184,4.4340023534101,1.7,8,4.85,8,104.2,2.9,106.3,9,105,102.9,10.3,4.85,7
"MATTFORTE","Matt Forte","RB","CHI",19,3.59523547645235,3,250.037336668946,260.9,270.7,249.1,254.7,254.85,253.305,250.5,244.125,234.425,250.625,239.5,250.625,282.475,250.75,NA,236.55,250.602333333333,250.037336668946,132.109522467876,1.4413,12.4095024745824,3.32988614442169,60.9,55,57.95,60.9,4.9,53.7,5.9,52,4,5.2,1.4,57.95,72
"JAYCUTLER","Jay Cutler","QB","CHI",20,91.1484651534847,15,245.426240154159,248.25,276.98,257.68,235.72,NA,255.074,262.14,255.66,245.88,248,239.98,249.5,237.74,260.54,NA,236.6,244.544242857143,245.426240154159,0.343926037634901,12.2652,11.6184420774772,4.41728823821688,1.9,13,7.45,13,97.9,3,106.3,7,96,86.3,9.7,7.45,10
"ADRIANPETERSON","Adrian Peterson","RB","MIN",21,3.11183881611839,4,241.714229122256,226.935,250.8,223.825,262.625,244.775,241.7325,244.5,249.1,241.775,252.25,236.9,246.75,244.9,253.125,NA,236.125,242.293552083333,241.714229122256,123.786414921186,1.2913,9.99803413117275,3.07619972186522,62.7,56,59.35,62.7,3.2,59.7,2,57,2,2.5,1.1,59.35,74
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",22,119.170697362539,16,238.885899195293,203.96,264.84,254.74,230.76,NA,247.162,245.84,246.68,237.12,247.2,233.7,249,255.94,253.96,NA,219.66,239.24160952381,238.885899195293,-6.19641492123134,15.1217,15.9936597966916,5.15579758112181,1.4,7,4.2,7,117.8,1.7,124.3,6,122,125.9,11.6,4.2,6
"ALEXSMITH","Alex Smith","QB","KC",23,145.9,17,236.61932074235,255.3,243.96,233.66,211.58,NA,233.614,247.04,258.06,230.42,243.8,235.96,248.6,221.12,259.74,NA,255.06,236.378635714286,236.61932074235,-8.46299337417349,17.6,14.3061878850446,5.25639539436059,1.3,1,1.15,1.3,124.7,1.05,147.25,6,150,NA,NA,1.15,2
