"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"KENNYBRITT","Kenny Britt","WR","STL",152,136.159426514976,62,104.005002767667,78.155,110.25,112.875,89.625,NA,98.0875,107.1,100.625,103.125,118.75,92.875,115.625,62.75,137,NA,133.925,107.064891774892,104.005002767667,-39.3942189219437,15.1326,20.0193561185786,5.55351466146596,1,1,1,1,NA,0,170,2,186,127.4,12,1,1
"DELANIEWALKER","Delanie Walker","TE","TEN",153,147.45,16,103.924723121087,64.85,109.375,111,104.75,NA,108.3625,114.125,109.5,98.125,94.375,98.5,105,80.75,117.75,NA,108.625,101.99130952381,103.924723121087,-14.4302011553435,7.9,14.1533867304237,4.19702146665085,1,1,1,1,134.2,1,144.6,4,195,NA,NA,1,2
"ANTONIOGATES","Antonio Gates","TE","SD",154,140.122211350294,17,103.807910087354,92.105,108.125,126,99.5,NA,110.5875,104.125,105.25,97,117.5,99.25,110.625,88.625,113.25,NA,98.525,104.956011904762,103.807910087354,-14.5470141890765,11.8775842531689,10.1618108436564,4.23207401550468,1.2,1,1.1,1.2,124.9,1.7,124.8,3,141,NA,NA,1.1,2
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",155,138.049264705882,63,103.561848939274,NA,NA,125.125,82.125,NA,105.8625,102.35,86.625,126.125,105.875,106.375,99,94.125,127.125,NA,102.45,104.881847319347,103.561848939274,-39.8373727503368,14.2565,14.6847492185513,4.93371656876229,1,1,1,1,NA,0,170,2,177,129.1,13.8,1,1
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",156,165.6,64,102.282034954687,90.04,99.75,104.125,105.375,NA,97.6375,113.25,86,95.4,97.75,88.575,118.125,102,125.625,NA,105.75,102.110275974026,102.282034954687,-41.1171867349238,20.8,11.2302326532636,5.29792304793459,1,1,1,1,NA,0,170,1,219,NA,NA,1,1
"ROBERTWOODS","Robert Woods","WR","BUF",157,161.2,65,101.644736035804,71.34,93.375,119.375,87.225,NA,103.975,93.5,111.725,105.5,101,96.85,99.25,113.625,137.825,NA,93.815,102.715081168831,101.644736035804,-41.7544856538067,24.5,15.7827410257444,6.14470906577891,1,1,1,1,NA,0,170,2,250,NA,NA,1,1
"MALCOMFLOYD","Malcom Floyd","WR","SD",158,154.8,66,101.389985188689,107.495,98.75,93.5,102.5,NA,95.5,118.625,89.625,112.75,103.375,87.875,89.875,70.375,125.625,NA,106.4,102.273869047619,101.389985188689,-42.0092365009211,25.1,14.0859349808848,6.04216568253382,1,1,1,1,NA,0,170,1,244,NA,NA,1,1
"DWAYNEALLEN","Dwayne Allen","TE","IND",159,154.7,18,101.149783706503,123.485,100.625,109.125,69.375,NA,98.125,114.525,106.625,99,110,87.125,102.5,58.625,116.25,NA,80.825,98.5946428571429,101.149783706503,-17.2051405699273,17.8,18.4134092920958,5.68250185467103,1.1,0,0.55,1.1,133.7,0,170,3,228,NA,NA,0.55,1
"ODELLBECKHAM","Odell Beckham","WR","NYG",160,164,67,99.506300577532,NA,92,102.75,98.75,NA,102.3375,80.375,88.225,79.5,102,105.125,98.375,117.375,106.125,NA,91.95,98.388625957376,99.506300577532,-43.8929211120785,28.3,10.6650036889772,6.04971212511106,1,1,1,1,NA,0,170,0,210,NA,NA,1,1
"MARVINJONES","Marvin Jones","WR","CIN",161,143.676007513661,68,98.6111796675199,148.035,96.25,109.375,89.175,NA,106.8625,110.35,86.9,69.625,70.25,64.5,90.25,118.625,94.675,NA,112.46,100.759264069264,98.6111796675199,-44.7880420220906,22.5391,22.3083439806884,6.57638653321338,1.2,7,4.1,7,115.2,0,170,0,161,NA,NA,4.1,5
"JAREDCOOK","Jared Cook","TE","STL",162,169.7,19,97.0935156539684,146.145,89.875,108.25,85.125,NA,96.1625,101.875,104.5,92.125,107.5,86.25,89.625,95.25,106.625,NA,95.275,100.242142857143,97.0935156539684,-21.261408622462,17.7,15.3471228970012,5.36969693063346,1.2,0,0.6,1.2,130.7,0,170,2,226,NA,NA,0.6,1
"NATEWASHINGTON","Nate Washington","WR","TEN",163,196.1,69,97.0745152608772,100.46,100.375,89.5,87,NA,90.1375,135,81.875,77.375,87,70.5,87,128.625,114.375,NA,113.425,98.9295833333333,97.0745152608772,-46.3247064287333,23.1,19.129380246972,6.32363643564018,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"MILESAUSTIN","Miles Austin","WR","CLE",164,165.8,70,96.9380934449106,55.945,88.125,99.875,52.125,NA,85.95,153.775,98.625,103.625,89.25,104.5,117.75,107.75,126.875,NA,93.4,97.9762987012987,96.9380934449106,-46.4611282446999,22.4,25.8975813181824,6.91496173338082,1,1,1,1,NA,0,170,2,192,NA,NA,1,1
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",165,186.8,71,94.3438377772157,123.745,91.75,88.5,90.9,NA,86.95,92.95,76.625,83.175,101.75,53.125,80.5,111.375,94.675,NA,96.845,92.628354978355,94.3438377772157,-49.0553839123948,10.5,16.3852188523883,4.69678535275795,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",166,116.173572642736,44,93.0250512707931,NA,151.3,114.875,61.6,NA,108.2375,91,78.825,89.875,104.75,96.3,128.75,40.3,114.65,NA,86.225,94.9675137362637,93.0250512707931,-24.9027629302774,20.3869,28.5382537497187,6.95834154239617,2.1,6,4.05,6,123.9,1.8,137,3,142,101.5,10.2,4.05,5
"CHRISIVORY","Chris Ivory","RB","NYJ",167,113.000995024876,45,92.2180815394298,84.875,116.875,77.125,92.075,NA,95.82,118.975,92.725,81.3,114.125,90.275,68.375,120.525,119.35,NA,89,95.478,92.2180815394298,-25.7097326616407,7.413,17.5068243679586,4.47491401493009,3.7,4,3.85,4,125.2,2.6,117.8,5,144,NA,NA,3.85,4
"MIKEWILLIAMS","Mike Williams","WR","BUF",168,166.4,72,92.144001498786,116.08,85.375,93.5,106,NA,89.1875,108.075,74.625,89.125,116,87.25,80.5,88.25,123.25,NA,83.975,95.4027813852814,92.144001498786,-51.2552201908245,20.6,15.1459417698201,5.66210010710939,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"CARLOSHYDE","Carlos Hyde","RB","SF",169,110.274292570743,46,91.5617725269818,NA,139.8,95.25,81,NA,88.395,88.125,67.875,82.875,98.875,76.025,8.125,105.8,127,NA,85.475,86.0243223443223,91.5617725269818,-26.3660416740886,19.9304,31.2278232387525,7.17412471531918,1.6,10,5.8,10,114.8,1.7,129.1,5,123,95,10.5,5.8,6
"ERICEBRON","Eric Ebron","TE","DET",170,149.453775038521,20,91.2248293659376,NA,97.625,111.75,83.5,NA,102.2875,86.5,78.625,83,90.25,88,77.375,86.125,102.25,NA,90.575,91.2518086080586,91.2248293659376,-27.1300949104928,19.063,10.1619510133358,5.00568489759395,1.5,0,0.75,1.5,128,1.8,134.2,2,148,124.8,21.1,0.75,1
"TYLEREIFERT","Tyler Eifert","TE","CIN",171,158,21,91.0921671759475,33.99,94.75,72.875,81.125,NA,86.3875,95.625,90.375,98.125,100,98.125,115.625,95.25,117.25,NA,78.075,90.3791071428572,91.0921671759475,-27.2627571004829,17.3,20.3377795044519,5.81822722538881,1,1,1,1,132.7,0,170,3,240,NA,NA,1,2
"DONNIEAVERY","Donnie Avery","WR","KC",172,186.2,73,90.7177501594373,82.895,93.75,87.125,98.2,NA,91.0875,90.825,84.125,99.775,78.25,68.45,93.25,98.375,112.85,NA,98.955,90.9991666666667,90.7177501594373,-52.6814715301731,10.3,10.8647026481741,4.13146497515313,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"SHONNGREENE","Shonn Greene","RB","TEN",173,139.1,47,90.6710844135714,136.46,NA,62.875,87.025,NA,83.2625,70.625,89.925,68.75,83.625,75.575,114.25,113.85,111.175,NA,104.475,89.8578525641026,90.6710844135714,-27.256729787499,22.2,21.9105572295406,6.50069508142293,1,1,1,1,NA,1.3,126.2,4,172,NA,NA,1,1
"AARONDOBSON","Aaron Dobson","WR","NE",174,139.3,74,90.5223061672422,42.345,107.125,56.625,106.5,NA,80,126.95,53.875,59.5,97.125,104.375,43.5,116.25,134.875,NA,111.65,91.4676461038961,90.5223061672422,-52.8769155223682,30.9,31.8838759092195,8.41975830137654,1,1,1,1,NA,0,170,2,197,NA,NA,1,1
"GARRETTGRAHAM","Garrett Graham","TE","HOU",175,160.1,22,88.1654785473869,91.95,90.625,99.5,60.25,NA,87.7625,117.75,93.375,86.5,83,79.25,102.75,83.25,109,NA,92.525,89.7508928571429,88.1654785473869,-30.1894457290435,18.5,13.8576125152298,5.30910523612235,1,1,1,1,137.3,0,170,2,232,NA,NA,1,2
"ANDREWILLIAMS","Andre Williams","RB","NYG",176,119.629880004138,48,87.62528230622,NA,151.775,108.575,65.125,NA,89.235,110.125,67.325,100.25,92.25,76.025,100.5,29.275,128,NA,76.3,89.4280952380952,87.62528230622,-30.3025318948505,21.4956,30.8050811867633,7.30099605955286,1.8,6,3.9,6,123,1.5,140.7,5,139,108.9,12.4,3.9,4
"KHIRYROBINSON","Khiry Robinson","RB","NO",177,133.246469248292,49,87.1564041637103,NA,138.425,94.725,101.55,NA,112.0425,63.25,105,85.05,85.5,79.3,55.375,15.1,121.825,NA,65.725,86.6004258241758,87.1564041637103,-30.7714100373601,20.6717,32.0501039089879,7.33493183732599,1.4,1,1.2,1.4,123.7,2.3,109.2,5,134,121.9,15.1,1.2,2
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",178,145.45,50,87.095434435969,90.385,81.1,61.35,61.45,NA,77.425,110.75,98.5,63,94.5,67.675,102.5,157.7,104.9,NA,83.5,87.8335119047619,87.095434435969,-30.8323797651015,12,25.7587952999009,5.78160485773252,1,1,1,1,NA,1.1,140.7,3,189,NA,NA,1,1
"TRAVISKELCE","Travis Kelce","TE","KC",179,152.4,23,85.7939618117601,NA,97.375,70.125,73.75,NA,77.4875,69.875,83.625,98,96.5,73.875,105,39.875,105.25,NA,99.375,78.3622619047619,85.7939618117601,-32.5609624646703,20,18.8170976790817,5.95912307047096,1,1,1,1,NA,0,170,3,215,130.7,22.5,1,1
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",180,159.95,51,83.4814837288906,80.795,113.825,86.55,95.2,NA,94.0175,46,76.475,82.05,67.75,60.85,66.375,62.7,NA,NA,82.275,81.6885256410256,83.4814837288906,-34.4463304721799,9.6,17.668492691069,4.72629589689425,1,1,1,1,NA,0,142.8,2,204,NA,NA,1,1
"STEVEJOHNSON","Steve Johnson","WR","SF",181,162.9,75,83.419981045091,106.82,96.875,66.625,97.75,NA,81.95,77.175,72.75,78.375,88.875,82.075,86.75,90.25,95.1,NA,65.85,85.0913852813853,83.419981045091,-59.9792406445194,25.1,12.1027464188556,5.84681546331011,1,1,1,1,NA,1.3,146,0,211,NA,NA,1,1
"KNILEDAVIS","Knile Davis","RB","KC",182,140.575073746313,52,83.3003885010969,73.445,84.675,79.95,69.075,NA,79.515,84.65,70.125,70.55,95.875,63.775,38.125,91.725,104.8,NA,69.175,81.3175,83.3003885010969,-34.6274256999736,14.4391,16.1474811596793,5.09745930061072,1,1,1,1,NA,1.1,141.5,3,182,NA,NA,1,1
"ANDREHOLMES","Andre Holmes","WR","OAK",183,157.75,76,82.6875031655153,NA,109.625,100,69.875,NA,70.55,58.025,81.875,35.275,86.125,72.575,85.25,65.25,120.5,NA,103.75,79.9891233766234,82.6875031655153,-60.7117185240952,11.9,23.2225770519961,5.5210132888643,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"DENARIUSMOORE","Denarius Moore","WR","OAK",184,183,77,82.4998832417942,185.045,98.625,59.375,101.875,NA,74.35,106.75,41.875,77.875,50.75,72.625,89.875,107.875,92.625,NA,49.875,86.017619047619,82.4998832417942,-60.8993384478163,14.9,35.9180014576089,7.09453828841419,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"COBYFLEENER","Coby Fleener","TE","IND",185,158.85,24,82.0425250963744,118.85,91.625,62.25,84.125,NA,78.6625,63.625,78.375,86.75,86.5,77.875,93.375,74.25,94.625,NA,81.9,86.0325,82.0425250963744,-36.3123991800561,8.6,14.0653861201947,4.2637166161317,1,1,1,1,136.8,1.4,135.8,0,213,NA,NA,1,2
"ANDREROBERTS","Andre Roberts","WR","WAS",186,193.5,78,81.9201845682237,18.91,85.875,85.75,93.825,NA,84.3125,65.05,70.75,73,90.75,60.95,73,73.375,93.875,NA,99.675,78.9442965367965,81.9201845682237,-61.4790371213868,29.2,20.2546487448215,7.09121778705541,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",187,130.882944606414,53,81.845848595089,52.44,83.6,64.325,52.875,NA,72.0075,99.25,67.725,83.6,98.25,67.05,107.5,139.025,106.625,NA,90.8,81.9572857142857,81.845848595089,-36.0819656059815,14.9652,24.2044178695228,5.94773357487952,1,1,1,1,NA,0,143.5,3,178,127,14,1,1
"LANCEMOORE","Lance Moore","WR","PIT",188,186.8,79,81.0027142756877,66.255,88.375,96.375,87.25,NA,86.85,81.375,69.875,68,59.5,79.625,80.5,99.5,89.75,NA,86.675,81.8228138528139,81.0027142756877,-62.3965074139227,33.4,11.7254018476558,6.70324142951367,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",189,137.599664879357,54,79.7960884219165,36.44,135.45,NA,64.475,NA,80.0775,107.25,65.725,66.6,78.375,69.975,80,99.4,103.575,NA,66.475,78.3409203296703,79.7960884219165,-38.131725779154,14.0826,25.0709442517245,5.93806652390591,2.9,5,3.95,5,122,1.2,134.2,3,145,128.7,17.1,3.95,4
"MARCEDESLEWIS","Marcedes Lewis","TE","JAC",190,184.4,25,79.3642025307023,70.59,86.625,95.875,58,NA,82.7,85.875,81.75,75.5,82.75,75,64.875,79.25,90,NA,91.925,80.7969047619048,79.3642025307023,-38.9907217457281,22.4,10.516039796164,5.39983222635587,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",191,173.9,80,78.4752021724176,39.13,99.875,99.25,82.4,NA,85.075,80.9,79.125,74.225,84.75,75.475,67.75,76.625,82.95,NA,72.475,78.2828896103896,78.4752021724176,-64.9240195171929,24.7,14.5275312380881,6.04259943533786,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"MATTCASSEL","Matt Cassel","QB","MIN",192,186.2,33,77.9965191849643,1.72,39.76,36.54,104.28,NA,65.646,81,117.9,65.94,60.8,50.84,62.5,214.06,139.92,NA,119.14,82.6459476190476,77.9965191849643,-167.08579493156,33.6,53.0395450391125,10.7943449891347,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"EDDIEROYAL","Eddie Royal","WR","SD",193,192,81,77.161474199479,110.535,85.5,46.25,73.175,NA,67.5,104.075,67.75,49,40.5,62.8,68,104.125,95.65,NA,59.035,76.0961038961039,77.161474199479,-66.2377474901315,1,22.7565380684901,4.30158992320445,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JOHNBROWN","John Brown","WR","ARI",194,174.4,82,76.2479982631865,NA,64.75,123.375,NA,NA,69.0125,77.15,62.875,77.4,101.25,76.375,46.375,NA,NA,NA,74.695,73.6028472222222,76.2479982631865,-67.1512234264239,27.8,21.3302004226272,7.0464359958323,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"LANCEDUNBAR","Lance Dunbar","RB","DAL",195,137.95,55,75.7131337014749,-0.6,89.35,78.675,50.8,NA,77.13,79.625,99.125,79.7,80.5,52.225,61.5,84.725,108.2,NA,92.525,74.2625952380952,75.7131337014749,-42.2146804995955,11.3,26.8415715893205,5.81289819544294,1,1,1,1,NA,0,170,2,218,NA,NA,1,1
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",196,178.8,83,74.8724413177282,-1.74,45.25,70.75,79.5,NA,64.725,84.35,70.125,80.75,104.125,65.375,43.5,96.5,109,NA,88.725,71.1392099567099,74.8724413177282,-68.5267803718823,18.6,28.5953942273311,6.77158861862824,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"CHRISGIVENS","Chris Givens","WR","STL",197,199.4,84,74.8070905124543,139.565,97,57.5,92.975,NA,75.55,59.625,51.375,33.925,34.125,68.75,68.25,161.75,119.925,NA,16.91,78.0232034632035,74.8070905124543,-68.5921311771562,53.2,41.4957765906681,11.7674255274608,1,1,1,1,NA,0,170,2,NA,NA,NA,1,1
"LEVINETOILOLO","Levine Toilolo","TE","ATL",198,207.3,26,74.4329180436533,NA,75.375,78.25,NA,NA,58.8625,72.125,63.875,69.5,85,53.125,45.75,89.125,92.125,NA,88.8,72.5272321428571,74.4329180436533,-43.9220062327771,23.1,15.0301525775915,5.91984980677722,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",199,143.5,56,73.7080724403158,88.44,109.35,68.45,53.2,NA,66.9525,79.625,90.5,48.7,41.5,57.775,62,118.475,87.7,NA,78.175,72.8680357142857,73.7080724403158,-44.2197417607546,14.9,22.4398986282565,5.76690339133734,1,1,1,1,NA,0,170,2,214,NA,NA,1,1
"ROYHELU","Roy Helu","RB","WAS",200,158.05,57,73.3305627869787,36.305,86.4,65.225,80.725,NA,74.9125,91.125,63.4,56.9,70.75,68.175,78.5,91.075,89.5,NA,73.55,73.674880952381,73.3305627869787,-44.5972514140917,8.35,15.1559329008405,4.34422332421607,1,1,1,1,NA,1.1,145.8,2,231,NA,NA,1,1
"SCOTTCHANDLER","Scott Chandler","TE","BUF",201,241,27,73.1251935778291,70.965,85.5,91.125,66.875,NA,80.5125,98.625,76.75,60,58.875,54.625,52.375,72.125,76.125,NA,78.75,72.6659523809524,73.1251935778291,-45.2297306986014,41,13.6680319212487,7.7128286054862,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"JAMESWHITE","James White","RB","NE",202,143.660975609756,58,72.6185013712862,NA,108.9,71.1,44.425,NA,75.535,60.3,57.1,55.375,102.125,46.3,81.875,NA,63.725,NA,78.5125,70.2727083333333,72.6185013712862,-45.3093128297843,14.1527084246683,20.2658925325791,5.47230206026518,1,1,1,1,NA,0,170,0,209,NA,NA,1,1
"NATEBURLESON","Nate Burleson","WR","CLE",203,NA,85,72.5750635166329,82.99,76.25,69.75,73.75,NA,71.825,93.7,64.875,65.15,35.25,93.45,68,74,92.25,NA,57.45,72.1769642857143,72.5750635166329,-70.8241581729776,NA,15.5905389738298,5.17443247522985,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"MYCHALRIVERA","Mychal Rivera","TE","OAK",204,NA,28,72.3753342290143,NA,83.625,87.75,69.75,NA,79.3375,82.5,69.875,47.5,57,58.875,75.5,44.375,82.625,NA,72.35,71.7236950549451,72.3753342290143,-45.9795900474161,NA,14.1272570241233,4.88615686177152,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",205,180.9,59,72.2572004191882,81.08,69.8,55.975,56.375,NA,62.5975,96.55,73.95,66.475,74.75,64.025,47,135.6,87.1,NA,74.75,73.8444166666667,72.2572004191882,-45.6706137818823,15.9,21.8157824122724,5.81308812751091,1,1,1,1,NA,0,170,2,NA,NA,NA,1,1
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",206,173.5,60,71.9000215744971,NA,104.625,90.2,41.85,NA,87.3675,98.475,59.25,65.675,83.75,62.075,69.125,93.425,74.45,NA,66.875,75.112793040293,71.9000215744971,-46.0277926265733,22.2,18.0112691397814,6.11660312076163,1,1,1,1,NA,0,170,1,225,NA,NA,1,1
"MARLONBROWN","Marlon Brown","WR","BAL",207,194.7,86,71.5177551806507,76.705,87.25,46.125,69.375,NA,56.9125,86.125,15.125,71.9,92.5,63.2,79.25,72.25,87.25,NA,33.725,67.4801406926407,71.5177551806507,-71.8814665089598,25,22.339687092761,6.84441963201802,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"ZACHMILLER","Zach Miller","TE","SEA",208,NA,29,70.8322606707253,167.74,82.75,58.125,54.75,NA,67.8875,76,73.375,70.75,72.75,45.5,74,66,87.375,NA,63.35,75.0400595238095,70.8322606707253,-47.5226636057051,NA,28.6442494258744,7.74609434068603,1,0,0.5,1,119.8,0,170,1,NA,NA,NA,0.5,1
"JEROMESIMPSON","Jerome Simpson","WR","MIN",209,NA,87,70.3378265985741,94.345,88.375,78,89.5,NA,74.9875,71.775,41.875,46.25,26.875,64.125,80.5,112.375,87.75,NA,45.55,70.7587175324675,70.3378265985741,-73.0613950910364,NA,23.9153080121198,6.81446357237645,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JAMESSTARKS","James Starks","RB","GB",210,157.9,61,69.9376208786228,62.515,86.9,66.35,66.95,NA,69.815,82.75,58.25,46.675,68.5,49.6,68,93.75,101.15,NA,56.05,69.385880952381,69.9376208786228,-47.9901933224476,22.4,16.0763427694442,5.94753930049767,1,1,1,1,NA,1.1,139.9,3,201,NA,NA,1,1
"ALLENROBINSON","Allen Robinson","WR","JAC",211,178.2,88,69.9253696197531,NA,101.5,41.125,58.375,NA,60.8375,86.625,37.875,82,81.75,77.375,49.5,98.75,71.625,NA,85.5,70.5105769230769,69.9253696197531,-73.4738520698574,16.6,20.6953110979832,5.77808171303465,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"BRANDONLAFELL","Brandon LaFell","WR","NE",212,168.8,89,69.5350894996882,-0.09,90.5,78.5,101.325,NA,75.95,76,26.125,53.125,39.5,53.775,55.5,57.625,84.3,NA,74.35,63.7752435064935,69.5350894996882,-73.8641321899223,19.3,27.071766843475,6.69687008192662,1.8,0,0.9,1.8,124.5,1.3,143.3,0,188,NA,NA,0.9,1
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",213,139.619868173258,62,69.099645031193,NA,127.85,94,66.85,NA,91.87,55.5,49.225,62.175,49.625,73.825,44.5,27.15,100.475,NA,41.6,68.228489010989,69.099645031193,-48.8281691698774,18.463,28.4544966028759,6.74296005587292,2.2,5,3.6,5,125.1,1.3,131.8,3,151,126.9,15,3.6,4
"BLAKEBORTLES","Blake Bortles","QB","JAC",214,190.5,34,68.8141655100111,NA,44.46,129.76,47.26,NA,71.05,42.5,58.66,54.2,122.9,84.42,96.5,NA,49.96,NA,46.75,71.3814652014652,68.8141655100111,-176.268148606513,16,30.9267424241496,6.72131213513073,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DONALDBROWN","Donald Brown","RB","SD",215,158.8,63,68.8071417312252,85.45,85.5,57.925,76.625,NA,68.7775,64.875,52.125,66.9,59.75,72.775,70.625,30.45,57.4,NA,69.325,67.7989166666667,68.8071417312252,-49.1206724698452,24.2,14.120273561317,5.9486522333059,1,1,1,1,NA,1.1,133.6,2,208,NA,NA,1,1
"BRIANQUICK","Brian Quick","WR","STL",216,177.4,90,68.6254002284705,26.965,64.625,94.375,NA,NA,77.5375,72.85,71.625,100.5,77.125,57.5,68.875,13.75,51.875,NA,89.65,66.7451282051282,68.6254002284705,-74.7738214611399,38.1,24.8651129300802,8.5035556434385,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"MIKETOLBERT","Mike Tolbert","RB","CAR",217,177,64,68.199983110794,74.18,84.725,67.725,78.175,NA,78.615,89.375,NA,62.55,80.375,51.125,55.625,12.375,84.15,NA,68.125,68.5089880952381,68.199983110794,-49.7278310902764,18.1,20.3430423200005,5.90487532308759,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JACEAMARO","Jace Amaro","TE","NYJ",218,144.1,30,66.5001692227895,NA,94.5,88,65,NA,74.2,95,19.5,42.25,74.25,60,59.25,31.25,71,NA,50.9,64.2403846153846,66.5001692227895,-51.8547550536409,6.8,23.1997444172482,4.96968740396479,1,1,1,1,NA,0,170,0,247,NA,NA,1,1
"TREMASON","Tre Mason","RB","STL",219,147.470275403609,65,66.0874262522819,NA,110.775,81.95,62.975,NA,85.2375,34.875,38.125,63.25,58.25,55.45,79,103.95,70.55,NA,21.2625,65.3423076923077,66.0874262522819,-51.8403879487886,16.1304,26.1246867313447,6.26233390804114,1,1,1,1,NA,1.5,144.4,0,180,NA,NA,1,1
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",220,160.5,91,64.4316419316338,37.36,70.75,88.25,85.25,NA,72.15,58.25,37,78.125,77.375,74.625,55.75,13.375,85.625,NA,24.175,62.2713095238095,64.4316419316338,-78.9675797579766,29.2,24.3317866649306,7.49282850715943,1,1,1,1,NA,0,170,0,221,NA,NA,1,1
"BRANDONGIBSON","Brandon Gibson","WR","MIA",221,NA,92,63.9328108535096,35.52,77.25,66.125,NA,NA,67.7,92.125,55.75,47.625,51.125,51.375,43.25,86,91,NA,94.225,65.9728525641026,63.9328108535096,-79.4664108361009,NA,20.3264986753114,6.10744588972074,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",222,221,31,63.5736336315746,93.545,81.875,59.25,58.5,NA,64.3375,97.375,60.5,59.625,68,56.875,53,62.75,79.25,NA,53.075,66.5202380952381,63.5736336315746,-54.7812906448558,37.6,14.5153745662341,7.43024328217013,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"BRENTCELEK","Brent Celek","TE","PHI",223,NA,32,62.69232098853,61.99,86.25,68.875,56.375,NA,71.4125,79.875,71,50.5,69.25,39.125,42.625,41.875,85,NA,54.7,63.2386904761905,62.69232098853,-55.6626032879004,NA,15.7344340193083,5.20278069104517,1.1,0,0.55,1.1,123.4,0,170,1,NA,NA,NA,0.55,1
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",224,201.5,33,62.5468801539199,NA,87.125,43.375,73.125,NA,59.4,90.075,28.125,63.5,83.75,58.5,NA,42.125,80.125,NA,29.675,63.2542857142857,62.5468801539199,-55.8080441225105,39.4,21.9467019680117,8.35604387241844,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"TIMWRIGHT","Timothy Wright","TE","TB",225,194.5,34,61.6997917550027,NA,65.75,93.125,NA,NA,53.5125,38.7,29.25,69.25,57.625,64.25,74,61.875,77,NA,50.2,61.0633241758242,61.6997917550027,-56.6551325214278,33.8,17.1831787611901,7.28391421607312,1,0,0.5,1,139.1,1,NA,1,NA,NA,NA,0.5,1
"CODYLATIMER","Cody Latimer","WR","DEN",226,179.3,93,60.6010445144993,NA,66.125,50.5,NA,NA,35.7125,39.125,3.625,60.875,63.375,97.625,58.625,NA,74.375,NA,70.025,53.4682692307692,60.6010445144993,-82.7981771751112,36.2,24.3368810912574,8.24696514694653,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"AUSTINPETTIS","Austin Pettis","WR","STL",227,NA,94,60.4676676122021,106.49,65.25,74.125,NA,NA,43.7875,61.75,9.875,10.625,NA,25.25,21,93.375,84,NA,NA,48.0570741758242,60.4676676122021,-82.9315540774083,NA,34.1251859219044,8.82587280104095,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
