"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","SHAUNALEXANDER",306.6,"1","Shaun Alexander*","SEA",27,16,16,0,0,0,0,0,353,1696,4.8,16,23,170,7.39,4,307,149,1,1,0,0,0,169.6,96,17,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,3,1,206.2
"RB","TIKIBARBER",299.6,"3","Tiki Barber*","NYG",29,16,14,0,0,0,0,0,322,1518,4.71,13,52,578,11.12,2,300,142,2,3,0,0,0,151.8,78,57.8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,5,2,199.2
"RB","LADAINIANTOMLINSON",287.12,"4","LaDainian Tomlinson*+","SDG",25,15,15,1,2,38,0,0,339,1335,3.94,17,53,441,8.32,1,287,130,3,4,1.52,0,0,133.5,102,44.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,6,3,186.72
"QB","DAUNTECULPEPPER",375.28,"2","Daunte Culpepper*","MIN",27,16,16,379,548,4717,39,11,88,406,4.61,2,0,0,NA,0,381,149,1,2,188.68,156,-22,40.6,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1,1,183.9
"RB","CURTISMARTIN",278.2,"6","Curtis Martin*+","NYJ",31,16,16,0,0,0,0,0,371,1697,4.57,12,41,245,5.98,2,278,121,4,6,0,0,0,169.7,72,24.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,7,4,177.8
"QB","PEYTONMANNING",362.08,"5","Peyton Manning*+","IND",28,16,16,336,497,4557,49,10,25,38,1.52,0,0,0,NA,0,362,129,2,5,182.28,196,-20,3.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,2,2,170.7
"RB","DOMANICKWILLIAMS",261.6,"9","Domanick Williams","HOU",24,15,15,0,0,0,0,0,302,1188,3.93,13,68,588,8.65,1,262,104,5,9,0,0,0,118.8,78,58.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,9,5,161.2
"RB","EDGERRINJAMES",257.1,"10","Edgerrin James*","IND",26,16,16,0,0,0,0,0,334,1548,4.63,9,51,483,9.47,0,259,102,6,10,0,0,0,154.8,54,48.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,11,6,156.7
"RB","COREYDILLON",251.8,"12","Corey Dillon*","NWE",30,15,14,0,0,0,0,0,345,1635,4.74,12,15,103,6.87,1,254,96,7,12,0,0,0,163.5,72,10.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,14,7,151.4
"WR","MUHSINMUHAMMAD",238,"7","Muhsin Muhammad*+","CAR",31,16,16,0,0,0,0,0,3,15,5,0,93,1405,15.11,16,238,111,1,7,0,0,0,1.5,0,140.5,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,18,1,134.4
"RB","RUDIJOHNSON",225.8,"20","Rudi Johnson*","CIN",25,16,16,0,0,0,0,0,361,1454,4.03,12,15,84,5.6,0,226,68,8,20,0,0,0,145.4,72,8.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,22,8,125.4
