"name","name_yahoo","pos","team_yahoo","actualPts"
"ANDREWLUCK","Andrew Luck","QB","IND",329.74
"AARONRODGERS","Aaron Rodgers","QB","GB",347.14
"RUSSELLWILSON","Russell Wilson","QB","SEA",321.025
"PEYTONMANNING","Peyton Manning","QB","DEN",295.68
"DREWBREES","Drew Brees","QB","NO",283.005
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",292.03
"MATTRYAN","Matt Ryan","QB","ATL",268.26
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",299.5
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",264.4
"LEVEONBELL","Le'Veon Bell","RB","PIT",308.85
"TOMBRADY","Tom Brady","QB","NE",266.06
"PHILIPRIVERS","Philip Rivers","QB","SD",245.64
"ELIMANNING","Eli Manning","QB","NYG",251.5
"TONYROMO","Tony Romo","QB","DAL",254.3
"JOEFLACCO","Joe Flacco","QB","BAL",250.44
"JAYCUTLER","Jay Cutler","QB","CHI",231.58
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",272.475
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",236.58
"CAMNEWTON","Cam Newton","QB","CAR",231.98
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",235.66
"ANTONIOBROWN","Antonio Brown","WR","PIT",298.35
"MATTFORTE","Matt Forte","RB","CHI",262.8
"ANDYDALTON","Andy Dalton","QB","CIN",206.07
"ARIANFOSTER","Arian Foster","RB","HOU",241.675
"EDDIELACY","Eddie Lacy","RB","GB",239.275
"JORDYNELSON","Jordy Nelson","WR","GB",267.875
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",270.375
"DEZBRYANT","Dez Bryant","WR","DAL",261
"ALEXSMITH","Alex Smith","QB","KC",213
"JAMAALCHARLES","Jamaal Charles","RB","KC",214.675
"ODELLBECKHAM","Odell Beckham Jr.","WR","NYG",235.625
"DEREKCARR","Derek Carr","QB","OAK",176
"JUSTINFORSETT","Justin Forsett","RB","BAL",209.475
"RANDALLCOBB","Randall Cobb","WR","GB",232.575
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",235.9
"JULIOJONES","Julio Jones","WR","ATL",232.225
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",224.75
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",167.66
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",170.72
"KYLEORTON","Kyle Orton","QB","BUF",163.12
"LAMARMILLER","Lamar Miller","RB","MIA",189.275
"BLAKEBORTLES","Blake Bortles","QB","JAX",150.22
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",212.5
"JEREMYHILL","Jeremy Hill","RB","CIN",187.275
"CJANDERSON","C.J. Anderson","RB","DEN",185.4
"MIKEEVANS","Mike Evans","WR","TB",203.375
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",204.925
"TYHILTON","T.Y. Hilton","WR","IND",209.125
"LESEANMCCOY","LeSean McCoy","RB","PHI",172.275
"ALFREDMORRIS","Alfred Morris","RB","WAS",174.775
"BRIANHOYER","Brian Hoyer","QB","CLE",142.94
"JOIQUEBELL","Joique Bell","RB","DET",171.25
"GENOSMITH","Geno Smith","QB","NYJ",134.8
"MARKINGRAM","Mark Ingram","RB","NO",165.525
"GOLDENTATE","Golden Tate","WR","DET",193.375
"CALVINJOHNSON","Calvin Johnson","WR","DET",182.625
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",184.25
"ANTONIOGATES","Antonio Gates","TE","SD",174.625
"DESEANJACKSON","DeSean Jackson","WR","WAS",182.825
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",177
"MARKSANCHEZ","Mark Sanchez","QB","PHI",125.42
"MATTASIATA","Matt Asiata","RB","MIN",157
"FRANKGORE","Frank Gore","RB","SF",148.475
"MIKEWALLACE","Mike Wallace","WR","MIA",166.35
"JIMMYGRAHAM","Jimmy Graham","TE","NO",165.125
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",153.625
"TORREYSMITH","Torrey Smith","WR","BAL",161.875
"JOSHMCCOWN","Josh McCown","QB","TB",108.94
"STEVESMITH","Steve Smith Sr.","WR","BAL",166.125
"GREGOLSEN","Greg Olsen","TE","CAR",162
"JULIANEDELMAN","Julian Edelman","WR","NE",160.9
"BRANDONLAFELL","Brandon LaFell","WR","NE",159.425
"ANQUANBOLDIN","Anquan Boldin","WR","SF",163.15
"AJGREEN","A.J. Green","WR","CIN",160.325
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",157
"CHRISIVORY","Chris Ivory","RB","NYJ",136.475
"SAMMYWATKINS","Sammy Watkins","WR","BUF",156.55
"RODDYWHITE","Roddy White","WR","ATL",154.125
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",154.5
"ANDREELLINGTON","Andre Ellington","RB","ARI",139.375
"NICKFOLES","Nick Foles","QB","PHI",106.32
"ANDREWILLIAMS","Andre Williams","RB","NYG",130.35
"ERICDECKER","Eric Decker","WR","NYJ",150.25
"COBYFLEENER","Coby Fleener","TE","IND",144.75
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",143.01
"FREDJACKSON","Fred Jackson","RB","BUF",135.125
"MALCOMFLOYD","Malcom Floyd","WR","SD",143
"STEVENJACKSON","Steven Jackson","RB","ATL",125.2
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",124.525
"JULIUSTHOMAS","Julius Thomas","TE","DEN",133.125
"TREMASON","Tre Mason","RB","STL",122
"EDDIEROYAL","Eddie Royal","WR","SD",137.65
"MICHAELFLOYD","Michael Floyd","WR","ARI",138.325
"MARQUESCOLSTON","Marques Colston","WR","NO",139.75
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",135.125
"DARRENSPROLES","Darren Sproles","RB","PHI",126.275
"AUSTINDAVIS","Austin Davis","QB","STL",95.64
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",122
"TRAVISKELCE","Travis Kelce","TE","KC",128.75
"SHANEVEREEN","Shane Vereen","RB","NE",124.975
