"pos","name","points","name_info","games","team","overall_rank","age","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","sack","fumlRec","int","defTD","ptsA","passYdsAPG","rushYdsAPG","safety","kickTD","pts","ptsPG","passYdsA","rushYdsA","ptsAPG","td","fumlRecoveryPts","intCaughtPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","ADRIANPETERSON",309.4,"Adrian Peterson*+","16","MIN",1,27,16,0,0,0,0,0,348,2097,6.03,12,40,217,5.43,1,307,191,1,1,0,0,0,209.7,72,21.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,7,1,220
"RB","ARIANFOSTER",266.1,"Arian Foster*","16","HOU",3,26,16,0,0,0,0,0,351,1424,4.06,15,40,217,5.43,2,262,145,3,3,0,0,0,142.4,90,21.7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,13,2,176.7
"RB","DOUGMARTIN",264.6,"Doug Martin*","16","TAM",2,23,16,0,0,0,0,0,319,1454,4.56,11,49,472,9.63,1,263,146,2,2,0,0,0,145.4,66,47.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,14,3,175.2
"RB","MARSHAWNLYNCH",250.6,"Marshawn Lynch*+","16","SEA",4,26,15,0,0,0,0,0,315,1590,5.05,11,23,196,8.52,1,247,130,4,4,0,0,0,159,66,19.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,16,4,161.2
"RB","ALFREDMORRIS",247,"Alfred Morris","16","WAS",5,24,16,0,0,0,0,0,335,1613,4.81,13,11,77,7,0,241,124,5,5,0,0,0,161.3,78,7.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,18,5,157.6
"RB","RAYRICE",222.1,"Ray Rice*","16","BAL",6,25,16,0,0,0,0,0,257,1143,4.45,9,61,478,7.84,1,222,105,6,6,0,0,0,114.3,54,47.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,29,6,132.7
"RB","CJSPILLER",218.3,"C.J. Spiller*","16","BUF",9,25,9,0,0,0,0,0,207,1244,6.01,6,43,459,10.67,2,212,96,7,9,0,0,0,124.4,36,45.9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,30,7,128.9
"RB","JAMAALCHARLES",210.5,"Jamaal Charles*","16","KAN",14,26,15,0,0,0,0,0,285,1509,5.29,5,35,236,6.74,1,205,88,8,14,0,0,0,150.9,30,23.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,32,8,121.1
"WR","CALVINJOHNSON",226.4,"Calvin Johnson*+","16","DET",7,27,16,0,0,0,0,0,0,0,NA,0,122,1964,16.1,5,220,102,1,7,0,0,0,0,0,196.4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,24,1,117.3
"QB","AARONRODGERS",349.6,"Aaron Rodgers*","16","GNB",11,29,16,371,552,4295,39,8,54,259,4.8,2,1,-1,-1,0,344,93,2,11,171.8,156,-16,25.9,12,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1,1,114.68
