"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"HOU","QB","WARRENMOON",260.04,23,"Warren Moon*",33,16,16,280,464,3631,23,14,70,268,3.83,4,0,0,NA,0,260,68,5,23,145.24,92,-28,26.8,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,5,89.5
"CIN","QB","BOOMERESIASON",258.8,24,"Boomer Esiason*",28,16,15,258,455,3525,28,11,47,278,5.91,0,0,0,NA,0,259,66,6,24,141,112,-22,27.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,10,6,88.26
"DEN","RB","BOBBYHUMPHREY",183.38,26,"Bobby Humphrey",23,16,12,1,2,17,1,0,294,1151,3.91,7,22,156,7.09,1,183,63,11,26,0.68,4,0,115.1,42,15.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,30,11,88.08
"WAS","WR","GARYCLARK",178.8,22,"Gary Clark",27,15,12,0,0,0,0,0,2,19,9.5,0,79,1229,15.56,9,179,71,7,22,0,0,0,1.9,0,122.9,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,31,7,85.8
"CIN","WR","TIMMCGEE",172.7,25,"Tim McGee",25,16,16,0,0,0,0,0,2,36,18,0,65,1211,18.63,8,173,65,8,25,0,0,0,3.6,0,121.1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,33,8,79.7
"SFO","WR","JOHNTAYLOR",168.3,27,"John Taylor*",27,15,15,0,0,0,0,0,1,6,6,0,60,1077,17.95,10,168,61,9,27,0,0,0,0.6,0,107.7,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,35,9,75.3
"WAS","WR","ARTMONK",167.4,28,"Art Monk",32,16,12,0,0,0,0,0,3,8,2.67,0,86,1186,13.79,8,167,60,10,28,0,0,0,0.8,0,118.6,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,37,10,74.4
"CLE","RB","ERICMETCALF",168.28,34,"Eric Metcalf",21,16,11,1,2,32,1,0,187,633,3.39,6,54,397,7.35,4,168,48,12,34,1.28,4,0,63.3,36,39.7,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,36,12,72.98
"RAI","WR","MERVYNFERNANDEZ",162.5,29,"Mervyn Fernandez",30,16,13,0,0,0,0,0,2,16,8,0,57,1069,18.75,9,163,55,11,29,0,0,0,1.6,0,106.9,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,38,11,69.5
"DET","WR","RICHARDJOHNSON",160.9,30,"Richard Johnson",28,16,15,0,0,0,0,0,12,38,3.17,0,70,1091,15.59,8,161,53,12,30,0,0,0,3.8,0,109.1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,39,12,67.9
"CLE","WR","WEBSTERSLAUGHTER",159.6,31,"Webster Slaughter*",25,16,16,0,0,0,0,0,0,0,NA,0,65,1236,19.02,6,160,52,13,31,0,0,0,0,0,123.6,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,40,13,66.6
"CIN","TE","RODNEYHOLMAN",127.6,14,"Rodney Holman*",29,16,15,0,0,0,0,0,0,0,NA,0,50,736,14.72,9,128,82,1,14,0,0,0,0,0,73.6,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,65,1,66.1
"NOR","WR","ERICMARTIN",157,32,"Eric Martin",28,16,15,0,0,0,0,0,0,0,NA,0,68,1090,16.03,8,157,49,14,32,0,0,0,0,0,109,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,43,14,64
"MIA","WR","MARKCLAYTON",156,33,"Mark Clayton",28,15,15,0,0,0,0,0,3,9,3,0,64,1011,15.8,9,156,48,15,33,0,0,0,0.9,0,101.1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,44,15,63
"WAS","RB","EARNESTBYNER",157.8,37,"Earnest Byner",27,16,13,0,1,0,0,0,134,580,4.33,7,54,458,8.48,2,158,38,13,37,0,0,0,58,42,45.8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,41,13,62.5
"SEA","RB","JOHNWILLIAMS",157.6,38,"John Williams",25,15,15,0,0,0,0,0,146,499,3.42,1,76,657,8.64,6,158,37,14,38,0,0,0,49.9,6,65.7,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,42,14,62.3
"DEN","WR","VANCEJOHNSON",151.5,35,"Vance Johnson",26,16,16,0,1,0,0,0,0,0,NA,0,76,1095,14.41,7,152,44,16,35,0,0,0,0,0,109.5,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,45,16,58.5
"PIT","WR","LOUISLIPPS",148.4,36,"Louis Lipps",27,16,16,0,0,0,0,0,13,180,13.85,1,50,944,18.88,5,148,41,17,36,0,0,0,18,6,94.4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,46,17,55.4
"WAS","QB","MARKRYPIEN",224.32,43,"Mark Rypien*",27,14,14,280,476,3768,22,13,26,56,2.15,1,0,0,NA,0,224,32,7,43,150.72,88,-26,5.6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,12,7,53.78
"MIA","QB","DANMARINO",223.18,44,"Dan Marino",28,16,16,308,550,3997,24,22,14,-7,-0.5,2,0,0,NA,0,223,31,8,44,159.88,96,-44,-0.7,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,13,8,52.64
"PHI","RB","KEITHBYARS",147.3,47,"Keith Byars",26,16,15,0,0,0,0,0,133,452,3.4,5,68,721,10.6,0,147,27,15,47,0,0,0,45.2,30,72.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,49,15,52
"RAM","WR","FLIPPERANDERSON",144.5,40,"Flipper Anderson",24,16,13,0,0,0,0,0,1,-1,-1,0,44,1146,26.05,5,145,37,18,40,0,0,0,-0.1,0,114.6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,52,18,51.5
"NWE","RB","JOHNSTEPHENS",146,48,"John Stephens",23,14,12,0,0,0,0,0,244,833,3.41,7,21,207,9.86,0,146,26,16,48,0,0,0,83.3,42,20.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,51,16,50.7
"HOU","WR","DREWHILL",141.8,41,"Drew Hill",33,14,12,0,0,0,0,0,0,0,NA,0,66,938,14.21,8,142,34,19,41,0,0,0,0,0,93.8,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,53,19,48.8
"WAS","WR","RICKYSANDERS",140.98,42,"Ricky Sanders",29,16,12,1,1,32,0,0,4,19,4.75,0,80,1138,14.23,4,141,33,20,42,1.28,0,0,1.9,0,113.8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,54,20,47.98
"BUF","QB","JIMKELLY",214.9,51,"Jim Kelly",29,13,13,228,391,3130,25,18,29,137,4.72,2,0,0,NA,0,215,23,9,51,125.2,100,-36,13.7,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,16,9,44.36
"SEA","WR","BRIANBLADES",136.6,45,"Brian Blades*",24,16,14,0,0,0,0,0,1,3,3,0,77,1063,13.81,5,137,29,21,45,0,0,0,0.3,0,106.3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,57,21,43.6
"PIT","RB","MERRILHOGE",137.2,55,"Merril Hoge",24,16,16,0,0,0,0,0,186,621,3.34,8,34,271,7.97,0,137,17,17,55,0,0,0,62.1,48,27.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,55,17,41.9
"MIN","WR","ANTHONYCARTER",132.4,49,"Anthony Carter*",29,16,16,0,0,0,0,0,3,18,6,0,65,1066,16.4,4,132,25,22,49,0,0,0,1.8,0,106.6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,62,22,39.4
"GNB","RB","BRENTFULLWOOD",133.5,58,"Brent Fullwood*",26,15,15,0,0,0,0,0,204,821,4.02,5,19,214,11.26,0,134,13,18,58,0,0,0,82.1,30,21.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,59,18,38.2
"NYJ","RB","JOHNNYHECTOR",133.2,59,"Johnny Hector",29,15,9,0,0,0,0,0,177,702,3.97,3,38,330,8.68,2,133,13,19,59,0,0,0,70.2,18,33,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,60,19,37.9
"ATL","RB","JOHNSETTLE",130.5,63,"John Settle",24,15,15,0,0,0,0,0,179,689,3.85,3,39,316,8.1,2,131,10,20,63,0,0,0,68.9,18,31.6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,63,20,35.2
"PHI","WR","CRISCARTER",128.1,52,"Cris Carter",24,16,15,0,0,0,0,0,2,16,8,0,45,605,13.44,11,128,20,23,52,0,0,0,1.6,0,60.5,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,64,23,35.1
"RAI","RB","BOJACKSON",125.9,67,"Bo Jackson",27,11,9,0,0,0,0,0,173,950,5.49,4,9,69,7.67,0,126,6,21,67,0,0,0,95,24,6.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,67,21,30.6
"DEN","QB","JOHNELWAY",200.44,65,"John Elway*",29,15,15,223,416,3051,18,18,48,244,5.08,3,0,0,NA,0,200,8,10,65,122.04,72,-36,24.4,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,20,10,29.9
"SDG","RB","MARIONBUTTS",124.4,70,"Marion Butts",23,15,5,0,0,0,0,0,170,683,4.02,9,7,21,3,0,124,4,22,70,0,0,0,68.3,54,2.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,68,22,29.1
"CLE","QB","BERNIEKOSAR",197.62,68,"Bernie Kosar",26,16,16,303,513,3533,18,14,30,70,2.33,1,1,-7,-7,0,198,5,11,68,141.32,72,-28,7,6,-0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,22,11,27.08
"TAM","RB","LARSTATE",120.4,74,"Lars Tate",23,15,14,0,0,0,0,0,167,589,3.53,8,11,75,6.82,1,120,NA,23,74,0,0,0,58.9,48,7.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,71,23,25.1
"MIN","RB","RICKFENNEY",120.2,77,"Rick Fenney",25,16,8,0,0,0,0,0,151,588,3.89,4,30,254,8.47,2,120,NA,24,77,0,0,0,58.8,24,25.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,72,24,24.9
"CIN","WR","EDDIEBROWN",117.4,64,"Eddie Brown",27,15,15,0,0,0,0,0,0,0,NA,0,52,814,15.65,6,117,10,24,64,0,0,0,0,0,81.4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,76,24,24.4
"PIT","RB","TIMWORLEY",118.3,89,"Tim Worley",23,15,14,0,0,0,0,0,195,770,3.95,5,15,113,7.53,0,118,NA,25,NA,0,0,0,77,30,11.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,75,25,23
"IND","WR","BILLBROOKS",115.6,66,"Bill Brooks",25,16,16,0,0,0,0,0,2,-3,-1.5,0,63,919,14.59,4,116,8,25,66,0,0,0,-0.3,0,91.9,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,79,25,22.6
"SEA","QB","DAVEKRIEG",192.36,76,"Dave Krieg*",31,15,14,286,499,3309,21,20,40,160,4,0,0,0,NA,0,192,NA,12,76,132.36,84,-40,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,25,12,21.82
"PHI","TE","KEITHJACKSON",82.8,39,"Keith Jackson*+",24,14,12,0,0,0,0,0,0,0,NA,0,63,648,10.29,3,83,37,2,39,0,0,0,0,0,64.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,136,2,21.3
"PHO","WR","ROYGREEN",112.3,69,"Roy Green",32,12,12,0,0,0,0,0,0,0,NA,0,44,703,15.98,7,112,5,26,69,0,0,0,0,0,70.3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,82,26,19.3
"WAS","RB","GERALDRIGGS",114.1,90,"Gerald Riggs",29,12,7,0,0,0,0,0,201,834,4.15,4,7,67,9.57,0,114,NA,26,NA,0,0,0,83.4,24,6.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,80,26,18.8
"PHO","WR","JTSMITH",109.9,71,"J.T. Smith",34,9,8,0,0,0,0,0,2,21,10.5,0,62,778,12.55,5,110,2,27,71,0,0,0,2.1,0,77.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,88,27,16.9
"NWE","WR","HARTLEEDYKES",109.5,72,"Hart Lee Dykes",23,16,6,0,0,0,0,0,0,0,NA,0,49,795,16.22,5,110,2,28,72,0,0,0,0,0,79.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,89,28,16.5
"NYJ","WR","JOJOTOWNSELL",108.7,73,"Jo-Jo Townsell",29,16,6,0,0,0,0,0,0,0,NA,0,45,787,17.49,5,109,1,29,73,0,0,0,0,0,78.7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,92,29,15.7
"IND","WR","ANDRERISON",107.8,78,"Andre Rison",22,16,13,0,0,0,0,0,3,18,6,0,52,820,15.77,4,108,NA,30,78,0,0,0,1.8,0,82,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,93,30,14.8
"MIA","RB","SAMMIESMITH",110,94,"Sammie Smith",22,13,12,0,0,0,0,0,200,659,3.3,6,7,81,11.57,0,110,NA,27,NA,0,0,0,65.9,36,8.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,87,27,14.7
"NYJ","RB","ROGERVICK",109.5,95,"Roger Vick",25,16,10,0,0,0,0,0,112,434,3.88,5,34,241,7.09,2,110,NA,28,NA,0,0,0,43.4,30,24.1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,89,28,14.2
"HOU","RB","ALONZOHIGHSMITH",109.2,96,"Alonzo Highsmith",24,16,16,0,0,0,0,0,128,531,4.15,4,18,201,11.17,2,109,NA,29,NA,0,0,0,53.1,24,20.1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,91,29,13.9
"ATL","QB","CHRISMILLER",184.36,79,"Chris Miller",24,15,15,280,526,3459,16,10,10,20,2,0,0,0,NA,0,184,NA,13,NA,138.36,64,-20,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,29,13,13.82
"SFO","TE","BRENTJONES",74,46,"Brent Jones",26,16,16,0,0,0,0,0,0,0,NA,0,40,500,12.5,4,74,28,3,46,0,0,0,0,0,50,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,150,3,12.5
"CHI","RB","BRADMUSTER",106.6,97,"Brad Muster",24,16,16,0,0,0,0,0,82,327,3.99,5,32,259,8.09,3,107,NA,30,NA,0,0,0,32.7,30,25.9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,94,30,11.3
"ATL","WR","SHAWNCOLLINS",104.2,101,"Shawn Collins",22,16,16,0,0,0,0,0,0,0,NA,0,58,862,14.86,3,104,NA,31,NA,0,0,0,0,0,86.2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,98,31,11.2
"IND","RB","ALBERTBENTLEY",106.4,98,"Albert Bentley",29,16,8,0,1,0,0,0,75,299,3.99,1,52,525,10.1,3,106,NA,31,NA,0,0,0,29.9,6,52.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,95,31,11.1
