"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"DAL","RB","EMMITTSMITH",364.8,1,"Emmitt Smith*+",26,16,16,0,0,0,0,0,377,1773,4.7,25,62,375,6.05,0,365,225,1,1,0,0,0,177.3,150,37.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,1,1,266.3
"SFO","WR","JERRYRICE",290.04,2,"Jerry Rice*+",33,16,16,1,1,41,1,0,5,36,7.2,1,122,1848,15.15,15,292,174,1,2,1.64,4,0,3.6,6,184.8,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,4,1,193.64
"NWE","RB","CURTISMARTIN",264.8,6,"Curtis Martin*",22,16,15,0,0,0,0,0,368,1487,4.04,14,30,261,8.7,1,267,127,2,6,0,0,0,148.7,84,26.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,7,2,166.3
"DET","RB","BARRYSANDERS",262.24,7,"Barry Sanders*+",27,16,16,1,2,11,0,0,314,1500,4.78,11,48,398,8.29,1,262,122,3,7,0.44,0,0,150,66,39.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,8,3,163.74
"STL","WR","ISAACBRUCE",257.8,3,"Isaac Bruce",23,16,16,0,0,0,0,0,3,17,5.67,0,119,1781,14.97,13,260,142,2,3,0,0,0,1.7,0,178.1,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,11,2,161.4
"SEA","RB","CHRISWARREN",255.3,9,"Chris Warren*",27,16,16,0,0,0,0,0,310,1346,4.34,15,35,247,7.06,1,255,115,4,9,0,0,0,134.6,90,24.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,12,4,156.8
"DET","WR","HERMANMOORE",252.6,4,"Herman Moore*+",26,16,16,0,0,0,0,0,0,0,NA,0,123,1686,13.71,14,255,137,3,4,0,0,0,0,0,168.6,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,13,3,156.2
"GNB","QB","BRETTFAVRE",338.62,5,"Brett Favre*+",26,16,16,359,570,4413,38,13,39,181,4.64,3,0,0,NA,0,339,132,1,5,176.52,152,-26,18.1,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,2,1,149.42
"PHI","RB","RICKYWATTERS",242.7,13,"Ricky Watters*",26,16,16,0,0,0,0,0,337,1273,3.78,11,62,434,7,1,243,103,5,13,0,0,0,127.3,66,43.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,14,5,144.2
"MIN","WR","CRISCARTER",239.1,8,"Cris Carter*",30,16,16,0,0,0,0,0,1,0,0,0,122,1371,11.24,17,239,121,4,8,0,0,0,0,0,137.1,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,17,4,142.7
