"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"DAL","RB","EMMITTSMITH",318.8,1,"Emmitt Smith*+",23,16,16,0,0,0,0,0,373,1713,4.59,18,59,335,5.68,1,319,209,1,1,0,0,0,171.3,108,33.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,1,1,232.1
"BUF","RB","THURMANTHOMAS",283.3,2,"Thurman Thomas*",26,16,16,0,0,0,0,0,312,1487,4.77,9,58,626,10.79,3,283,174,2,2,0,0,0,148.7,54,62.6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,3,2,196.6
"PIT","RB","BARRYFOSTER",269.4,3,"Barry Foster*+",24,16,15,0,1,0,0,0,390,1690,4.33,11,36,344,9.56,0,269,160,3,3,0,0,0,169,66,34.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,4,3,182.7
"MIN","RB","TERRYALLEN",257.9,4,"Terry Allen",24,16,16,0,0,0,0,0,266,1201,4.52,13,49,478,9.76,2,258,148,4,4,0,0,0,120.1,78,47.8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,5,4,171.2
"HOU","RB","LORENZOWHITE",234.7,7,"Lorenzo White*",26,16,16,0,0,0,0,0,265,1226,4.63,7,57,641,11.25,1,235,125,5,7,0,0,0,122.6,42,64.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,8,5,148
"SFO","QB","STEVEYOUNG",302.3,5,"Steve Young*+",31,16,16,268,402,3465,25,7,76,537,7.07,4,0,0,NA,0,302,136,1,5,138.6,100,-14,53.7,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,2,1,144.44
"GNB","WR","STERLINGSHARPE",224.9,6,"Sterling Sharpe*+",27,16,16,0,0,0,0,0,4,8,2,0,108,1461,13.53,13,225,134,1,6,0,0,0,0.8,0,146.1,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,9,1,138.5
"NYG","RB","RODNEYHAMPTON",219.6,8,"Rodney Hampton*",23,16,16,0,0,0,0,0,257,1141,4.44,14,28,215,7.68,0,220,110,6,8,0,0,0,114.1,84,21.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,10,6,132.9
"DET","RB","BARRYSANDERS",217.7,9,"Barry Sanders*",24,16,16,0,1,0,0,0,312,1352,4.33,9,29,225,7.76,1,218,108,7,9,0,0,0,135.2,54,22.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,12,7,131
"SFO","RB","RICKYWATTERS",207.8,11,"Ricky Watters*",23,14,13,0,1,0,0,0,206,1013,4.92,9,43,405,9.42,2,208,98,8,11,0,0,0,101.3,54,40.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,13,8,121.1
"RAM","RB","CLEVELANDGARY",201.8,13,"Cleveland Gary",26,16,16,0,0,0,0,0,279,1125,4.03,7,52,293,5.63,3,202,92,9,13,0,0,0,112.5,42,29.3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,15,9,115.1
"PHI","RB","HERSCHELWALKER",194.8,16,"Herschel Walker",30,16,16,0,1,0,0,0,267,1070,4.01,8,38,278,7.32,2,195,85,10,16,0,0,0,107,48,27.8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,18,10,108.1
"SFO","WR","JERRYRICE",191.9,10,"Jerry Rice*+",30,16,16,0,0,0,0,0,9,58,6.44,1,84,1201,14.3,10,192,101,2,10,0,0,0,5.8,6,120.1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,20,2,105.5
"TAM","RB","REGGIECOBB",186.7,18,"Reggie Cobb",24,16,13,0,0,0,0,0,310,1171,3.78,9,21,156,7.43,0,187,77,11,18,0,0,0,117.1,54,15.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,21,11,100
