"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"STL","RB","MARSHALLFAULK",374.9,1,"Marshall Faulk*+",27,14,14,0,0,0,0,0,253,1359,5.37,18,81,830,10.25,8,381,222,1,1,0,0,0,135.9,108,83,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1,1,289.1
"IND","RB","EDGERRINJAMES",338.3,2,"Edgerrin James*",22,16,16,0,0,0,0,0,387,1709,4.42,13,63,594,9.43,5,340,181,2,2,0,0,0,170.9,78,59.4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,4,2,252.5
"TEN","RB","EDDIEGEORGE",292.2,5,"Eddie George*+",27,16,16,0,0,0,0,0,403,1509,3.74,14,50,453,9.06,2,292,133,3,5,0,0,0,150.9,84,45.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,7,3,206.4
"DEN","RB","MIKEANDERSON",255.6,13,"Mike Anderson",27,16,12,0,0,0,0,0,297,1487,5.01,15,23,169,7.35,0,258,99,4,13,0,0,0,148.7,90,16.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,10,4,169.8
"GNB","RB","AHMANGREEN",251.4,16,"Ahman Green",23,16,11,0,1,0,0,0,263,1175,4.47,10,73,559,7.66,3,251,92,5,16,0,0,0,117.5,60,55.9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,11,5,165.6
"JAX","RB","FREDTAYLOR",247.9,19,"Fred Taylor",24,13,13,0,0,0,0,0,292,1399,4.79,12,36,240,6.67,2,248,89,6,19,0,0,0,139.9,72,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,12,6,162.1
"MIN","RB","ROBERTSMITH",246.9,20,"Robert Smith*",28,16,16,0,0,0,0,0,295,1521,5.16,7,36,348,9.67,3,247,88,7,20,0,0,0,152.1,42,34.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,13,7,161.1
"MIN","QB","DAUNTECULPEPPER",346.48,3,"Daunte Culpepper*",23,16,16,297,474,3937,33,16,89,470,5.28,7,0,0,NA,0,350,149,1,3,157.48,132,-32,47,42,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2,1,158.48
"NYJ","RB","CURTISMARTIN",241.92,21,"Curtis Martin",27,16,16,1,1,18,1,0,316,1204,3.81,9,70,508,7.26,2,242,83,8,21,0.72,4,0,120.4,54,50.8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,14,8,156.12
"SEA","RB","RICKYWATTERS",239.5,22,"Ricky Watters",31,16,16,0,0,0,0,0,278,1242,4.47,7,63,613,9.73,2,240,80,9,22,0,0,0,124.2,42,61.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,15,9,153.7
"SFO","RB","CHARLIEGARNER",238.9,23,"Charlie Garner*",28,16,15,0,0,0,0,0,258,1142,4.43,7,68,647,9.51,3,239,80,10,23,0,0,0,114.2,42,64.7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,16,10,153.1
"SFO","QB","JEFFGARCIA",340.52,4,"Jeff Garcia*",30,16,16,355,561,4278,31,10,72,414,5.75,4,0,0,NA,0,343,141,2,4,171.12,124,-20,41.4,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,3,2,152.52
"MIA","RB","LAMARSMITH",230,26,"Lamar Smith",30,15,15,0,1,0,0,0,309,1139,3.69,14,31,201,6.48,2,230,71,11,26,0,0,0,113.9,84,20.1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,19,11,144.2
"WAS","RB","STEPHENDAVIS",229.1,28,"Stephen Davis*",26,15,15,0,0,0,0,0,332,1318,3.97,11,33,313,9.48,0,229,70,12,28,0,0,0,131.8,66,31.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,20,12,143.3
"NYG","RB","TIKIBARBER",226.5,30,"Tiki Barber",25,16,12,0,0,0,0,0,213,1006,4.72,8,70,719,10.27,1,227,67,13,30,0,0,0,100.6,48,71.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,21,13,140.7
"MIN","WR","RANDYMOSS",234.2,6,"Randy Moss*+",23,16,16,0,0,0,0,0,3,5,1.67,0,77,1437,18.66,15,236,126,1,6,0,0,0,0.5,0,143.7,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,17,1,133.8
"DET","RB","JAMESSTEWART",213.1,32,"James Stewart",29,16,16,0,0,0,0,0,339,1184,3.49,10,32,287,8.97,1,219,60,14,32,0,0,0,118.4,60,28.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,27,14,127.3
"IND","WR","MARVINHARRISON",225.3,8,"Marvin Harrison*",28,16,16,0,0,0,0,0,0,0,NA,0,102,1413,13.85,14,225,115,3,8,0,0,0,0,0,141.3,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,22,2,124.9
"SFO","WR","TERRELLOWENS",224.2,7,"Terrell Owens*+",27,14,13,0,0,0,0,0,3,11,3.67,0,97,1451,14.96,13,226,116,2,7,0,0,0,1.1,0,145.1,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,23,3,123.8
"DEN","WR","RODSMITH",224.1,9,"Rod Smith*",30,16,16,0,0,0,0,0,6,99,16.5,1,100,1602,16.02,8,224,114,4,9,0,0,0,9.9,6,160.2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,24,4,123.7
"TAM","RB","WARRICKDUNN",209.5,36,"Warrick Dunn*",25,16,14,0,0,0,0,0,248,1133,4.57,8,44,422,9.59,1,210,50,15,36,0,0,0,113.3,48,42.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,29,15,123.7
"BAL","RB","JAMALLEWIS",202,39,"Jamal Lewis",21,16,13,0,0,0,0,0,309,1364,4.41,6,27,296,10.96,0,204,45,16,39,0,0,0,136.4,36,29.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,33,16,116.2
