"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"WR","WESWELKER",213.9,"14","Wes Welker*+","NWE",30,16,15,0,0,0,0,0,4,30,7.5,0,122,1569,12.86,9,214,98,3,14,0,0,0,3,0,156.9,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,24,3,110
"WR","VICTORCRUZ",207.9,"15","Victor Cruz","NYG",25,16,7,0,0,0,0,0,1,3,3,0,82,1536,18.73,9,208,92,4,15,0,0,0,0.3,0,153.6,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,28,4,104
"RB","RYANMATHEWS",190.6,"30","Ryan Mathews*","SDG",24,14,14,0,0,0,0,0,222,1091,4.91,6,50,455,9.1,0,191,42,7,30,0,0,0,109.1,36,45.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,33,7,89.9
"RB","ADRIANPETERSON",188.9,"31","Adrian Peterson","MIN",26,12,12,0,0,0,0,0,208,970,4.66,12,18,139,7.72,1,189,40,8,31,0,0,0,97,72,13.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,35,8,88.2
"RB","MICHAELBUSH",187.5,"33","Michael Bush","OAK",27,16,9,0,0,0,0,0,256,977,3.82,7,37,418,11.3,1,188,39,9,33,0,0,0,97.7,42,41.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,9,86.8
"WR","LARRYFITZGERALD",189.1,"16","Larry Fitzgerald*","ARI",28,16,16,0,0,0,0,0,0,0,NA,0,80,1411,17.64,8,189,73,5,16,0,0,0,0,0,141.1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,34,5,85.2
"RB","DARRENSPROLES",185.3,"34","Darren Sproles","NOR",28,16,4,0,0,0,0,0,87,603,6.93,2,86,710,8.26,7,187,39,10,34,0,0,0,60.3,12,71,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,39,10,84.6
"RB","STEVENJACKSON",183.8,"38","Steven Jackson","STL",28,15,15,0,0,0,0,0,260,1145,4.4,5,42,333,7.93,1,184,35,11,38,0,0,0,114.5,30,33.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,40,11,83.1
"WR","STEVESMITH",187,"17","Steve Smith*","CAR",32,16,16,0,0,0,0,0,6,56,9.33,0,79,1394,17.65,7,189,73,6,17,0,0,0,5.6,0,139.4,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,37,6,83.1
"TE","JIMMYGRAHAM",197,"13","Jimmy Graham*","NOR",25,16,11,0,0,0,0,0,0,0,NA,0,99,1310,13.23,11,197,99,2,13,0,0,0,0,0,131,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,30,2,82.3
