Player,Action,,Opp,Owner,Projected,Actual,% Owned,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,Fan Pts
Andre Roberts,The add action is disabled,Add to Watch List,@SF,W (Mar 6),257,111,47%,0,0,0,29,0,759,5,15,0,0,0,128.08
(Ari - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dennis Pitta,The add action is disabled,Add to Watch List,@Cin,W (Mar 6),249,81,46%,0,0,0,0,0,669,7,0,0,0,0,127.63
(Bal - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brandon Myers,The add action is disabled,Add to Watch List,@SD,W (Mar 6),254,86,58%,0,0,0,0,0,806,4,0,0,0,0,126.75
(Oak - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Larry Fitzgerald,The trade action is disabled,Add to Watch List,@SF,StartRussellWilson,12,119,96%,0,0,0,0,0,798,4,0,0,0,0,126.75
(Ari - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Danario Alexander,The drop action is disabled,Add to Watch List,Oak,Timbuktukian Icemen,241,114,66%,0,0,0,0,0,658,7,0,0,0,0,125.25
(SD - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jeremy Kerley,The add action is disabled,Remove from Watch List,@Buf,W (Mar 6),278,130,34%,42,0,0,8,0,827,2,208,1,0,3,122.02
(NYJ - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Chris Givens,The add action is disabled,Add to Watch List,@Sea,W (Mar 6),269,149,27%,0,0,0,12,0,698,3,539,0,1,0,121.23
(StL - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jermaine Gresham,The trade action is disabled,Add to Watch List,Bal,Illegal Touching,106,89,87%,0,0,0,0,0,737,5,0,0,0,1,120.13
(Cin - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Joique Bell,The add action is disabled,Add to Watch List,Chi,W (Mar 6),272,118,43%,0,0,0,414,3,485,0,54,0,0,2,120.11
(Det - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kyle Rudolph,The trade action is disabled,Remove from Watch List,GB,Thor's Hammer,151,84,59%,0,0,0,0,0,493,9,1,0,1,0,119.65
(Min - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Nate Washington,The trade action is disabled,Add to Watch List,Jac,Utopian Ewes,120,126,51%,0,0,0,0,0,746,4,0,0,0,0,119.25
(Ten - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jake Locker,The add action is disabled,Add to Watch List,Jac,W (Mar 6),116,169,16%,"2,176",10,11,291,1,0,0,0,0,0,4,119.14
(Ten - QB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Donnie Avery,The add action is disabled,Add to Watch List,Hou,W (Mar 6),279,133,29%,0,0,0,9,0,781,3,0,0,0,0,118.53
(Ind - WR),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Vick Ballard,The trade action is disabled,Add to Watch List,Hou,Oops I Feed My Pants,262,100,57%,0,0,0,814,2,152,1,0,0,0,0,118.4
(Ind - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Santana Moss,The trade action is disabled,Add to Watch List,Dal,BigD'sAllUpInYaGrill,128,117,58%,0,0,0,14,0,573,8,0,0,0,1,118.03
(Was - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Darren McFadden,The trade action is disabled,Add to Watch List,@SD,Illegal Touching,6,107,98%,0,0,0,707,2,258,1,0,0,0,2,117.95
(Oak - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
DeMarco Murray,The trade action is disabled,Add to Watch List,@Was,BigD'sAllUpInYaGrill,19,105,96%,0,0,0,663,4,251,0,0,0,0,2,117.68
(Dal - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dwayne Bowe,The trade action is disabled,Add to Watch List,@Den,Utopian Ewes,59,136,68%,0,0,0,0,0,801,3,0,0,0,1,117.13
(KC - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Alex Smith,The add action is disabled,Add to Watch List,Ari,W (Mar 6),178,207,27%,"1,737",13,5,132,0,0,0,0,0,0,1,116.68
(SF - QB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Brandon Gibson,The add action is disabled,Add to Watch List,@Sea,W (Mar 6),268,125,18%,0,0,0,0,0,691,5,0,0,0,0,116.38
(StL - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Willis McGahee,The add action is disabled,Add to Watch List,KC,W (Mar 6),63,102,30%,0,0,0,731,4,221,0,0,0,1,4,115.73
(Den - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brandon LaFell,The trade action is disabled,Add to Watch List,@NO,Oops I Feed My Pants,182,138,23%,0,0,0,35,0,677,4,0,0,0,0,114.13
(Car - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Pierre Garcon,The trade action is disabled,Add to Watch List,Dal,Bush-Leeeague Arby's,70,141,87%,0,0,0,9,0,633,4,0,0,0,0,113.03
(Was - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Martellus Bennett,The drop action is disabled,Add to Watch List,Phi,Timbuktukian Icemen,177,108,61%,0,0,0,0,0,626,5,13,0,0,0,111.51
(NYG - TE),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Antonio Gates,The trade action is disabled,Add to Watch List,Oak,BigD'sAllUpInYaGrill,49,101,94%,0,0,0,0,0,538,7,0,0,0,0,111.25
(SD - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Greg Little,The add action is disabled,Add to Watch List,@Pit,W (Mar 6),89,151,26%,0,0,0,15,0,647,4,0,0,0,0,110.38
(Cle - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jacquizz Rodgers,The trade action is disabled,Add to Watch List,TB,Thor's Hammer,84,155,55%,0,0,0,362,1,402,1,592,0,0,0,110.29
(Atl - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Darrius Heyward-Bey,The trade action is disabled,Add to Watch List,@SD,Oops I Feed My Pants,81,146,54%,0,0,0,16,0,606,5,0,0,0,0,108.85
(Oak - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Scott Chandler,The add action is disabled,Add to Watch List,NYJ,W (Mar 6),256,110,35%,0,0,0,0,0,571,6,0,0,0,1,108.38
(Buf - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jacoby Jones,The add action is disabled,Add to Watch List,@Cin,W (Mar 6),1802,212,11%,0,0,0,6,0,406,1,"1,508",3,0,0,106.51
(Bal - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Hakeem Nicks,The drop action is disabled,Add to Watch List,Phi,Timbuktukian Icemen,32,157,97%,0,0,0,0,0,692,3,0,0,0,0,105.5
(NYG - WR),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Pierre Thomas,The trade action is disabled,Add to Watch List,Car,Oops I Feed My Pants,107,139,51%,0,0,0,473,1,354,1,91,0,0,0,105.37
(NO - RB),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Davone Bess,The add action is disabled,Remove from Watch List,@NE,W (Mar 6),152,167,32%,0,0,0,0,0,778,1,30,0,0,0,103.85
(Mia - WR),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
David Wilson,The trade action is disabled,Add to Watch List,Phi,Cammy Cam Juice,102,190,69%,0,0,0,358,4,34,1,"1,533",1,0,1,103.71
(NYG - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Felix Jones,The trade action is disabled,Remove from Watch List,@Was,Thor's Hammer,145,144,53%,0,0,0,402,3,262,2,236,0,0,2,102.67
(Dal - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ryan Mathews,The drop action is disabled,Add to Watch List,Oak,Timbuktukian Icemen,22,127,80%,0,0,0,707,1,252,0,0,0,0,2,102.2
(SD - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Andre Brown,The add action is disabled,Add to Watch List,Phi,W (Mar 6),244,129,19%,0,0,0,385,8,86,0,42,0,1,0,102.09
(NYG - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Danny Amendola,The drop action is disabled,Add to Watch List,@Sea,Timbuktukian Icemen,147,170,69%,0,0,0,8,0,666,3,138,0,1,2,101.81
(StL - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kendall Wright,The add action is disabled,Add to Watch List,Jac,W (Mar 6),132,163,33%,0,0,0,4,0,626,4,0,0,0,1,100.65
(Ten - WR),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kenny Britt,The trade action is disabled,Add to Watch List,Jac,Cammy Cam Juice,101,175,55%,0,0,0,0,0,589,4,0,0,1,1,100.63
(Ten - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Chad Henne,The add action is disabled,Add to Watch List,@Ten,W (Mar 6),1811,217,9%,"2,084",11,11,64,1,-6,0,0,0,0,2,100.01
(Jac - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
DeSean Jackson,The add action is disabled,Add to Watch List,@NYG,W (Mar 6),69,179,39%,0,0,0,-7,0,700,2,-3,0,0,0,99.74
(Phi - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Vernon Davis,The trade action is disabled,Add to Watch List,Ari,Porta-Potty-Passing,55,120,93%,0,0,0,0,0,548,5,0,0,0,0,99.5
(SF - TE),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Andrew Hawkins,The add action is disabled,Add to Watch List,Bal,W (Mar 6),287,181,18%,0,0,0,30,0,533,4,0,0,0,0,98.63
(Cin - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brandon Stokley,The add action is disabled,Add to Watch List,KC,W (Mar 6),280,164,22%,0,0,0,0,0,544,5,0,0,0,0,98
(Den - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Marcel Reece,The trade action is disabled,Add to Watch List,@SD,Illegal Touching,302,174,48%,0,0,0,271,0,496,1,36,0,0,0,97.82
(Oak - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mark Sanchez,The add action is disabled,Add to Watch List,@Buf,W (Mar 6),230,186,9%,"2,883",13,18,28,0,0,0,0,0,0,8,95.62
(NYJ - QB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Knowshon Moreno,The trade action is disabled,Add to Watch List,KC,Utopian Ewes,242,147,81%,0,0,0,528,4,167,0,0,0,0,1,94.68
(Den - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mike Tolbert,The add action is disabled,Add to Watch List,@NO,W (Mar 6),171,156,7%,0,0,0,183,7,268,0,26,0,0,0,94.32
(Car - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Lance Kendricks,The add action is disabled,Add to Watch List,@Sea,W (Mar 6),219,137,2%,0,0,0,0,0,519,4,0,0,1,0,93.88
(StL - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mark Ingram,The trade action is disabled,Add to Watch List,Car,StartRussellWilson,94,143,32%,0,0,0,602,5,29,0,0,0,0,0,93.83
(NO - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Marcedes Lewis,The add action is disabled,Add to Watch List,@Ten,W (Mar 6),271,135,17%,0,0,0,0,0,540,4,0,0,0,0,93.5
(Jac - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jermichael Finley,The trade action is disabled,Add to Watch List,@Min,Bush-Leeeague Arby's,65,140,79%,0,0,0,0,0,667,2,0,0,0,1,93.38
(GB - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Rod Streater,The add action is disabled,Add to Watch List,@SD,W (Mar 6),299,187,4%,0,0,0,0,0,584,3,0,0,1,1,92
(Oak - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Aaron Hernandez,The trade action is disabled,Add to Watch List,Mia,Thor's Hammer,54,134,97%,0,0,0,5,0,483,5,0,0,0,0,91.88
(NE - TE),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Bilal Powell,The add action is disabled,Add to Watch List,@Buf,W (Mar 6),196,177,15%,0,0,0,437,4,140,0,0,0,0,0,90.2
(NYJ - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brent Celek,The trade action is disabled,Add to Watch List,@NYG,StartRussellWilson,112,150,54%,0,0,0,0,0,684,1,0,0,0,1,88.5
(Phi - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jared Cook,The trade action is disabled,Add to Watch List,Jac,Porta-Potty-Passing,121,145,31%,0,0,0,0,0,523,4,0,0,0,1,87.38
(Ten - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Leonard Hankerson,The add action is disabled,Add to Watch List,Dal,W (Mar 6),217,193,4%,0,0,0,5,0,543,3,0,0,0,0,86.38
(Was - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brandon Pettigrew,The drop action is disabled,Add to Watch List,Chi,Timbuktukian Icemen,92,153,68%,0,0,0,0,0,567,3,0,0,0,2,85.88
(Det - TE),,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Fred Jackson,The trade action is disabled,Add to Watch List,NYJ,Illegal Touching,36,178,58%,0,0,0,437,3,217,1,0,0,0,4,85.83
(Buf - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jacob Tamme,The add action is disabled,Add to Watch List,KC,W (Mar 6),114,161,35%,0,0,0,0,0,555,2,0,0,0,0,85.38
(Den - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Joshua Morgan,The add action is disabled,Add to Watch List,Dal,W (Mar 6),216,197,4%,0,0,0,25,0,510,2,0,0,0,0,85.25
(Was - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Blaine Gabbert,The add action is disabled,Add to Watch List,@Ten,W (Mar 6),2434,1865,2%,"1,662",9,6,56,0,0,0,0,0,2,3,85.08
(Jac - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dwayne Allen,The add action is disabled,Add to Watch List,Hou,W (Mar 6),212,154,12%,0,0,0,5,0,521,3,0,0,0,0,84.63
(Ind - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Bryce Brown,The trade action is disabled,Add to Watch List,@NYG,Illegal Touching,329,182,74%,0,0,0,564,4,56,0,156,0,0,3,84.02
(Phi - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jason Avant,The add action is disabled,Add to Watch List,@NYG,W (Mar 6),1784,216,6%,0,0,0,0,0,648,0,0,0,0,0,84
(Phi - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Domenik Hixon,The trade action is disabled,Add to Watch List,Phi,Thor's Hammer,310,202,9%,0,0,0,0,0,567,2,36,0,0,0,83.6
(NYG - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jonathan Dwyer,The trade action is disabled,Add to Watch List,Cle,Utopian Ewes,173,180,52%,0,0,0,623,2,106,0,0,0,0,2,83.55
(Pit - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Emmanuel Sanders,The add action is disabled,Add to Watch List,Cle,W (Mar 6),175,215,14%,0,0,0,4,0,626,1,120,0,0,2,82.05
(Pit - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dallas Clark,The add action is disabled,Add to Watch List,@Atl,W (Mar 6),189,162,25%,0,0,0,0,0,435,4,0,0,0,0,81.38
(TB - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Donald Jones,The add action is disabled,Add to Watch List,NYJ,W (Mar 6),290,206,7%,0,0,0,0,0,443,4,0,0,0,0,81.38
(Buf - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
LaRod Stephens-Howling,The trade action is disabled,Add to Watch List,@SF,StartRussellWilson,327,199,24%,0,0,0,357,4,106,0,405,0,0,0,81.05
(Ari - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Benjamin Watson,The add action is disabled,Add to Watch List,@Pit,W (Mar 6),298,160,4%,0,0,0,0,0,501,3,0,0,0,0,80.63
(Cle - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Michael Floyd,The add action is disabled,Add to Watch List,@SF,W (Mar 6),166,208,5%,0,0,0,0,0,562,2,0,0,0,1,80.25
(Ari - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kevin Kolb,The add action is disabled,Add to Watch List,@SF,W (Mar 6),277,2304,3%,"1,169",8,3,103,1,0,0,0,0,0,2,80.06
(Ari - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kevin Ogletree,The add action is disabled,Add to Watch List,@Was,W (Mar 6),288,204,11%,0,0,0,9,0,436,4,0,0,0,0,79.9
(Dal - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Nick Foles,The add action is disabled,Add to Watch List,@NYG,W (Mar 6),1791,2201,9%,"1,699",6,5,42,1,0,0,0,0,0,3,79.16
(Phi - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jackie Battle,The add action is disabled,Add to Watch List,Oak,W (Mar 6),1798,209,14%,0,0,0,311,3,108,1,0,0,0,0,79.1
(SD - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Michael Bush,The add action is disabled,Add to Watch List,@Det,W (Mar 6),108,185,54%,0,0,0,411,5,83,0,0,0,0,1,78.48
(Chi - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kevin Walter,The add action is disabled,Add to Watch List,@Ind,W (Mar 6),1805,222,5%,0,0,0,0,0,518,2,0,0,0,0,77.75
(Hou - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Shaun Draughn,The add action is disabled,Add to Watch List,@Den,W (Mar 6),1963,283,6%,0,0,0,233,2,158,0,537,0,0,1,76.79
(KC - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Anthony Fasano,The add action is disabled,Add to Watch List,@NE,W (Mar 6),307,171,6%,0,0,0,0,0,332,5,0,0,1,0,76.5
(Mia - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Julian Edelman,The add action is disabled,Add to Watch List,Mia,W (Mar 6),297,279,5%,0,0,0,45,0,235,3,301,1,0,1,75.78
(NE - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Joel Dreessen,The add action is disabled,Add to Watch List,KC,W (Mar 6),294,168,19%,0,0,0,0,0,356,5,0,0,0,0,75.5
(Den - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Isaac Redman,The trade action is disabled,Add to Watch List,Cle,Porta-Potty-Passing,99,196,30%,0,0,0,410,2,244,0,0,0,0,3,74.5
(Pit - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Titus Young,The add action is disabled,Remove from Watch List,@Sea,W (Mar 6),95,221,24%,0,0,0,16,0,383,4,0,0,0,0,74.48
(StL - WR),,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Randy Moss,The add action is disabled,Add to Watch List,Ari,W (Mar 6),135,231,18%,0,0,0,0,0,434,3,0,0,0,0,72.25
(SF - WR),,,,,,,,,,,,,,,,,,,
New Player Note,,,,,,,,,,,,,,,,,,,
Brad Smith,The add action is disabled,Add to Watch List,NYJ,W (Mar 6),1829,280,0%,0,0,1,116,1,152,2,496,1,0,0,72.02
(Buf - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Matt Hasselbeck,The add action is disabled,Add to Watch List,Jac,W (Mar 6),2397,2351,3%,"1,367",7,5,38,0,0,0,0,0,1,1,71.48
(Ten - QB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Greg Jennings,The trade action is disabled,Add to Watch List,@Min,Porta-Potty-Passing,29,232,90%,0,0,0,0,0,366,4,0,0,0,0,70.75
(GB - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Tony Scheffler,The add action is disabled,Add to Watch List,Chi,W (Mar 6),323,188,11%,0,0,0,0,0,504,1,7,0,0,0,70.14
(Det - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Daniel Thomas,The add action is disabled,Add to Watch List,@NE,W (Mar 6),159,205,22%,0,0,0,325,4,156,0,0,0,0,2,70
(Mia - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Joseph Morgan,The add action is disabled,Add to Watch List,Car,W (Mar 6),295,244,1%,0,0,0,1,0,379,3,0,0,0,0,68.48
(NO - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ronnie Brown,The add action is disabled,Add to Watch List,Oak,W (Mar 6),153,235,9%,0,0,0,220,0,371,0,0,0,0,0,68.38
(SD - RB),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Michael Jenkins,The add action is disabled,Add to Watch List,GB,W (Mar 6),1821,242,1%,0,0,0,0,0,449,2,0,0,0,0,68.13
(Min - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Tiquan Underwood,The add action is disabled,Add to Watch List,@Atl,W (Mar 6),1807,250,0%,0,0,0,1,0,425,2,47,0,0,0,67.17
(TB - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dexter McCluster,The add action is disabled,Add to Watch List,@Den,W (Mar 6),1820,252,12%,0,0,0,70,0,452,1,6,0,0,2,66.62
"(KC - WR,RB)",,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mario Manningham,The add action is disabled,Add to Watch List,Ari,W (Mar 6),164,245,20%,0,0,0,64,0,449,1,0,0,0,1,66.53
(SF - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Doug Baldwin,The add action is disabled,Add to Watch List,StL,W (Mar 6),146,251,5%,0,0,0,0,0,366,3,3,0,0,0,65.81
(Sea - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Shane Vereen,The add action is disabled,Add to Watch List,Mia,W (Mar 6),124,225,13%,0,0,0,251,3,149,1,0,0,0,1,65.73
(NE - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Tony Moeaki,The add action is disabled,Add to Watch List,@Den,W (Mar 6),215,201,3%,0,0,0,0,0,453,1,0,0,0,0,65.63
(KC - TE),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Zach Miller,The add action is disabled,Add to Watch List,StL,W (Mar 6),324,189,1%,0,0,0,0,0,396,3,0,0,0,1,65.5
(Sea - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Travis Benjamin,The add action is disabled,Add to Watch List,@Pit,W (Mar 6),1804,266,0%,0,0,0,66,0,298,2,225,1,0,1,65.35
(Cle - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Maurice Jones-Drew,The trade action is disabled,Add to Watch List,@Ten,StartRussellWilson,24,226,81%,0,0,0,414,1,86,1,4,0,0,0,65.23
(Jac - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jonathan Stewart,The trade action is disabled,Add to Watch List,@NO,BigD'sAllUpInYaGrill,61,230,57%,0,0,0,336,1,157,1,0,0,0,0,65.23
(Car - RB),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Bernard Pierce,The add action is disabled,Add to Watch List,@Cin,W (Mar 6),228,218,3%,0,0,0,532,1,47,0,0,0,0,0,65.08
(Bal - RB),,,,,,,,,,,,,,,,,,,
